Вопрос,Ответ,Gemini,Результат
17,"ПРИ РАСЧЕТЕ РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С ГКМП УЧИТЫВАЕТСЯ:
А фракция выброса
Б уровень АД
В степень митральной регургитации
Г возраст
",Г возраст,"## **Правильный ответ:** **Г) возраст**

**Обоснование:**

Возраст является одним из наиболее важных факторов риска внезапной сердечной смерти (ВСС) у больных с гипертрофической кардиомиопатией (ГКМП). 

**Другие факторы риска ВСС при ГКМП:**

* **Фракция выброса:** снижение фракции выброса (менее 50%) является фактором риска ВСС.
* **Уровень АД:** высокое систолическое АД (более 140 мм рт.ст.) является фактором риска ВСС.
* **Степень митральной регургитации:** тяжелая митральная регургитация является фактором риска ВСС.

**Однако возраст имеет наибольшее прогностическое значение:**

* **Риск ВСС увеличивается с возрастом.**
* **У молодых пациентов (до 30 лет) риск ВСС составляет около 1% в год.**
* **У пациентов старше 60 лет риск ВСС составляет около 5% в год.**

**Другие факторы, которые могут влиять на риск ВСС:**

* **Семейный анамнез ВСС:** наличие в семейном анамнезе ВСС у родственников первой степени родства увеличивает риск ВСС.
* **Наличие обмороков:** обмороки в анамнезе у пациентов с ГКМП являются фактором риска ВСС.
* **Неустойчивая желудочковая тахикардия:** наличие неустойчивой желудочковой тахикардии по данным холтеровского мониторирования ЭКГ является фактором риска ВСС.

**Важно:**

* **Оценка риска ВСС у пациентов с ГКМП должна быть комплексной и учитывать все факторы риска.**
* **Пациенты с высоким риском ВСС должны находиться под наблюдением кардиолога и получать соответствующую терапию.**

**Источники:**

* ""Гипертрофическая кардиомиопатия - Нарушения сердечно-сосудистой системы - Справочник MSD Профессиональная версия: [https://www.msdmanuals.com/ru-ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%B3%D0%B8%D0%BF%D0%B5%D1%80%D1%82%D1%80%D0%BE%D1%84%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D1%8F](https://www.msdmanuals.com/ru-ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%B3%D0%B8%D0%BF%D0%B5%D1%80%D1%82%D1%80%D0%BE%D1%84%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D1%8F)""
* ""[ВНЕЗАПНАЯ С",1
18,"ЭЛЕКТРОКАРДИОГРАФИЧЕСКИМ ПОКАЗАТЕЛЕМ, ИМЕЮЩИМ ПРЕИМУЩЕСТВЕННО ДИАГНОСТИЧЕСКОЕ ЗНАЧЕНИЕ ПРИ ОСТРЫХ ИНФЕКЦИОННЫХ МИОКАРДИТАХ, ЯВЛЯЕТСЯ:
А нарушение проводимости по левой ножке пучка Гиса
Б появление патологического зубца Q
В подъём сегмента SТ в 2-3 отведениях
Г нарушение АВ проводимости
","Г нарушение АВ проводимости
","## **Ответ:** В. Подъем сегмента ST в 2-3 отведениях.

**Обоснование:**

* **Нарушение проводимости по левой ножке пучка Гиса (А)** может наблюдаться при миокардите, но оно не является специфичным для этого заболевания. 
* **Появление патологического зубца Q (Б)** может быть признаком инфаркта миокарда, а не миокардита.
* **Нарушение АВ проводимости (Г)** также может быть неспецифическим признаком миокардита.

**Подъем сегмента ST (В)** является более специфичным ЭКГ-признаком острого инфекционного миокардита. Он возникает из-за воспалительного процесса в миокарде, который приводит к ишемии и повреждению миокардиальных клеток.

**Дополнительные ЭКГ-признаки миокардита:**

* **Нарушения ритма и проводимости:** аритмии, блокады
* **Неспецифические изменения ST-T:** депрессия ST, инверсия зубца T
* **Увеличение размеров предсердий и/или желудочков**

**Важно отметить:**

* ЭКГ не является единственным методом диагностики миокардита.
* Для постановки окончательного диагноза необходимо использовать другие методы исследования, такие как МРТ сердца, биопсия миокарда.

**Источники:**

* Электрокардиография в практике врача: [неправильный URL удален]
* Миокардит: диагностика и лечение: [неправильный URL удален]
",-1
19,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ БОЛЕВОГО СИНДРОМА И ПРОФИЛАКТИКИ КАРДИОГЕННОГО ШОКА ПРИ ОСТРОМ ИНФАРКТЕ ЯВЛЯЕТСЯ:
А морфина гидрохлорид
Б нитроглицерин
В тримеперидин
Г трамадол
",А морфина гидрохлорид,"**Правильный ответ:** А. Морфина гидрохлорид.

**Обоснование:**

* **Морфин** является **золотым стандартом** для лечения болевого синдрома при остром инфаркте миокарда (ОИМ). Он обладает **высокой анальгетической активностью**, быстро купирует боль и снижает тревожность.
* **Нитроглицерин** используется для купирования ангинозной боли, но не является препаратом выбора для лечения болевого синдрома при ОИМ.
* **Тримеперидин** обладает анальгетической активностью, но менее эффективен, чем морфин. Он также может вызывать побочные эффекты, такие как тошнота, рвота и головокружение.
* **Трамадол** не рекомендуется для лечения болевого синдрома при ОИМ, так как он может повышать риск развития кардиогенного шока.

**Дополнительные сведения:**

* Морфин обычно вводится **внутривенно** в дозе 2-4 мг каждые 5-15 минут до купирования боли.
* Доза морфина может быть **титрирована** в зависимости от индивидуальной чувствительности пациента.
* **Побочные эффекты** морфина включают тошноту, рвоту, запор, зуд и сонливость.
* **Противопоказаниями** к применению морфина являются гиперчувствительность к препарату, бронхиальная астма, угнетение дыхания, и травмы головы.

**Важно:**

* **Решение о применении морфина должен принимать врач.**
* **Морфин должен использоваться с осторожностью** у пациентов с почечной или печеночной недостаточностью, а также у пожилых людей.

**Источники:**

* [https://www.scardio.ru/](https://www.scardio.ru/)
* [https://cardioweb.ru/glavnyj-vneshtatnyj-spetsialist-kardiolog-minzdrava-rossii/item/2289-klinicheskie-rekomendatsii](https://cardioweb.ru/glavnyj-vneshtatnyj-spetsialist-kardiolog-minzdrava-rossii/item/2289-klinicheskie-rekomendatsii)

**Disclaimer:**

* **This information is for informational purposes only and should not be considered as medical advice.**
* **Please consult with a healthcare professional for any questions or concerns you may have.**
",1
20,"ПРИ СОЧЕТАНИИ ХРОНИЧЕСКОЙ ОБСТРУКТИВНОЙ БОЛЕЗНИ ЛЕГКИХ И ПАРОКСИЗМОВ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ:
А пропранолола
Б этацизина
В дигоксина
Г верапамила
",А пропранолола,"## **Ответ:** Г) Верапамила.

**Обоснование:**

* **Пропранолол** и **этацизин** не являются противопоказаниями при сочетании ХОБЛ и пароксизмов фибрилляции предсердий. 
* **Дигоксин** может быть назначен, но с осторожностью, так как ХОБЛ может влиять на его фармакокинетику.
* **Верапамил** является противопоказанием, так как он может ухудшить функцию легких у пациентов с ХОБЛ.

**Дополнительная информация:**

* При сочетании ХОБЛ и пароксизмов фибрилляции предсердий выбор антиаритмического препарата должен быть основан на индивидуальных характеристиках пациента, таких как тяжесть ХОБЛ, функция легких, наличие других заболеваний.
* Важно, чтобы лечение ХОБЛ и фибрилляции предсердий было скоординировано между врачами разных специальностей.

**Источники:**

* [https://www.therapeutic-j.ru/jour/article/view/178](https://www.therapeutic-j.ru/jour/article/view/178)
* [https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BB%D0%B5%D0%B3%D0%BE%D1%87%D0%BD%D1%8B%D0%B5-%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F/%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%B0%D1%8F-%D0%B1%D0%BE%D0%BB%D0%B5%D0%B7%D0%BD%D1%8C-%D0%BB%D0%B5%D0%B3%D0%BA%D0%B8%D1%85-%D0%B8-%D1%81%D0%BE%D0%BF%D1%83%D1%82%D1%81%D1%82%D0%B2%D1%83%D1%8E%D1%89%D0%B8%D0%B5-%D0%B7%D0%B0%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B3%D0%BE-%D0%BE%D0%B1%D0%BE%D1%81%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%8F-%D1%85%D0%BE%D0%B1%D0%BB](https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BB%D0%B5%D0%B3%D0%BE%D1%87%D0%BD%D1%8B%D0%B5-%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F/%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%B0%D1%8F-%D0%B1%D0%BE%D0%BB%D0%B5%D0%B7%D0%BD%D1%8C-%D0%BB%D0%B5%D0%B3%D0%BA%D0%B8%D1%85-%D0%B8-%D1%81%D0%BE%D0%BF%D1%83%D1%82%D1%81%D1%82%D0%B2%D1%83%D1%8E%D1%89%D0%B8%D0%B5-%D0%B7%D0%B0%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B3%D0%BE-%D0%BE%D0%B1%D0%BE%D1%81%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%8F-%D1%85%D0%BE%D0%B1%D0%BB)
* [https://www.gosmed.ru/lechebnaya-deyatelnost/spravochnik-zabolevaniy/zabolevaniya-serdtsa-i-arteriy/narusheniya-ritma-aritmologiya/fibrillyatsiya-predserdiy/](https://www.gosmed.ru/lechebnaya-deyatelnost/spravochnik-zabolevaniy/zabolevaniya-serdtsa-i-arteriy/narusheniya-ritma-aritmologiya/fibrillyatsiya-predserdiy/)
",-1
21,"НЕДИГИДРОПИРИДИНОВЫЕ АНТАГОНИСТЫ КАЛЬЦИЯ ПРОТИВОПОКАЗАНЫ ПРИ:
А брадиаритмии
Б тахикардии
В бронхиальной астме
Г сахарном диабете
",А брадиаритмии,"## **Ответ:** А) брадиаритмии

**Обоснование:**

Недигидропиридиновые антагонисты кальция (верапамил, дилтиазем) **замедляют** частоту сердечных сокращений (ЧСС) за счет блокады кальциевых каналов в L-типе, что приводит к снижению сократимости миокарда.

**При брадиаритмии** ЧСС уже **низкая**, поэтому применение этих препаратов может привести к **опасному снижению ЧСС**, а в некоторых случаях к **асистолии** (остановке сердца).

**Другие варианты ответа не являются противопоказаниями:**

* **Тахикардия:** недигидропиридиновые антагонисты кальция могут быть **эффективны** при тахикардии, так как они замедляют ЧСС.
* **Бронхиальная астма:** недигидропиридиновые антагонисты кальция **не** оказывают **существенного влияния** на функцию дыхательной системы.
* **Сахарный диабет:** недигидропиридиновые антагонисты кальция **не** оказывают **негативного влияния** на обмен глюкозы.

**Важно:**

* Перед применением **любых** лекарственных средств необходимо **проконсультироваться с врачом**.
* **Врач** подберет **оптимальную** схему лечения, учитывая **индивидуальные особенности** пациента.

**Дополнительные сведения:**

* Недигидропиридиновые антагонисты кальция - описание, показания и противопоказания: [https://www.rmj.ru/articles/kardiologiya/Antagonisty_kalyciya_-_principy_terapii_v_svete_dannyh_dokazatelynyh_issledovaniy/](https://www.rmj.ru/articles/kardiologiya/Antagonisty_kalyciya_-_principy_terapii_v_svete_dannyh_dokazatelynyh_issledovaniy/)
* Брадикардия - причины, симптомы, лечение: [неправильный URL удален]
",1
22,"САМЫМ ЧАСТЫМ ОСЛОЖНЕНИЕМ ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА (ОСОБЕННО ПРИ ОЧЕНЬ БЫСТРОМ ВВЕДЕНИИ) ЯВЛЯЕТСЯ:
А головная боль
Б тошнота
В артериальная гипотензия
Г резкая брадикардия
",В артериальная гипотензия,"## **Ответ:** Г - резкая брадикардия.

**Обоснование:**

* **Головная боль:** может быть побочным эффектом новокаинамида, но обычно не является самым частым осложнением, особенно при внутривенном введении.
* **Тошнота:** также может быть побочным эффектом, но чаще встречается при пероральном приеме.
* **Артериальная гипотензия:** возможное осложнение, но обычно не самое частое.
* **Резкая брадикардия:** наиболее частое и потенциально опасное осложнение, особенно при быстром введении новокаинамида.

**Причины:**

* Новокаинамид обладает антиаритмическим действием, которое может привести к замедлению сердечного ритма.
* Быстрое введение препарата может привести к резкому снижению частоты сердечных сокращений.

**Симптомы:**

* Головокружение
* Слабость
* Потеря сознания
* Остановка сердца

**Лечение:**

* Прекращение введения новокаинамида
* Введение атропина или других препаратов, повышающих частоту сердечных сокращений
* При необходимости - реанимационные мероприятия

**Профилактика:**

* Введение новокаинамида под контролем ЭКГ
* Медленное введение препарата
* Назначение антихолинергических препаратов (атропина) перед введением новокаинамида

**Важно:**

* Резкая брадикардия - это серьезное осложнение, которое может привести к летальному исходу.
* При появлении симптомов брадикардии необходимо立即采取措施.

**Источники:**

* [https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%97%D0%BD%D0%B0%D0%BC%D1%96%D0%B4](https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%97%D0%BD%D0%B0%D0%BC%D1%96%D0%B4)
* [https://kpfu.ru/docs/F541556538/Metod.rekom..PDL..doc](https://kpfu.ru/docs/F541556538/Metod.rekom..PDL..doc)

",-1
23,"ПРИ БЛАГОПРИЯТНОМ КЛИНИЧЕСКОМ И ТРУДОВОМ ПРОГНОЗЕ ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ И ПРОДЛЕВАЕТСЯ НА СРОК НЕ БОЛЕЕ ___ МЕСЯЦЕВ С ДАТЫ НАЧАЛА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ И НЕ БОЛЕЕ ___ МЕСЯЦЕВ ПРИ ЛЕЧЕНИИ ТУБЕРКУЛЕЗА:
А 10; 12
Б 6; 8
В 12; 14
Г 4; 5
",А 10; 12,"## **Правильный ответ: В) 12; 14**

**Обоснование:**

* При благоприятном клиническом и трудовом прогнозе листок нетрудоспособности может быть сформирован и продлен **до 10 месяцев** с даты начала временной нетрудоспособности.
* **При лечении туберкулеза** этот срок увеличивается **до 12 месяцев**.

**Ссылка на источник:**

* **Статья 13 Федерального закона № 255-ФЗ ""Об обязательном социальном страховании на случай временной нетрудоспособности и в связи с материнством"":** [https://www.consultant.ru/document/cons_doc_LAW_64871/](https://www.consultant.ru/document/cons_doc_LAW_64871/)

**Другие варианты ответа:**

* **А) 10; 12:** Неверно, так как максимальный срок при лечении туберкулеза составляет 12 месяцев.
* **Б) 6; 8:** Неверно, так как оба значения меньше 10 месяцев, что не соответствует минимальному сроку при благоприятном прогнозе.
* **Г) 4; 5:** Неверно, так как оба значения слишком короткие и не соответствуют ни минимальному, ни максимальному срокам.
",-1
24,"В СЛУЧАЕ УСТАНОВЛЕНИЯ ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПАЦИЕНТУ, ПРИЕХАВШЕМУ ИЗ РОСТОВА В МОСКВУ И ОБРАТИВШЕМУСЯ ЗА МЕДИЦИНСКОЙ ПОМОЩЬЮ:
А листок нетрудоспособности не формируется (не выдаётся)
Б формируется (выдаётся) листок нетрудоспособности
В справка произвольной формы
Г справка установленного образца
",Б формируется (выдаётся) листок нетрудоспособности,"**Правильный ответ:** Б) формируется (выдается) листок нетрудоспособности.

**Обоснование:**

Согласно **Приказу Минздрава России от 01.09.2020 № 925н ""Об утверждении формы листка нетрудоспособности, Порядка выдачи медицинскими организациями листков нетрудоспособности, а также Порядка формирования Фондом социального страхования Российской Федерации электронного листка нетрудоспособности и его передачи в единую государственную информационную систему социального страхования"":

* Листок нетрудоспособности (больничный) выдается **всем** застрахованным лицам, временно утратившим трудоспособность в связи с заболеванием, травмой, отравлением, профзаболеванием, при необходимости ухода за больным членом семьи, а также в связи с беременностью и родами.
* Медицинская организация **обязана** выдать листок нетрудоспособности **независимо от места регистрации** пациента.

**В данном случае:**

* Пациент является застрахованным лицом, так как имеет полис ОМС.
* Пациент временно утратил трудоспособность по медицинским показаниям.
* Пациент обратился за медицинской помощью в медицинскую организацию, имеющую лицензию на осуществление медицинской деятельности.

**Следовательно, пациенту, приехавшему из Ростова в Москву и обратившемуся за медицинской помощью, должен быть выдан листок нетрудоспособности.**

**Важно отметить:**

* С 1 января 2022 года листки нетрудоспособности выдаются **только в электронном виде**.
* Для получения электронного больничного пациенту необходимо иметь номер СНИЛС.
* Оформить электронный больничный может врач как в поликлинике, так и при вызове на дом.
* Пациент может получить электронный больничный на Госуслугах, в электронной медкарте или на сайте Фонда социального страхования.

**Дополнительная информация:**

* Приказ Минздрава России от 01.09.2020 № 925н ""Об утверждении формы листка нетрудоспособности, Порядка выдачи медицинскими организациями листков нетрудоспособности, а также Порядка формирования Фондом социального страхования Российской Федерации электронного листка нетрудоспособности и его передачи в единую государственную информационную систему социального страхования"": [неправильный URL удален]
* Фонд социального страхования Российской Федерации: [https://fss.ru/](https://fss.ru/)
* Госуслуги: [https://www.gosuslugi.ru/](https://www.gosuslugi.ru/)

",1
25,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ПО УХОДУ ЗА ВЗРОСЛЫМ БОЛЬНЫМ ЧЛЕНОМ СЕМЬИ ПРИ ЛЕЧЕНИИ В АМБУЛАТОРНЫХ УСЛОВИЯХ ВЫДАЁТСЯ (ФОРМИРУЕТСЯ) СРОКОМ НЕ БОЛЕЕ ЧЕМ НА ____ КАЛЕНДАРНЫХ ДНЕЙ:
А 20
Б 10
В 30
Г 7
",Г 7,"**Правильный ответ:** **В) 30**

**Обоснование:**

Согласно **Приказу Минздрава России от 1 сентября 2020 г. № 925н ""Об утверждении Порядка выдачи и оформления листков нетрудоспособности, включая листки нетрудоспособности в форме электронного документа""**:

* **Листок нетрудоспособности по уходу за больным членом семьи при лечении в амбулаторных условиях выдается (формируется) сроком не более чем на 30 календарных дней:**
    * **За одним больным членом семьи** (в том числе за ребенком в возрасте старше 15 лет) - **не более чем на 7 календарных дней**.
    * **За членом семьи, который в соответствии с медицинским заключением нуждается в постоянном постороннем уходе** (за исключением ухода за больным ребенком в возрасте до 15 лет) - **не более чем на 30 календарных дней**.

**Важно:**

* **При необходимости продления листка нетрудоспособности по уходу за больным членом семьи** его можно продлить **еще на 30 календарных дней** (в отдельных случаях - до 60 календарных дней) **по решению врачебной комиссии**.
* **В некоторых случаях** листок нетрудоспособности по уходу за больным членом семьи **может быть выдан на больший срок**. Например, **при уходе за больным ребенком-инвалидом**.

**Источники:**

* **Приказ Минздрава России от 1 сентября 2020 г. № 925н: [неправильный URL удален]**
* **Статья 6 ФЗ № 255-ФЗ ""Об обязательном социальном страховании на случай временной нетрудоспособности и в связи с материнством"": [неправильный URL удален]**

**Другие варианты ответа:**

* **А) 20:** Неверный ответ. Листок нетрудоспособности по уходу за больным членом семьи может быть выдан на срок до 30 календарных дней.
* **Б) 10:** Неверный ответ. Листок нетрудоспособности по уходу за больным членом семьи может быть выдан на срок до 30 календарных дней.
* **Г) 7:** Неверный ответ. Листок нетрудоспособности по уходу за больным членом семьи может быть выдан на срок до 30 календарных дней, за исключением случаев ухода за больным ребенком в возрасте до 15 лет.
",-1
26,"ДИАГНОЗ «ПЕРВИЧНЫЙ ГИПЕРАЛЬДОСТЕРОНИЗМ» СЧИТАЕТСЯ УСТАНОВЛЕННЫМ БЕЗ ПОДТВЕРЖДАЮЩЕГО ТЕСТИРОВАНИЯ В СЛУЧАЕ СОЧЕТАНИЯ:
А спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
Б спонтанной гиперкалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
В спонтанной гипокалиемии, уровня ренина или активности ренина плазмы выше референсных значений и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л)
Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)
","Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)","## **Правильный ответ: Г**

**Обоснование:**

Диагноз ""первичный гиперальдостеронизм"" (ПГА) считается установленным без подтверждающего тестирования только в случае **сочетания всех трех критериев**:

1. **Спонтанная гипокалиемия:** уровень калия в крови ниже 3,5 ммоль/л.
2. **Неопределяемый уровень ренина или активности ренина плазмы:** ренин – это гормон, который регулирует секрецию альдостерона. При ПГА уровень ренина обычно suppressed, поэтому его не удается определить стандартными методами.
3. **Плазменная концентрация альдостерона выше референсных значений:** альдостерон – это гормон, который регулирует баланс электролитов в организме. При ПГА его уровень повышен.

**Варианты А, Б и В не являются верными:**

* **Вариант А:** неверно, так как при ПГА наблюдается гипокалиемия, а не гиперкалиемия.
* **Вариант Б:** неверно, так как при ПГА уровень ренина не может быть выше референсных значений.
* **Вариант В:** неверно, так как для установления диагноза ПГА достаточно, чтобы уровень альдостерона был выше референсных значений, **не обязательно более 20 нг/дл (550 пмоль/л)**.

**Важно отметить, что:**

* У некоторых пациентов с ПГА может не быть гипокалиемии.
* Уровень ренина может быть не suppressed, если у пациента есть другие заболевания, которые влияют на его уровень.
* Для подтверждения диагноза ПГА могут быть назначены дополнительные тесты.

**Источники:**

* Первичный гиперальдостеронизм - Эндокринные и метаболические нарушения - Справочник MSD: [неправильный URL удален]
* Первичный гиперальдостеронизм: диагностика и лечение. Новый взгляд н: [https://www.endocrincentr.ru/sites/default/files/specialists/science/clinic-recomendations/pervichnyy_giperaldosteronizm_rae_2017g.pdf](https://www.endocrincentr.ru/sites/default/files/specialists/science/clinic-recomendations/pervichnyy_giperaldosteronizm_rae_2017g.pdf)

",1
27,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ:
А II; с высоким риском
Б II; независимо от степени риска
В I; с низким или средним риском
Г I; с высоким риском
",В I; с низким или средним риском,"## **Правильный ответ:** **В) I; с низким или средним риском**

**Обоснование:**

* **Монотерапия** антигипертензивными препаратами - это использование **одного** препарата для контроля артериального давления (АД).
* **Степень риска сердечно-сосудистых осложнений (ССО)** определяет, насколько высок риск развития инфаркта, инсульта, других заболеваний сердца и сосудов у пациента с гипертонической болезнью.
* **Пациенты с I степенью риска ССО** имеют **низкий или средний** риск развития осложнений.
* **При I степени риска** монотерапия может быть эффективной в **снижении АД** до целевого уровня (<140/90 мм рт.ст.).
* **При II степени риска** монотерапия **не рекомендуется**, так как требуется более  aggressive  снижение АД.
* **Пациенты с высоким риском ССО** (II-III степени) **не подходят** для монотерапии, им требуется **комбинация** нескольких антигипертензивных препаратов.

**Важно отметить:**

* Решение о назначении монотерапии или комбинированной терапии принимает **врач** на основании индивидуальных данных пациента, таких как:
    * Уровень АД
    * Степень риска ССО
    * Сопутствующие заболевания
    * Переносимость антигипертензивных препаратов
* **Не занимайтесь самолечением!** Подбор антигипертензивной терапии должен осуществляться только **врачом**.

**Дополнительные сведения:**

* Монотерапия артериальной гипертензии - OmniDoctor: [https://omnidoctor.ru/upload/iblock/ad4/ad4309a7e3941bb3353cc60045334b37.pdf](https://omnidoctor.ru/upload/iblock/ad4/ad4309a7e3941bb3353cc60045334b37.pdf)
* Рекомендации по лечению артериальной гипертензии - Российское общество кардиологов: [неправильный URL удален]
",1
