Вопрос,Ответ,Gemini,Результат
18,"К НАИБОЛЕЕ ЧАСТЫМ ОСЛОЖНЕНИЯМ, КОТОРЫЕ ВОЗНИКАЮТ ПРИ ПРИМЕНЕНИИ СТЕНТОВ БЕЗ ЛЕКАРСТВЕННОГО ПОКРЫТИЯ, ОТНОСЯТ
А различные аллергические реакции
Б синдром реперфузиии миокарда
В синдром слабости синусового узла
Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии",Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии ,"## **Наиболее частое осложнение при применении стентов без лекарственного покрытия:**

**Г) Рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии**

**Обоснование:**

* **Рестеноз:** Это повторное сужение коронарной артерии в месте установки стента. Это происходит из-за разрастания ткани стенки сосуда (неоинтимальная гиперплазия). Стенты без покрытия не подавляют рост этой ткани, что приводит к рестенозу в 20-40% случаев в течение 5 лет.
* **Поздние тромбозы:** Это образование тромба в стенте, что может привести к инфаркту миокарда. Стенты без покрытия не  elute антипролиферативные препараты, которые снижают риск тромбообразования. 

**Другие варианты ответа:**

* **А) Различные аллергические реакции:** Аллергические реакции на стенты встречаются редко.
* **Б) Синдром реперфузиии миокарда:** Это осложнение, которое может возникнуть после восстановления кровотока в ранее ишемизированной области миокарда.  Хотя стенты без покрытия могут играть роль в развитии синдрома реперфузии, это не является их основным осложнением.
* **В) Синдром слабости синусового узла:** Это осложнение, которое может привести к брадикардии (замедлению частоты сердечных сокращений).  Стенты без покрытия не связаны с синдромом слабости синусового узла.

**Вывод:**

**Рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии** -  это наиболее частые осложнения, которые возникают при применении стентов без лекарственного покрытия.

**Дополнительная информация:**

* Стенты с лекарственным покрытием (DES)  were developed to reduce the risk of restenosis and late thrombosis. 
* DES elute антипролиферативные препараты, которые подавляют рост neointimal tissue and reduce the risk of restenosis.
* DES also elute антитромбоцитарные препараты, которые снижают риск тромбообразования.
* DES  are associated with a lower risk of restenosis and late thrombosis than bare-metal stents.

**Источники:**

* National Library of Medicine: [https://www.ncbi.nlm.nih.gov/books/NBK544365/](https://www.ncbi.nlm.nih.gov/books/NBK544365/)
* Mayo Clinic: [неправильный URL удален]
",1
19,"ИНФАРКТ ПО РАСПРОСТРАНЕННОСТИ БЫВАЕТ
А белый с геморрагическим венчиком
Б микроскопический
В крупноочаговый
Г красный",В крупноочаговый ,"**Правильный ответ:** В) крупноочаговый

**Обоснование:**

* **Белый с геморрагическим венчиком:** Это описание инфаркта миокарда, а не его распространенности.
* **Микроскопический:** Это не самостоятельный тип инфаркта, а описание его размеров.
* **Красный:** Это описание цвета инфаркта, а не его распространенности.
* **Крупноочаговый:** Это тип инфаркта, который характеризуется поражением большой области ткани.

**Дополнительная информация:**

* Распространенность инфаркта обычно описывается как:
    * **Трансмуральный:** поражает всю толщину стенки органа.
    * **Субэндокардиальный:** поражает только внутреннюю часть стенки органа.
    * **Субэпикардиальный:** поражает только внешнюю часть стенки органа.
* Инфаркты могут быть острыми (недавними) или зажившими.
* Симптомы инфаркта могут варьироваться в зависимости от его типа, размера и расположения.

**Источники:**

* Инфаркт: [неправильный URL удален]
* Типы инфаркта: [неправильный URL удален]
",1
20,"ПРИ СИНДРОМЕ WPW C ПАРОКСИЗМОМ ФИБРИЛЛЯЦИЙ ПРЕДСЕРДИЙ С ЧАСТОТОЙ СЕРДЕЧНЫХ СОКРАЩЕНИЙ 250 В 1 МИНУТУ И АД 80/50 ММ РТ.СТ. НЕОБХОДИМО ВЫПОЛНИТЬ
А введение 50 мг аймалина
Б введение новокаинамида
В электроимпульсную терапию
Г введение 10 мг изоптина",В электроимпульсную терапию,"**Правильный ответ:** В. Электроимпульсная терапия.

**Обоснование:**

* **Синдром WPW** с пароксизмальной фибрилляцией предсердий (ФП) и ЧСС 250 в 1 минуту является **неотложным состоянием**, требующим **немедленного восстановления синусового ритма**.
* **Аймалин** и **изоптин** не являются препаратами выбора для купирования ФП с ЧСС 250 в 1 минуту.
* **Новокаинамид** может быть использован для купирования ФП, но его эффективность в данном случае **не гарантирована**, а **побочные эффекты** могут быть **опасны**.
* **Электроимпульсная терапия** является **наиболее эффективным и безопасным** методом купирования ФП с ЧСС 250 в 1 минуту.

**Дополнительные сведения:**

* **ЧСС 250 в 1 минуту** представляет собой **высокую частоту сердечных сокращений**, которая может привести к **серьезным осложнениям**, таким как **сердечная недостаточность** и **инсульт**.
* **Низкое АД (80/50 мм рт.ст.)** может быть следствием **фибрилляции предсердий** и **тахикардии**.
* **Электроимпульсная терапия** должна быть проведена **в условиях стационара** под наблюдением медицинского персонала.

**Рекомендации:**

* **Немедленно обратитесь за медицинской помощью**, если у вас наблюдаются симптомы синдрома WPW, такие как **пароксизмальная тахикардия**, **обморок** или **сердечная боль**.
* **Следуйте инструкциям врача** по поводу приема лекарств и других методов лечения.

**Источники:**

* [https://www.mayoclinic.org/diseases-conditions/wolff-parkinson-white-syndrome/symptoms-causes/syc-20354626](https://www.mayoclinic.org/diseases-conditions/wolff-parkinson-white-syndrome/symptoms-causes/syc-20354626)
* [https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B1%D1%80%D0%B8%D0%BB%D0%BB%D1%8F%D1%86%D0%B8%D1%8F_%D0%BF%D1%80%D0%B5%D0%B4%D1%81%D0%B5%D1%80%D0%B4%D0%B8%D0%B9](https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B1%D1%80%D0%B8%D0%BB%D0%BB%D1%8F%D1%86%D0%B8%D1%8F_%D0%BF%D1%80%D0%B5%D0%B4%D1%81%D0%B5%D1%80%D0%B4%D0%B8%D0%B9)
* [https://www.gosmed.ru/lechebnaya-deyatelnost/spravochnik-zabolevaniy/zabolevaniya-serdtsa-i-arteriy/narusheniya-ritma-aritmologiya/fibrillyatsiya-predserdiy/](https://www.gosmed.ru/lechebnaya-deyatelnost/spravochnik-zabolevaniy/zabolevaniya-serdtsa-i-arteriy/narusheniya-ritma-aritmologiya/fibrillyatsiya-predserdiy/)
",1
21,"ВНУТРИВЕННОЕ ВВЕДЕНИЕ ХЛОРИДА КАЛИЯ СПОСОБНО ВЫЗВАТЬ
А экстасистолию
Б гипертензию
В остановку сердца
Г гипотензию",В остановку сердца ,"## **Ответ:** В

**Обоснование:**

Внутривенное введение хлорида калия **способно вызвать остановку сердца**. Это происходит из-за того, что калий является важным электролитом, который играет ключевую роль в регуляции сердечного ритма.

**При слишком высоком уровне калия в крови (гиперкалиемии)**, который может развиться при быстром или чрезмерном введении хлорида калия, могут наблюдаться следующие симптомы:

* **Мышечная слабость**
* **Парестезии (покалывание, онемение)**
* **Замедление сердечного ритма (брадикардия)**
* **Нарушения проводимости сердца (блокады)**
* **Аритмии**
* **Остановка сердца**

**Другие варианты ответа не являются правильными:**

* **Экстасистолия** - это единичные внеочередные сокращения сердца, которые могут возникать при различных состояниях, в том числе при гиперкалиемии. Однако экстасистолия не является фатальным осложнением.
* **Гипертензия** - повышение артериального давления, не является типичным симптомом гиперкалиемии.
* **Гипотензия** - снижение артериального давления, может наблюдаться при гиперкалиемии, но не является ее основным осложнением.

**Важно отметить, что хлорид калия должен вводиться внутривенно медленно и под контролем уровня калия в крови.**

**Дополнительные сведения:**

* Хлорид калия - инструкция, цены, аналоги, как принимать — все про препарат: [https://compendium.com.ua/info/173451/kalija-khlorid/](https://compendium.com.ua/info/173451/kalija-khlorid/)
* Калий хлорид: показания к применению и противопоказания: [неправильный URL удален]
* Гиперкалиемия: причины, симптомы, лечение: [неправильный URL удален]
",1
22,"ВЫПОЛНЕНИЕ КАРДИОВЕРСИИ ПРИ ПАРОКСИЗМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ВОЗМОЖНО БЕЗ ПРОВЕДЕНИЯ ЧПЭХО ПРИ ВРЕМЕННОМ ИНТЕРВАЛЕ ОТ НАЧАЛА ПАРОКСИЗМА (В ЧАСАХ)
А 48
Б не более 24
В не более 72
Г не более 12",А 48,"**Правильный ответ:** **Б)** **не более 24**.

**Обоснование:**

* **48 часов:** Это время, в течение которого риск тромбообразования после кардиоверсии остается низким, и антикоагулянтная терапия не требуется. 
* **Не более 72 часов:** В некоторых случаях кардиоверсию можно провести без ЧПЭХО в течение 72 часов после начала пароксизма, но риск тромбообразования выше, чем при 48 часах, поэтому требуется антикоагулянтная терапия.
* **Не более 12 часов:** Это время, в течение которого кардиоверсию **рекомендуется** провести без ЧПЭХО, так как риск тромбообразования минимален.

**Рекомендации:**

* **ЧПЭХО (чреспищеводная эхокардиография)** рекомендуется перед кардиоверсией, если:
    * Пароксизм длится более 48 часов.
    * Пациент имеет высокий риск тромбообразования (например, при наличии искусственного клапана сердца).
    * В анамнезе есть инсульт или транзиторная ишемическая атака.

* **Антикоагулянтная терапия:**
    * Если кардиоверсия проводится в течение 48 часов после начала пароксизма, антикоагулянтная терапия не требуется.
    * Если кардиоверсия проводится в течение 48-72 часов после начала пароксизма, требуется антикоагулянтная терапия.
    * Если кардиоверсия проводится более чем через 72 часа после начала пароксизма, решение о необходимости антикоагулянтной терапии принимает врач.

**Важно:**

* Решение о проведении кардиоверсии и о необходимости ЧПЭХО принимает врач на основании индивидуальных данных пациента.
* Перед кардиоверсией необходимо провести тщательное обследование пациента.

**Источники:**

* [1] [неправильный URL удален]
* [2] [неправильный URL удален]
",-1
23,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А острый коронарный синдром
Б беременность
В паренхиматозное заболевание печени в анамнезе
Г повышение печеночных трансаминаз в 1,5 раза",Б беременность ,"## **Правильный ответ: Б) беременность.**

**Обоснование:**

* **Острый коронарный синдром:** Статины не являются противопоказанием при остром коронарном синдроме. На самом деле, их часто назначают в этой ситуации, так как они могут помочь снизить риск повторных сердечно-сосудистых событий.
* **Паренхиматозное заболевание печени в анамнезе:** Статины могут быть противопоказаны людям с **активным** паренхиматозным заболеванием печени. Однако, если заболевание находится в **ремиссии**, статины могут быть назначены с осторожностью.
* **Повышение печеночных трансаминаз в 1,5 раза:** Это может быть противопоказанием к назначению статинов, но решение о назначении/отмене должен принимать врач, оценивая все факторы риска и возможной пользы.

**Беременность:** Статины категорически **противопоказаны** при беременности, так как они могут проникать через плаценту и потенциально нанести вред плоду.

**Дополнительная информация:**

* Перед назначением статинов врач должен тщательно оценить все риски и преимущества их применения.
* Во время приема статинов необходимо регулярно контролировать функцию печени.
* Существуют различные статины, которые имеют разные профили безопасности и эффективности.

**Источники:**

* [https://www.10gkb.by/informatsiya/stati/statiny-pokazaniya-protivopokazaniya](https://www.10gkb.by/informatsiya/stati/statiny-pokazaniya-protivopokazaniya)
* [https://sgc-opeca.ru/chl/news/statiny-polza-i-vred/](https://sgc-opeca.ru/chl/news/statiny-polza-i-vred/)
",1
24,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А секвестрантов желчных кислот
Б ингибиторов PCSK9
В статинов
Г фибратов",Б ингибиторов PCSK9 ,"## **Ответ: Б) ингибиторов PCSK9**

**Обоснование:**

* **Секвестранты желчных кислот:** 
    * Не взаимодействуют напрямую с PCSK9.
    * Снижают уровень холестерина ЛПНП, но не так эффективно, как ингибиторы PCSK9.
* **Статины:**
    * Снижают уровень холестерина ЛПНП путем ингибирования синтеза холестерина.
    * Не влияют на PCSK9.
* **Фибраты:**
    * Снижают уровень триглицеридов и повышают уровень холестерина ЛПВП.
    * Не влияют на PCSK9.
* **Ингибиторы PCSK9:**
    * Моноклональные антитела, которые связываются с PCSK9 и блокируют его способность 
      уничтожать рецепторы ЛПНП.
    * Приводят к значительному снижению уровня холестерина ЛПНП (до 70%).
    * Используются в качестве **дополнительной терапии** у пациентов с 
      **высоким риском сердечно-сосудистых заболеваний**, которые не 
      достигают целевого уровня холестерина ЛПНП при приеме статинов и других 
      гиполипидемических препаратов.

**Таким образом, целевая терапия гиперлипидемий с использованием моноклональных 
антител имеет место при приеме ингибиторов PCSK9.**

**Дополнительные сведения:**

* Ингибиторы PCSK9: [неправильный URL удален]
* Моноклональные антитела: [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4434004/](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4434004/)

",1
25,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ МЕТОДОМ НЕМЕДИКАМЕНТОЗНОГО ПОВЫШЕНИЯ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ЯВЛЯЕТСЯ
А употребление продуктов богатых клетчаткой
Б физическая активность
В снижение избыточной массы тела
Г умеренное употребление алкоголя",Б физическая активность,"## Наиболее эффективный метод немедикаментозного повышения уровня липопротеидов высокой плотности (ЛПВП) в крови:

**Б) Физическая активность.**

**Обоснование:**

* **Многочисленные исследования** показали, что регулярные упражнения **повышают уровень ЛПВП** в крови.
* **Механизм действия:**
    * Увеличивает **активность фермента липопротеинлипазы**, который расщепляет липопротеины низкой плотности (ЛПНП) и **повышает уровень ЛПВП**.
    * **Стимулирует выработку апоА-I**, основного белка ЛПВП, который **способствует выведению холестерина из организма**.
* **Рекомендации:**
    * **Умеренные упражнения** (30-60 минут в день) **5 дней в неделю**.
    * **Кардио упражнения** (бег, плавание, езда на велосипеде) **наиболее эффективны**.
    * **Силовые упражнения** также **полезны**.

**Другие варианты ответа:**

* **А) Употребление продуктов богатых клетчаткой:**
    * **Может** **незначительно** повысить уровень ЛПВП.
    * **Не** является **наиболее эффективным** методом.
* **В) Снижение избыточной массы тела:**
    * **Может** **повысить уровень ЛПВП**.
    * **Не** является **наиболее** **специфичным** методом.
* **Г) Умеренное употребление алкоголя:**
    * **Может** **незначительно** **повысить** уровень ЛПВП.
    * **Не** рекомендуется **для** **повышения** ЛПВП.

**Вывод:**

**Физическая активность** является **наиболее** **эффективным** **и** **безопасным** **методом** **немедикаментозного** **повышения** **уровня** **ЛПВП** **в** **крови**.
",1
26,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ
А возраст
Б сахарный диабет 2 типа
В мужской пол
Г отягощённая наследственность",Б сахарный диабет 2 типа ,"## **Модифицируемым фактором риска развития атеросклероза является:**

**Б) Сахарный диабет 2 типа**

**Обоснование:**

**А) Возраст, В) Мужской пол, Г)отягощенная наследственность** - это **немодифицируемые факторы риска**. 

* **Возраст:** с возрастом риск развития атеросклероза увеличивается, но человек не может повлиять на этот фактор.
* **Мужской пол:** мужчины имеют более высокий риск развития атеросклероза, чем женщины, и это не зависит от их образа жизни.
* **Наследственность:** предрасположенность к атеросклерозу может передаваться по наследству, но человек не может изменить свою генетику.

**Сахарный диабет 2 типа** - это **модифицируемый фактор риска**. 

* **Человек может влиять на уровень сахара в крови** с помощью:
    * **Диеты:** употребление в пищу продуктов с низким гликемическим индексом, ограничение потребления простых углеводов.
    * **Физической активности:** регулярные упражнения помогают улучшить чувствительность к инсулину.
    * **Медикаментозного лечения:** при необходимости используются сахароснижающие препараты.

**Снижение уровня сахара в крови** может **снизить риск развития атеросклероза**.

**Другие модифицируемые факторы риска:**

* **Курение:** отказ от курения значительно снижает риск развития атеросклероза.
* **Гипертония:** контроль артериального давления является важным фактором профилактики атеросклероза.
* **Ожирение:** снижение веса тела helps reduce the risk of atherosclerosis.
* **Гиперлипидемия:** контроль уровня холестерина и липопротеинов в крови helps reduce the risk of atherosclerosis.

**Таким образом, сахарный диабет 2 типа является модифицируемым фактором риска развития атеросклероза.**
",1
27,"КОНСТРИКТИВНЫЙ ПЕРИКАРДИТ ХАРАКТЕРИЗУЕТСЯ
А увеличением объема циркулирующей крови
Б понижением уровня венозного давления
В артериальной гипертензией
Г малыми размерами сердца",Г малыми размерами сердца ,"## **Правильный ответ:** **Г** **малыми размерами сердца**.

**Обоснование:**

* **Увеличение объема циркулирующей крови (А)** не является характерным признаком констриктивного перикардита. Напротив, при данном заболевании наблюдается снижение объема циркулирующей крови due to impaired diastolic filling of the ventricles.
* **Понижение уровня венозного давления (Б)** также не является характерным признаком. При констриктивном перикардите наблюдается повышение венозного давления, что приводит к отекам ног, асциту и набуханию шейных вен.
* **Артериальная гипертензия (В)** может наблюдаться при констриктивном перикардите, но не является его обязательным признаком.

**Характерные признаки констриктивного перикардита:**

* **Малые размеры сердца:** из-за фиброзного утолщения перикарда сердце не может нормально растягиваться во время диастолы, что приводит к уменьшению его размеров.
* **Повышение венозного давления:** сдавление сердца перикардом приводит к застою крови в венах.
* **Гепатомегалия:** повышение давления в венах приводит к увеличению печени.
* **Асцит:** повышение давления в венах приводит к скоплению жидкости в брюшной полости.
* **Одышка:** из-за снижения функции сердца легкие не могут получить достаточно крови.
* **Утомляемость:** из-за снижения функции сердца организм не получает достаточно кислорода.

**Диагностика:**

* **Эхокардиография:** является наиболее информативным методом диагностики констриктивного перикардита.
* **Компьютерная томография (КТ):** может помочь в дифференциальной диагностике.
* **Магнитно-резонансная томография (МРТ):** может помочь в дифференциальной диагностике.

**Лечение:**

* **Перикардэктомия:** хирургическое удаление перикарда является наиболее эффективным методом лечения.
* **Медикаментозная терапия:** может использоваться для лечения симптомов, таких как одышка и отеки.

**Прогноз:**

* Прогноз при констриктивном перикардите зависит от тяжести заболевания и своевременности лечения.
* При своевременном лечении прогноз может быть благоприятным.
* При отсутствии лечения констриктивный перикардит может привести к летальному исходу.

**Источники:**

* [https://pubmed.ncbi.nlm.nih.gov/24633783/](https://pubmed.ncbi.nlm.nih.gov/24633783/)
* [https://www.ncbi.nlm.nih.gov/books/NBK459314/](https://www.ncbi.nlm.nih.gov/books/NBK459314/)
* [https://www.uptodate.com/contents/constrictive-pericarditis-diagnostic-evaluation](https://www.uptodate.com/contents/constrictive-pericarditis-diagnostic-evaluation)
",1
28,"СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ ПРИ ПЕРИКАРДИТАХ ИМЕЕТ ____ ХАРАКТЕР
А диастолический
Б неуточненный
В систолический
Г систоло-диастолический",А диастолический ,"## Правильный ответ: **Г) систоло-диастолический**

**Обоснование:**

При перикардитах могут развиваться как систолическая, так и диастолическая сердечная недостаточность, а также их сочетание.

**Систолическая сердечная недостаточность** при перикардитах возникает из-за:

* **Тампонады сердца:** скопление жидкости в перикардиальной сумке сдавливает сердце, 
* **Снижения сократительной функции миокарда:** воспалительный процесс может 
* **Нарушения расслабления миокарда:** воспаление перикарда 

**Диастолическая сердечная недостаточность** при перикардитах возникает из-за:

* **Снижения податливости миокарда:** воспалительный процесс 
* **Повышения давления в левом предсердии:** 

В зависимости от причины и тяжести перикардита может развиваться:

* **Изолированная систолическая сердечная недостаточность:** 
* **Изолированная диастолическая сердечная недостаточность:** 
* **Систоло-диастолическая сердечная недостаточность:** 

**Таким образом, при перикардитах сердечная недостаточность может иметь как систолический, так и диастолический характер, а также их сочетание.**

**Дополнительная информация:**

* Перикардит - Нарушения сердечно-сосудистой системы - Справочник MSD Профессиональная версия: [неправильный URL удален]
* Сердечная недостаточность - Википедия: [неправильный URL удален]

",-1
29,"ПОЯВЛЕНИЕ ШУМА ТРЕНИЯ ПЕРИКАРДА НА ТРЕТИЙ ДЕНЬ Q ИНФАРКТА МИОКАРДА СВЯЗАНО С
А развитием пневмонии в нижней доле левого легкого
Б синдромом Дресслера
В реактивным эпистенокардитическим перикардитом
Г разрывом межжелудочковой перегородки",В реактивным эпистенокардитическим перикардитом ,"## **Правильный ответ:** **Б.** Синдром Дресслера

**Обоснование:**

* **Шум трения перикарда** является характерным признаком **перикардита**. 
* **Синдром Дресслера** - это аутоиммунное осложнение, которое может развиваться **через 2-6 недель после инфаркта миокарда**. 
* Одним из основных проявлений синдрома Дресслера является **перикардит**, который сопровождается **шумом трения перикарда**.
* **Пневмония**, **реактивный эпистенокардитический перикардит** и **разрыв межжелудочковой перегородки** могут иметь место после инфаркта миокарда, но они **не** сопровождаются **шумом трения перикарда** на **третий день**.

**Другие варианты ответа:**

* **А.** **Развитие пневмонии в нижней доле левого легкого** может привести к **шуму трения плевры**, но не к **шуму трения перикарда**.
* **В.** **Реактивный эпистенокардитический перикардит** обычно **не** сопровождается **шумом трения перикарда**.
* **Г.** **Разрыв межжелудочковой перегородки** может привести к **шуму мельницы**, но не к **шуму трения перикарда**.

**Дополнительная информация:**

* **Шум трения перикарда** может быть **скребущим**, **царапающим** или **шуршащим**. 
* Он **усиливается** при **наклоне вперед** и **при надавливании на область сердца**.
* **Синдром Дресслера** также может сопровождаться **лихорадкой**, **болью в груди**, **одышкой** и **лейкоцитозом**.

**Важно:** 

* **Диагноз** должен быть поставлен **врачом** на основании **анамнеза**, **физического осмотра** и **инструментальных исследований**.
* **При появлении** **шума трения перикарда** после инфаркта миокарда необходимо **немедленно обратиться к врачу**.
",-1
30,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ МЕНЕЕ 150 М СООТВЕТСТВУЕТ ____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А I
Б III
В II
Г IV",Г IV,"## **Ответ: Г) IV**

**Обоснование:**

* **Функциональный класс (ФК) ХСН** – это общепринятая система оценки тяжести заболевания, которая основана на степени ограничения физической работоспособности пациента.
* **Тест 6-минутной ходьбы (ТШХ)** – это простой и надежный метод оценки ФК ХСН. 
* **Дистанция, пройденная за 6 минут**, является ключевым показателем ТШХ. 
* **Согласно общепринятой классификации:**
    * **ФК I:** > 550 метров
    * **ФК II:** 300-550 метров
    * **ФК III:** 150-300 метров
    * **ФК IV:** < 150 метров

**Таким образом, дистанция 6-минутной ходьбы менее 150 метров соответствует IV функциональному классу ХСН.**

**Дополнительная информация:**

* **ТШХ** используется не только для оценки ФК ХСН, но и для:
    * Мониторинга эффективности лечения
    * Прогнозирования риска смерти и госпитализации
    * Определения показаний к трансплантации сердца

**Источники:**

* [https://minzdrav29.ru/health/normativnye-pravovye-dokumenty/klinical_protokols/%D0%9A%D0%A0157.pdf](https://minzdrav29.ru/health/normativnye-pravovye-dokumenty/klinical_protokols/%D0%9A%D0%A0157.pdf)
* [https://cyberleninka.ru/article/n/rol-testa-s-6-minutnoy-hodboy-v-vedenii-bolnyh-s-bronholegochnymi-zabolevaniyami](https://cyberleninka.ru/article/n/rol-testa-s-6-minutnoy-hodboy-v-vedenii-bolnyh-s-bronholegochnymi-zabolevaniyami)
",1
31,"СИМПТОМЫ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ОТМЕЧАЮТСЯ В ПОКОЕ И РЕЗКО ВОЗРАСТАЮТ ПРИ МИНИМАЛЬНОЙ ФИЗИЧЕСКОЙ АКТИВНОСТИ ПРИ ___ ФУНКЦИОНАЛЬНОМ КЛАССЕ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А IV
Б I
В III
Г II",А IV ,"Правильный ответ: **А) IV**.

**Обоснование:**

* **Функциональные классы ХСН:**
    * **I:** Симптомы отсутствуют в покое и при обычной физической активности.
    * **II:** Симптомы отсутствуют в покое, но появляются при обычной физической активности.
    * **III:** Симптомы появляются при незначительной физической активности.
    * **IV:** Симптомы отмечаются в покое и резко возрастают при минимальной физической активности.

В данном случае симптомы **отмечаются в покое и резко возрастают при минимальной физической активности**, что соответствует **IV функциональному классу ХСН**.

**Дополнительная информация:**

* Функциональные классы ХСН используются для оценки тяжести заболевания и определения прогноза.
* Чем выше функциональный класс, тем тяжелее ХСН и хуже прогноз.
* Пациенты с IV ФК ХСН имеют наибольший риск госпитализации и смерти.

**Источники:**

* [https://helix.ru/kb/item/1032](https://helix.ru/kb/item/1032)
* [https://compendium.com.ua/clinical-guidelines/cardiology/section-15/glava-1-klassifikatsiya-zabolevanij-serdechno-sosudistoj-sistemy/7-klassifikatsiya-hsn/](https://compendium.com.ua/clinical-guidelines/cardiology/section-15/glava-1-klassifikatsiya-zabolevanij-serdechno-sosudistoj-sistemy/7-klassifikatsiya-hsn/)
",1
32,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ
А пороках со сбросом крови справа-налево
Б тромбоэмболии легочной артерии
В пороках со сбросом крови слева-направо
Г хронической обструктивной болезни легких",Б тромбоэмболии легочной артерии,"## **Ответ:** Б) тромбоэмболии легочной артерии

**Обоснование:**

Перфузионная сцинтиграфия легких использует радиоактивные изотопы для оценки легочного кровотока. При тромбоэмболии легочной артерии (ТЭЛА) происходит закупорка легочной артерии или ее ветвей, что приводит к нарушению кровоснабжения соответствующего участка легкого.

**На сцинтиграмме это проявляется:**

* **Дефектом перфузии:** область легкого, снабжаемая тромбированной артерией, не получает радиоактивный препарат, и на сцинтиграмме будет видна ""темная"" область.
* **Снижением легочного кровотока:** в целом по affected lung.

**Перфузионная сцинтиграфия является наиболее информативным методом диагностики ТЭЛА:**

* **Высокая чувствительность:** 90-95%
* **Специфичность:** 80-90%
* **Неинвазивность:** не требуется катетеризация сердца или легочной артерии
* **Быстрое выполнение:** 10-15 минут
* **Доступность:** широко распространенный метод

**Другие варианты ответа не являются правильными:**

* **А) Пороки со сбросом крови справа-налево:** при этих пороках происходит сброс крови из венозного русла в артериальное, что не влияет на легочный кровоток.
* **В) Пороки со сбросом крови слева-направо:** при этих пороках происходит сброс крови из артериального русла в венозное, что также не влияет на легочный кровоток.
* **Г) Хроническая обструктивная болезнь легких (ХОБЛ):** при ХОБЛ происходит нарушение вентиляции легких, но кровоток обычно не страдает.

**Таким образом, перфузионная сцинтиграфия легких является наиболее информативным методом диагностики тромбоэмболии легочной артерии.**

**Дополнительные сведения:**

* Перфузионная сцинтиграфия легких: [неправильный URL удален]
* Тромбоэмболия легочной артерии: [неправильный URL удален]
",1
