Вопрос,Ответ
16,"РАЗМЕР ЛЕВОГО ПРЕДСЕРДИЯ В ПАРАСТЕРНАЛЬНОЙ ПОЗИЦИИ У ВЗРОСЛЫХ НА ЭХОКАРДИОГРАММЕ В НОРМЕ СОСТАВЛЯЕТ (В ММ)
А	35-37
Б	50
В	не более 40
Г	45-46",В	не более 40
17,"РАННИМ ЭКГ-ПРИЗНАКОМ ГИПЕРКАЛИЕМИИ ЯВЛЯЕТСЯ
А	сглаженный зубец Т
Б	уширение комплекса QRS
В	укороченный интервал PQ
Г	высокий остроконечный зубец Т",Г	высокий остроконечный зубец Т
18,"К УЗИ-ПРИЗНАКАМ СТЕНОЗА МИТРАЛЬНОГО ОТВЕРСТИЯ ОТНОСЯТ
А	движение створок митрального клапана в противофазе
Б	провисание створок митрального клапана в полость левого предсердия
В	утолщение створок митрального клапана
Г	увеличение амплитуды движения створок митрального клапана",В	утолщение створок митрального клапана
19,"НЕСТАБИЛЬНАЯ СТЕНОКАРДИЯ ПРОГНОСТИЧЕСКИ НЕБЛАГОПРИЯТНА В ПЛАНЕ РАЗВИТИЯ
А	венозной недостаточности
Б	тромбоэмболии мозговых сосудов
В	инфаркта миокарда
Г	легочной гипертензии",В	инфаркта миокарда
20,"ДЛЯ УСТРАНЕНИЯ БОЛЕВОГО СИНДРОМА НА ФОНЕ ИНФАРКТА МИОКАРДА ПРИМЕНЯЮТ
А	парацетамол
Б	кеторолак
В	морфин
Г	пропофол",В	морфин
21,"ПРИ СТЕНОКАРДИИ НАИБОЛЕЕ ХАРАКТЕРНА ЛОКАЛИЗАЦИЯ БОЛИ
А        за грудиной
Б        в проекции аортального клапана
В        в эпигастральной области
Г        в области верхушечного толчка",А        за грудиной
22,"ТИПИЧНЫМ РЕНТГЕНОЛОГИЧЕСКИМ ПРИЗНАКОМ ДКМП ЯВЛЯЕТСЯ
А	выпот в полости перикарда
Б	расширение сосудистого пучка
В	кардиомегалия
Г	уменьшение кардиоторакального индекса",В	кардиомегалия
23,"САМОЙ ЧАСТОЙ ПРИЧИНОЙ ЛЕГОЧНОГО СЕРДЦА СЧИТАЮТ
А	поражения сосудов легких
Б	интерстициальные заболевания легких
В	выраженную деформацию грудной клетки
Г	хроническую обструктивную болезнь легких",Г	хроническую обструктивную болезнь легких
24,"ПРИЗНАКОМ ОСТРОГО ЛЕГОЧНОГО СЕРДЦА НА ЭКГ ЯВЛЯЕТСЯ
А	возникновение блокады левой ножки пучка Гиса
Б	синдром QIII SI
В	смещение переходной зоны влево
Г	появление высоких зубцов Т в отведениях V1-4",Б	синдром QIII SI
25,"СТАДИЕЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ У ПАЦИЕНТА В ПОЛОЖЕНИИ ОРТОПНОЭ, ИМЕЮЩЕГО ОДЫШКУ, АКРОЦИАНОЗ, НАБУХАНИЕ ШЕЙНЫХ ВЕН, АСЦИТ, СЧИТАЮТ
А        2Б
Б        2А
В        3
Г        1",А        2Б
26,"БОЛИ В ГРУДНОЙ КЛЕТКЕ, РАЗВИВШИЕСЯ НА ФОНЕ ВНЕЗАПНО ПОЯВИВШЕЙСЯ ОДЫШКИ, НАИБОЛЕЕ ХАРАКТЕРНЫ ДЛЯ
А	расслаивающей аневризмы аорты
Б	тромбоэмболии лёгочной артерии
В	острого перикардита
Г	грыжи пищеводного отверстия диафрагмы",Б	тромбоэмболии лёгочной артерии
27,"ЭЛЕКТРОКАРДИОГРАФИЧЕСКИЕ ИЗМЕНЕНИЯ ПРИ ГКМП ТРЕБУЮТ ДИФФЕРЕНЦИАЛЬНОЙ ДИАГНОСТИКИ С
А        перикардитом
Б        вторичной артериальной гипертензией
В        сердечной недостаточностью
Г        инфарктом миокарда",Г        инфарктом миокарда
28,"МИОКАРДИТ ЧАЩЕ ВСЕГО РАЗВИВАЕТСЯ В _______ ИНФЕКЦИОННОГО ЗАБОЛЕВАНИЯ
А	последние дни после стихания
Б	фазе ранней реконвалесценции
В	фазе поздней реконвалесценции (3 неделя и позже)
Г	первые дни на высоте лихорадочного периода",Б	фазе ранней реконвалесценции
29,"ДИАГНОЗ «МИОКАРДИТ» ДОСТОВЕРНО МОЖНО ПОСТАВИТЬ ПО ХАРАКТЕРНЫМ РЕЗУЛЬТАТАМ
А	сцинтиграфии миокарда
Б	эхокардиографии
В	ЭКГ
Г	биопсии миокарда",Г	биопсии миокарда
30,"К НАИБОЛЕЕ ЧАСТЫМ ПРИЧИНАМ СМЕРТИ ПРИ ПОДОСТРОМ ИНФЕКЦИОННОМ ЭНДОКАРДИТЕ ОТНОСЯТ
А	сердечную недостаточность
Б	печеночную недостаточность
В	абсцессы миокарда
Г	разрывы клапанов сердца",А	сердечную недостаточность
31,"ЧАЩЕ ВСЕГО ПРИ ИНФЕКЦИОННОМ ЭНДОКАРДИТЕ ПОРАЖАЕТСЯ КЛАПАН
А	аортальный
Б	пульмональный
В	митральный
Г	трикуспидальный",А	аортальный
32,"ОСОБЕННОСТЬЮ ИНФЕКЦИОННОГО ЭНДОКАРДИТА У БОЛЬНЫХ С ТЕРМИНАЛЬНОЙ ХПН НА РЕГУЛЯРНОМ ГЕМОДИАЛИЗЕ ЯВЛЯЕТСЯ
А	преобладание тромбоэмболии по большому кругу, инфарктов почки, селезёнки
Б	отсутствие анемии
В	более частое поражение трёхстворчатого клапана или клапана лёгочной артерии
Г	преимущественно хороший ответ на антибактериальную терапию",В	более частое поражение трёхстворчатого клапана или клапана лёгочной артерии
33,"АБСОЛЮТНЫМ ПОКАЗАНИЕМ К ЭКСТРЕННОЙ ЭЛЕКТРОИМПУЛЬСНОЙ ТЕРАПИИ ЯВЛЯЕТСЯ
А	фибрилляция желудочков
Б	наджелудочковая тахикардия
В	частая предсердная экстрасистолия
Г	частая желудочковая экстрасистолия",А	фибрилляция желудочков
34,"ПРИ ВОЗНИКНОВЕНИИ ТРОМБОТИЧЕСКОГО СОБЫТИЯ НА ФОНЕ ПРИЕМА АНТИКОАГУЛЯНТА НЕОБХОДИМО
А	оценить и исключить причины тромбообразования
Б	заменить антикоагулянт на иной
В	дополнить терапию еще одним антикоагулянтом
Г	добавить к терапии антиагрегант",А	оценить и исключить причины тромбообразования
35,"ВЕРОЯТНОСТЬ ВОЗНИКНОВЕНИЯ АРИТМОГЕННОГО ЭФФЕКТА ПРИ НАЗНАЧЕНИИ АНТИАРИТМИЧЕСКИХ ПРЕПАРАТОВ БОЛЕЕ ВЫСОКА У БОЛЬНЫХ С
А	наджелудочковой экстрасистолией
Б	желудочковой экстрасистолией
В	тяжелым поражением миокарда
Г	наджелудочковыми аритмиями",В	тяжелым поражением миокарда
36,"К ДИУРЕТИКАМ, ПРЕДПОЧТИТЕЛЬНЫМ ДЛЯ СТАРТА МОЧЕГОННОЙ ТЕРАПИИ ПРИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ, ОТНОСЯТ
А	осмотические
Б	тиазидные
В	тиазидоподобные
Г	петлевые",Г	петлевые
37,"К ОСНОВНОЙ ПРИЧИНЕ РАЗВИТИЯ СИСТОЛИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ В НАСТОЯЩЕЕ ВРЕМЯ ОТНОСЯТ
А        ишемическую болезнь сердца
Б        приобретенные пороки сердца
В        врожденные пороки сердца
Г        кардиомиопатии",А	ишемическую болезнь сердца
38,"МАКСИМАЛЬНАЯ СУТОЧНАЯ ДОЗА ФУРОСЕМИДА У БОЛЬНЫХ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ДОСТИГАЕТ (В МГ)
А	600
Б	100
В	200
Г	300",А	600
39,"ПРИ ЗАПОЛНЕНИИ РАЗДЕЛА ЛИСТКА НЕТРУДОСПОСОБНОСТИ «ЗАПОЛНЯЕТСЯ ВРАЧОМ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ» СТРОКИ ЛИСТКА НЕТРУДОСПОСОБНОСТИ «МЕСТО РАБОТЫ - НАИМЕНОВАНИЕ ОРГАНИЗАЦИИ», «ОСНОВНОЕ», «ПО СОВМЕСТИТЕЛЬСТВУ №»
А	заполняются со слов гражданина
Б	заполняются работодателем
В	не заполняются
Г	заполняются на основании памятки, выданной работодателем, с указанием правильного названия организации",В	не заполняются
40,"ПРИ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ВЫРАЖЕННЫЕ НАРУШЕНИЯ ФУНКЦИИ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ: ХРОНИЧЕСКАЯ СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ IIБ СТАДИИ, ИМЕЕТ КОЛИЧЕСТВЕННУЮ ОЦЕНКУ НАРУШЕНИЙ (В ПРОЦЕНТАХ)
А	90-100
Б	40-60
В	70-80
Г	10-30","В	70-80
"
41,"В ПЕРЕЧЕНЬ ОСНОВНЫХ МЕДИЦИНСКИХ ОБСЛЕДОВАНИЙ, НЕОБХОДИМЫХ ДЛЯ ПОЛУЧЕНИЯ КЛИНИКО-ФУНКЦИОНАЛЬНЫХ ДАННЫХ В ЦЕЛЯХ ПРОВЕДЕНИЯ МЕДИКО-СОЦИАЛЬНОЙ ЭКСПЕРТИЗЫ У ПАЦИЕНТОВ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ, ВКЛЮЧЕНО УЛЬТРАЗВУКОВОЕ ИССЛЕДОВАНИЕ
А	дуги аорты
Б	органов брюшной полости
В	почечных артерий
Г	сосудов нижних конечностей",Б	органов брюшной полости
42,"К КРАТКОСРОЧНЫМ ЗАДАЧАМ КАРДИОРЕАБИЛИТАЦИИ ОТНОСЯТ
А	стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
Б	выявление и устранение факторов риска
В	снижение заболеваемости и смертности
Г	стабилизацию или предотвращение прогрессирования атеросклеротического процесса",А        стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
43,"К ОСНОВНЫМ ВИДАМ ФИЗИЧЕСКОЙ НАГРУЗКИ, ПРИМЕНЯЮЩИМСЯ НА САНАТОРНОМ ЭТАПЕ РЕАБИЛИТАЦИИ БОЛЬНЫХ, ПЕРЕНЕСШИХ ИНФАРКТ МИОКАРДА, ОТНОСЯТ
А	дозированную тренировочную ходьбу
Б	трудотерапию
В	подвижные игры
Г	силовые упражнения",А	дозированную тренировочную ходьбу
44,"К ПОКАЗАНИЯМ ДЛЯ БОЛЬНЫХ СТЕНОКАРДИЕЙ IV ФУНКЦИОНАЛЬНОГО КЛАССА ОТНОСЯТ
А	игровые виды спорта
Б	минимальные физические нагрузки в виде дыхательных упражнений и ходьбы
В	плавание
Г	бег на ускорение",Б	минимальные физические нагрузки в виде дыхательных упражнений и ходьбы
45,"ПАЦИЕНТУ 77 ЛЕТ С УМЕРЕННО ТЯЖЕЛЫМ СТЕНОЗОМ АОРТАЛЬНОГО КЛАПАНА И ПАРОКСИЗМАЛЬНОЙ ФОРМОЙ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ С РАЗВИТИЕМ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ НА УРОВНЕ 2 ФУНКЦИОНАЛЬНОГО КЛАССА ПОКАЗАНА АНТИТРОМБОТИЧЕСКАЯ ТЕРАПИЯ
А	только антагонистами витамина К
Б	новыми пероральными антикоагулянтами или антагонистами витамина К
В	комбинацией дипиридамола и ацетилсалициловой кислоты
Г	комбинацией клопидогрела и ацетилсалициловой кислотой",Б	новыми пероральными антикоагулянтами или антагонистами витамина К
46,"В КАЧЕСТВЕ НАЧАЛЬНОЙ ТЕРАПИИ АНТИКОАГУЛЯНТОМ У БОЛЬНЫХ С ОСТРЫМИ ВЕНОЗНЫМИ ТРОМБОЭМБОЛИЯМИ (ТРОМБОЗ ГЛУБОКИХ ВЕН ИЛИ ЭМБОЛИЯ ЛЕГОЧНОЙ АРТЕРИИ) МОЖНО ПРИМЕНЯТЬ
А        варфарин
Б        ривароксабан
В        дабигатран
Г        апиксабан",Б	ривароксабан
47,"AЦЕТАЗОЛАМИД ОКАЗЫВАЕТ ДЕЙСТВИЕ В ПОЧЕЧНЫХ НЕФРОНАХ
А	восходящей части петли Генле
Б	дистального извитого канальца
В	собирательных трубочек
Г	проксимального извитого канальца",Г	проксимального извитого канальца
48,"НЕГАТИВНОЕ ВЛИЯНИЕ НА ЛИПИДНЫЙ ПРОФИЛЬ ОТСУТСТВУЕТ ПРИ ЛЕЧЕНИИ
А	β-адреноблокаторами
Б	кортикостероидами
В	тиазидовыми диуретиками
Г	ингибиторами АПФ",Г	ингибиторами АПФ
49,"ПОВЫШЕНИЮ СОДЕРЖАНИЯ ЛИПОПРОТЕИДОВ НИЗКОЙ ПЛОТНОСТИ В КРОВИ СПОСОБСТВУЕТ ЧРЕЗМЕРНОЕ ПОТРЕБЛЕНИЕ С ПИЩЕЙ
А	сложных углеводов
Б	насыщенных жирных кислот
В	полиненасыщенных жирных кислот
Г	мононенасыщенных жирных кислот",Б	насыщенных жирных кислот
50,"ВЫСОКИЙ УРОВЕНЬ ТРИГЛИЦЕРИДОВ В КРОВИ СПОСОБСТВУЕТ
А        повышению уровня липопротеидов (а)
Б        снижению липопротеидов высокой плотности
В        повышению липопротеидов низкой плотности
Г        повышению уровня липопротеидов высокой плотности",Б	снижению липопротеидов высокой плотности
51,"ТРАНСПОРТНОЙ ФОРМОЙ ЭКЗОГЕННЫХ ТРИГЛИЦЕРИДОВ ЯВЛЯЮТСЯ
А	липопротеиды очень низкой плотности
Б	липопротеиды высокой плотности
В	хиломикроны
Г	липопротеиды низкой плотности",В	хиломикроны
52,"РАННЕЕ РАЗВИТИЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА, СОСУДИСТЫЕ ТРОМБОЗЫ И ПРИВЫЧНОЕ НЕВЫНАШИВАНИЕ БЕРЕМЕННОСТИ НАБЛЮДАЕТСЯ ПРИ ВЫСОКОМ СОДЕРЖАНИИ В КРОВИ
А	липопротеидов низкой плотности
Б	гомоцистеина
В	липопротеида (а)
Г	высокочувствительного С-реактивного белка",Б	гомоцистеина
53,"КАКАЯ ПАТОЛОГИЯ ОТМЕЧАЕТСЯ НА ЭКГ БОЛЬНОГО, ЕСЛИ В ОТВЕДЕНИЯХ I, АVL, V5-6 УКОРОЧЕН PQ, ИМЕЕТСЯ ДЕЛЬТА-ВОЛНА, УШИРЕННЫЙ КОМПЛЕКС QRS С ВЫСОКИМ ЗУБЦОМ R?
А	очаговые изменения нижней локализации с нарушением атриовентрикулярной и внутрижелудочковой проводимости
Б	синдром ранней желудочковой реполяризации
В	феномен WPW
Г	наличие дополнительных проводящих путей с замедлением атрио-вентрикулярной проводимости",В	феномен WPW
54,"МЕТОД СУТОЧНОГО (ХОЛТЕРОВСКОГО) МОНИТОРИРОВАНИЯ ЭЛЕКТРОКАРДИОГРАММЫ ИМЕЕТ ПРЕИМУЩЕСТВА В ДИАГНОСТИКЕ
А	рубцовых изменений миокарда
Б	гипертрофии миокарда левого и правого желудочков
В	гипертрофии правого желудочка
Г	преходящих нарушений ритма",Г	преходящих нарушений ритма
55,"ПРИ КАКОЙ ФОРМЕ АРИТМИИ ПУТИ РИЭНТРИ ЛОКАЛИЗУЮТСЯ В АТРИОВЕНТРИКУЛЯРНОМ УЗЛЕ?
А        фибрилляции предсердий
Б        предсердной тахикардии
В        атриовентрикулярной тахикардии с участием дополнительных путей проведения (Синдром Вольфа-Паркинсона-Уайта)
Г        атриовентрикулярной узловой тахикардии",Г	атриовентрикулярной узловой тахикардии
56,"НА БЛОКАДУ ЗАДНЕЙ ВЕТВИ ЛЕВОЙ НОЖКИ ПУЧКА ГИСА С НАИБОЛЬШЕЙ ВЕРОЯТНОСТЬЮ МОЖЕТ УКАЗЫВАТЬ УГОЛ АЛЬФА, РАВНЫЙ _____ (В ГРАДУСАХ)
А	+120
Б	-15 – -30
В	более -45
Г	+90 – +100",А	+120
57,"НАИБОЛЕЕ ЧАСТЫМ ПРИЗНАКОМ ГИДРОПЕРИКАРДА НА ЭЛЕКТРОКАРДИОГРАММЕ ЯВЛЯЕТСЯ
А	удлинение интервала QT более 500 мсек
Б	элевация сегмента ST более 3 мм
В	патологический зубец Q в II, III,AVF отведениях
Г	снижение вольтажа QRS",Г	снижение вольтажа QRS
58,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ КОНСТРИКТИВНОГО ПЕРИКАРДИТА ЯВЛЯЮТСЯ
А	операции на сердце
Б	уремия
В	туберкулез
Г	коллагенозы",В	туберкулез
59,"ТАМПОНАДА СЕРДЦА НАЧИНАЕТСЯ, КОГДА ДАВЛЕНИЕ В ПОЛОСТИ ПЕРИКАРДА ПРЕВЫШАЕТ
А	давление в правом предсердии
Б	давление в левом предсердии
В	конечно-диастолическое давление в левом желудочке
Г	конечно-диастолическое давление в правом желудочке",А	давление в правом предсердии
60,"ПРИ ОСТРОМ ИНФАРКТЕ МИОКАРДА С НАРУШЕНИЕМ РИТМА ГЛАВНОЙ ПРИЧИНОЙ ЦЕРЕБРАЛЬНОЙ ИШЕМИИ ЯВЛЯЕТСЯ
А	ухудшение реологических свойств крови
Б	повышение агрегации форменных элементов крови
В	повышение активности свертывающей системы
Г	снижение системного перфузионного давления",Г	снижение системного перфузионного давления
61,"ПРЕПАРАТАМИ, ПРОТИВОПОКАЗАНЫМИ ПРИ ПАРОКСИЗМАХ ФИБРИЛЛЯЦИИ И ТРЕПЕТАНИИ ПРЕДСЕРДИЙ У БОЛЬНЫХ С СИНДРОМОМ WPW ЯВЛЯЮТСЯ
А	ритмилен, аймалин
Б	новокаинамид, верапамил
В	аймалин, дигоксин
Г	верапамил, дигоксин","Г	верапамил, дигоксин"
62,"ПОКАЗАТЕЛЕМ, СВИДЕТЕЛЬСТВУЮЩИМ О НАЛИЧИИ ПОВЫШЕННОГО РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С СИНДРОМОМ СЛАБОСТИ СИНУСОВОГО УЗЛА, ЯВЛЯЕТСЯ
А	QRS более 0,14 с
Б	возникновение обморока
В	появление пароксизмальной наджелудочковой тахикардии
Г	брадикардия (ЧСС менее 50 в 1 мин)",Б	возникновение обморока
63,"НАИБОЛЕЕ ЧАСТО ВСТРЕЧАЕТСЯ _________ ИЗОЛИРОВАННЫЙ СТЕНОЗ ЛЕГОЧНОЙ АРТЕРИИ
А	надклапанный
Б	клапанный
В	подклапанный
Г	комбинированный",Б	клапанный
64,"ПРЕИМУЩЕСТВЕННО ВРОЖДЕННЫЙ ХАРАКТЕР ИМЕЕТ СТЕНОЗ
А	аорты
Б	правого а-v отверстия
В	левого a-v отверстия
Г	легочной артерии",Г	легочной артерии
65,"ИССЛЕДОВАНИЕМ ДЛЯ ОЦЕНКИ СТЕПЕНИ ТЯЖЕСТИ АОРТАЛЬНОГО СТЕНОЗА ПРИ ЕГО ВЫРАЖЕННОМ КАЛЬЦИНОЗЕ ЯВЛЯЕТСЯ
А	рентгенография
Б	эхокардиография
В	спиральная компьютерная томография
Г	магнитно-резонансная томография",Б	эхокардиография
66,"ШУМ ФЛИНТА ВЫСЛУШИВАЕТСЯ ПРИ
А	аортальной недостаточности
Б	недостаточности трикуспидального клапана
В	аортальном стенозе
Г	митральном стенозе",А	аортальной недостаточности
67,"ПОСЛЕ ТРАНСКАТЕТЕРНОЙ ИМПЛАНТАЦИИ АОРТАЛЬНОГО КЛАПАНА НЕОБХОДИМО ПРИНИМАТЬ
А	аспирин – пожизненно, клопидогрел – 3 месяца
Б	клопидогрел – пожизненно, аспирин – 3 месяца
В	аспирин и клопидогрел – 3 месяца
Г	аспирин и клопидогрел - пожизненно","А	аспирин – пожизненно, клопидогрел – 3 месяца"
68,"К ТРЕТЬЕМУ ТИПУ АТРЕЗИИ ЛЕГОЧНОЙ АРТЕРИИ ОТНОСЯТ АТРЕЗИЮ
А        ствола и одной из ветвей легочной артерии
Б        клапана легочной артерии
В        ствола и обеих ветвей легочной артерии
Г        клапана и ствола легочной артерии",А	ствола и одной из ветвей легочной артерии
69,"БОЛЬШИНСТВО БОЛЬНЫХ С КЛАПАННЫМ АОРТАЛЬНЫМ СТЕНОЗОМ УМИРАЕТ
А	в течение 4-5 лет от момента возникновения порока
Б	в течение 4-5 лет с момента возникновения синкопов, болей в области сердца, одышки и сердечной недостаточности
В	от инфаркта миокарда
Г	от инфекционного эндокардита","Б	в течение 4-5 лет с момента возникновения синкопов, болей в области сердца, одышки и сердечной недостаточности"
70,"НАИБОЛЕЕ ДОСТОВЕРНЫМ ПРИЗНАКОМ ЭФФЕКТИВНОСТИ НАРУЖНОГО МАССАЖА СЕРДЦА ЯВЛЯЕТСЯ
А	появление пульса на сонной артерии
Б	сужение зрачков
В	наличие трупных пятен
Г	уменьшение цианоза кожи",А	появление пульса на сонной артерии
71,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ КЛИНИЧЕСКИМ ПРИЗНАКОМ ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А	отёки на нижних конечностях
Б	тахикардия
В	ортопноэ
Г	кровохарканье",В	ортопноэ
