Вопрос,Ответ
10,"ПОЗДНИЙ ПРОТЕЗНЫЙ ИНФЕКЦИОННЫЙ ЭНДОКАРДИТ РАЗВИВАЕТСЯ ПОСЛЕ ___ МЕСЯЦЕВ ПОСЛЕ ОПЕРАЦИИ НА КЛАПАНАХ
А 6
Б 9
В12
Г 3",В 12
11,"В РОССИИ ОСНОВНЫМИ ПРИЧИНАМИ СМЕРТИ ЯВЛЯЮТСЯ
А новообразования, заболевания ЖКТ, патология опорно-двигательного аппарата
Б болезни органов дыхания, внешние причины, заболевания ЖКТ
В болезни системы кровообращения, инфекционные заболевания, болезни органов дыхания
Г болезни системы кровообращения, новообразования, внешние причины","Г болезни системы кровообращения, новообразования, внешние причины "
12,"ЕСЛИ ГРАЖДАНИН СТРАДАЕТ ЗАБОЛЕВАНИЕМ, ПРЕДСТАВЛЯЮЩИМ ОПАСНОСТЬ ДЛЯ ОКРУЖАЮЩИХ, ТО МЕДИЦИНСКОЕ ВМЕШАТЕЛЬСТВО ДОПУСКАЕТСЯ
А без согласия гражданина
Б по приказу главного врача
В с устного согласия гражданина или родственников
Г по письменному согласию гражданина или его законного представителя",А без согласия гражданина
13,"БАЗОВАЯ ПРОГРАММА ОМС
А включает программу государственных гарантий
Б является частью программы государственных гарантий
В является частью территориальной программы государственных гарантий
Г включает территориальную программу государственных гарантий",Б является частью программы государственных гарантий
14,"В ОСНОВЕ ПАТОГЕНЕЗА ИСТИННОГО КАРДИОГЕННОГО ШОКА ПРИ ИНФАРКТЕ МИОКАРДА ЛЕЖИТ
А гиповолемия
Б резкое снижение сократительной функции левого желудочка
В стрессовая реакция на боль
Г артериальная гипотония",Б резкое снижение сократительной функции левого желудочка
15,"ПОЗДНИЕ РАЗРЫВЫ СВОБОДНОЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ПРИ ОСТРОМ ИНФАРКТЕ МИОКАРДА НАИБОЛЕЕ ЧАСТО РАЗВИВАЮТСЯ
А через 2-3 месяца от развития инфаркта миокарда
Б на 5-7 сутки от развития инфаркта миокарда
В через год после перенесенного инфаркта миокарда
Г на 20-30 сутки от развития инфаркта миокарда",Б на 5-7 сутки от развития инфаркта миокарда 
16,"К ХАРАКТЕРНЫМ ЭКГ-ПРИЗНАКАМ ДЛЯ ОСТРОЙ СТАДИИ СУБЭНДОКАРДИАЛЬНОГО ИНФАРКТА МИОКАРДА ОТНОСЯТ __________ В ОТВЕДЕНИЯХ ОТ ОБЛАСТИ ПОРАЖЕНИЯ
А высокие зубцы Т
Б подъем сегмента ST
В депрессию сегмента ST
Г патологические зубцы Q Т",В депрессию сегмента ST 
17,"ПОКАЗАНИЕМ ДЛЯ НАЗНАЧЕНИЯ КЛОПИДОГРЕЛЯ ЯВЛЯЕТСЯ ТРОМБОЗ
А кавернозного синуса
Б глубоких вен нижних конечностей
В коронарной артерии
Г ушка левого предсердия на фоне затянувшегося пароксизма мерцательной аритмии",В коронарной артерии 
18,"К НАИБОЛЕЕ ЧАСТЫМ ОСЛОЖНЕНИЯМ, КОТОРЫЕ ВОЗНИКАЮТ ПРИ ПРИМЕНЕНИИ СТЕНТОВ БЕЗ ЛЕКАРСТВЕННОГО ПОКРЫТИЯ, ОТНОСЯТ
А различные аллергические реакции
Б синдром реперфузиии миокарда
В синдром слабости синусового узла
Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии",Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии 
19,"ИНФАРКТ ПО РАСПРОСТРАНЕННОСТИ БЫВАЕТ
А белый с геморрагическим венчиком
Б микроскопический
В крупноочаговый
Г красный",В крупноочаговый 
20,"ПРИ СИНДРОМЕ WPW C ПАРОКСИЗМОМ ФИБРИЛЛЯЦИЙ ПРЕДСЕРДИЙ С ЧАСТОТОЙ СЕРДЕЧНЫХ СОКРАЩЕНИЙ 250 В 1 МИНУТУ И АД 80/50 ММ РТ.СТ. НЕОБХОДИМО ВЫПОЛНИТЬ
А введение 50 мг аймалина
Б введение новокаинамида
В электроимпульсную терапию
Г введение 10 мг изоптина",В электроимпульсную терапию
21,"ВНУТРИВЕННОЕ ВВЕДЕНИЕ ХЛОРИДА КАЛИЯ СПОСОБНО ВЫЗВАТЬ
А экстасистолию
Б гипертензию
В остановку сердца
Г гипотензию",В остановку сердца 
22,"ВЫПОЛНЕНИЕ КАРДИОВЕРСИИ ПРИ ПАРОКСИЗМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ВОЗМОЖНО БЕЗ ПРОВЕДЕНИЯ ЧПЭХО ПРИ ВРЕМЕННОМ ИНТЕРВАЛЕ ОТ НАЧАЛА ПАРОКСИЗМА (В ЧАСАХ)
А 48
Б не более 24
В не более 72
Г не более 12",А 48
23,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А острый коронарный синдром
Б беременность
В паренхиматозное заболевание печени в анамнезе
Г повышение печеночных трансаминаз в 1,5 раза",Б беременность 
24,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А секвестрантов желчных кислот
Б ингибиторов PCSK9
В статинов
Г фибратов",Б ингибиторов PCSK9 
25,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ МЕТОДОМ НЕМЕДИКАМЕНТОЗНОГО ПОВЫШЕНИЯ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ЯВЛЯЕТСЯ
А употребление продуктов богатых клетчаткой
Б физическая активность
В снижение избыточной массы тела
Г умеренное употребление алкоголя",Б физическая активность
26,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ
А возраст
Б сахарный диабет 2 типа
В мужской пол
Г отягощённая наследственность",Б сахарный диабет 2 типа 
27,"КОНСТРИКТИВНЫЙ ПЕРИКАРДИТ ХАРАКТЕРИЗУЕТСЯ
А увеличением объема циркулирующей крови
Б понижением уровня венозного давления
В артериальной гипертензией
Г малыми размерами сердца",Г малыми размерами сердца 
28,"СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ ПРИ ПЕРИКАРДИТАХ ИМЕЕТ ____ ХАРАКТЕР
А диастолический
Б неуточненный
В систолический
Г систоло-диастолический",А диастолический 
29,"ПОЯВЛЕНИЕ ШУМА ТРЕНИЯ ПЕРИКАРДА НА ТРЕТИЙ ДЕНЬ Q ИНФАРКТА МИОКАРДА СВЯЗАНО С
А развитием пневмонии в нижней доле левого легкого
Б синдромом Дресслера
В реактивным эпистенокардитическим перикардитом
Г разрывом межжелудочковой перегородки",В реактивным эпистенокардитическим перикардитом 
30,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ МЕНЕЕ 150 М СООТВЕТСТВУЕТ ____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А I
Б III
В II
Г IV",Г IV
31,"СИМПТОМЫ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ОТМЕЧАЮТСЯ В ПОКОЕ И РЕЗКО ВОЗРАСТАЮТ ПРИ МИНИМАЛЬНОЙ ФИЗИЧЕСКОЙ АКТИВНОСТИ ПРИ ___ ФУНКЦИОНАЛЬНОМ КЛАССЕ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А IV
Б I
В III
Г II",А IV 
32,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ
А пороках со сбросом крови справа-налево
Б тромбоэмболии легочной артерии
В пороках со сбросом крови слева-направо
Г хронической обструктивной болезни легких",Б тромбоэмболии легочной артерии
33,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ 426-550 М СООТВЕТСТВУЕТ _____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А II
Б III
В IV
Г I",Г I 
34,"ПРИ ПРОВЕДЕНИИ ВЕЛОЭРГОМЕТРИИ КРИТЕРИЕМ ПОЛОЖИТЕЛЬНОЙ ПРОБЫ В ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ЯВЛЯЕТСЯ
А горизонтальная элевация сегмента ST менее 1,0 мм
Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g
В появление признаков АВ блокады
Г при появлении частых (1:10) экстрасистол и другие нарушения возбудимости миокарда","Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g "
35,"ПРИСТУПЫ СТЕНОКАРДИИ ВОЗНИКАЮТ ПРИ МЕДЛЕННОЙ ХОДЬБЕ ПО РОВНОМУ МЕСТУ ПРИ ________ СТЕНОКАРДИИ
А II и III классах
Б III и IV классах
В I функциональном классе
Г II функциональном классе",Б III и IV классах
36,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ ХАРАКТЕРНА ДЛЯ
А расслоения аорты
Б стабильной стенокардии
В спонтанного пневмоторакса
Г тромбоэмболии легочной артерии",А расслоения аорты
37,"В ПРОГРАММУ ФИЗИЧЕСКОЙ РЕАБИЛИТАЦИИ БОЛЬНЫХ ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА II ФУНКЦИОНАЛЬНОГО КЛАССА ВКЛЮЧЕНА
А ходьба в среднем темпе
Б гипоксическая тренировка
В спортивные упражнения
Г тренировка на максимальном значении частоты сердечных сокращений",А ходьба в среднем темпе 
38,"ДЛИТЕЛЬНЫЙ ПОКОЙ БОЛЬНОГО С ИНФАРКТОМ МИОКАРДА МОЖЕТ ПРИВЕСТИ К
А артериальной гипертензии
Б тахикардии
В развитию коронарных коллатералей
Г  тромбоэмболическим осложнениям",Г  тромбоэмболическим осложнениям
39,"ТРЕТИЙ ЭТАП КАРДИОРЕАБИЛИТАЦИИ ДЛИТСЯ ДО
А 3-4 дней или до стабилизации состояния пациента
Б 2 лет
В 6-13 недель после острого коронарного события
Г 1-2 месяцев",В 6-13 недель после острого коронарного события
40,"ТРАНСПОРТНОЙ ФОРМОЙ ЭКЗОГЕННЫХ ТРИГЛИЦЕРИДОВ ЯВЛЯЮТСЯ
А ЛПВП
Б хиломикроны
В ЛПОНП
Г ЛПНП",Б хиломикроны
41,"С ТОЧКИ ЗРЕНИЯ ДОКАЗАТЕЛЬНОЙ МЕДИЦИНЫ НАИБОЛЬШЕЕ ВЛИЯНИЕ НА ПОВЫШЕНИЕ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ОКАЗЫВАЕТ
А снижение потребления моно- и дисахаридов
Б умеренное потребление алкоголя
В прекращение курения табака
Г повышение уровня физической активности",Г повышение уровня физической активности
42,"ДЛЯ I ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания хиломикронов и триглицеридов
Б повышение содержания липопротеидов низкой плотности и триглицеридов
В снижение содержания липопротеидов высокой плотности и повышение общего холестерина
Г повышение содержания липопротеидов очень низкой плотности и триглицеридов",А повышение содержания хиломикронов и триглицеридов
43,"ОЧЕНЬ ВЫСОКИМ РИСКОМ ПО ШКАЛЕ SCORE СЧИТАЕТСЯ ЗНАЧЕНИЕ ≥ (В ПРОЦЕНТАХ)
А 5
Б 10
В15
Г 20",Б 10
44,"ПРИ АНТИГИПЕРТЕНЗИВНОЙ ТЕРАПИИ УРОВЕНЬ СИСТОЛИЧЕСКОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ У БОЛЬНЫХ ИБС МОЛОЖЕ 65 ЛЕТ, СТРАДАЮЩИХ САХАРНЫМ ДИАБЕТОМ, ДОЛЖЕН БЫТЬ МЕНЕЕ ИЛИ РАВЕН (В ММ РТ. СТ.)
А 150
Б 120
В 130
Г 140",В 130
45,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ
А I; с высоким риском
Б I; с низким или средним риском
В II; независимо от степени риска
Г II; с высоким риском",Б I; с низким или средним риском 
46,"К ПРЕПАРАТАМ ПЕРВОГО ВЫБОРА ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ У БОЛЬНЫХ САХАРНЫМ ДИАБЕТОМ ОТНОСЯТ
А антагонисты альдостерона
Б диуретики
В бета-адреноблокаторы
Г ингибиторы ангиотензин-превращающего фермента",Г ингибиторы ангиотензин-превращающего фермента 
47,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ ТИАЗИДНЫХ ДИУРЕТИКОВ ЯВЛЯЕТСЯ
А подагра
Б сахарный диабет
В инсульт в анамнезе
Г ишемическая болезнь сердца",А подагра 
48,"ПРИ НАЛИЧИИ ВЫРАЖЕННОЙ АОРТАЛЬНОЙ НЕДОСТАТОЧНОСТИ У БЕССИМПТОМНЫХ ПАЦИЕНТОВ С СОХРАННОЙ ФРАКЦИЕЙ ВЫБРОСА ЛЕВОГО ЖЕЛУДОЧКА СОГЛАСНО РЕКОМЕНДАЦИЯМ ЕВРОПЕЙСКОГО ОБЩЕСТВА КАРДИОЛОГОВ 2017 Г. ПОКАЗАНИЕМ ДЛЯ ОПЕРАТИВНОГО ЛЕЧЕНИЯ ЯВЛЯЕТСЯ УВЕЛИЧЕНИЕ
А конечно-систолического размера левого желудочка более 50 мм
Б размеров левого предсердия
В конечно-диастолического размера левого желудочка от 50 до 70 мм
Г размеров правого предсердия",А конечно-систолического размера левого желудочка более 50 мм 
49,"К АНТАГОНИСТАМ ЭНДОТЕЛИНОВЫХ РЕЦЕПТОРОВ ОТНОСЯТ
А Бозентан
Б Вазапростан
В Пентоксифиллин
Г Силденафил",А Бозентан
50,"БАЛЛОННАЯ ВАЛЬВУЛОПЛАСТИКА АОРТАЛЬНОГО КЛАПАНА МОЖЕТ РАССМАТРИВАТЬСЯ У ПАЦИЕНТОВ С
А аневризмой аорты
Б острой аортальной недостаточностью
В умеренным аортальным стенозом
Г тяжелым аортальным стенозом и нестабильной гемодинамикой",Г тяжелым аортальным стенозом и нестабильной гемодинамикой 
51,"ТИП А СИНДРОМА WPW ХАРАКТЕРИЗУЕТСЯ
А доминированием зубца S в отведениях V1,V2, V3 (конфигурация QS или rS)
Б укорочением комплекса QRS во всех грудных отведениях
В доминированием зубца R в отведениях V1,V2, V3 (конфигурация R или Rs)
Г удлинением интервала QT","В доминированием зубца R в отведениях V1,V2, V3 (конфигурация R или Rs) "
52,"КОЛИЧЕСТВО БАЛЛОВ ПО ШКАЛЕ СНА2DS2-VASC У МУЖЧИНЫ 64 ЛЕТ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ И САХАРНЫМ ДИАБЕТОМ ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ РАВНО
А 2
Б 3
В 1
Г 4",А 2
53,"ПРОВЕДЕНИЕ ПО АТРИОВЕНТРИКУЛЯРНОМУ УЗЛУ ОТРАЖАЕТ ИНТЕРВАЛ
А QT
Б PQ
В RR
Г РР",Б PQ 
54,"ОПТИМАЛЬНАЯ ЧАСТОТА СЕРДЕЧНЫХ СОКРАЩЕНИЙ У ПАЦИЕНТОВ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ И ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ДОЛЖНА НАХОДИТЬСЯ В ПРЕДЕЛАХ ОТ (В УДАРАХ В МИНУТУ)
А 60 до 70
Б 80 до 110
В 60 до 100
Г 80 до 90",В 60 до 100
55,"АБСОЛЮТНЫМ ПОКАЗАНИЕМ К ИМПЛАНТАЦИИ ПОСТОЯННОГО КАРДИОСТИМУЛЯТОРА, У БОЛЬНОГО, ПЕРЕНЕСШЕГО ПЕРЕДНИЙ ИНФАРКТ МИОКАРДА, ЯВЛЯЕТСЯ
А предсердная экстрасистолия и блокада передней ветви ножки пучка Гиса
Б блокада задней ветви левой ножки пучка Гиса
В блокада левой ножки пучка Гиса
Г атриовентрикулярная блокада дистальной локализации II и III степени
",Г атриовентрикулярная блокада дистальной локализации II и III степени 
56,"ДЛЯ ПРОФИЛАКТИКИ ТРОМБОЭМБОЛИЧЕСКИХ ОСЛОЖНЕНИЙ ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ДАБИГАТРАН НАЗНАЧАЕТСЯ В ДОЗИРОВКЕ (В МГ) _____, _____ В СУТКИ
А 5; 2 раза
Б 60-80; 1 раз
В 20; 1 раз 
Г 110-150; 2 раза",Г 110-150; 2 раза 
57,"ДЛЯ ПРОФИЛАКТИКИ ИНСУЛЬТА ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ У ПАЦИЕНТОВ С МЕХАНИЧЕСКИМИ ПРОТЕЗАМИ НУЖНО ИСПОЛЬЗОВАТЬ
А апиксабан
Б варфарин
В аспирин
Г дабигатран",Б варфарин
58,"ПРИСТУПЫ ОДЫШКИ, ВОЗНИКАЮЩИЕ В ПОЛОЖЕНИИ СИДЯ И ПРОХОДЯЩИЕ В ПОЛОЖЕНИИ ЛЕЖА, МОГУТ НАБЛЮДАТЬСЯ У БОЛЬНЫХ С
А митральным пороком сердца
Б шаровидным тромбом в левом предсердии
В пролапсом митрального клапана
Г миокардитом",Б шаровидным тромбом в левом предсердии 
59,"ПРИ РАЗВИТИИ ОТЕКА ЛЕГКИХ У БОЛЬНОГО С ОСТРЫМ ИНФАРКТОМ МИОКАРДА НА ФОНЕ НОРМАЛЬНОГО ИЛИ ПОВЫШЕННОГО АД ПОКАЗАНА
А параллельная инфузия допамина и нитроглицерина
Б инфузия добутамина
В инфузия нитратов и внутривенное введение фуросемида	
Г инфузия ингибиторов АПФ",В инфузия нитратов и внутривенное введение фуросемида 
60,"САМЫМ ЧАСТЫМ СИМПТОМОМ ПРИ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ЯВЛЯЕТСЯ
А повторное кровохарканье
Б боль в левой половине грудной клетки
В эпизод потери сознания
Г внезапная одышка",Г внезапная одышка 
61,"ПРИ НАПРАВЛЕНИИ ГРАЖДАНИНА, ПОСТРАДАВШЕГО В СВЯЗИ С ТЯЖЕЛЫМ НЕСЧАСТНЫМ СЛУЧАЕМ НА ПРОИЗВОДСТВЕ, ПОСЛЕ ОКАЗАНИЯ ЕМУ МЕДИЦИНСКОЙ ПОМОЩИ В СТАЦИОНАРНЫХ УСЛОВИЯХ (УСЛОВИЯХ ДНЕВНОГО СТАЦИОНАРА), АМБУЛАТОРНЫХ УСЛОВИЯХ, НА МЕДИЦИНСКУЮ РЕАБИЛИТАЦИЮ В САНАТОРНО-КУРОРТНУЮ ОРГАНИЗАЦИЮ В ПЕРИОД ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ (ДО НАПРАВЛЕНИЯ НА МСЭ) ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ МЕДИЦИНСКОЙ ОРГАНИЗАЦИЕЙ, НАПРАВИВШЕЙ ГРАЖДАНИНА НА МЕДИЦИНСКУЮ РЕАБИЛИТАЦИЮ, ПО РЕШЕНИЮ ВРАЧЕБНОЙ КОМИССИИ
А весь период лечения
Б на весь период медицинской реабилитации и проезда к месту лечения и обратно
В первые пять дней лечения
Г первые десять дней лечения

",Б на весь период медицинской реабилитации и проезда к месту лечения и обратно 
62,"ПРИ СТЕНОКАРДИИ УМЕРЕННЫЕ НАРУШЕНИЯ ФУНКЦИИ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ: СТЕНОКАРДИЯ ИЛИ БЕЗБОЛЕВАЯ ИШЕМИЯ МИОКАРДА, ФКIII (50 ВТ) ПРИ НАЛИЧИИ ХСН I, IIА, ИМЕЕТ КОЛИЧЕСТВЕННУЮ ОЦЕНКУ НАРУШЕНИЙ (В ПРОЦЕНТАХ)
А 10-30
Б 40-60
В 70-80
Г 90-100",Б 40-60
63,"ПРИ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ЗНАЧИТЕЛЬНО ВЫРАЖЕННЫЕ НАРУШЕНИЯ ФУНКЦИИ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ: ХРОНИЧЕСКАЯ СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ III СТАДИИ, ИМЕЕТ КОЛИЧЕСТВЕННУЮ ОЦЕНКУ НАРУШЕНИЙ (В ПРОЦЕНТАХ)
А 10-30
Б 40-60
В 90-100
Г 70-80",В 90-100 
64,"ОСИПЛОСТЬ ГОЛОСА ВСЛЕДСТВИЕ ДИЛАТАЦИИ ЛЕВОГО ПРЕДСЕРДИЯ, СДАВЛИВАЮЩЕГО ЛЕВЫЙ ВОЗВРАТНЫЙ ГОРТАННЫЙ НЕРВ, ХАРАКТЕРИЗУЕТ СИНДРОМ
А Элерса-Данлоса
Б Ортнера
В Лютембаше
Г Дресслера",Б Ортнера 
65,"КОАРКТАЦИЯ АОРТЫ - ЭТО ВРОЖДЕННЫЙ ПОРОК СЕРДЦА, ХАРАКТЕРИЗУЮЩИЙСЯ
А воспалением внутренней оболочки сосуда
Б сегментарным сужением просвета аорты
В расслоением аорты в антероградном направлении
Г обструкцией выносящего тракта левого желудочка",Б сегментарным сужением просвета аорты 
66,"ЕДИНСТВЕННЫМ КЛАПАНОМ, НЕ ИМЕЮЩИМ В НОРМЕ РЕГУРГИТАЦИИ, ЯВЛЯЕТСЯ
А трикуспидальный
Б митральный
В аортальный
Г пульмональный",В аортальный 
67,"К НЕОБХОДИМЫМ УСЛОВИЯМ РАЗВИТИЯ ЛЕГОЧНОГО СЕРДЦА ОТНОСЯТ
А уменьшение эффективного сосудистого русла легких
Б гиперкапнию и ацидоз
В гипертрофию стенок правого желудочка
Г легочную гипертензию",Г легочную гипертензию
68,"ПАЦИЕНТАМ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ ПРОТИВОПОКАЗАН ПРИЕМ
А блокаторов ангиотензиновых рецепторов
Б иАПФ
В бета-блокаторы
Г агонистов имидазолиновых рецепторов",Г агонистов имидазолиновых рецепторов
69,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ
А телмисартан
Б эпросартан
В кандесартан, валсартан
Г ирбесартан","В кандесартан, валсартан "
70,"К ПРОТИВОПОКАЗАНИЯМ ДЛЯ НАЗНАЧЕНИЯ БЕТА-БЛОКАТОРОВ У БОЛЬНЫХ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ОТНОСЯТ
А снижение фракции изгнания менее 2 0%
Б сердечную астму и отёк лёгких
В наличие атрио-вентирикулярной блокады I степени
Г снижение фракции изгнания менее 40 %",Б сердечную астму и отёк лёгких
