Вопрос,Ответ
21,"ПРИ ВЫДАЧЕ ЛИСТКА НЕТРУДОСПОСОБНОСТИ НА БУМАЖНОМ НОСИТЕЛЕ В СЛУЧАЯХ, ПРЕДУСМОТРЕННЫХ ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ И НАЛИЧИИ ОШИБОК В ЗАПОЛНЕНИИ ЛИСТКА НЕТРУДОСПОСОБНОСТИ, ЛИБО В СВЯЗИ С ЕГО ПОРЧЕЙ ИЛИ УТЕРЕЙ ПО РЕШЕНИЮ ВРАЧЕБНОЙ КОМИССИИ ВЗАМЕН РАНЕЕ ВЫДАННОГО ЛИСТКА НЕТРУДОСПОСОБНОСТИ
А оформляется выписка из протокола врачебной комиссии
Б оформляется копия листка нетрудоспособности с внесенными в нее исправлениями
В оформляется дубликат листка нетрудоспособности
Г допускается выдача дуплета листка нетрудоспособности",В оформляется дубликат листка нетрудоспособности
22,"ВРАЧЕБНАЯ КОМИССИЯ МОЖЕТ ПРОДЛИТЬ ЛИСТОК НЕТРУДОСПОСОБНОСТИ МАКСИМАЛЬНО НА СРОК НЕ БОЛЕЕ ______ МЕСЯЦЕВ
А 6
Б 9
В 3
Г 12",Г 12
23,"УСКОРЕННЫЙ ИДИОВЕНТРИКУЛЯРНЫЙ РИТМ ПРЕДСТАВЛЯЕТ СОБОЙ
А комплексы QRS различной формы с частотой 100-120 в минуту
Б правильный ритм с укороченным интервалом PQ и уширенными комплексами QRS во всех грудных отведениях
В хаотический неправильный ритм, комплексы QRS и зубцы Т отсутствуют
Г правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS

","Г правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS"
24,"ДЛЯ ПОДТВЕРЖДЕНИЯ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ У БОЛЬНЫХ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ НЕОБХОДИМО ВЫЯВИТЬ ВЫСОКИЕ УРОВНИ
А трансаминаза (аланинаминотрасферазы и аспартатаминотрасферазы)
Б (про-) мозгового натрийуретического пептида
В метаболита биохимических реакций аминокислотно-белкового обмена в организме (креатинина)
Г специфических маркеров некроза миокарда (тропонинов)",Б (про-) мозгового натрийуретического пептида
25,"ПРИ КАКИХ НАРУШЕНИЯХ РИТМА БЫВАЮТ ПРИСТУПЫ МОРГАНЬИ-ЭДЕМСА-СТОКСА?
А фибрилляция предсердий
Б желудочковая экстрасистолия
В атриовентрикулярная блокада 1 степени
Г атриовентрикулярная блокада 3 степени",Г атриовентрикулярная блокада 3 степени
26,"ПРИ WPW СИНДРОМЕ ПРОДОЛЖИТЕЛЬНОСТЬ ИНТЕРВАЛА PQ СОСТАВЛЯЕТ (В СЕКУНДАХ)
А более 0,2
Б 0,12 - 0,2
В более 0,25
Г менее 0,12","Г менее 0,12 "
27,"ТЕРМИН «БОТАЛЛИТ» ХАРАКТЕРИЗУЕТ
А синдром Эйзенменгера
Б одно из осложнений открытого артериального протока
В состояние гемодинамики при септальных дефектах
Г осложнение триады Фалло",Б одно из осложнений открытого артериального протока
28,"ХАРАКТЕРНЫМ СИМПТОМОМ ДЛЯ БОЛЬНЫХ СО СТЕНОЗОМ УСТЬЯ АОРТЫ ЯВЛЯЕТСЯ
А симптом Мюссе
Б акроцианоз
В бледность кожных покровов
Г «пляска каротид»",В бледность кожных покровов
29,"ПРИ НАЛИЧИИ НА ЭКГ ПРИЗНАКОВ СОЧЕТАННОЙ ГИПЕРТРОФИИ ЛЕВОГО ПРЕДСЕРДИЯ И ПРАВОГО ЖЕЛУДОЧКА ВОЗМОЖНО ПРЕДПОЛОЖИТЬ
А стеноз лёгочной артерии
Б митральный стеноз
В дефект межпредсердной перегородки
Г аортальную недостаточность",Б митральный стеноз
30,"ЗАДНЮЮ СТВОРКУ ПРИ АНОМАЛИИ ЭБШТЕЙНА НА МР- ИЗОБРАЖЕНИЯХ ЛУЧШЕ ВСЕГО ОЦЕНИВАТЬ В ПЛОСКОСТИ
А приток/отток правого желудочка
Б стандартных ортогональных саггитальных срезах
В 2-левых камер и короткой оси сердца
Г стандартных ортогональных поперечных срезах",А приток/отток правого желудочка
31,"ДЛЯ ЛЕЧЕНИЯ КАРДИОГЕННОГО ШОКА СЛЕДУЕТ ВЫБРАТЬ
А преднизолон
Б нитроглицерин
В допамин
Г новокаинамид",В допамин
32,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ КЛИНИЧЕСКИМ ПРИЗНАКОМ ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А тахикардия
Б ортопноэ
В кровохарканье
Г отёки на нижних конечностях",Б ортопноэ 
33,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ НАИБОЛЕЕ ХАРАКТЕРНА ДЛЯ
А тромбоэмболии лёгочной артерии
Б расслоения аорты
В инфаркта миокарда
Г стенокардии напряжения",Б расслоения аорты
34,"В ОСТРОЙ СТАДИИ ИНФАРКТА МИОКАРДА C ЭЛЕВАЦИЕЙ СЕГМЕНТА ST НИЖНЕЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ЭЛЕВАЦИЯ ОТМЕЧАЕТСЯ В ОТВЕДЕНИЯХ
А I, aVL
Б V1-3
В II, III, aVF
Г V4-V6","В II, III, aVF"
35,"УВЕЛИЧЕНИЕ ВЫСОТЫ И ШИРИНЫ ЗУБЦА R В ОТВЕДЕНИЯХ V1-V2 В СОЧЕТАНИИ С ДЕПРЕССИЕЙ СЕГМЕНТА ST И ПОЛОЖИТЕЛЬНЫМ ЗУБЦОМ Т ЯВЛЯЕТСЯ ПРИЗНАКОМ
А инфаркта миокарда правого желудочка
Б заднего инфаркта миокарда (задне-базального)
В мелкоочагового инфаркта миокарда
Г передне-перегородочного инфаркта миокарда",Б заднего инфаркта миокарда (задне-базального)
36,"СОГЛАСНО КЛАССИФИКАЦИИ СТАДИЙ КРОВЕНАПОЛНЕНИЯ ВЕНЕЧНЫХ АРТЕРИЙ ПО ТIMI 2 СТЕПЕНИ СООТВЕТСТВУЕТ
А отсутствие потока контрастного средства
Б замедление и не полное заполнение контрастным веществом дистальных сосудов
В быстрое антероградное заполнение и выведение контрастного вещества
Г замедление, но полное заполнение контрастным веществом дистальных сосудов","Г замедление, но полное заполнение контрастным веществом дистальных сосудов"
37,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ
А эпросартан
Б ирбесартан
В кандесартан, валсартан
Г телмисартан","В кандесартан, валсартан "
38,"ПРИ СНИЖЕННОЙ ФРАКЦИИ ВЫБРОСА ЛЕВОГО ЖЕЛУДОЧКА ПРОТИВОПОКАЗАНЫ
А блокаторы кальциевых каналов дигидропиридинового ряда
Б верапамил, дилтиазем
В бета-адреноблокаторы
Г ингибиторы ангиотензин-превращающего фермента","Б верапамил, дилтиазем"
39,"ПОКАЗАНИЕМ ДЛЯ УСТАНОВКИ ФИЛЬТРА В НИЖНЮЮ ПОЛУЮ ВЕНУ ИЛИ ПЕРЕВЯЗКИ ЕЕ У БОЛЬНЫХ С ТРОМБОЭМБОЛИЕЙ ЛЕГОЧНОЙ АРТЕРИИ И ТРОМБОФЛЕБИТОМ НИЖНИХ КОНЕЧНОСТЕЙ ЯВЛЯЕТСЯ
А наличие противопоказаний для лечения антикоагулянтами
Б повторная тромбоэмболия на фоне неадекватной терапии антикоагулянтами
В высокое содержание протромбина
Г антифосфолипидный синдром",А наличие противопоказаний для лечения антикоагулянтами
40,"80% ОБЩЕГО КОЛИЧЕСТВА ИММУНОКОМПЕТЕНТНЫХ КЛЕТОК В АТЕРОСКЛЕРОТИЧЕСКОЙ БЛЯШКЕ ПРЕДСТАВЛЕНО
А эозинофилами
Б макрофагами
В лимфоцитами
Г лейкоцитами",Б макрофагами 
41,"НАИБОЛЕЕ ЧАСТЫМ ФЕНОТИПИЧЕСКИМ ПРОЯВЛЕНИЕМ СЕМЕЙНОЙ (НАСЛЕДСТВЕННОЙ) ГИПЕРТРИГЛИЦЕРИДЕМИИ И ХИЛОМИКРОНЕМИИ ЯВЛЯЕТСЯ НАЛИЧИЕ
А ксантелазм век
Б липоидной дуги роговицы
В ксантоматоза сухожилий
Г эруптивного ксантоматоза кожи",Г эруптивного ксантоматоза кожи
42,"НАИБОЛЕЕ ЧАСТО В ПОПУЛЯЦИИ ВСТРЕЧАЕТСЯ ДИСЛИПИДЕМИЯ _____ ТИПА
А IIa
Б IV
В V
Г IIb",Б IV
43,"ДЛЯ IIА ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания липопротеидов очень низкой плотности и триглицеридов
Б повышение содержания липопротеидов низкой плотности и общего холестерина
В повышение содержания хиломикронов и триглицеридов
Г снижение уровня липопротеидов высокой плотности и повышение общего холестерина",Б повышение содержания липопротеидов низкой плотности и общего холестерина
44,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ДИАГНОСТИКИ ГКМП ЯВЛЯЕТСЯ
А биопсия миокарда
Б коронаровентрикулография
В электрокардиография
Г эхокардиография",Г эхокардиография
45,"ХАРАКТЕРНЫМ ДЛЯ КЛИНИЧЕСКИХ ПРОЯВЛЕНИЙ ЛЕВОЖЕЛУДОЧКОВОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А асцит
Б одышка
В набухание шейных вен
Г гепатомегалия",Б одышка
46,"МЕНЕЕ СПЕЦИФИЧНЫМ ПРИЗНАКОМ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А гепатоюгулярный рефлюкс
Б III сердечный тон (ритм галопа)
В наличие периферических отёков
Г повышение давления в яремных венах",В наличие периферических отёков
47,"ГИПЕРТРОФИЯ ЛЕВОГО ЖЕЛУДОЧКА, ДИАСТОЛИЧЕСКАЯ ДИСФУНКЦИЯ, ФВ 45% УКАЗЫВАЮТ НА ФУНКЦИОНАЛЬНЫЙ ТИП ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С _____________ ФРАКЦИЕЙ ВЫБРОСА
А сохранённой
Б повышенной
В нормальной
Г умеренно сниженной",Г умеренно сниженной
48,"ПРИ НЕОБХОДИМОСТИ КОРРЕКЦИИ ГИПЕРЛИПИДЕМИИ У БЕРЕМЕННЫХ И ДЕТЕЙ ВОЗМОЖНО НАЗНАЧЕНИЕ
А розувастатина
Б колестипола
В эзетимиба
Г фенофибрата",Б колестипола
49,"ПОБОЧНЫЕ ЭФФЕКТЫ ТЕРАПИИ В ВИДЕ РАЗВИТИЯ МИОПАТИИ И РАБДОМИОЛИЗА НЕ ХАРАКТЕРНЫ ДЛЯ
А фенофибрата
Б розувастатина
В колестипола
Г ловастатина",В колестипола
50,"ПРЕДПОЧТИТЕЛЬНЫМИ МЕДИКАМЕНТАМИ ПРИ ГИПЕРХОЛЕСТЕРИНЕМИИ БЕЗ ГИПЕРТРИГЛИЦЕРИДЕМИИ ЯВЛЯЮТСЯ
А фибраты
Б пробукол и антиоксиданты
В эзетимиб
Г статины",Г статины
51,"СОГЛАСНО НАЦИОНАЛЬНЫМ РЕКОМЕНДАЦИЯМ ПРИЕМ СТАТИНОВ СЛЕДУЕТ ОТМЕНИТЬ, КОГДА НА ФОНЕ МИАЛГИИ РЕГИСТРИРУЕТСЯ ПОВЫШЕНИЕ В КРОВИ АКТИВНОСТИ КФК В
А 2 раза
Б 5 раз
В 3 раза
Г 4 раза",Г 4 раза
52,"В III ОТВЕДЕНИИ РЕГИСТРИРУЕТСЯ РАЗНОСТЬ ПОТЕНЦИАЛОВ МЕЖДУ ЭЛЕКТРОДАМИ, РАСПОЛОЖЕННЫМИ НА
А левой руке и левой ноге
Б правой и левой ногах
В правой руке и левой ноге
Г левой и правой руках",А левой руке и левой ноге
53,"ЦЕЛЯМИ И ВОЗМОЖНОСТЯМИ ТРАНСТОРАКАЛЬНОЙ ЭХОКАРДИОГРАФИИ ЯВЛЯЮТСЯ
А выявление нарушений проведения импульса, оценка ишемии
Б исследование коронарного русла, оценка жизнеспособного миокарда
В выявление патологии клапанного аппарата, болезней миокарда, оценка функции левого желудочка
Г регистрация эпизодов нарушения ритма и проводимости сердца, запись АД","В выявление патологии клапанного аппарата, болезней миокарда, оценка функции левого желудочка"
54,"ОСТРАЯ ПЕРЕГРУЗКА ПРАВЫХ ОТДЕЛОВ СЕРДЦА НАБЛЮДАЕТСЯ НА ЭКГ ПРИ
А стенозе трикуспидального клапана	
Б тромбоэмболии легочной артерии
В недостаточности аортального клапана
Г стенозе митрального клапана",Б тромбоэмболии легочной артерии
55,"ЗУБЕЦ Т НА ЭКГ ОТРАЖАЕТ РЕПОЛЯРИЗАЦИЮ
А только правого желудочка
Б левого желудочка и частично правого желудочка
В обоих желудочков
Г только левого желудочка",В обоих желудочков
56,"ОРТОСТАТИЧЕСКАЯ ГИПОТОНИЯ – ЭТО СНИЖЕНИЕ
А артериального давления в ночные часы на 20/10 мм рт. ст. и более при переходе в вертикальное положение или 30/10 мм рт. ст. при переходе в горизонтальное положение у пациентов c артериальной гипертонии
Б артериального давления на 20/10 мм рт. ст. и более при переходе в вертикальное положение у нормотензивных пациентов или 30/10 мм рт. ст. у пациентов c артериальной гипертонией из положения лежа
В скорости утреннего подъема артериального давления на 20/10 мм рт. ст. и более при переходе в вертикальное положение у нормотензивных пациентов или 30/10 мм рт. ст. у пациентов c артериальной гипертонией в положении лежа
Г среднесуточного артериального давления на 20/10 мм рт. ст. и более при переходе в вертикальное положение или 30/10 мм рт. ст. при переходе в горизонтальное положение у пациентов c артериальной гипертонией

",Б артериального давления на 20/10 мм рт. ст. и более при переходе в вертикальное положение у нормотензивных пациентов или 30/10 мм рт. ст. у пациентов c артериальной гипертонией из положения лежа
57,"К ГИПОГЛИКЕМИЧЕСКИМ ПРЕПАРАТАМ 1 ЛИНИИ У ПАЦИЕНТОВ СО СТЕНОКАРДИЕЙ НАПРЯЖЕНИЯ, ОЖИРЕНИЕМ, ЛИБО ИЗБЫТОЧНОЙ МАССОЙ ТЕЛА И САХАРНЫМ ДИАБЕТОМ 2 ТИПА, ПРИ ОТСУТСТВИИ ПРОТИВОПОКАЗАНИЙ ОТНОСЯТ
А метформин
Б ингибиторы альфа-глюкозидаз 	
В тиазолидиндионы
Г производные сульфонилмочевины",А метформин
58,"У ПАЦИЕНТА СО СТАБИЛЬНОЙ СТЕНОКАРДИЕЙ, ВЫПОЛНЕННЫМ ПЛАНОВЫМ ЧКВ С НЕКЛАПАННОЙ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ ПРИ ВЫСОКОМ РИСКЕ КРОВОТЕЧЕНИЯ ПО ШКАЛЕ HAS-BLED ТРОЙНАЯ АНТИТРОМБОТИЧЕСКАЯ ТЕРАПИЯ ПРОВОДИТСЯ
А 3 месяца
Б 1 месяц
В полгода
Г только во время госпитализации",Б 1 месяц 
59,"ПРИ ИНФАРКТЕ МИОКАРДА ПРАВОГО ЖЕЛУДОЧКА ПРИМЕНЕНИЕ __________ ПРОТИВОПОКАЗАНО
А нитроглицерина
Б метопролола
В фуросемида
Г эналаприла",А нитроглицерина 
60,"СУБЪЕКТАМИ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ЯВЛЯЮТСЯ
А орган управления здравоохранением, медицинское учреждение, застрахованные лица, страховая организация
Б застрахованные лица, страхователи, Федеральный фонд обязательного медицинского страхования
В территориальный фонд обязательного медицинского страхования, медицинское учреждение, застрахованные лица, орган управления здравоохранением
Г Федеральный фонд обязательного медицинского страхования, орган управления здравоохранением, застрахованные лица, страховая организация
","Б застрахованные лица, страхователи, Федеральный фонд обязательного медицинского страхования "
61,"ЗАПИСИ В МЕДИЦИНСКОЙ КАРТЕ ПАЦИЕНТА, ПОЛУЧАЮЩЕГО МЕДИЦИНСКУЮ ПОМОЩЬ В АМБУЛАТОРНЫХ УСЛОВИЯХ (ФОРМА №025/У), ВЕДУТСЯ НА ЯЗЫКЕ
А русском
Б любом
В региона
Г английском",А русском 
62,"МАКСИМАЛЬНОЕ КОЛИЧЕСТВО ДНЕЙ, НА КОТОРОЕ МОЖЕТ БЫТЬ ВЫДАН ЛИСТОК НЕТРУДОСПОСОБНОСТИ БЕЗ ПРОВЕДЕНИЯ ВРАЧЕБНОЙ КОМИССИИ, СОСТАВЛЯЕТ
А 30
Б 15
В 10
Г 20",Б 15
63,"У ПАЦИЕНТОВ С НЕОБСТРУКТИВНОЙ ГКМП ГРАДИЕНТ ДАВЛЕНИЯ В ВЫХОДНОМ ОТДЕЛЕ ЛЕВОГО ЖЕЛУДОЧКА СОСТАВЛЯЕТ (В ММ РТ. СТ.) ________ В ПОКОЕ И ПРИ НАГРУЗКЕ
А менее 20
Б более 20
В более 30
Г менее 30",Г менее 30 
64,"ПРИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОПАТИИ МОЖЕТ РАЗВИВАТЬСЯ
А относительная коронарная недостаточность
Б спазм коронарных артерий
В острый тромбоз коронарных артерий
Г неспецифический коронариит",А относительная коронарная недостаточность 
65,"ФИБРОЗ ЭНДОКАРДА ХАРАКТЕРЕН ДЛЯ
А аритмогенной дисплазии правого желудочка
Б дилатационной кардиомиопатии
В рестриктивной кардиомиопатии
Г ГКМП",В рестриктивной кардиомиопатии
66,"В КАЧЕСТВЕ ЭТИОПАТОГЕНЕТИЧЕСКОГО ЛЕЧЕНИЯ НЕКОТОРЫХ ФОРМ МИОКАРДИТОВ МОЖНО ИСПОЛЬЗОВАТЬ
А сульфаниламиды
Б НПВП
В биологические препараты
Г глюкокортикоиды",Г глюкокортикоиды
67,"ПОБОЧНЫМ ЭФФЕКТОМ ПРЕПАРАТА ИЗ ГРУППЫ БЛОКАТОРОВ МЕДЛЕННЫХ КАЛЬЦИЕВЫХ КАНАЛОВ НИФЕДИПИНА ЯВЛЯЕТСЯ
А синусовая тахикардия
Б диабетическая нефропатия
В гипертонический криз
Г цереброваскулярная недостаточность",А синусовая тахикардия
68,"У МУЖЧИНЫ 78 ЛЕТ С АДЕНОМОЙ ПРОСТАТЫ ПРЕДПОЧТИТЕЛЬНО НАЧАТЬ ЛЕЧЕНИЕ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ С НАЗНАЧЕНИЯ
А доксазозина
Б гидрохлортиазида
В карведилола
Г кандесартана",А доксазозина 
69,"БЫСТРОЕ СНИЖЕНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ПРОТИВОПОКАЗАНО ПРИ
А нарушениях мозгового кровообращения
Б расслаивающей аневризме аорты
В острой левожелудочковой недостаточности
Г прогрессирующей почечной недостаточности",А нарушениях мозгового кровообращения
70,"ПРИ ГИПЕРТИРЕОЗЕ ДЛЯ ЛЕЧЕНИЯ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ ПРЕДПОЧТИТЕЛЬНЫ
А ингибиторы АПФ
Б диуретики
В бета-блокаторы
Г блокаторы кальциевых каналов дигидропиридинового ряда","В бета-блокаторы
"
71,"ПРЕПАРАТОМ ВЫБОРА ПРИ ЛЕЧЕНИИ РЕЦИПРОКНОЙ АВ-ТАХИКАРДИИ ЯВЛЯЕТСЯ
А дигоксин
Б новокаинамид
В обзидан	
Г АТФ",Г АТФ
72,"ПОД АРИТМОГЕННЫМ ШОКОМ ПОНИМАЮТ
А истинный кардиогенный
Б гиповолемический
В вазогенный
Г ассоциированный кардиогенный",Г ассоциированный кардиогенный
73,"ПРИ АНГИНОЗНОМ ПРИСТУПЕ С СИНУСОВОЙ БРАДИКАРДИЕЙ И ЖЕЛУДОЧКОВЫМИ ЭКСТРАСИСТОЛАМИ НА ФОНЕ ГИПОТОНИИ ПОКАЗАНО ПРИМЕНЕНИЕ
А морфина
Б атропина
В изадрина
Г дофамина",Г дофамина
74,"ВЕГЕТАЦИИ НА КЛАПАНАХ СЧИТАЮТСЯ БОЛЬШИМИ, ЕСЛИ ОНИ _____________ ММ
А менее 7
Б 5
В 2-3
Г более 10",Г более 10
