Вопрос,Ответ
10,"СТРЕПОКИНАЗА ДЛЯ ЛЕЧЕНИЯ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ВВОДИТСЯ В ДОЗЕ (В ЕД):
А 300.000
Б 150.000
В 30.000
Г 1.500.000
",Г 1.500.000
11,"ФИБРИЛЛЯЦИЯ ПРЕДСЕРДИЙ ХАРАКТЕРИЗУЕТСЯ:
А комплексами QRS различной формы с частотой 100-120 в минуту
Б хаотическим неправильным ритмом, отсутствием комплексов QRS и зубцов Т
В тахисистолией с различными интервалами R-R и разными по форме комплексами QRS
Г неправильным ритмом с различными интервалами R-R, зубцы Р отсутствуют, могут отмечаться беспорядочные крупно- или мелковолновые колебания изоэлектрической линии, наиболее заметные в отведениях V1 и V2 с частотой 350-700 в минуту
","Г неправильным ритмом с различными интервалами R-R, зубцы Р отсутствуют, могут отмечаться беспорядочные крупно- или мелковолновые колебания изоэлектрической линии, наиболее заметные в отведениях V1 и V2 с частотой 350-700 в минуту
"
12,"ТАХИКАРДИЯ С ШИРОКИМИ КОМПЛЕКСАМИ QRS У ПАЦИЕНТА С ПОСТИНФАРКТНЫМ КАРДИОСКЛЕРОЗОМ С НАИБОЛЬШЕЙ ВЕРОЯТНОСТЬЮ ЯВЛЯЕТСЯ:
А предсердной тахикардией с аберрацией
Б фибрилляцией предсердий с предвозбуждением
В желудочковой тахикардией        
Г антидромной тахикардией
",В желудочковой тахикардией
13,"К АРИТМИЯМ, НЕ СОПРОВОЖДАЮЩИМСЯ НЕДОСТАТОЧНОСТЬЮ КРОВООБРАЩЕНИЯ, ОТНОСИТСЯ:
А фибрилляция предсердий
Б пароксизмальная тахикардия
В предсердная экстрасистолия
Г полная атриовентрикулярная блокада
",В предсердная экстрасистолия
14,"ДЛЯ ОЦЕНКИ РИСКА ИНСУЛЬТА У ПАЦИЕНТОВ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ РЕКОМЕНДУЕТСЯ ИСПОЛЬЗОВАТЬ ШКАЛУ6
А ORBIT
Б HAS-BLED
В CHA2DS2-VASc
Г ATRIA
",В CHA2DS2-VASc
15,"УВЕЛИЧЕНИЕ КОЛИЧЕСТВА МЕЖКЛЕТОЧНОЙ (ИНТЕРСТИЦИАЛЬНОЙ) ЖИДКОСТИ ЗА СЧЁТ ИЗБЫТОЧНОЙ ФИЛЬТРАЦИИ ПЛАЗМЫ ПРИ НОРМАЛЬНОМ ДАВЛЕНИИ ХАРАКТЕРНО ДЛЯ:
А гипертонического криза
Б острого коронарного синдрома
В отёка лёгкого
Г тромбомболии лёгочной артерии
",В отёка лёгкого
16,"В ОСНОВЕ ПАТОГЕНЕЗА ИСТИННОГО КАРДИОГЕННОГО ШОКА ПРИ ИНФАРКТЕ МИОКАРДА ЛЕЖИТ:
А стрессовая реакция на болевые раздражители
Б снижение насосной функции сердца
В артериальная гипотония
Г гиповолемия
",Б снижение насосной функции сердца
17,"ПРИ МОЛНИЕНОСНОЙ ФОРМЕ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ЭМБОЛ ЗАКРЫВАЕТ:
А периферические ветви легочной артерии
Б легочные вены и брахиоцефальный ствол
В основной ствол легочной артерии
Г крупные ветви легочной артерии
",В основной ствол легочной артерии
18,"У БОЛЬНОГО СО СТЕНОЗОМ УСТЬЯ АОРТЫ БЕЗ ПРИЗНАКОВ НЕДОСТАТОЧНОСТИ КРОВООБРАЩЕНИЯ И КОРОНАРНОЙ НЕДОСТАТОЧНОСТИ ПОЯВИЛИСЬ ОБМОРОКИ ПРИ ФИЗИЧЕСКИХ УСИЛИЯХ, ЧТО ВЫЗЫВАЕТ НЕОБХОДИМОСТЬ:
А провести обследование с целью исключения тромбоэмболии мелких ветвей легочной артерии
Б провести консультации врача-кардиохирурга для решения вопроса о возможности хирургического лечения порока
В назначить препараты, улучшающие инотропную функцию миокарда
Г установить кардиостимулятор
",Б провести консультации врача-кардиохирурга для решения вопроса о возможности хирургического лечения порока
19,"АНОМАЛИЮ ОТХОЖДЕНИЯ КОРОНАРНЫХ АРТЕРИЙ ОТ ЛЕГОЧНОГО СТВОЛА ПОДРАЗДЕЛЯЮТ НА ДВА ТИПА В ЗАВИСИМОСТИ ОТ:
А развития коллатералей
Б типа коронарного кровоснабжения
В наличия аневризмы левого желудочка
Г расположения устьев коронарных артерий
",А развития коллатералей
20,"БАЛЛОННАЯ ВАЛЬВУЛОПЛАСТИКА АОРТАЛЬНОГО КЛАПАНА МОЖЕТ РАССМАТРИВАТЬСЯ У ПАЦИЕНТОВ С:
А острой аортальной недостаточностью
Б умеренным аортальным стенозом
В тяжелым аортальным стенозом и нестабильной гемодинамикой
Г аневризмой аорты
",В тяжелым аортальным стенозом и нестабильной гемодинамикой
21,"ПРИ ПРОВЕДЕНИИ СЕРДЕЧНО-ЛЕГОЧНОЙ РЕАНИМАЦИИ ДВУМЯ ЛЮДЬМИ РАЦИОНАЛЬНЫМ ЯВЛЯЕТСЯ ВЫПОЛНЕНИЕ ____ КОМПРЕССИЙ ГРУДНОЙ КЛЕТКИ НА _____ ВДУВАНИЯ ВОЗДУХА В ЛЕГКИЕ:
А 30; 2
Б 20; 2
В 10; 1
Г 15; 1
",А 30; 2
22,"ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА С ЦЕЛЬЮ КУПИРОВАНИЯ ПАРОКСИЗМА ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПОВОДОМ ДЛЯ ПРЕКРАЩЕНИЯ ВВЕДЕНИЯ ЯВЛЯЕТСЯ:
А расширение комплекса QRS на 20% от исходной величины и развитие гипертензии
Б развитие гипертензии; замедление частоты сокращений желудочков; переход фибрилляции предсердий в трепетание
В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии
Г расширение комплекса QRS на 40% от исходной величины; переход фибрилляции предсердий в трепетание
",В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии
23,"ВНЕЗАПНАЯ, БЕЗ ПРЕДВЕСТНИКОВ, ПОТЕРЯ СОЗНАНИЯ ХАРАКТЕРНА ДЛЯ:
А проявлений эписиндрома
Б нарушений сердечного ритма
В интоксикации сердечными гликозидами
Г вертебробазилярной недостаточности
",Б нарушений сердечного ритма
24,"ДЛЯ КОРРЕКЦИИ ТЕРАПИИ ПРИ РАЗВИТИИ ВТОРИЧНОГО АЛЬДОСТЕРОНИЗМА У БОЛЬНЫХ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ПРИМЕНЯЮТ:
А комбинацию фуросемида с гипотиазидом
Б верошпирон
В кислые пищевые продукты
Г внутривенную инфузию калия хлорида
",Б верошпирон
25,"ДЛЯ ЛЕЧЕНИЯ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С СОХРАННОЙ ФВ ЛЖ ИСПОЛЬЗУЮТ:
А сердечные гликозиды
Б дезагреганты
В ингибиторы ангиотензинконвертирующего фермента	
Г прямые антикоагулянты
",В ингибиторы ангиотензинконвертирующего фермента
26,"ПАЦИЕНТАМ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ СЛЕДУЕТ ИЗБЕГАТЬ ПРИЕМА АГОНИСТОВ ИМИДАЗОЛИНОВЫХ РЕЦЕПТОРОВ, ТАК КАК:
А увеличивают риск развития сахарного диабета
Б прием агонистов имидазолиновых рецепторов не противопоказан
В обладают отрицательным инотропным действием
Г они ухудшают прогноз и увеличивают смертность
",Г они ухудшают прогноз и увеличивают смертность
27,"МЕДИЦИНСКИЕ РАБОТНИКИ ИМЕЮТ ПРАВО НА:
А выписку лекарственных препаратов на бланках, содержащих рекламную информацию
Б стимулирование труда в соответствии со спецификой и сложностью работы
В предоставление пациенту образцов лекарственных препаратов, полученных бесплатно от фармацевтических компаний
Г оплату отдыха, проезда к месту отдыха за счет организаций, занимающихся разработкой, производством и (или) реализацией лекарственных препаратов
","Г оплату отдыха, проезда к месту отдыха за счет организаций, занимающихся разработкой, производством и (или) реализацией лекарственных препаратов
"
28,"СОБЛЮДЕНИЕ ВРАЧЕБНОЙ ТАЙНЫ ЯВЛЯЕТСЯ ОДНИМ ИЗ ОСНОВНЫХ __________ ОХРАНЫ ЗДОРОВЬЯ:
А направлений
Б факторов
В принципов
Г приоритетов
",В принципов
29,"ИЗ УСЛОВИЙ, ВЛИЯЮЩИХ НА ЗДОРОВЬЕ, НАИБОЛЕЕ ЗНАЧИМЫМ, СОГЛАСНО ДАННЫМ ВОЗ, ЯВЛЯЕТСЯ:
А внешняя среда
Б образ жизни
В наследственность
Г здравоохранение
",Б образ жизни
30,"ВЫСЛУШИВАНИЕ ДВОЙНОГО ШУМА ДЮРОЗЬЕ НА БЕДРЕННОЙ АРТЕРИИ СВИДЕТЕЛЬСТВУЕТ О:
А недостаточности митрального клапана
Б стенозе устья аорты
В недостаточности аортального клапана
Г недостаточности клапана лёгочной артерии
",В недостаточности аортального клапана
31,"КРИТИЧЕСКИМ СЧИТАЕТСЯ УМЕНЬШЕНИЕ ПЛОЩАДИ АОРТАЛЬНОГО ОТВЕРСТИЯ ДО (В СМ2):
А 0,5
Б 6
В 2
Г 4


","А 0,5"
32,"СИМПТОМ ПЛЕША СЧИТАЕТСЯ ПОЛОЖИТЕЛЬНЫМ ПРИ:
А увеличении набухания шейных вен при надавливании на печень
Б акценте 2 тона на лёгочной артерии
В раздвоении 2 тона на лёгочной артерии
Г положительном венном пульсе
",А увеличении набухания шейных вен при надавливании на печень
33,"ПРИ АОРТАЛЬНОЙ НЕДОСТАТОЧНОСТИ ПУЛЬС БУДЕТ:
А мягкий и скорый
Б высокий и быстрый
В низкий и медленный
Г медленный и малый
",Б высокий и быстрый
34,"ХАРАКТЕРНЫМ ПРИЗНАКОМ ОСТРОГО КОРОНАРНОГО СИНДРОМА С ПОРАЖЕНИЕМ СТВОЛА ЛЕВЫХ КОРОНАРНЫХ АРТЕРИЙ ЯВЛЯЕТСЯ ЭЛЕВАЦИЯ СЕГМЕНТА ST В ОТВЕДЕНИИ:
А aVR
Б aVF
В aVL	
Г V1-4
",А aVR
35,"НАИБОЛЕЕ ЧАСТОЙ ФОРМОЙ ИНФАРКТА МИОКАРДА ЯВЛЯЕТСЯ:
А астматическая
Б церебро-васкулярная
В ангинозная
Г гастралгическая
",В ангинозная
36,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ ОСТРОГО КОРОНАРНОГО СИНДРОМА (ОКС) ЯВЛЯЕТСЯ:
А разрыв атеросклеротической бляшки
Б спонтанная диссекция коронарных артерий
В прогрессивное увеличение массы атеросклеротической бляшки с последующей полной закупоркой коронарной артерии
Г выраженный спазм коронарных артерий
",А разрыв атеросклеротической бляшки
37,"ОДНИМ ИЗ ПРИЗНАКОВ ТАМПОНАДЫ СЕРДЦА ЯВЛЯЕТСЯ:
А коллабирование правого предсердия
Б значительное количество выпота
В значительная вариабельность наполнения камер сердца в зависимости от фаз дыхания
Г циркулярное распространение перикардиального выпота
",В значительная вариабельность наполнения камер сердца в зависимости от фаз дыхания
38,"ОСНОВНЫМ СИМПТОМОМ В КЛИНИКЕ ЭКССУДАТИВНОГО ПЕРИКАРДИТА ЯВЛЯЕТСЯ:
А одышка
Б аритмия
В боль в грудной клетке
Г артериальная гипертензия
",А одышка
39,"ВИРУСНЫЕ И ИДИОПАТИЧЕСКИЕ ОСТРЫЕ ПЕРИКАРДИТЫ:
А нередко приводят к летальному исходу
Б чаще наблюдаются у мужчин
В чаще наблюдаются у женщин
Г чаще всего заканчиваются переходом в хронический перикардит
",Б чаще наблюдаются у мужчин
40,"III ФУНКЦИОНАЛЬНЫЙ КЛАСС ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ СООТВЕТСТВУЕТ, КОГДА:
А симптомы болей за грудиной, одышка, слабость, сердцебиение присутствуют и усиливаются при минимальной физической активности, а при состоянии покоя симптомы не проявляются
Б значительная и повседневная физическая нагрузка приводит к возникновению и усилению симптомов, тогда как в покое слабость, одышка и другие симптомы отсутствуют
В в покое симптомы отсутствуют, физическая активность меньшей интенсивности по сравнению с привычными нагрузками сопровождается появлением симптомов
Г привычная физическая активность сопровождается слабостью, утомляемостью, одышкой или сердцебиением по сравнению с состоянием покоя, когда перечисленные симптомы отсутствуют
","В в покое симптомы отсутствуют, физическая активность меньшей интенсивности по сравнению с привычными нагрузками сопровождается появлением симптомов"
41,"ЖАЛОБЫ ПАЦИЕНТА НА ОДЫШКУ ПРИ ФИЗИЧЕСКОЙ НАГРУЗКЕ, УСИЛИВАЮЩУЮСЯ В ГОРИЗОНТАЛЬНОМ ПОЛОЖЕНИИ, ПОЗВОЛЯЮТ УСТАНОВИТЬ ______ СТАДИЮ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ:
А 1
Б 3
В 2А
Г 2Б
",В 2А
42,"НАИБОЛЕЕ ХАРАКТЕРНОЙ ЖАЛОБОЙ У ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ЯВЛЯЕТСЯ:
А одышка
Б ноющая боль в области сердца
В боль в суставах
Г головная боль
",А одышка
43,"К ОСНОВНЫМ ПРИЗНАКАМ ЛЕВОЖЕЛУДОЧКОВОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ОТНОСЯТ:
А венозный застой в большом круге кровообращения
Б приступы сердечной астмы
В слабость
Г отеки ног
",Б приступы сердечной астмы
44,"ПОКАЗАТЕЛИ ПРОТЕЗНОЙ ГЕМОДИНАМИКИ В НОРМЕ ЗАВИСЯТ ОТ:
А материала, из которого изготовлен протез
Б сократительной функции миокарда
В шовного материала
Г места имплантации, размера и конструкции протеза
","Г места имплантации, размера и конструкции протеза"
45,"ПРИ ПРОВЕДЕНИИ ЧРЕСПИЩЕВОДНОЙ ЭЛЕКТРОКАРДИОСТИМУЛЯЦИИ НАВЯЗЫВАЕТСЯ РИТМ ____ СЕРДЦА:
А правому предсердию
Б левому предсердию
В левому желудочку
Г правому желудочку
",Б левому предсердию
46,"СОСТОЯНИЕ ДУГИ АОРТЫ ОЦЕНИВАЕТСЯ:
А из апикального доступа
Б субкостально
В супрастернально
Г парастенально
",В супрастернально
47,"ПРОДОЛЖИТЕЛЬНОСТЬ ИНТЕРВАЛА PQ НА ЭЛЕКТРОКАРДИОГРАММЕ В НОРМЕ СОСТАВЛЯЕТ (В СЕКУНДАХ):
А 0,12-0,20
Б менее 0,10
В более 0,25
Г от 0,20 до 0,40
","А 0,12-0,20"
48,"У БОЛЬНЫХ С ДИЛАТАЦИОННОЙ КАРДИОМИОПАТИЕЙ ПРИ ЭХОКАРДИОГРАФИИ ВЫЯВЛЯЮТ:
А гипертрофию стенок сердца
Б дилатацию всех камер сердца
В дилатацию левого предсердия
Г уменьшение объема камер сердца
",Б дилатацию всех камер сердца
49,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА СЕРДЕЧНО-СОСУДИСТЫХ ЗАБОЛЕВАНИЙ У ПАЦИЕНТОВ С АГ ЯВЛЯЕТСЯ:
А наследственность
Б возраст
В пол
Г уровень АД
",Г уровень АД
50,"3 СТЕПЕНИ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ СООТВЕТСТВУЕТ СИСТОЛИЧЕСКОЕ АРТЕРИАЛЬНОЕ ДАВЛЕНИЕ ________ ММ РТ. СТ. И/ИЛИ ДИАСТОЛИЧЕСКОЕ _________ ММ РТ. СТ.:
А выше 180; выше 110
Б 160-180; 94-100
В выше 200; выше 110
Г ≥180; ≥110
",Г ≥180; ≥110
51,"ДЛЯ ДИАГНОСТИКИ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ РЕКОМЕНДОВАНО _______ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ:
А проводить один раз в неделю домашний самоконтроль
Б внеофисное однократное измерение
В повторное измерение «офисного»
Г однократное измерение «офисного»
",В повторное измерение «офисного»
52,"К АССОЦИИРОВАННОМУ СОСТОЯНИЮ ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСИТСЯ:
А гипертрофия левого желудочка
Б пульсовое АД >60 мм рт. ст. (у пожилого и старческого контингента)
В транзиторная ишемическая атака
Г ХБП с рСКФ 30-60 мл/мин./1,73 кв. м
",В транзиторная ишемическая атака
53,"ТАКТИКА ПРИ РАЗРЫВЕ КОРОНАРНОЙ АРТЕРИИ ВО ВРЕМЯ БАЛЛОННОЙ АНГИОПЛАСТИКИ ВКЛЮЧАЕТ:
А имплантацию стандартного стента с лекарственным покрытием
Б прекращение всех манипуляций и экстренно аортокоронарное шунтирование
В введение тромболизирующих препаратов
Г пережатие баллонным катетером и имплантацию стент-графта с последующим АКШ
",Г пережатие баллонным катетером и имплантацию стент-графта с последующим АКШ
54,"ПРИ ВОССТАНОВЛЕНИИ ПРОХОДИМОСТИ ОККЛЮЗИРОВАННОЙ КОРОНАРНОЙ АРТЕРИИ У БОЛЬНЫХ ОСТРЫМ ИНФАРКТОМ МИОКАРДА В ПЕРВЫЕ ЧАСЫ ЗАБОЛЕВАНИЯ НАБЛЮДАЕТСЯ:
А быстрое возвращение сегмента ST к изолинии
Б обычная динамика сегмента ST
В более медленное возвращение сегмента ST к изолинии
Г исчезновение патологических зубцов Q
",А быстрое возвращение сегмента ST к изолинии
55,"ПОВЫШЕНИЕ ЭКСКРЕЦИИ КАТЕХОЛАМИНОВ С МОЧОЙ ВЫЗЫВАЕТ:
А празозин
Б фуросемид
В резерпин
Г пропранолол
",Г пропранолол
56,"К НАИБОЛЕЕ ЧАСТЫМ ВОЗБУДИТЕЛЯМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ОТНОСЯТ:
А грибы
Б грамотрицательную микрофлору
В L-формы бактерий
Г грамположительную микрофлору
",Г грамположительную микрофлору
57,"ПРИЧИНОЙ ОСТРОГО ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЧАЩЕ ВСЕГО ЯВЛЯЮТСЯ:
А энтерококки
Б грибы
В стрептококки
Г стафилококки
",Г стафилококки
58,"НАИБОЛЕЕ ЧАСТО ВСТРЕЧАЮЩИМСЯ ВОЗБУДИТЕЛЕМ ОСТРОГО ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ:
А золотистый стафилококк
Б зеленящий стрептококк
В эпидермальный стрептококк
Г синегнойная палочка
",А золотистый стафилококк
59,"БЕРЕМЕННЫМ ЖЕНЩИНАМ С АРТЕРИАЛЬНОЙ ГИПЕРТОНИЕЙ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ:
А метилдопы
Б каптоприла
В лабеталола
Г нифедипина
",Б каптоприла
60,"К ПРЕПАРАТАМ, МАСКИРУЮЩИМ ГИПОГЛИКЕМИЮ, ОТНОСЯТ:
А антагонисты кальция
Б тиазидоподобные диуретики
В бета-блокаторы
Г ИАПФ
",В бета-блокаторы
61,"К ПРЕПАРАТАМ ПЕРВОГО ВЫБОРА ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ У БОЛЬНЫХ САХАРНЫМ ДИАБЕТОМ ОТНОСЯТ:
А бета-адреноблокаторы
Б диуретики
В ингибиторы ангиотензин-превращающего фермента
Г антагонисты альдостерона
",В ингибиторы ангиотензин-превращающего фермента
62,"ПРИ ВНЕЗАПНОМ ПОВЫШЕНИИ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ И ВЫРАЖЕННОЙ ТАХИКАРДИИ ПОКАЗАН ПРИЁМ:
А β-адреноблокаторов
Б блокаторов рецепторов ангиотензина II
В β-адреномиметиков
Г петлевых диуретиков
",А β-адреноблокаторов
63,"КАТЕТЕРНАЯ РАДИОЧАСТОТНАЯ АБЛАЦИЯ ПО ПОВОДУ ТИПИЧНОГО ТРЕПЕТАНИЯ ПРЕДСЕРДИЙ ПРОВОДИТСЯ В:
А правом предсердии
Б правом желудочке
В левом предсердии	
Г левом желудочке
",А правом предсердии
64,"ДЛЯ ПРОФИЛАКТИКИ ИНСУЛЬТА ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ У ПАЦИЕНТОВ С МЕХАНИЧЕСКИМИ ПРОТЕЗАМИ НУЖНО ИСПОЛЬЗОВАТЬ:
А апиксабан
Б варфарин
В аспирин
Г дабигатран
",Б варфарин
65,"ДЛЯ МЕДИКАМЕНТОЗНОЙ КАРДИОВЕРСИИ ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ РЕКОМЕНДУЕТСЯ ИСПОЛЬЗОВАТЬ:
А амиодарон
Б дигоксин
В верапамил
Г бисопролол
",А амиодарон
66,"КАКОЙ ВИД ХОДЬБЫ РЕКОМЕНДУЕТСЯ ПАЦИЕНТАМ С ТУБЕРКУЛЕЗОМ ЛЕГКИХ И ИНФАРКТОМ МИОКАРДА НА СТАЦИОНАРНОМ ЭТАПЕ РЕАБИЛИТАЦИИ?:
А скандинавская
Б спортивная
В по лестницам
Г дозированная
",Г дозированная
67,"ОСНОВНЫМ ОБЩИМ ПОСЛЕДСТВИЕМ ГИПОДИНАМИИ ДЛЯ СЕРДЦА ЯВЛЯЕТСЯ:
А снижение риска заболеваний миокарда
Б увеличение частоты сердечных сокращений, снижение ударного и минутного объема
В уменьшение частоты сердечных сокращений
Г увеличение адаптационных возможностей миокарда
","Б увеличение частоты сердечных сокращений, снижение ударного и минутного объема"
68,"НА ЗАНЯТИЯХ ЛЕЧЕБНОЙ ФИЗКУЛЬТУРОЙ КАРДИОЛОГИЧЕСКИМ БОЛЬНЫМ СЛЕДУЕТ ДАВАТЬ УПРАЖНЕНИЯ НА:
А выносливость
Б увеличение мышечной массы
В ловкость
Г гибкость

",А выносливость
69,"ПАТОГНОМОНИЧНЫМ ПРИЗНАКОМ СЕМЕЙНОЙ ДИСЛИПОПРОТЕИДЕМИИ ЯВЛЯЕТСЯ:
А ксантоматоз ахилловых сухожилий
Б липоидная дуга роговицы
В ксантоматоз ладоней
Г увеличение печени и селезенки

",А ксантоматоз ахилловых сухожилий
70,"ПРИ ТИРЕОТОКСИКОЗЕ СОДЕРЖАНИЕ ХОЛЕСТЕРИНА В КРОВИ:
А зависит от поражения печени
Б увеличивается
В уменьшается
Г не изменяется
",В уменьшается
71,"В ШКАЛЕ SCORE УЧИТЫВАЮТСЯ:
А общий холестерин, диастолическое артериальное давление, ожирение, возраст, курение
Б дислипидемия, наличие инфаркта миокарда в анамнезе, пол, возраст, систолическое артериальное давление
В возраст, систолическое артериальное давление, общий холестерин, курение, пол
Г пол, возраст, липопротеины низкой плотности, общий холестерин, диастолическое артериальное давление


","В возраст, систолическое артериальное давление, общий холестерин, курение, пол"
72,"К ФЕНОТИПИЧЕСКИМ ОСОБЕННОСТЯМ ДИСЛИПИДЕМИЙ ОТНОСЯТСЯ:
А ксантелазмы
Б узелки Гебердена
В тофусы	
Г узелки Бушара
",А ксантелазмы
73,"ЭЛЕКТРОКАРДИОГРАФИЧЕСКИМ ПОКАЗАТЕЛЕМ, ИМЕЮЩИМ ПРЕИМУЩЕСТВЕННО ДИАГНОСТИЧЕСКОЕ ЗНАЧЕНИЕ ПРИ ОСТРЫХ ИНФЕКЦИОННЫХ МИОКАРДИТАХ, ЯВЛЯЕТСЯ:
А появление патологического зубца Q
Б подъём сегмента SТ в 2-3 отведениях
В нарушение АВ проводимости
Г нарушение проводимости по левой ножке пучка Гиса
",В нарушение АВ проводимости
74,"К МЕТОДУ ИССЛЕДОВАНИЯ ДЛЯ ПОДТВЕРЖДЕНИЯ ДИАГНОЗА «МИОКАРДИТ» ОТНОСЯТ:
А ЭХО-КГ
Б коронароангиографию
В рентгенографию органов грудной клетки
Г сцинтиграфию миокарда с радиофармпрепаратами, тропными к очагу воспаления
","Г сцинтиграфию миокарда с радиофармпрепаратами, тропными к очагу воспаления"
