Вопрос,Ответ
16,"ОПТИМАЛЬНЫЕ ЗНАЧЕНИЯ ЛИПИДНЫХ ПАРАМЕТРОВ У ПАЦИЕНТА С ОЧЕНЬ ВЫСОКИМ СЕРДЕЧНО-СОСУДИСТЫМ РИСКОМ ПО ЕВРОПЕЙСКИМ РЕКОМЕНДАЦИЯМ 2018 ГОДА: ХОЛЕСТЕРИН ЛИПОПРОТЕИДОВ
А низкой плотности не выше 2,5 ммоль/л
Б высокой плотности ниже 0,8 ммоль/л, липопротеиды низкой плотности не выше 3 ммоль/л
В низкой плотности не выше 1,4 ммоль/л
Г высокой плотности ниже 0,8 ммоль/л, липопротеиды низкой плотности не выше 3 ммоль/л, общий холестерин не превышает 5 ммоль/л","В низкой плотности не выше 1,4 ммоль/л "
17,"НЕМЕДИКАМЕНТОЗНАЯ ТЕРАПИЯ ДИСЛИПИДЕМИИ ПРЕДУСМАТРИВАЕТ
А соблюдение водно-солевого режима
Б прекращение курения 	
В ограничение физических нагрузок
Г отказ от алкоголя",Б прекращение курения 
18,"ПРИЕМ СТАТИНА СЛЕДУЕТ ОТМЕНИТЬ, ЕСЛИ УРОВЕНЬ АЛТ ПРЕВЫШАЕТ В______ НОРМУ В ДВУХ ПОСЛЕДОВАТЕЛЬНЫХ ИЗМЕРЕНИЯХ
А 5 раз
Б 1,5 раза
В 3 раза	
Г 10 раз",В 3 раза	
19,"ДЛЯ ЛЕЧЕНИЯ ГИПЕРХОЛЕСТЕРИНЕМИИ РЕКОМЕНДУЮТ
А никотиновую кислоту
Б статины
В секвестранты желчных кислот
Г ингибиторы абсорбции холестерина",Б статины 
20,"ОБЪЕКТИВНЫЕ ПОКАЗАТЕЛИ ЛЁГОЧНОЙ ГИПЕРТЕНЗИИ И ЛЁГОЧНОГО СЕРДЦА МОЖНО ПОЛУЧИТЬ ПРИ
А аортокардиальном зондировании
Б катетеризации венозных стволов верхних конечностей
В селективной катетеризации лёгочных вен
Г флебокардиальном зондировании",Г  флебокардиальном зондировании
21,"ДИЛАТАЦИОННАЯ КАРДИОМИОПАТИЯ ЧАЩЕ ВСЕГО РАЗВИВАЕТСЯ В ____________ ВОЗРАСТЕ
А детском
Б пожилом
В среднем
Г старческом",В среднем
22,"ОДЫШКА (DYSPNOE) ПРИ ЗАБОЛЕВАНИЯХ СЕРДЦА ВОЗНИКАЕТ ВСЛЕДСТВИЕ __________________ КРУГЕ КРОВООБРАЩЕНИЯ
А артериального застоя в большом
Б венозного застоя в малом
В венозного застоя в большом
Г артериального застоя в малом",Б венозного застоя в малом 
23,"ПРИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ РАЗВИВАЕТСЯ __ ТИП КАРДИОРЕНАЛЬНОГО СИНДРОМА
А 2
Б 3
В 1
Г 4",2 А
24,"ПОСЛЕ ТРАНСКАТЕТЕРНОЙ ИМПЛАНТАЦИИ АОРТАЛЬНОГО КЛАПАНА НЕОБХОДИМО ПРИНИМАТЬ
А аспирин и клопидогрел – 3 месяца
Б аспирин и клопидогрел - пожизненно
В аспирин – пожизненно, клопидогрел – 3 месяца
Г клопидогрел – пожизненно, аспирин – 3 месяца","В аспирин – пожизненно, клопидогрел – 3 месяца"
25,"КЛИНИЧЕСКИ ЗНАЧИМЫЕ ГЕМОДИНАМИЧЕСКИЕ ИЗМЕНЕНИЯ ПРИ МИТРАЛЬНОМ СТЕНОЗЕ ПОЯВЛЯЮТСЯ ПРИ ПЛОЩАДИ МИТРАЛЬНОГО ОТВЕРСТИЯ (В СМ2)
А 2-2,2
Б 4-4,5
В 3-3,5
Г 1-1,5","А 2-2,2 "
26,"ДЛЯ СНИЖЕНИЯ РИСКА ТРОМБОЗА МЕХАНИЧЕСКОГО ПРОТЕЗА КЛАПАНА СЕРДЦА НЕОБХОДИМ ПОСТОЯННЫЙ ПРИЕМ
А варфарина
Б низкомолекулярного гепарина
В апиксабана
Г нефракционированного гепарина",А варфарина 
27,"ПО ДАННЫМ КОРОНАРОАНГИОГРАФИИ К ПОКАЗАНИЯМ К ОПЕРАЦИИ АОРТО-КОРОНАРНОГО ШУНТИРОВАНИЯ ОТНОСЯТ
А однососудистое поражение коронарных артерий, их извитость, узкий просвет, отсутствие коллатералей у женщин
Б выраженное диффузное поражение коронарных артерий, наличие множественных межмышечных мостиков
В атеросклеротическое поражение ветви тупого края, правый тип кровоснабжения миокарда у мужчин
Г стеноз ствола левой коронарной артерии более 50% или проксимальное трехсосудистое поражение
",Г стеноз ствола левой коронарной артерии более 50% или проксимальное трехсосудистое поражение 
28,"ПРИ ОСТРОМ КОРОНАРНОМ СИНДРОМЕ БЕЗ ПОДЪЁМА СЕГМЕНТА ST, СОПРОВОЖДАЮЩИМСЯ ПОВЫШЕНИЕМ МАРКЕРОВ ПОВРЕЖДЕНИЯ МИОКАРДА, ПОКАЗАНО ПРОВЕДЕНИЕ КОРОНАРОАНГИОГРАФИИ В ТЕЧЕНИЕ (В ЧАСАХ)
А 48
Б 24
В 72
Г 96",Б 24
29,"НЕПОСРЕДСТВЕННОЙ ПРИЧИНОЙ ИНФАРКТА ЯВЛЯЕТСЯ
А тромбоз сосудов
Б артериальная гиперемия
В диапедез эритроцитов
Г разъедание стенок сосудов",А тромбоз сосудов 
30,"ФУРОСЕМИД ОКАЗЫВАЕТ ДЕЙСТВИЕ В ПОЧЕЧНЫХ НЕФРОНАХ
А проксимального извитого канальца
Б дистального извитого канальца
В собирательных трубочек
Г восходящей части петли Генле",Г восходящей части петли Генле 
31,"ПРИ ЛЕЧЕНИИ БЕТА-АДРЕНОБЛОКАТОРАМИ
А снижается потребность миокарда в кислороде
Б уменьшается объем циркулирующей крови
В наблюдается положительный хронотропный эффект
Г развивается гиполипидемический эффект",А снижается потребность миокарда в кислороде
32,"ДЛЯ ИНГИБИТОРОВ ФОСФОДИЭСТЕРАЗЫ-3 ХАРАКТЕРНО
А снижение лёгочно-капиллярного давления
Б уменьшение коронарного кровотока
В уменьшение частоты сердечных сокращений
Г повышение системного артериального давлени",А снижение лёгочно-капиллярного давления
33,"ПОКАЗАНИЕМ К ПРИМЕНЕНИЮ ПЕНТОКСИФИЛЛИНА ЯВЛЯЕТСЯ
А бронхиальная астма
Б профилактика острых респираторных заболеваний
В язвенная болезнь желудка и двенадцатиперстной кишки
Г нарушение периферического кровообращения атеросклеротического генеза",Г нарушение периферического кровообращения атеросклеротического генеза 
34,"МЕДИЦИНСКАЯ КАРТА ПАЦИЕНТА, ПОЛУЧАЮЩЕГО МЕДИЦИНСКУЮ ПОМОЩЬ В АМБУЛАТОРНЫХ УСЛОВИЯХ (ФОРМА №025/У), ОФОРМЛЯЕТСЯ В ПОЛИКЛИНИКЕ НА ПАЦИЕНТА
А один раз в пять лет
Б при каждом обращении
В один раз в год
Г при первичном обращении",Г при первичном обращении 
35,"ДЛЯ КОНТРОЛЯ КАЧЕСТВА ЛЕЧЕБНО-ДИАГНОСТИЧЕСКОГО ПРОЦЕССА В СТРУКТУРНЫХ ПОДРАЗДЕЛЕНИЯХ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ ИСПОЛЬЗУЮТ
А требования техники безопасности
Б показатели фондооснащенности и фондовооруженности
В правила внутреннего распорядка
Г клинические рекомендации",Г клинические рекомендации 
36,"ПЕРЕЧЕНЬ ТЕХНИЧЕСКИХ СРЕДСТВ РЕАБИЛИТАЦИИ ИНВАЛИДОВ УТВЕРЖДАЕТ
А Пенсионный фонд Российской Федерации
Б Правительство Российской Федерации
В Федеральный фонд обязательного медицинского страхования
Г Росздравнадзор",Б Правительство Российской Федерации
37,"СЕРДЕЧНО-ЛЕГОЧНУЮ РЕАНИМАЦИЮ СЛЕДУЕТ НАЧИНАТЬ С
А прекардиального удара
Б тройного приема Сафара
В ИВЛ
Г компрессий грудной клетки",Г компрессий грудной клетки
38,"ПРЕПАРАТОМ ВЫБОРА ПРИ ЛЕЧЕНИИ РЕЦИПРОКНОЙ АВ-ТАХИКАРДИИ ЯВЛЯЕТСЯ
А новокаинамид
Б обзидан
В АТФ
Г дигоксин",В АТФ 
39,"ПОКАЗАНИЕМ К СРОЧНОЙ ЭЛЕКТРИЧЕСКОЙ КАРДИОВЕРСИИ ВЫСТУПАЕТ
А тахиаритмия, сопровождающаяся отёком лёгких
Б узловая брадикардия
В синусовая тахикардия
Г фибрилляция предсердий","А тахиаритмия, сопровождающаяся отёком лёгких "
40,"ОСЬ ОТВЕДЕНИЯ AVR ПЕРПЕНДИКУЛЯРНА ____ ОСИ ОТВЕДЕНИЯ
А aVF
Б I	
В II
Г III",Г III 
41,"ОСТРАЯ ПЕРЕГРУЗКА ПРАВЫХ ОТДЕЛОВ СЕРДЦА НАБЛЮДАЕТСЯ НА ЭКГ ПРИ
А стенозе трикуспидального клапана
Б стенозе митрального клапана
В тромбоэмболии легочной артерии
Г недостаточности аортального клапана",В тромбоэмболии легочной артерии 
42,"НАЛИЧИЕ ИЗОЛИРОВАННЫХ ДИЛАТАЦИЙ ПРАВОГО ЖЕЛУДОЧКА БЕЗ ПАТОЛОГИЧЕСКОГО СБРОСА СЛЕВА НАПРАВО И ПРИ НАЛИЧИИ ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ В АНАМНЕЗЕ МОЖЕТ БЫТЬ ПРИЗНАКОМ
А легочной артериальной гипертензии
Б критического стеноза устья аорты
В аритмогенной дисплазии
Г инфаркта миокарда левого желудочка",В аритмогенной дисплазии 
43,"ОСЦИЛЛЯЦИЯ ПЕРЕДНЕЙ СТВОРКИ МИТРАЛЬНОГО КЛАПАНА ХАРАКТЕРНА ДЛЯ
А аортального стеноза
Б аортальной недостаточности
В дефекта межжелудочковой перегородки
Г дефекта межпредсердной перегородки",Б аортальной недостаточности 
44,"I, II, III ОТВЕДЕНИЯ НАЗЫВАЮТСЯ
А грудными
Б стандартными
В усиленными
Г дополнительными",Б стандартными 
45,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ПРИ ДИАГНОСТИКЕ ВЫПОТНОГО ПЕРИКАРДИТА ЯВЛЯЕТСЯ
А электрокардиография
Б эхокардиография
В спирография
Г рентгенография",Б эхокардиография
46,"КАКИЕ ДАННЫЕ ОБЪЕКТИВНОГО ОБСЛЕДОВАНИЯ ХАРАКТЕРНЫ ДЛЯ ПАЦИЕНТОВ С ЭКССУДАТИВНЫМ ПЕРИКАРДИТОМ?
А резкое повышение АД
Б набухание шейных вен на вдохе
В шум трения перикарда
Г кардиомегалия",Б набухание шейных вен на вдохе 
47,"ЦИРРОЗ ПЕЧЕНИ НА ФОНЕ КОНСТРИКТИВНОГО ПЕРИКАРДИТА ХАРАКТЕРИЗУЕТСЯ
А упорным асцитом
Б гиперспленизмом
В желтухой
Г кровотечением",А упорным асцитом 
48,"ПРИЗНАКОМ СТЕНОЗА УСТЬЯ АОРТЫ, ВЫЯВЛЯЕМЫМ ПРИ КАТЕТЕРИЗАЦИИ ЛЕВЫХ ОТДЕЛОВ СЕРДЦА, ЯВЛЯЕТСЯ
А увеличение градиента систолического давления между левым желудочком и путем оттока из левого желудочка
Б отсутствие градиента систолического давления между левым желудочком и аортой
В значительное увеличение давления в легочной артерии
Г значительное увеличение давления в левом предсердии",А увеличение градиента систолического давления между левым желудочком и путем оттока из левого желудочка
49,"ХАРАКТЕРНЫМ ДЛЯ ВЫРАЖЕННОЙ АОРТАЛЬНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ СИСТОЛО-ДИАСТОЛИЧЕСКИМ ШУМ _________ НАД БЕДРЕННОЙ АРТЕРИЕЙ
А Кумбса
Б Флинта        
В Грэхема-Стилла
Г Дюрозье",Г Дюрозье 
50,"ПУЛЬСАЦИЯ ЗРАЧКОВ ХАРАКТЕРНА ДЛЯ
А митрального стеноза
Б недостаточности трехстворчатого клапана
В стеноза устья аорты
Г аортальной недостаточности",Г аортальной недостаточности 
51,"НАРУШЕНИЕ ДИАСТОЛИЧЕСКОЙ ФУНКЦИИ ЛЕВОГО ЖЕЛУДОЧКА ПО I ТИПУ ДИАГНОСТИРУЕТСЯ В СЛУЧАЕ
А соотношения пиков Е/А менее 1
Б значительного увеличения размера левого предсердия
В соотношения пиков Е/А более 1,5
Г увеличения размера левого желудочка",А соотношения пиков Е/А менее 1
52,"ТИПИЧНОЕ ТРЕПЕТАНИЕ ПРЕДСЕРДИЙ РАЗВИВАЕТСЯ ПО МЕХАНИЗМУ
А повышенному автоматизм
Б макро-реентри
В триггерному
Г микро-реентри",Б макро-реентри
53,"ПРИ ОРТОДРОМНОЙ ТАХИКАРДИИ У ПАЦИЕНТА С СИНДРОМОМ WPW ЭЛЕКТРИЧЕСКИЙ ИМПУЛЬС
А исходит из источника в миокарде желудочков и проводится через дополнительный путь на предсердия
Б исходит из АВ узла и проводится через дополнительный путь на желудочки
В проводится по АВ узлу антеградно, по дополнительному пути – ретроградно
Г проводится по АВ узлу ретроградно, по дополнительному пути – антеградно","В проводится по АВ узлу антеградно, по дополнительному пути – ретроградно "
54,"СИНДРОМ WPW ОБУСЛОВЛЕН НАЛИЧИЕМ В МИОКАРДЕ	
А рубцовых изменений
Б пучка Кента
В пучка Джеймса
Г эктопического водителя ритма",Б пучка Кента 
55,"УДЛИНЕНИЕ ИНТЕРВАЛА QT НАБЛЮДАЕТСЯ ПРИ ЗАДЕРЖКЕ РЕПОЛЯРИЗАЦИИ ЖЕЛУДОЧКОВ И ПРЕДРАСПОЛАГАЕТ К НАРУШЕНИЯМ РИТМА ПО МЕХАНИЗМУ ОБРАТНОГО ХОДА, ОСОБЕННО К
А желудочковой тахикардии типа «пирует»
Б атриовентрикулярной блокаде 2 степени
В наджелудочковой тахикардии
Г фибрилляции предсердий", А желудочковой тахикардии типа «пирует» 
56,"НЕСТАБИЛЬНАЯ СТЕНОКАРДИЯ ПРОГНОСТИЧЕСКИ НЕБЛАГОПРИЯТНА В ПЛАНЕ РАЗВИТИЯ
А венозной недостаточности
Б легочной гипертензии
В тромбоэмболии мозговых сосудов
Г инфаркта миокарда",Г инфаркта миокарда
57,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ СМЕРТИ НА ДОГОСПИТАЛЬНОМ ЭТАПЕ В ПЕРВЫЕ ЧАСЫ РАЗВИТИЯ ОСТРОГО ИНФАРКТА МИОКАРДА С ПОДЪЕМОМ СЕГМЕНТА ST ЯВЛЯЕТСЯ
А АВ-блокада 2-3 степени
Б фибрилляция предсердий
В фибрилляция желудочков
Г электромеханическая диссоциация",В фибрилляция желудочков 
58,"ПРИ НЕДОСТУПНОСТИ АНГИОГРАФИЧЕСКОЙ УСТАНОВКИ РЕПЕРФУЗИОННАЯ ТЕРАПИЯ У БОЛЬНЫХ STEMI ЦЕЛЕСООБРАЗНА В ПЕРВЫЕ (В ЧАСАХ)
А 6    
Б 48
В 12
Г 24",В 12
59,"ПРИ ХРОНИЧЕСКОМ ИНФЕКЦИОННОМ МИОКАРДИТЕ ПРЕИМУЩЕСТВЕННО ВОЗРАСТАЕТ УРОВЕНЬ ИММУНОГЛОБУЛИНОВ КЛАССА
А IgA 	
Б IgG
В IgM	
Г IgE",Б IgG 
60,"ПРИ ОСТРЫХ МИОКАРДИТАХ ЛЁГКОГО ТЕЧЕНИЯ ЧАЩЕ ВСЕГО НАБЛЮДАЕТСЯ
А наличие перебоев в работе сердца
Б наличие отёков нижних конечностей
В одышка при небольших физических нагрузках
Г чувство нехватки воздуха в покое",А наличие перебоев в работе сердца
61,"К ХАРАКТЕРНЫМ ДЛЯ МИОКАРДИТА ЭКГ- ПРИЗНАКАМ ОТНОСЯТ
А низковольтажную ЭКГ, ширину комплекса PQ = 0, 22 cек, QRS= 0,12 сек
Б дискордантное смещение сегмента ST выше изолинии
В смещение сегмента ST ниже изолинии, отрицательный зубец Т
Г конкордантное смещение сегмента ST выше изолинии","В смещение сегмента ST ниже изолинии, отрицательный зубец Т "
62,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ НЕИНВАЗИВНЫМ МЕТОДОМ ДИАГНОСТИКИ МИОКАРДИТА ЯВЛЯЕТСЯ
А оценка маркеров повреждения миокарда
Б МРТ с контрастным усилением
В коронарография
Г оценка уровня аутоантител к кардиомиоцитам",Б МРТ с контрастным усилением 
63,"В ОСНОВЕ ПАТОГЕНЕЗА ИСТИННОГО КАРДИОГЕННОГО ШОКА ПРИ ИНФАРКТЕ МИОКАРДА ЛЕЖИТ
А снижение насосной функции сердца
Б стрессовая реакция на болевые раздражители
В гиповолемия
Г артериальная гипотония",А снижение насосной функции сердца
64,"УВЕЛИЧЕНИЕ КОЛИЧЕСТВА МЕЖКЛЕТОЧНОЙ (ИНТЕРСТИЦИАЛЬНОЙ) ЖИДКОСТИ ЗА СЧЁТ ИЗБЫТОЧНОЙ ФИЛЬТРАЦИИ ПЛАЗМЫ ПРИ НОРМАЛЬНОМ ДАВЛЕНИИ ХАРАКТЕРНО ДЛЯ
А тромбомболии лёгочной артерии
Б отёка лёгкого
В гипертонического криза
Г острого коронарного синдрома",Б отёка лёгкого 
65,"ПРИ РАЗВИТИИ ОТЕКА ЛЕГКИХ У БОЛЬНОГО С ОСТРЫМ ИНФАРКТОМ МИОКАРДА НА ФОНЕ НОРМАЛЬНОГО ИЛИ ПОВЫШЕННОГО АД ПОКАЗАНА
А инфузия ингибиторов АПФ
Б инфузия нитратов и внутривенное введение фуросемида
В инфузия добутамина
Г параллельная инфузия допамина и нитроглицерина",Б инфузия нитратов и внутривенное введение фуросемида
66,"НЕТИПИЧНЫМ ДЛЯ КЛАССИЧЕСКОЙ СТАБИЛЬНОЙ СТЕНОКАРДИИ НАПРЯЖЕНИЯ ЯВЛЯЕТСЯ
А купирование приступа в покое или после приема Нитроглицерина
Б возникновение приступа при физической и/или эмоциональной нагрузке
В продолжительность приступа более 30 минут
Г дискомфорт (боль) за грудиной с иррадиацией в плечо, руку, шею",В продолжительность приступа более 30 минут 
67,"У ПАЦИЕНТА С АНГИНОЗНЫМИ БОЛЯМИ, ВОЗНИКАЮЩИМИ ПРИ ХОДЬБЕ НА 400 М В ОБЫЧНОМ ТЕМПЕ, ОПРЕДЕЛЯЕТСЯ _____ ФУНКЦИОНАЛЬНЫЙ КЛАСС СТЕНОКАРДИИ
А I
Б III
В II
Г IV",В II 
68,"К ПРИЗНАКАМ НЕСТАБИЛЬНОЙ СТЕНОКАРДИИ ОТНОСЯТ
А появление патологического з. Q на ЭКГ
Б снижение АД без гипотензивной терапии
В нарушения ритма и проводимости
Г изменение длительности и интенсивности болевых приступов",Г изменение длительности и интенсивности болевых приступов 
69,"В РЕЗУЛЬТАТЕ РЕАБИЛИТАЦИОННЫХ МЕРОПРИЯТИЙ ПОСЛЕ ПЕРЕНЕСЕННОГО ИНФАРКТА МИОКАРДА ТРУДОСПОСОБНЫМИ СТАНОВЯТСЯ ______ БОЛЬНЫХ (В ПРОЦЕНТАХ)
А 70-80
Б 10-20
В 20-30
Г 40-50",А 70-80 
70,"К ОСНОВНЫМ ВИДАМ ФИЗИЧЕСКОЙ НАГРУЗКИ, ПРИМЕНЯЮЩИМСЯ НА САНАТОРНОМ ЭТАПЕ РЕАБИЛИТАЦИИ БОЛЬНЫХ, ПЕРЕНЕСШИХ ИНФАРКТ МИОКАРДА, ОТНОСЯТ
А дозированную тренировочную ходьбу
Б трудотерапию
В силовые упражнения
Г подвижные игры",А дозированную тренировочную ходьбу 
71,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С ПРОМЕЖУТОЧНЫМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ
А отсутствие патологической симптоматики в покое
Б остановка сердца в анамнезе
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г неосложненный инфаркт миокарда",Г неосложненный инфаркт миокарда 
72,"К АРТЕРИАЛЬНОЙ СИСТОЛИЧЕСКОЙ ГИПЕРТЕНЗИИ У ЛИЦ СТАРШЕГО ВОЗРАСТА ЧАЩЕ ПРИВОДИТ
А атеросклероз аорты
Б нейроциркуляторная дистония
В хронический пиелонефрит
Г хроническая ишемия мозга",А атеросклероз аорты 
73,"С ТОЧКИ ЗРЕНИЯ ДОКАЗАТЕЛЬНОЙ МЕДИЦИНЫ НАИБОЛЬШЕЕ ВЛИЯНИЕ НА ПОВЫШЕНИЕ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ОКАЗЫВАЕТ
А умеренное потребление алкоголя
Б снижение потребления моно- и дисахаридов
В прекращение курения табака
Г повышение уровня физической активности",Г повышение уровня физической активности 
74,"РАЗВИТИЕ ИБС В ДЕТСКОМ ВОЗРАСТЕ ВОЗМОЖНО ПРИ
А гомозиготной семейной гиперхолестеринемии
Б семейном дефиците липопротеидлипазы
В комбинированной семейной гиперлипидемии
Г семейной гипертриглицеридемии",А гомозиготной семейной гиперхолестеринемии
75,"В ШКАЛЕ SCORE ДЛЯ ОПРЕДЕЛЕНИЯ РИСКА СЕРДЕЧНО-СОСУДИСТОЙ СМЕРТИ УЧИТЫВАЮТСЯ ПОЛ, ВОЗРАСТ, КУРЕНИЕ, УРОВЕНЬ СИСТОЛИЧЕСКОГО АД И
А диастолического АД
Б общий холестерин
В холестерин ЛПНП
Г глюкоза крови",Б общий холестерин 
76,"ИНГИБИТОРЫ АПФ ПРОТИВОПОКАЗАНЫ ПРИ
А хронической сердечной недостаточности II Б стадии
Б двустороннем стенозе почечной артерии
В повышении АД выше 180/110 мм Hg
Г макрогематурии",Б двустороннем стенозе почечной артерии
77,"ИНГИБИТОРЫ АНГИОТЕНЗИНПРЕВРАЩАЮЩЕГО ФЕРМЕНТА МОГУТ ВЫЗЫВАТЬ
А постренальное острое повреждение почек
Б гипокалиемию	
В гипонатриемию
Г преренальное острое повреждение почек",Г преренальное острое повреждение почек 
