Вопрос,Ответ
10,"СТЕНОКАРДИЯ НАПРЯЖЕНИЯ МОЖЕТ БЫТЬ СИМПТОМОМ:        
А аортального стеноза
Б митрального стеноза
В трикуспидальной недостаточности
Г митральной недостаточности",А аортального стеноза
11,"ДЛЯ АТРЕЗИИ ТРЕХСТВОРЧАТОГО КЛАПАНА ХАРАКТЕРНО:        
А расширение ствола легочной артерии
Б увеличение правого предсердия
В увеличение правого желудочка
Г наличие гиперволемии малого круга кровообращения",Б увеличение правого предсердия
12,"ПРИ СИНДРОМЕ ЛЮТЕМБАШЕ ДЕФЕКТ МЕЖПРЕДСЕРДНОЙ ПЕРЕГОРОДКИ СОЧЕТАЕТСЯ СО СТЕНОЗОМ:        
А аортальным
Б митральным
В трикуспидальным
Г пульмональным",Б митральным
13,"К АНТИАНГИНАЛЬНЫМ СРЕДСТВАМ ПЕРВОГО ВЫБОРА У БОЛЬНЫХ НЕДОСТАТОЧНОСТЬЮ МИТРАЛЬНОГО И/ИЛИ АОРТАЛЬНОГО КЛАПАНОВ ОТНОСЯТСЯ: 
А ингибиторы АПФ
Б верапамил, дилтиазем
В нитраты
Г дигидропиридиновые антагонисты кальция",Г дигидропиридиновые антагонисты кальция
14,"ВДЫХАНИЕ ПАРОВ ЭТИЛОВОГО СПИРТА ПРИ ОТЕКЕ ЛЕГКИХ НЕОБХОДИМО ДЛЯ:       
А уменьшения образования пены в альвеолах
Б вазодилатации
В бронходилатации
Г седативного эффекта",А уменьшения образования пены в альвеолах
15,"ПАЦИЕНТУ С СИНДРОМОМ БРУГАДА ПРИ ПРОТИВОПОКАЗАНИЯХ К ИМЛАНТАЦИИ КАРДИОВЕРТЕРА-ДЕФИБРИЛЛЯТОРА ДОЛЖЕН БЫТЬ РЕКОМЕНДОВАН: 
А хинидин
Б верапамил
В пропафенон
Г бисопролол

",А хинидин
16,"ПРИ АЛЛЕРГИЧЕСКОЙ РЕАКЦИИ НА ЙОД В АНАМНЕЗЕ БОЛЬНОМУ ПРОТИВОПОКАЗАН:        
А верапамил
Б нифедипин
В пропранолол
Г амиодарон

",Г амиодарон
17,"ПРИ ОСТРЫХ МИОКАРДИТАХ ЛЁГКОГО ТЕЧЕНИЯ ЧАЩЕ ВСЕГО НАБЛЮДАЕТСЯ:        
А наличие перебоев в работе сердца
Б наличие отёков нижних конечностей
В чувство нехватки воздуха в покое
Г одышка при небольших физических нагрузках",А наличие перебоев в работе сердца
18,"ДИЛАТАЦИОННАЯ КАРДИОМИОПАТИЯ ХАРАКТЕРИЗУЕТСЯ ДИЛАТАЦИЕЙ ЛЕВОГО ЖЕЛУДОЧКА СО СНИЖЕНИЕМ ЕГО СОКРАТИТЕЛЬНОЙ СПОСОБНОСТИ:        
А резвившейся после перенесенного инфаркта миокарда
Б при отсутствии инфарктов миокарда в анамнезе
В не вызванной ишемией или патологией клапанов сердца
Г вне зависимости от вызвавшей ее причины

",В не вызванной ишемией или патологией клапанов сердца
19,"КАРДИОМИОПАТИЯ ТАКОЦУБО ХАРАКТЕРИЗУЕТСЯ:        
А необратимой систолической дисфункцией
Б диастолической дисфункцией
В преходящей дисфункцией миокарда
Г отсутствием дисфункции миокарда

",В преходящей дисфункцией миокарда
20,"ПРИ НАЛИЧИИ НА ЭХОКАРДИОГРАФИИ АСИММЕТРИЧНОЙ ГИПЕРТРОФИИ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ С ТОЛЩИНОЙ СТЕНКИ БОЛЕЕ 1,5 СМ МОЖНО ПРЕДПОЛОЖИТЬ:        
А артериальную гипертензию
Б гипертрофическую кардиомиопатию
В аортальный стеноз
Г дилатационную кардиомиопатию",Б гипертрофическую кардиомиопатию
21,"ПО ДАННЫМ ЭХОКАРДИОГРАФИИ ПРИЗНАКОМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ:        
А вегетация на клапанах
Б наличие систолической дисфункции
В наличие диастолической дисфункции
Г высокое давление наполнения левого желудочка

",А вегетация на клапанах
22,"ДИАГНОЗ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ВЕРИФИЦИРОВАН ПРИ НАЛИЧИИ ___________ КРИТЕРИЕВ:        
А 4 малых
Б 1 большого и 1 малого
В 5 малых
Г 1 большого и 2 малых

",В 5 малых
23,"У БОЛЬНЫХ ИНФЕКЦИОННЫМ ЭНДОКАРДИТОМ В РЕЗУЛЬТАТЕ ЭМБОЛИИ МЕЛКИХ АРТЕРИЙ КРОВОИЗЛИЯНИЯМИ В СЕТЧАТКУ ЯВЛЯЮТСЯ ПЯТНА:        
А Рота
Б Ослера
В Лукина-Либмана
Г Джейнуэя

",А Рота
24,"ПРИ ГИПЕРТОНИЧЕСКОМ КРИЗЕ НА ФОНЕ ФЕОХРОМОЦИТОМЫ НАЗНАЧАЮТ:        
А внутривенное введение 1,0 мл эналаприлата раствора 1,25% в 50 мл физраствора
Б бета-адреноблокаторы (пропранолол 40 мг) сублингвально, затем переходят на пероральный прием (атенолол 100 мг)
В фентоламин (2-4 мг каждые 5-10 мин.) или нитропруссид натрия до купирования криза или урапидил 0,5% 5 мл внутривенно струйно, затем пероральный прием альфа-блокаторов
Г внутривенное введение бета-адреноблокаторов (обзидан 5-10 мг)

","В фентоламин (2-4 мг каждые 5-10 мин.) или нитропруссид натрия до купирования криза или урапидил 0,5% 5 мл внутривенно струйно, затем пероральный прием альфа-блокаторов"
25,"ЭФФЕКТИВНЫМИ ГИПОТЕНЗИВНЫМИ СРЕДСТВАМИ ПРИ МОНОТЕРАПИИ, НЕ ОКАЗЫВАЮЩИМИ ОТРИЦАТЕЛЬНОГО ВЛИЯНИЯ НА СЕРДЕЧНО-СОСУДИСТЫЕ РИСКИ, ЯВЛЯЮТСЯ:        
А бета-адреноблокаторы
Б мочегонные препараты
В антагонисты кальция
Г препараты центрального действия

",В антагонисты кальция
26,"ПО ДАННЫМ ЭКГ: УГОЛ а = +5°, ЗУБЕЦ R1=20 мм, ЗУБЕЦ R aVL=16 мм, ЗУБЕЦ R V6=27 мм, ЗУБЕЦ S III=8 мм, ЗУБЕЦ Т V1 БОЛЬШЕ ЗУБЦА Т V6, ПРОДОЛЖИТЕЛЬНОСТЬ КОМПЛЕКСА QRS=0,11 сек МОЖНО СДЕЛАТЬ ЗАКЛЮЧЕНИЕ:        
А гипертрофия правого желудочка
Б вариант нормы
В полная блокада левой ножки пучка Гиса
Г гипертрофия левого желудочка

",Г гипертрофия левого желудочка
27,"ПРИ НАЛИЧИИ БРАДИКАРДИИ У БОЛЬНЫХ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ НАИБОЛЕЕ БЕЗОПАСНЫМ ЯВЛЯЕТСЯ:        
А амлодипин
Б верапамил
В пропранолол
Г атенолол

",А амлодипин
28,"СИЛОВЫЕ УПРАЖНЕНИЯ НЕОБХОДИМО ПОДКЛЮЧАТЬ У БОЛЬНЫХ ИНФАРКТОМ МИОКАРДА НЕ РАНЕЕ ЧЕМ ЧЕРЕЗ _____НЕДЕЛИ/НЕДЕЛЬ ПОСЛЕ НАЧАЛА ЗАБОЛЕВАНИЯ:        
А 2-3
Б 8-9
В 6-7
Г 4-5

",А 2-3
29,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С ПРОМЕЖУТОЧНЫМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ:        
А неосложненный инфаркт миокарда
Б отсутствие патологической симптоматики в покое
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г остановка сердца в анамнезе

",А неосложненный инфаркт миокарда
30,"НА ЗАНЯТИЯХ ЛЕЧЕБНОЙ ФИЗКУЛЬТУРОЙ КАРДИОЛОГИЧЕСКИМ БОЛЬНЫМ СЛЕДУЕТ ДАВАТЬ УПРАЖНЕНИЯ НА:        
А ловкость
Б выносливость
В гибкость
Г увеличение мышечной массы

",Б выносливость
31,"ПРИ ПРОВЕДЕНИИ ПРОБ С ДОЗИРОВАННОЙ ФИЗИЧЕСКОЙ НАГРУЗКОЙ РАСЧЕТНАЯ ВЕЛИЧИНА ЧАСТОТЫ СЕРДЕЧНЫХ СОКРАЩЕНИЙ, СООТВЕТСТВУЮЩАЯ СУБМАКСИМАЛЬНОМУ УРОВНЮ НАГРУЗКИ:        
А уменьшается с возрастом пациента
Б увеличивается с возрастом пациента
В не зависит от возраста пациента
Г зависит от исходного уровня ЧСС

",А уменьшается с возрастом пациента
32,"ПОД КОНЕЧНОЙ ЧАСТЬЮ ЖЕЛУДОЧКОВОГО КОМПЛЕКСА ПОНИМАЮТ:       
А двухфазный или отрицательный зубец R
Б сегмент ST и зубец Т
В отрицательный зубец Р
Г зубец S комплекса QRS

",Б сегмент ST и зубец Т
33,"ДВОЙНОЕ ПРОИЗВЕДЕНИЕ – ПОКАЗАТЕЛЬ, В ОПРЕДЕЛЕННОЙ СТЕПЕНИ ОТРАЖАЮЩИЙ ПОТРЕБНОСТЬ МИОКАРДА В КИСЛОРОДЕ, ПРЕДСТАВЛЯЕТ ПРОИЗВЕДЕНИЕ ЧАСТОТЫ СЕРДЕЧНЫХ СОКРАЩЕНИЙ НА:        
А систолическое артериальное давление
Б среднее артериальное давление
В на давление заклинивания легочных капилляров
Г динамическое диастолическое артериальное давление

",А систолическое артериальное давление
34,"КОРОНАРОГРАФИЯ ПРОВОДИТСЯ В:        
А рентгеновском кабинете
Б рентгеноперационной
В кардиохирургической операционной
Г перевязочном кабинете

",Б рентгеноперационной
35,"СИСТОЛИЧЕСКОЕ АРТЕРИАЛЬНОЕ ДАВЛЕНИЕ В ЛЕВОМ ПРЕДСЕРДИИ В НОРМЕ СОСТАВЛЯЕТ (В ММ РТ. СТ.):        
А12-14
Б 20-25
В 8-10
Г 4-5


",В 8-10
36,"ДВУХКАМЕРНЫЙ ПРАВЫЙ ЖЕЛУДОЧЕК ХАРАКТЕРИЗУЕТСЯ ОБСТРУКЦИЕЙ ОТТОКА ИЗ ПРАВОГО ЖЕЛУДОЧКА В РЕЗУЛЬТАТЕ НАЛИЧИЯ:
А гипоплазии приточного отдела правого желудочка
Б стеноза клапана легочной артерии и гипертрофии миокарда
В гипоплазии выводного отдела правого желудочка
Г аномальной мышцы
","Г аномальной мышцы
"
37,"ПОКАЗАНИЕМ ДЛЯ МЕДИКАМЕНТОЗНОГО ЛЕЧЕНИЯ У БОЛЬНЫХ МИТРАЛЬНЫМ СТЕНОЗОМ ЯВЛЯЕТСЯ:
А митральный стеноз, осложнённый правожелудочковой недостаточностью и тяжёлой трикуспидальной недостаточностью
Б тяжёлый митральный стеноз с выраженной лёгочной гипертензией
В площадь атриовентрикулярного отверстия 1,2 см2 с наличием симптомов
Г умеренный митральный стеноз без выраженных признаков правожелудочковой недостаточности
",Г умеренный митральный стеноз без выраженных признаков правожелудочковой недостаточности
38,"ОБЩЕЕ КОЛИЧЕСТВО ЖИДКОСТИ В РАЦИОНЕ БОЛЬНЫХ РЕВМАТИЗМОМ В ОСТРОМ ПЕРИОДЕ БОЛЕЗНИ СОСТАВЛЯЕТ В СУТКИ (В ЛИТРАХ):
А 1
Б 2
В 2,5
Г 1,5
",А 1
39,"ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА С ЦЕЛЬЮ КУПИРОВАНИЯ ПАРОКСИЗМА ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПОВОДОМ ДЛЯ ПРЕКРАЩЕНИЯ ВВЕДЕНИЯ ЯВЛЯЕТСЯ:
А развитие гипертензии; замедление частоты сокращений желудочков; переход фибрилляции предсердий в трепетание
Б расширение комплекса QRS на 40% от исходной величины; переход фибрилляции предсердий в трепетание
В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии
Г расширение комплекса QRS на 20% от исходной величины и развитие гипертензии
",В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии
40,"ВЫПОЛНЕНИЕ КАРДИОВЕРСИИ ПРИ ПАРОКСИЗМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ВОЗМОЖНО БЕЗ ПРОВЕДЕНИЯ ЧПЭХО ПРИ ВРЕМЕННОМ ИНТЕРВАЛЕ ОТ НАЧАЛА ПАРОКСИЗМА (В ЧАСАХ):
А не более 24
Б не более 12
В не более 72
Г 48
",Г 48
41,"ПРИ СИНДРОМЕ WPW C ПАРОКСИЗМОМ ФИБРИЛЛЯЦИЙ ПРЕДСЕРДИЙ С ЧАСТОТОЙ СЕРДЕЧНЫХ СОКРАЩЕНИЙ 250 В 1 МИНУТУ И АД 80/50 ММ РТ.СТ. НЕОБХОДИМО ВЫПОЛНИТЬ:
А введение новокаинамида
Б введение 10 мг изоптина
В электроимпульсную терапию
Г введение 50 мг аймалина
",В электроимпульсную терапию
42,"ДЛЯ ПОЛНОЙ АТРИОВЕНТРИКУЛЯРНОЙ БЛОКАДЫ ХАРАКТЕРНЫМ ЯВЛЯЕТСЯ:
А атриовентрикулярная диссоциация
Б удлинение интервала QT
В удлинение интервала PQ
Г расширенный комплекс QRS
",А атриовентрикулярная диссоциация
43,"РИТМ СЕРДЦА СЧИТАЕТСЯ ПРАВИЛЬНЫМ, ЕСЛИ:
А расстояния R-R между всеми циклами равны
Б расстояния R-R между всеми циклами постепенно уменьшается и затем постепенно увеличивается
В перед каждым комплексом QRS имеется зубец Р
Г все комплексы QRS не уширены
",А расстояния R-R между всеми циклами равны
44,"ДЕФИЦИТ ПУЛЬСА ХАРАКТЕРЕН ДЛЯ:
А брадикардии
Б атрио-вентрикулярной блокады 1 степени
В фибрилляции предсердий
Г полной атрио-вентрикулярной блокады
",В фибрилляции предсердий
45,"ТИПИЧНОЕ ТРЕПЕТАНИЕ ПРЕДСЕРДИЙ РАЗВИВАЕТСЯ ПО МЕХАНИЗМУ:
А макро-реентри
Б триггерному
В повышенному автоматизм
Г микро-реентри
",А макро-реентри
46,"80% ОБЩЕГО КОЛИЧЕСТВА ИММУНОКОМПЕТЕНТНЫХ КЛЕТОК В АТЕРОСКЛЕРОТИЧЕСКОЙ БЛЯШКЕ ПРЕДСТАВЛЕНО:
А эозинофилами
Б лейкоцитами
В лимфоцитами
Г макрофагами
",Г макрофагами
47,"ПРИ ДИСЛИПИДЕМИИ III ТИПА В КРОВИ РЕЗКО ПОВЫШЕН УРОВЕНЬ:
А хиломикронов
Б ЛПНП
В ЛППП
Г ЛПОНП
",В ЛППП
48,"КАКОЙ ТИП ГИПЕРЛИПИДЕМИИ (ПО ФРИДРИКСЕНУ) С ВЫСОКОЙ АТЕРОГЕННОСТЬЮ НАИБОЛЕЕ ЧАСТО ВСТРЕЧАЕТСЯ?:
А IIВ
Б III
В I
Г IIА
",А IIВ
49,"ГЕМОДИНАМИЧЕСКИ ЗНАЧИМЫМ СЧИТАЕТСЯ СУЖЕНИЕ КОРОНАРНОЙ АРТЕРИИ НЕ МЕНЕЕ _______ % ПРОСВЕТА:
А 80-90
Б 20-30
В 50-70
Г 30-40
",В 50-70
50,"ПО РЕКОМЕНДАЦИИ «СИСТОЛИЧЕСКАЯ АГ» ОПРЕДЕЛЯЕТСЯ ПО УРОВНЮ АД В ММ РТ. СТ.:
А выше 140 и ниже 90
Б выше 140 и выше 90
В ниже 140 и выше 85
Г выше 160 и выше 89
",А выше 140 и ниже 90
51,"ОПРЕДЕЛЕНИЕ СУТОЧНОЙ ЭКСКРЕЦИИ КОРТИЗОЛА С МОЧОЙ ИСПОЛЬЗУЕТСЯ ДЛЯ ДИАГНОСТИКИ:
А синдрома Кушинга
Б реноваскулярной гипертензии
В феохромоцитомы
Г первичного альдостеронизма
",А синдрома Кушинга
52,"ПОРОГОВЫЙ УРОВЕНЬ СРЕДНЕСУТОЧНОГО СИСТОЛИЧЕСКОГО АД (ММ РТ.СТ.) ДЛЯ ДИАГНОСТИКИ АГ ПО ДАННЫМ СУТОЧНОГО МОНИТОРИРОВАНИЯ АД РАВЕН:
А 125
Б 130
В 140
Г 135
",Б 130
53,"РЕНИН-АНГИОТЕНЗИНОВАЯ СИСТЕМА УЧАСТВУЕТ В ПОДДЕРЖАНИИ:
А артериального давления и водного гомеостаза
Б кислотно-основного состояния
В синтеза гормонов щитовидной железы
Г синтеза гормонов надпочечников
",А артериального давления и водного гомеостаза
54,"ЦЕНТРАЛЬНОЕ ВЕНОЗНОЕ ДАВЛЕНИЕ ПРИ НАКОПЛЕНИИ В ПЕРИКАРДЕ ЖИДКОСТИ:
А может быть как низким, так и высоким
Б снижается
В повышается
Г не изменяется
",В повышается
55,"НАИБОЛЕЕ ЗНАЧИТЕЛЬНЫЕ ИЗМЕНЕНИЯ ЭКГ ПРИ ОСТРОМ ПЕРИКАРДИТЕ ХАРАКТЕРИЗУЮТСЯ:
А удлинением интервала Q-T
Б высоким остроконечным зубцом Т
В укорочением интервала РQ
Г конкордантным подъемом сегмента S-T в стандартных и грудных отведениях
",Г конкордантным подъемом сегмента S-T в стандартных и грудных отведениях
56,"ЗАВИСИМОСТЬ БОЛЕЙ В ГРУДНОЙ КЛЕТКЕ ОТ ПОЛОЖЕНИЯ БОЛЬНОГО НАИБОЛЕЕ ХАРАКТЕРНА ДЛЯ:
А острого перикардита
Б тромбоэмболии легочной артерии
В инфаркта миокарда
Г расслаивающей аневризмы аорты
",А острого перикардита
57,"ВТОРАЯ ПОЗИЦИЯ В БУКВЕННОМ КОДЕ, ОБОЗНАЧАЮЩАЯ РЕЖИМ РАБОТЫ ЭЛЕКТРОКАРДИОСТИМУЛЯТОРА, ОТРАЖАЕТ:
А наличие функции частотной адаптации
Б стимулируемую камеру
В код производителя
Г детектируемую камеру
",Г детектируемую камеру
58,"ПРИ НАЗНАЧЕНИИ КОМБИНАЦИИ АНТИАРИТМИЧЕСКИХ ПРЕПАРАТОВ В УМЕНЬШЕННЫХ ДОЗАХ В БОЛЬШИНСТВЕ СЛУЧАЕВ:
А наблюдается снижение эффективности
Б отмечается повышение эффективности с уменьшением выраженности побочного действия каждого препарата
В отмечается повышение эффективности с повышением выраженности побочного действия каждого препарата
Г наблюдается усиление (суммация) отрицательных побочных явлений
",Б отмечается повышение эффективности с уменьшением выраженности побочного действия каждого препарата
59,"К АНТИАРИТМИЧЕСКИМ ПРЕПАРАТАМ III КЛАССА ОТНОСИТСЯ:
А амиодарон
Б метопролол
В пропафенон
Г прокаинамид
",А амиодарон
60,"С ТОЧКИ ЗРЕНИЯ ДОКАЗАТЕЛЬНОЙ МЕДИЦИНЫ НАИБОЛЬШЕЕ ВЛИЯНИЕ НА СНИЖЕНИЕ УРОВНЯ ОБЩЕГО ХОЛЕСТЕРИНА И ЛИПОПРОТЕИДОВ НИЗКОЙ ПЛОТНОСТИ В КРОВИ ОКАЗЫВАЕТ:
А повышение уровня физической активности
Б снижение избыточной массы тела
В снижение потребления экзогенного холестерина
Г снижение потребления насыщенных жирных кислот
","Г снижение потребления насыщенных жирных кислот
"
61,"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ДЛЯ ПЕРВИЧНОЙ ПРОФИЛАКТИКИ СЕРДЕЧНО-СОСУДИСТЫХ ЗАБОЛЕВАНИЙ У БОЛЬНЫХ С МЕТАБОЛИЧЕСКИМ СИНДРОМОМ РЕКОМЕНДОВАНА:
А при стенозирующих поражениях брахиоцефальных артерий
Б при повышении уровня липопротеинов низкой плотности больше 3 ммоль/л
В только в сочетании с артериальной гипертензией
Г всегда
",А при стенозирующих поражениях брахиоцефальных артерий
62,"ПРИЁМ СТАТИНОВ СЛЕДУЕТ ОТМЕНИТЬ ПРИ ПОВЫШЕНИИ АКТИВНОСТИ ТРАНСАМИНАЗ В КРОВИ ВЫШЕ НОРМЫ В ____ РАЗА:
А 3
Б 4
В 2,5
Г 2
",А 3
63,"ДЛЯ ЛЕЧЕНИЯ ГИПЕРХОЛЕСТЕРИНЕМИИ РЕКОМЕНДУЮТ:
А секвестранты желчных кислот
Б статины
В никотиновую кислоту
Г ингибиторы абсорбции холестерина
",Б статины
64,"ОДНИМ ИЗ ОГРАНИЧЕНИЙ НА ОСУЩЕСТВЛЕНИЕ МЕДИЦИНСКИМИ РАБОТНИКАМИ СВОЕЙ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ ПРИ ВЗАИМОДЕЙСТВИИ С РАЗЛИЧНЫМИ ФАРМАЦЕВТИЧЕСКИМИ КОМПАНИЯМИ ЯВЛЯЕТСЯ ЗАПРЕТ НА:
А участие в работе некоммерческих профессиональных медицинских ассоциаций
Б подготовку публикаций в рецензируемых журналах об эффективности применяемых лекарственных препаратов
В участие в научно-практических конференциях
Г предоставление пациенту недостоверной, неполной или искаженной информации об используемых лекарственных препаратах
","Г предоставление пациенту недостоверной, неполной или искаженной информации об используемых лекарственных препаратах"
65,"ОДНИМ ИЗ ОГРАНИЧЕНИЙ НА ОСУЩЕСТВЛЕНИЕ МЕДИЦИНСКИМИ РАБОТНИКАМИ СВОЕЙ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ ПРИ ВЗАИМОДЕЙСТВИИ С РАЗЛИЧНЫМИ ФАРМАЦЕВТИЧЕСКИМИ КОМПАНИЯМИ ЯВЛЯЕТСЯ ЗАПРЕТ НА:
А участие в работе некоммерческих профессиональных медицинских ассоциаций
Б подготовку публикаций в рецензируемых журналах об эффективности применяемых лекарственных препаратов
В участие в научно-практических конференциях
Г участие в развлекательных мероприятиях, проводимых за счет средств компаний, представителей компаний
","Г участие в развлекательных мероприятиях, проводимых за счет средств компаний, представителей компаний"
66,"ЕСЛИ ГРАЖДАНИН СТРАДАЕТ ЗАБОЛЕВАНИЕМ, ПРЕДСТАВЛЯЮЩИМ ОПАСНОСТЬ ДЛЯ ОКРУЖАЮЩИХ, ТО МЕДИЦИНСКОЕ ВМЕШАТЕЛЬСТВО ДОПУСКАЕТСЯ:
А по приказу главного врача
Б с устного согласия гражданина или родственников
В по письменному согласию гражданина или его законного представителя
Г без согласия гражданина
",Г без согласия гражданина
67,"ДЛЯ ПРЕДУПРЕЖДЕНИЯ НЕЖЕЛАТЕЛЬНЫХ ЭФФЕКТОВ ТРЕБУЕТСЯ ОСТОРОЖНОСТЬ В НАЗНАЧЕНИИ ИНГИБИТОРОВ АПФ У БОЛЬНЫХ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ПРИ:
А начальной стадии хронической почечной недостаточности
Б стенозе сонных артерий
В наличии заболеваний печени
Г гиперкалиемии (некоррегируемой)
",Г гиперкалиемии (некоррегируемой)
68,"ПРИ ВЫБОРЕ ИНГИБИТОРА АНГИОТЕНЗИНПРЕВРАЩАЮЩЕГО ФЕРМЕНТА ДЛЯ ЛЕЧЕНИЯ БОЛЬНОГО ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И НАРУШЕНИЕМ ФУНКЦИИ ПОЧЕК СЛЕДУЕТ ОТДАТЬ ПРЕДПОЧТЕНИЕ:
А каптоприлу
Б фозиноприлу
В лизиноприлу
Г периндоприлу
",Б фозиноприлу
69,"К ПРИЗНАКУ НАСЫЩЕНИЯ СЕРДЕЧНЫМИ ГЛИКОЗИДАМИ ОТНОСЯТ:
А удлинение интервала QT
Б изменение формы QRS
В укорочение интервала QT
Г укорочение сегмента PQ
",В укорочение интервала QT
70,"ПРИ ВЫПОЛНЕНИИ ТЕСТА С ФИЗИЧЕСКОЙ НАГРУЗКОЙ ЭФФЕКТИВНОСТЬ ПОДОБРАННОЙ СХЕМЫ ЛЕЧЕНИЯ У ПАЦИЕНТОВ С ДИАГНОСТИРОВАННОЙ ИБС ОЦЕНИВАЕТСЯ:
А после курса лечения и отмены препаратов
Б на фоне отмены препаратов за 2 дня до исследования
В на фоне приёма половины дозы препаратов
Г на фоне приёма препаратов
",Г на фоне приёма препаратов
71,"НАИБОЛЕЕ ВЫСОКОЙ ЧУВСТВИТЕЛЬНОСТЬЮ ПРИ ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ОБЛАДАЕТ:
А холодовая диагностическая проба
Б проба со статической физической нагрузкой
В велоэргометрия
Г дипиридамоловая проба
",В велоэргометрия
72,"РЕГИСТРИРОВАТЬ ДОПОЛНИТЕЛЬНЫЕ ГРУДНЫЕ ОТВЕДЕНИЯ V7-V9 И ДОРЗАЛЬНОЕ ОТВЕДЕНИЕ ПО НЭБУ РЕКОМЕНДУЮТ ПРИ:
А заднебазальном инфаркте
Б высоком боковом инфаркте
В переднем инфаркте миокарда
Г инфаркте правого желудочка
",А заднебазальном инфаркте
