Вопрос,Ответ
11,"СОВРЕМЕННАЯ КЛИНИЧЕСКАЯ КАРТИНА КАРДИТА ПРИ ОСТРОЙ РЕВМАТИЧЕСКОЙ ЛИХОРАДКЕ ОБЫЧНО ПРЕДСТАВЛЕНА:
А диффузным миокардитом
Б эндокардитом в сочетании с очаговым миокардитом
В перикардитом
Г инфекционным эндокардитом Либмана-Сакса
",Б эндокардитом в сочетании с очаговым миокардитом
12,"ПОРАЖЕНИЕ АОРТАЛЬНОГО КЛАПАНА В СОЧЕТАНИИ С СУБФЕБРИЛЬНОЙ ТЕМПЕРАТУРОЙ, УВЕЛИЧЕНИЕМ СОЭ И ЭМБОЛИЯМИ УКАЗЫВАЕТ НА:
А миокардит
Б ревматический кардит
В порок сердца
Г атеросклероз
",Б ревматический кардит
13,"ДЛЯ УСТАНОВЛЕНИЯ СТЕПЕНИ НЕДОСТАТОЧНОСТИ КЛАПАНОВ ПРИ ФАЗОВО-КОНТРАСТНОЙ МРТ СЕРДЦА НЕОБХОДИМО РАССЧИТАТЬ:
А конечно-диастолический объем желудочков
Б показатели диастолической функции
В объем регургитации за сокращение
Г градиент давления на уровне соответствующего клапана
",В объем регургитации за сокращение
14,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ ВТОРИЧНОЙ МИТРАЛЬНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:
А ревматизм
Б инфекционный эндокардит
В гипертоническая болезнь
Г ишемическая болезнь сердца
",Г ишемическая болезнь сердца
15,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ ЛАБОРАТОРНЫМ ПОКАЗАТЕЛЕМ ПОВРЕЖДЕНИЯ МИОКАРДА ВЫСТУПАЕТ:
А увеличение концентрации тропонина Т
Б увеличение концентрации тропонина C
В повышение активности аспартатаминотрансферазы
Г повышение активности креатинфосфокиназы
",А увеличение концентрации тропонина Т
16,"ЭОЗИНОФИЛИЯ МОЖЕТ АССОЦИИРОВАТЬСЯ С:
А рестриктивной кардиомиопатией
Б аритмогенной дисплазией сердца
В дилатационной кардиомиопатией
Г ГКМП
",А рестриктивной кардиомиопатией
17,"ПРИ РАСЧЕТЕ РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С ГКМП УЧИТЫВАЕТСЯ:
А фракция выброса
Б уровень АД
В степень митральной регургитации
Г возраст
",Г возраст
18,"ЭЛЕКТРОКАРДИОГРАФИЧЕСКИМ ПОКАЗАТЕЛЕМ, ИМЕЮЩИМ ПРЕИМУЩЕСТВЕННО ДИАГНОСТИЧЕСКОЕ ЗНАЧЕНИЕ ПРИ ОСТРЫХ ИНФЕКЦИОННЫХ МИОКАРДИТАХ, ЯВЛЯЕТСЯ:
А нарушение проводимости по левой ножке пучка Гиса
Б появление патологического зубца Q
В подъём сегмента SТ в 2-3 отведениях
Г нарушение АВ проводимости
","Г нарушение АВ проводимости
"
19,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ БОЛЕВОГО СИНДРОМА И ПРОФИЛАКТИКИ КАРДИОГЕННОГО ШОКА ПРИ ОСТРОМ ИНФАРКТЕ ЯВЛЯЕТСЯ:
А морфина гидрохлорид
Б нитроглицерин
В тримеперидин
Г трамадол
",А морфина гидрохлорид
20,"ПРИ СОЧЕТАНИИ ХРОНИЧЕСКОЙ ОБСТРУКТИВНОЙ БОЛЕЗНИ ЛЕГКИХ И ПАРОКСИЗМОВ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ:
А пропранолола
Б этацизина
В дигоксина
Г верапамила
",А пропранолола
21,"НЕДИГИДРОПИРИДИНОВЫЕ АНТАГОНИСТЫ КАЛЬЦИЯ ПРОТИВОПОКАЗАНЫ ПРИ:
А брадиаритмии
Б тахикардии
В бронхиальной астме
Г сахарном диабете
",А брадиаритмии
22,"САМЫМ ЧАСТЫМ ОСЛОЖНЕНИЕМ ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА (ОСОБЕННО ПРИ ОЧЕНЬ БЫСТРОМ ВВЕДЕНИИ) ЯВЛЯЕТСЯ:
А головная боль
Б тошнота
В артериальная гипотензия
Г резкая брадикардия
",В артериальная гипотензия
23,"ПРИ БЛАГОПРИЯТНОМ КЛИНИЧЕСКОМ И ТРУДОВОМ ПРОГНОЗЕ ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ И ПРОДЛЕВАЕТСЯ НА СРОК НЕ БОЛЕЕ ___ МЕСЯЦЕВ С ДАТЫ НАЧАЛА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ И НЕ БОЛЕЕ ___ МЕСЯЦЕВ ПРИ ЛЕЧЕНИИ ТУБЕРКУЛЕЗА:
А 10; 12
Б 6; 8
В 12; 14
Г 4; 5
",А 10; 12
24,"В СЛУЧАЕ УСТАНОВЛЕНИЯ ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПАЦИЕНТУ, ПРИЕХАВШЕМУ ИЗ РОСТОВА В МОСКВУ И ОБРАТИВШЕМУСЯ ЗА МЕДИЦИНСКОЙ ПОМОЩЬЮ:
А листок нетрудоспособности не формируется (не выдаётся)
Б формируется (выдаётся) листок нетрудоспособности
В справка произвольной формы
Г справка установленного образца
",Б формируется (выдаётся) листок нетрудоспособности
25,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ПО УХОДУ ЗА ВЗРОСЛЫМ БОЛЬНЫМ ЧЛЕНОМ СЕМЬИ ПРИ ЛЕЧЕНИИ В АМБУЛАТОРНЫХ УСЛОВИЯХ ВЫДАЁТСЯ (ФОРМИРУЕТСЯ) СРОКОМ НЕ БОЛЕЕ ЧЕМ НА ____ КАЛЕНДАРНЫХ ДНЕЙ:
А 20
Б 10
В 30
Г 7
",Г 7
26,"ДИАГНОЗ «ПЕРВИЧНЫЙ ГИПЕРАЛЬДОСТЕРОНИЗМ» СЧИТАЕТСЯ УСТАНОВЛЕННЫМ БЕЗ ПОДТВЕРЖДАЮЩЕГО ТЕСТИРОВАНИЯ В СЛУЧАЕ СОЧЕТАНИЯ:
А спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
Б спонтанной гиперкалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
В спонтанной гипокалиемии, уровня ренина или активности ренина плазмы выше референсных значений и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л)
Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)
","Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)"
27,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ:
А II; с высоким риском
Б II; независимо от степени риска
В I; с низким или средним риском
Г I; с высоким риском
",В I; с низким или средним риском
28,"ПАЦИЕНТАМ С ХБП ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ С ПОЗИЦИИ КАРДИО-НЕФРОПРОТЕКЦИИ ПРЕДПОЧТИТЕЛЬНО НАЗНАЧЕНИЕ:
А бета-1-адреноблокаторов
Б блокаторов РААС
В препаратов центрального действия
Г петлевых диуретиков и спиронолактонов
",Б блокаторов РААС
29,"СРЕДСТВОМ ВЫБОРА ДЛЯ СНИЖЕНИЯ АД У БОЛЬНЫХ С РАССЛАИВАЮЩЕЙ АНЕВРИЗМОЙ АОРТЫ ЯВЛЯЕТСЯ:
А лазикс
Б клонидин
В нитропруссид натрия
Г дроперидол
",В нитропруссид натрия
30,"К АССОЦИИРОВАННЫМ СЕРДЕЧНО-СОСУДИСТЫМ ИЛИ ПОЧЕЧНЫМ ЗАБОЛЕВАНИЯМ ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСЯТСЯ:
А ранние сердечно-сосудистые заболевания в анамнезе
Б скорость каротидно-феморальной пульсовой волны > 10 м/сек. и лодыжечно-плечевой индекс < 0,9
В стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса
Г микроальбуминурия и соотношение альбумина к креатинину (30-300 мг/г; 3,4-34 мг/ммоль)
","В стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса"
31,"ПОРОГОВЫЙ УРОВЕНЬ ДИАСТОЛИЧЕСКОГО АД (ММ РТ.СТ.) ДЛЯ ДИАГНОСТИКИ АГ ПО ДАННЫМ АД В ДОМАШНИХ УСЛОВИЯХ (ESC, 2018) РАВЕН:
А 90
Б 75
В 80
Г 85
",Г 85
32,"ОСЛОЖНЕНИЕМ ГИПЕРТОНИЧЕСКОГО КРИЗА, ПРИ КОТОРОМ НАБЛЮДАЕТСЯ ВНЕЗАПНО ВОЗНИКШАЯ СИЛЬНАЯ БОЛЬ В ГРУДНОЙ КЛЕТКЕ ИЛИ ЖИВОТЕ И СПИНЕ С ЧАСТИЧНОЙ ИРРАДИАЦИЕЙ В БОК И ПАХОВЫЕ ОБЛАСТИ, ЯВЛЯЕТСЯ:
А острое нарушение мозгового кровообращения
Б острое расслоение аорты, разрыв аневризмы аорты
В инфаркт миокарда
Г острая сердечная недостаточность
","Б острое расслоение аорты, разрыв аневризмы аорты"
33,"ПОВЫШЕНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ХАРАКТЕРНО ДЛЯ:
А болезни Аддисона
Б микседемы
В гипопаратиреоза
Г первичного гиперальдостеронизма
",Г первичного гиперальдостеронизма
34,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ДИАГНОСТИКИ ГКМП ЯВЛЯЕТСЯ:
А биопсия миокарда
Б эхокардиография
В коронаровентрикулография
Г электрокардиография
",Б эхокардиография
35,"НАИБОЛЕЕ ХАРАКТЕРНОЙ ЖАЛОБОЙ У ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ЯВЛЯЕТСЯ:
А головная боль
Б боль в суставах
В ноющая боль в области сердца
Г одышка
","Г одышка
"
36,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ:
А тромбоэмболии легочной артерии
Б хронической обструктивной болезни легких
В пороках со сбросом крови слева-направо
Г пороках со сбросом крови справа-налево",А тромбоэмболии легочной артерии
37,"НАЗНАЧЕНИЕ ДИУРЕТИКОВ БОЛЬНОМУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ (ХСН) ПОКАЗАНО ПРИ:
А фракции выброса левого желудочка <25%
Б диастолической дисфункции левого желудочка
В ХСН IIА-III стадии при наличии застойных явлений
Г фибрилляции предсердий при любом ФК ХСН
",В ХСН IIА-III стадии при наличии застойных явлений
38,"У ПАЦИЕНТА С ПАРОКСИЗМОМ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ НУЖНО ОПРЕДЕЛИТЬ УРОВЕНЬ:
А хлора
Б натрия
В калия
Г магния
",В калия
39,"КОЛИЧЕСТВО БАЛЛОВ ПО ШКАЛЕ СНА2DS2-VASC У МУЖЧИНЫ 74 ЛЕТ С ПЕРЕНЕСЕННЫМ ИНСУЛЬТОМ И ИНФАРКТОМ В АНАМНЕЗЕ, ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ, ЗАСТОЙНОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ РАВНО:
А 7
Б 4
В 5
Г 6
","
Г 6"
40,"К ПРИЗНАКАМ АТРИОВЕНТРИКУЛЯРНОЙ БЛОКАДЫ 1 СТЕПЕНИ ОТНОСЯТ:
А постепенное нарастание интервала PQ с выпадением одного из комплексов QRS
Б нерегулярный интервал PQ, регулярный ритм в желудочках
В выпадение одного из комплексов QRS без предшествующего постепенного нарастания интервалов PQ
Г удлинение интервала PQ более 0,2 с
","Г удлинение интервала PQ более 0,2 с"
41,"ПРИЧИНОЙ РАЗВИТИЯ БРАДИКАРДИИ ЯВЛЯЕТСЯ:
А прием дигидропиридиновых антагонистов кальция	
Б хроническая ишемия миокарда
В гипертиреоз
Г прием ингибиторов АПФ
",Б хроническая ишемия миокарда
42,"УВЕЛИЧИВАЮТ ВЫЖИВАЕМОСТЬ ПАЦИЕНТОВ С ОКС БЕЗ ПОДЪЕМА С. ST ПРИ КОНСЕРВАТИВНОЙ ТАКТИКЕ ВЕДЕНИЯ:
А бета-блокаторы
Б фибринолитики
В ингибиторы гликопротеина IIb/IIIa
Г непрямые антикоагулянты
",А бета-блокаторы
43,"К ПРЕПАРАТАМ, НАИБОЛЕЕ ЭФФЕКТИВНЫМ ДЛЯ ПРИМЕНЕНИЯ ПРИ ОСТАНОВКЕ КРОВООБРАЩЕНИЯ, ОТНОСЯТ:
А сердечные гликозиды
Б эпинефрин
В преднизолон
Г антагонисты кальция
",Б эпинефрин
44,"ПРИ ВАЗОСПАСТИЧЕСКОЙ СТЕНОКАРДИИ ПРЕПАРАТАМИ ВЫБОРА ЯВЛЯЮТСЯ:
А блокаторы кальциевых каналов
Б ранолазин
В бета-адреноблокаторы
Г нитраты
",А блокаторы кальциевых каналов
45,"САМЫМ ЧАСТЫМ ВИДОМ ОСТАНОВКИ СЕРДЕЧНОЙ ДЕЯТЕЛЬНОСТИ ЯВЛЯЕТСЯ:
А электромеханическая диссоциация
Б фибрилляция желудочков
В асистолия
Г желудочковая тахикардия
",Б фибрилляция желудочков
46,"ПРИ РАЗВИТИИ ОТЕКА ЛЕГКИХ У БОЛЬНОГО С ОСТРЫМ ИНФАРКТОМ МИОКАРДА НА ФОНЕ НОРМАЛЬНОГО ИЛИ ПОВЫШЕННОГО АД ПОКАЗАНА:
А инфузия нитратов и внутривенное введение фуросемида
Б инфузия ингибиторов АПФ
В параллельная инфузия допамина и нитроглицерина
Г инфузия добутамина
",А инфузия нитратов и внутривенное введение фуросемида
47,"ОСНОВНОЙ ЛЕЧЕБНЫЙ ЭФФЕКТ НИТРОГЛИЦЕРИНА У БОЛЬНЫХ С ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТЬЮ КРОВООБРАЩЕНИЯ СВЯЗАН С:
А увеличением коронарного кровотока вследствие увеличения частоты сердечных сокращений
Б замедлением частоты сердечных сокращений и снижением потребности миокарда в кислороде
В усилением инотропной функции сердца и увеличением потребления миокардом кислорода
Г расширением периферической венозной системы
",Г расширением периферической венозной системы
48,"ПРИ ЛЕЧЕНИИ ОТЕКА ЛЕГКИХ НА ФОНЕ ГИПОТОНИИ (СИСТОЛИЧЕСКОЕ АД < 90 ММ РТ. СТ.) НАИБОЛЕЕ ЦЕЛЕСООБРАЗНО ИСПОЛЬЗОВАТЬ:
А эуфиллин
Б нитроглицерин
В наружную контрапульсацию
Г допамин или добутамин
",Г допамин или добутамин
49,"БОЛЬНЫЕ, ПОСЛЕ ТРАНСПЛАНТАЦИИ СОЛИДНЫХ ОРГАНОВ, ПОЛУЧАЮТ ИММУНОСУПРЕССИВНОЕ ЛЕЧЕНИЕ:
А первый месяц
Б первую неделю
В пожизненно
Г первый год
",В пожизненно
50,"ПРИ СНИЖЕННОЙ ФРАКЦИИ ВЫБРОСА ЛЕВОГО ЖЕЛУДОЧКА ПРОТИВОПОКАЗАНЫ:
А бета-адреноблокаторы
Б верапамил, дилтиазем
В ингибиторы ангиотензин-превращающего фермента
Г блокаторы кальциевых каналов дигидропиридинового ряда
","Б верапамил, дилтиазем"
51,"СИЛОВЫЕ УПРАЖНЕНИЯ НЕОБХОДИМО ПОДКЛЮЧАТЬ У БОЛЬНЫХ ИНФАРКТОМ МИОКАРДА НЕ РАНЕЕ ЧЕМ ЧЕРЕЗ _____НЕДЕЛИ/НЕДЕЛЬ ПОСЛЕ НАЧАЛА ЗАБОЛЕВАНИЯ:
А 6-7
Б 4-5
В 2-3
Г 8-9
","
В 2-3"
52,"ПРОДОЛЖИТЕЛЬНОСТЬ ПРОГРАММЫ ФИЗИЧЕСКОЙ РЕАБИЛИТАЦИИ БОЛЬНЫХ С НЕОСЛОЖНЕННЫМ ИНФАРКТОМ МИОКАРДА В СТАЦИОНАРЕ (ПО ВОЗ) СОСТАВЛЯЕТ (В НЕДЕЛЯХ):
А 1
Б 2
В 0
Г 3


",Г 3
53,"НА ЗАНЯТИЯХ ЛЕЧЕБНОЙ ФИЗКУЛЬТУРОЙ КАРДИОЛОГИЧЕСКИМ БОЛЬНЫМ СЛЕДУЕТ ДАВАТЬ УПРАЖНЕНИЯ НА:
А выносливость
Б ловкость
В увеличение мышечной массы
Г гибкость
",А выносливость
54,"У БОЛЬНЫХ ИНФЕКЦИОННЫМ ЭНДОКАРДИТОМ НА ПЕРЕХОДНОЙ СКЛАДКЕ КОНЪЮКТИВЫ НАХОДЯТСЯ ПЯТНА:
А Рота
Б Ослера
В Джейнуэя
Г Лукина-Либмана
",Г Лукина-Либмана
55,"ПРИ НОЗОКОМИАЛЬНОМ ИНФЕКЦИОННОМ ЭНДОКАРДИТЕ СИМПТОМЫ РАЗВИВАЮТСЯ ПОСЛЕ ___ ЧАСОВ С МОМЕНТА ГОСПИТАЛИЗАЦИИ БОЛЬНОГО:
А 48
Б 72
В 24
Г 12
",А 48
56,"ПОД ЭНДОКАРДИТОМ ЛИБМАНА – САКСА ПОНИМАЮТ:
А эндокардит при системной красной волчанке
Б ревматический эндокардит
В асептический тромбэндокардит
Г инфекционный вальвулит
",А эндокардит при системной красной волчанке
57,"ТРАНЗИТОРНАЯ ИШЕМИЧЕСКАЯ АТАКА НА ФОНЕ ПРИЕМА НОВЫХ ОРАЛЬНЫХ АНТИКОАГУЛЯНТОВ ЯВЛЯЕТСЯ ПОВОДОМ ДЛЯ:
А их отмены на 3 дня
Б удвоения их дозы
В их отмены и назначения варфарина
Г приостановки их приема на 1 сутки
",Г приостановки их приема на 1 сутки
58,"ЭФФЕКТИВНАЯ СУТОЧНАЯ ДОЗА ПРОПАФЕНОНА ДЛЯ ЛЕЧЕНИЯ ФИБРИЛЯЦИИ ПРЕДСЕРДИЙ СОСТАВЛЯЕТ (В МГ):
А 450-900
Б 100-200
В 160-320
Г 200-400
",А 450-900
59,"ПРИ РЕЦИДИВЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ НА ТЕРАПИИ АМИОДАРОНОМ РЕКОМЕНДУЕТСЯ ОТДАТЬ ПРЕДПОЧТЕНИЕ:
А терапии соталолом
Б интервенционным методам коррекции
В увеличению доз антикоагулянтных препаратов
Г комбинированной антиаритмической терапии
",Б интервенционным методам коррекции
60,"ПРИЗНАНИЕ ЧЕЛОВЕКА ИНВАЛИДОМ ВОЗМОЖНО ТОЛЬКО ПРИ ПРОВЕДЕНИИ ЭКСПЕРТИЗЫ:
А судебно-медицинской	
Б трудоспособности
В военно-врачебной
Г медико-социальной
",Г медико-социальной
61,"ДЕФИЦИТ ЙОДА В РАЦИОНЕ ПИТАНИЯ ПРИВОДИТ К ПОВЫШЕНИЮ РИСКА РАЗВИТИЯ ЗАБОЛЕВАНИЙ:
А щитовидной железы
Б надпочечников
В дыхательной системы
Г поджелудочной железы
",А щитовидной железы
62,"ДИАГНОЗ И ВСЕ ПОСЛЕДУЮЩИЕ РАЗДЕЛЫ МЕДИЦИНСКОЙ КАРТЫ ПАЦИЕНТА, ПОЛУЧАЮЩЕГО МЕДИЦИНСКУЮ ПОМОЩЬ В АМБУЛАТОРНЫХ УСЛОВИЯХ (ФОРМА №025/У), ЗАПОЛНЯЮТСЯ:
А медицинской сестрой
Б лечащим врачом
В заведующим отделением
Г медицинским регистратором
",Б лечащим врачом
63,"ПОКАЗАНИЕМ ДЛЯ ПРОТЕЗИРОВАНИЯ МИТРАЛЬНОГО КЛАПАНА У БОЛЬНЫХ МИТРАЛЬНЫМ СТЕНОЗОМ ЯВЛЯЕТСЯ ______ СТЕНОЗ:
А тяжёлый митральный; с выраженной лёгочной гипертензией
Б лёгкий митральный; с одышкой при физической нагрузке
В митральный; осложнённый правожелудочковой недостаточностью и тяжёлой трикуспидальной недостаточностью
Г умеренный митральный; без выраженных признаков правожелудочковой недостаточности
",В митральный; осложнённый правожелудочковой недостаточностью и тяжёлой трикуспидальной недостаточностью
64,"ПОКАЗАНИЕМ К ОПЕРАТИВНОМУ ЛЕЧЕНИЮ АОРТАЛЬНОГО СТЕНОЗА ЯВЛЯЕТСЯ:
А пиковый градиент давления более 40 мм рт.ст. при прогрессировании симптоматики в течение года
Б появление симптоматики у пациента с тяжелым аортальным стенозом
В площадь открытия аортального клапана менее 0,8 cм² вне зависимости от симптоматики
Г толщина межжелудочковой перегородки более 12 мм у пациента со стенкардией и обмороками
",Б появление симптоматики у пациента с тяжелым аортальным стенозом
65,"ДЛЯ ПРОФИЛАКТИКИ СНИЖЕНИЯ СИСТОЛИЧЕСКОЙ ФУНКЦИИ ЛЕВОГО ЖЕЛУДОЧКА РОЖЕНИЦАМ С ПРИОБРЕТЕННЫМ ПОРОКОМ СЕРДЦА НАЗНАЧАЮТ:
А атенолол
Б нитроглицерин
В дигоксин
Г нифедипин
",Г нифедипин
66,"ПРИ АНГИНОЗНОМ ПРИСТУПЕ С СИНУСОВОЙ БРАДИКАРДИЕЙ И ЖЕЛУДОЧКОВЫМИ ЭКСТРАСИСТОЛАМИ НА ФОНЕ ГИПОТОНИИ ПОКАЗАНО ПРИМЕНЕНИЕ:
А атропина
Б изадрина
В дофамина
Г морфина
",В дофамина
67,"ПОКАЗАНИЕМ К НАЗНАЧЕНИЮ АДРЕНАЛИНА ЯВЛЯЕТСЯ:
А атриовентрикулярная блокада II степени
Б асистолия
В синусовая брадикардия
Г пароксизм фибрилляции предсердий
",Б асистолия
68,"ДЛЯ ПАЦИЕНТОВ С СИНДРОМОМ ВОЛЬФА – ПАРКИНСОНА – УАЙТА ХАРАКТЕРНА ЖИЗНЕУГРОЖАЮЩАЯ АРИТМИЯ:
А атриовентрикулярная блокада
Б электромеханическая диссоциация
В пароксизмальная тахикардия
Г синоаурикулярная блокада
",В пароксизмальная тахикардия
69,"ДЛЯ УСТРАНЕНИЯ БОЛЕВОГО СИНДРОМА НА ФОНЕ ИНФАРКТА МИОКАРДА ПРИМЕНЯЮТ:
А парацетамол
с
В пропофол
Г кеторолак
","А        
парацетамол

Б        
морфин

В        
пропофол

Г        
кеторолак"
70,"РЕКОМЕНДУЕМАЯ ДЛИТЕЛЬНОСТЬ ДВОЙНОЙ АНТИАГРЕГАНТНОЙ ТЕРАПИИ ПОСЛЕ ИМПЛАНТАЦИИ СТЕНТА С ЛЕКАРСТВЕННЫМ ПОКРЫТИЕМ У ПАЦИЕНТОВ С НЕСТАБИЛЬНОЙ СТЕНОКАРДИЕЙ СОСТАВЛЯЕТ (В МЕСЯЦАХ):
А 12
Б 3
В 18
Г 6
",А 12
71,"ОСНОВНЫМИ ПРИЗНАКАМИ КЛИНИЧЕСКОЙ СМЕРТИ ЯВЛЯЮТСЯ:
А отсутствие сознания, пульсация на магистральных сосудах, систолическое артериальное давление 60 мм рт.ст
Б отсутствие сознания, дыхания и пульсации на магистральных сосудах
В положение «ортопноэ», цианоз кожных покровов, частое поверхностное дыхание
Г снижение систолического артериального давления ниже 70 мм рт.ст, олигурия
","Б отсутствие сознания, дыхания и пульсации на магистральных сосудах"
