Вопрос,Ответ
14,"ТАМПОНАДА ПЕРИКАРДА ЯВЛЯЕТСЯ ХАРАКТЕРНЫМ ОСЛОЖНЕНИЕМ
А констриктивного перикардита
Б выпотного перикардита
В плеврита
Г фибринозного перикардита",Б выпотного перикардита 
15,"ОСНОВНЫМ СИМПТОМОМ В КЛИНИКЕ ФИБРИНОЗНОГО ПЕРИКАРДИТА ЯВЛЯЕТСЯ
А одышка в покое
Б боль в грудной клетке, связанная с движением и дыханием
В отек нижних конечностей
Г боль в грудной клетке, усиливающаяся при наклоне вперед","Б боль в грудной клетке, связанная с движением и дыханием "
16,"ПОКАЗАНИЕМ К ТРАНСКАТЕТЕРНОЙ ИМПЛАНТАЦИИ АОРТАЛЬНОГО КЛАПАНА ЯВЛЯЕТСЯ
А коморбидная ИБС
Б женский пол
В высокий риск протезирования клапана
Г молодой возраст",В высокий риск протезирования клапана
17,"У БОЛЬНЫХ АОРТАЛЬНЫМ СТЕНОЗОМ УМЕНЬШАЕТСЯ РИСК ВНЕЗАПНОЙ СМЕРТИ ПРИ ПРИМЕНЕНИИ
А нитратов
Б хирургической коррекции
В бета-блокаторов
Г антиаритмиков I класса",Б хирургической коррекции 
18,"ПОСЛЕ ТРАНСКАТЕТЕРНОЙ ИМПЛАНТАЦИИ АОРТАЛЬНОГО КЛАПАНА НЕОБХОДИМО ПРИНИМАТЬ
А аспирин и клопидогрел – 3 месяца
Б аспирин и клопидогрел - пожизненно
В клопидогрел – пожизненно, аспирин – 3 месяца
Г аспирин – пожизненно, клопидогрел – 3 месяца","Г аспирин – пожизненно, клопидогрел – 3 месяца "
19,"ПРИЗНАКОМ ОСТРОГО ЛЕГОЧНОГО СЕРДЦА НА ЭКГ ЯВЛЯЕТСЯ
А возникновение блокады левой ножки пучка Гиса
Б синдром QIII SI
В появление высоких зубцов Т в отведениях V1-4
Г смещение переходной зоны влево",Б синдром QIII SI 
20,"ПРИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ РАЗВИВАЕТСЯ __ ТИП КАРДИОРЕНАЛЬНОГО СИНДРОМА
А 4
Б 2
В 3
Г 1",Б 2
21,"ДЛЯ ПОДТВЕРЖДЕНИЯ ХСН У БОЛЬНЫХ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ НЕОБХОДИМО ВЫЯВИТЬ В КРОВИ
А повышение тропонина
Б снижение калия
В повышение трансаминаз
Г повышение натрий-уретического пептида",Г повышение натрий-уретического пептида 
22,"ЧАЩЕ ВСЕГО МИКРООРГАНИЗМОМ, ЯВЛЯЮЩИМСЯ ВОЗБУДИТЕЛЕМ ПНЕВМОНИИ У ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ЯВЛЯЕТСЯ
А золотистый стафилококк
Б кишечная палочка
В пневмококк
Г зеленящий стрептококк",В пневмококк
23,"ОТКАЗ В ПРЕДОСТАВЛЕНИИ СРЕДСТВАМ МАССОВОЙ ИНФОРМАЦИИ СВЕДЕНИЙ ВОЗМОЖЕН, ЕСЛИ ОНИ СОДЕРЖАТ
А анализ качества оказания медицинской помощи
Б данные о летальности пациентов в стационаре
В показатели заболеваемости населения
Г врачебную тайну",Г врачебную тайну
24,"ЧАСТОТА ВЫЯВЛЕНИЯ В ОБЩЕЙ ПОПУЛЯЦИИ В КАЧЕСТВЕ ПРИЧИНЫ ПОВЫШЕННОГО АД ХРОНИЧЕСКИХ ЗАБОЛЕВАНИЙ ПОЧЕК СОСТАВЛЯЕТ (В ПРОЦЕНТАХ)
А 5,0-10,0
Б 2,0-5,0 
В 0,2-2,0
Г 20,0-30,0","Б 2,0-5,0  "
25,"ЗАБОЛЕВАНИЕ, КОТОРОЕ ВЫЗЫВАЕТ ПЕРВООЧЕРЕДНУЮ НЕОБХОДИМОСТЬ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В СВЯЗИ С НАИБОЛЬШЕЙ УГРОЗОЙ ЖИЗНИ И ЗДОРОВЬЮ, ЛИБО СТАНОВИТСЯ ПРИЧИНОЙ СМЕРТИ, ЯВЛЯЕТСЯ ___________ ЗАБОЛЕВАНИЕМ
А прогрессирующим
Б рецидивирующим
В сопутствующим
Г основным",Г основным
26,"ОТНОСИТЕЛЬНЫМ ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А детский возраст
Б беременность и кормление грудью
В жировой гепатоз с умеренной ферментемией
Г репродуктивный возраст женщины без адекватной контрацепции",В жировой гепатоз с умеренной ферментемией 
27,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А статинов
Б ингибиторов PCSK9
В секвестрантов желчных кислот
Г фибратов",Б ингибиторов PCSK9
28,"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ДЛЯ ПЕРВИЧНОЙ ПРОФИЛАКТИКИ СЕРДЕЧНО-СОСУДИСТЫХ ЗАБОЛЕВАНИЙ У БОЛЬНЫХ С МЕТАБОЛИЧЕСКИМ СИНДРОМОМ РЕКОМЕНДОВАНА
А только в сочетании с артериальной гипертензией
Б при стенозирующих поражениях брахиоцефальных артерий
В при повышении уровня липопротеинов низкой плотности больше 3 ммоль/л
Г всегда",Б при стенозирующих поражениях брахиоцефальных артерий
29,"К КЛАССУ ГИПОЛИПИДЕМИЧЕСКИХ ПРЕПАРАТОВ, ОБЛАДАЮЩЕМУ НАИБОЛЬШЕЙ СПОСОБНОСТЬЮ УМЕНЬШАТЬ СОДЕРЖАНИЕ В ПЛАЗМЕ КРОВИ ТРИГЛИЦЕРИДОВ, ОТНОСЯТ
А эзетимиб
Б фибраты
В статины
Г никотиновую кислоту",Б фибраты
30,"НАИБОЛЕЕ ВАЖНЫМ ФАКТОРОМ, ВЛИЯЮЩИМ НА ВОЗВРАЩЕНИЕ БОЛЬНОГО НА РАБОТУ ПОСЛЕ АОРТОКОРОНАРНОГО ШУНТИРОВАНИЯ, ЯВЛЯЕТСЯ
А полное исчезновение симптоматики после операции
Б интенсивность стенокардии до операции
В продолжительность стенокардии до операции
Г количество шунтированных артерий",А полное исчезновение симптоматики после операции
31,"ПРОЦЕСС КАРДИОРЕАБИЛИТАЦИИ РАЗДЕЛЯЮТ НА ____ ЭТАПА/ЭТАПОВ
А 6
Б 5
В 4
Г 7",В 4
32,"ДЛЯ ОЦЕНКИ ТОЛЕРАНТНОСТИ К ФИЗИЧЕСКОЙ НАГРУЗКЕ У ПАЦИЕНТОВ С ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА ИСПОЛЬЗУЮТ
А электроэнцефалографию
Б тест трехминутной ходьбы
В велоэргометрию
Г гарвардский степ-тест",В велоэргометрию
33,"АСИНХРОНИЯ ДВИЖЕНИЯ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ МОЖЕТ БЫТЬ ОБУСЛОВЛЕНА
А обструкцией выносящего тракта
Б мерцательной аритмией
В нарушением внутрижелудочковой проводимости, объемной перегрузкой правых камер сердца
Г митральной недостаточностью","В нарушением внутрижелудочковой проводимости, объемной перегрузкой правых камер сердца"
34,"ИЗОЛИРОВАННАЯ ДИЛАТАЦИЯ ПРАВЫХ КАМЕР СЕРДЦА БЕЗ ПАТОЛОГИЧЕСКОГО СБРОСА СЛЕВА НАПРАВО МОЖЕТ БЫТЬ ПРИЗНАКОМ
А недостаточности митрального клапана
Б высокой легочной гипертензии
В недостаточности аортального клапана
Г нарушений ритма",Б высокой легочной гипертензии
35,"ПО ДАННЫМ ЭХОКГ О ГИПЕРКИНЕТИЧЕСКОМ ТИПЕ КРОВООБРАЩЕНИЯ СВИДЕТЕЛЬСТВУЕТ
А наличие гипертрофии левого желудочка
Б артериальное давление выше 140/90 мм рт.ст.
В объём ударного выброса левого желудочка 55-75 мл
Г фракция выброса левого желудочка ˃ 65%",Г фракция выброса левого желудочка ˃ 65%
36,"ЛОКАЛЬНОЕ РАСШИРЕНИЕ ВЕРХНЕЙ ЧАСТИ СРЕДИННОЙ ТЕНИ ПОЛУКРУГЛОЙ, ПОЛУОВАЛЬНОЙ ФОРМЫ С РОВНЫМИ ЧЕТКИМИ КОНТУРАМИ, НЕОТДЕЛИМОЕ НИ В ОДНОЙ ПРОЕКЦИИ ОТ АОРТЫ И ОБЛАДАЮЩЕЕ САМОСТОЯТЕЛЬНОЙ ПУЛЬСАЦИЕЙ, ХАРАКТЕРНО ДЛЯ
А аневризмы грудной аорты
Б стеноза устья аорты
В недостаточности аортального клапана
Г митрального стеноза",А аневризмы грудной аорты
37,"БОЛЬШОЙ ОБЪЁМ ЖИДКОСТИ В ПОЛОСТИ ПЕРИКАРДА СОСТАВЛЯЕТ (В МЛ)
А до 100
Б более 500
В более 1200
Г до 300",Б более 500
38,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ ЯВЛЯЕТСЯ
А лидокаин
Б верапамил
В ритмилен
Г кордарон",А лидокаин
39,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ КЛИНИЧЕСКОЙ СМЕРТИ У БОЛЬНЫХ ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА ЯВЛЯЕТСЯ
А электромеханическая диссоциация
Б асистолия желудочков
В AV-блокада III степени
Г фибрилляция желудочков",Г фибрилляция желудочков
40,"ПРИ ПРОВЕДЕНИИ СЕРДЕЧНО-ЛЕГОЧНОЙ РЕАНИМАЦИИ ДВУМЯ ЛЮДЬМИ РАЦИОНАЛЬНЫМ ЯВЛЯЕТСЯ ВЫПОЛНЕНИЕ ____ КОМПРЕССИЙ ГРУДНОЙ КЛЕТКИ НА _____ ВДУВАНИЯ ВОЗДУХА В ЛЕГКИЕ
А 20; 2
Б 10; 1
В 15; 1
Г 30; 2",Г 30; 2
41,"САМЫМ ЧАСТЫМ ПРИЗНАКОМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ
А появление петехий
Б появление боли в области сердца
В повышение температуры тела
Г появление узелков Ослера", В повышение температуры тела
42,"ВАЖНЫМ ФАКТОРОМ, СПОСОБСТВУЮЩИМ РАЗВИТИЮ ИНФЕКЦИОННОГО ЭНДОКАРДИТА, ЯВЛЯЕТСЯ
А наличие регургитации
Б гипертрофия стенок
В нарушение целостности эндотелия
Г дилатация камер",В нарушение целостности эндотелия 
43,"РЕДКО ПРИ ПОДОСТРОМ ИНФЕКЦИОННОМ ЭНДОКАРДИТЕ ВСТРЕЧАЕТСЯ ПОРАЖЕНИЕ _________ КЛАПАНА
А аортального
Б митрального	
В пульмонального
Г трикуспидального",В пульмонального
44,"СИНДРОМ WPW ОБУСЛОВЛЕН НАЛИЧИЕМ В МИОКАРДЕ
А эктопического водителя ритма
Б аномального дополнительного проводящего пути
В срединной ветви левой ножки пучка Гиса
Г аномального дополнительного источника импульсов",Б аномального дополнительного проводящего пути
45,"ВАЖНУЮ РОЛЬ В РЕГУЛЯЦИИ ИНОТРОПНОГО СОСТОЯНИЯ КАРДИОМИОЦИТОВ ИГРАЕТ ВНУТРИКЛЕТОЧНАЯ КОНЦЕНТРАЦИЯ ИОНОВ
А калия
Б хлора
В натрия
Г кальция",Г кальция
46,"ЭПИЗОД ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ, КУПИРОВАННЫЙ КАРДИОВЕРСИЕЙ НА 7 ДЕНЬ, ОТНОСИТСЯ К _____ ФОРМЕ
А длительно персистирующей
Б персистирующей
В пароксизмальной
Г впервые диагностированной",В пароксизмальной
47,"ПРИ БЛОКАДЕ ЗАДНЕЙ ВЕТВИ ЛЕВОЙ НОЖКИ ПУЧКА ГИСА ОТМЕЧАЕТСЯ
А резкое отклонение ЭОС влево
Б длительность QRS до 0,11 с
В отклонение ЭОС вправо
Г значительное уширение комплекса QRS",В отклонение ЭОС вправо  
48,"К ОСНОВНЫМ ПРИЧИНАМ РАЗВИТИЯ РЕСТРИКТИВНОЙ КАРДИОМИОПАТИИ ОТНОСЯТ
А амилоидоз сердца
Б гипертоническую болезнь
В заболевания соединительной ткани
Г ИБС",А амилоидоз сердца 
49,"НАИБОЛЕЕ ЧАСТО ПРИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ ВЫЯВЛЯЕТСЯ
А асимметричная гипертрофия межжелудочковой перегородки
Б гипертрофия правого желудочка
В гипертрофия верхушки левого желудочка
Г изолированная гипертрофия боковой стенки левого желудочка",А асимметричная гипертрофия межжелудочковой перегородки 
50,"ПРИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ НА ЭКГ НАИБОЛЕЕ ЧАСТО ВСТРЕЧАЮТ
А блокаду правой ножки пучка Гиса
Б WPW синдром
В глубокий Q V5-V6
Г фибрилляцию предсердий",В глубокий Q V5-V6
51,"В КАЧЕСТВЕ ЭТИОПАТОГЕНЕТИЧЕСКОГО ЛЕЧЕНИЯ НЕКОТОРЫХ ФОРМ МИОКАРДИТОВ МОЖНО ИСПОЛЬЗОВАТЬ
А глюкокортикоиды
Б НПВП
В сульфаниламиды
Г биологические препараты",А глюкокортикоиды
52,"ИНГИБИТОРЫ АПФ ______ ТОНУС _______ АРТЕРИОЛЫ
А повышают; эфферентной
Б снижают; афферентной
В снижают; эфферентной	
Г повышают; афферентной",В снижают; эфферентной
53,"ПОБОЧНЫМ ЭФФЕКТОМ ПРИМЕНЕНИЯ ИНГИБИТОРОВ АНГИОТЕНЗИН-ПРЕВРАЩАЮЩЕГО ФЕРМЕНТА ЯВЛЯЕТСЯ
А вторичный гиперальдостеронизм
Б гипокалиемию
В эритроцитоз
Г острая почечная недостаточность",Г острая почечная недостаточность 
54,"ДИАГНОЗ «ПЕРВИЧНЫЙ ГИПЕРАЛЬДОСТЕРОНИЗМ» СЧИТАЕТСЯ УСТАНОВЛЕННЫМ БЕЗ ПОДТВЕРЖДАЮЩЕГО ТЕСТИРОВАНИЯ В СЛУЧАЕ СОЧЕТАНИЯ
А спонтанной гипокалиемии, уровня ренина или активности ренина плазмы выше референсных значений и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л)
Б спонтанной гиперкалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
В спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)","Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л) "
55,"ЭФФЕКТИВНЫМИ ГИПОТЕНЗИВНЫМИ СРЕДСТВАМИ ПРИ МОНОТЕРАПИИ, НЕ ОКАЗЫВАЮЩИМИ ОТРИЦАТЕЛЬНОГО ВЛИЯНИЯ НА СЕРДЕЧНО-СОСУДИСТЫЕ РИСКИ, ЯВЛЯЮТСЯ
А бета-адреноблокаторы
Б антагонисты кальция
В мочегонные препараты	
Г препараты центрального действия",Б антагонисты кальция 
56,"САМЫМ ЧАСТЫМ СИМПТОМОМ ПРИ ТРОМБОЭМБОЛИИ ЛЁГОЧНОЙ АРТЕРИИ ЯВЛЯЕТСЯ
А одышка
Б потеря сознания
В боль за грудиной
Г кровохарканье",А одышка
57,"ЛЕЧЕНИЕ ОТЕКА ЛЕГКИХ НА ФОНЕ НОРМАЛЬНОГО АД ЦЕЛЕСООБРАЗНО НАЧИНАТЬ С
А введения лазикса и введения дигоксина
Б инфузии нитроглицерина
В введения эуфиллина
Г инфузии нитроглицерина и введения лазикса",Г инфузии нитроглицерина и введения лазикса
58,"УВЕЛИЧЕНИЕ КОЛИЧЕСТВА МЕЖКЛЕТОЧНОЙ (ИНТЕРСТИЦИАЛЬНОЙ) ЖИДКОСТИ ЗА СЧЁТ ИЗБЫТОЧНОЙ ФИЛЬТРАЦИИ ПЛАЗМЫ ПРИ НОРМАЛЬНОМ ДАВЛЕНИИ ХАРАКТЕРНО ДЛЯ
А острого коронарного синдрома
Б тромбомболии лёгочной артерии
В отёка лёгкого
Г гипертонического криза",В отёка лёгкого
59,"У БОЛЬНЫХ ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА ПРИМЕНЕНИЕ ЛЮБЫХ B-АДРЕНОБЛОКАТОРОВ ПРОТИВОПОКАЗАНО ПРИ
А синдроме слабости синусового узла
Б синдроме Рейно
В перемежающейся хромоте
Г сахарном диабете",А синдроме слабости синусового узла 
60,"ПРИ ВОЗНИКНОВЕНИИ ПАРОКСИЗМА УСТОЙЧИВОЙ ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ НА ФОНЕ ИНФАРКТА МИОКАРДА ПОКАЗАНО
А незамедлительное проведение электроимпульсной терапии
Б проведение инфузии лидокаина
В назначение бета-блокаторов
Г проведение инфузии кордарона",А незамедлительное проведение электроимпульсной терапии 
61,"К НАИБОЛЕЕ ЧАСТЫМ ОСЛОЖНЕНИЯМ, КОТОРЫЕ ВОЗНИКАЮТ ПРИ ПРИМЕНЕНИИ СТЕНТОВ БЕЗ ЛЕКАРСТВЕННОГО ПОКРЫТИЯ, ОТНОСЯТ
А синдром слабости синусового узла
Б различные аллергические реакции
В рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии
Г синдром реперфузиии миокарда",В рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии 
62,"К КРИСТАЛЛОИДНЫМ ИНФУЗИОННЫМ ПРЕПАРАТАМ ОТНОСИТСЯ
А 0,9% раствор натрия хлорида
Б Полиглюкин
В Желатиноль
Г Реополиглюкин","А 0,9% раствор натрия хлорида "
63,"ПОКАЗАНИЕМ ДЛЯ НАЗНАЧЕНИЯ НИТРОГЛИЦЕРИНА ПРИ ИНФАРКТЕ МИОКАРДА ВЫСТУПАЕТ
А инфаркт миокарда правого желудочка
Б кардиогенный шок
В артериальная гипотензия
Г отёк лёгких",Г отёк лёгких 
64,"АНТИАРИТМИЧЕСКИМ ПРЕПАРАТОМ III КЛАССА ЯВЛЯЕТСЯ
А лидокаин
Б амиодарон
В пропафенон
Г хинидин",Б амиодарон 
65,"АБСОЛЮТНО ПРОТИВОПОКАЗАНО ПРИ БЕРЕМЕННОСТИ ПРИМЕНЕНИЕ
А клонидина
Б мочегонных
В ингибиторов АПФ и сартанов
Г бета-адреноблокаторов",В ингибиторов АПФ и сартанов
66,"ПРЯМЫЕ ПРИЗНАКИ ГЛУБОКОГО ПЕРЕГОРОДОЧНОГО (ПЕРЕДНЕЗАДНЕГО) ИНФАРКТА МИОКАРДА РЕГИСТРИРУЮТСЯ В ОТВЕДЕНИЯХ
А II, aVR, V4
Б I, aVL, V5-V6
В II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9
Г V1-V6","В II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9"
67,"КРОВОСНАБЖЕНИЕ СЕРДЦА ОСУЩЕСТВЛЯЕТСЯ ПО
А бронхиальной артерии
Б внутренней грудной артерии справа и слева
В левой и правой коронарным артериям
Г медиальной и латеральной коронарным артериям",В левой и правой коронарным артериям 
68,"ИНФАРКТ МИОКАРДА, АССОЦИИРОВАННЫЙ С ОПЕРАЦИЕЙ КОРОНАРНОГО ШУНТИРОВАНИЯ, ОТНОСИТСЯ СОГЛАСНО УНИВЕРСАЛЬНОЙ КЛАССИФИКАЦИИ ИНФАРКТА МИОКАРДА (ESC, 2018) К ТИПУ
А 2
Б 3
В 1
Г 5",Г 5
69,"СЕРДЕЧНО-СОСУДИСТЫМИ ПРЕПАРАТАМИ, СПОСОБНЫМИ ВЫЗВАТЬ ЖЕЛУДОЧКОВУЮ ТАХИКАРДИЮ ТИПА «ПИРУЭТ», ЯВЛЯЮТСЯ
А противогрибковые препараты (кетоконазол, имидазол)
Б хинидины
В амитриптилин, фенотиазин
Г гликозиды",Б хинидины 
70,"В НАСТОЯЩЕЕ ВРЕМЯ НАИБОЛЕЕ РАСПРОСТРАНЕННОЙ КАТЕТЕРНОЙ МЕТОДИКОЙ ЛЕЧЕНИЯ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ЯВЛЯЕТСЯ
А изоляция устьев легочных вен
Б аблация атриовентрикулярного узла
В модификация медленного пути АВ соединения
Г аблация кавотрикуспидального перешейка",А изоляция устьев легочных вен 
71,"ИМПЛАНТАЦИЯ ПРЕДСЕРДНОГО ЭЛЕКТРОДА ДЛЯ ПОСТОЯННОЙ ЭЛЕКТРОКАРДИОСТИМУЛЯЦИИ ОБЫЧНО ВЫПОЛНЯЕТСЯ В
А заднюю стенку левого предсердия
Б ушко левого предсердия
В ушко правого предсердия
Г коронарный синус",В ушко правого предсердия
72,"К БЕССИМПТОМНОМУ ПОРАЖЕНИЮ ОРГАНОВ–МИШЕНЕЙ ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСИТСЯ
А пульсовое АД >60 мм рт. ст. (у пожилого и старческого контингента)
Б сердечная недостаточность с сохраненной фракцией выброса
В клинически манифестное поражение периферических артерий
Г цереброваскулярная болезнь",А пульсовое АД >60 мм рт. ст. (у пожилого и старческого контингента)
73,"НЕКОРРИГИРУЕМЫМ ФАКТОРОМ ОБЩЕГО СЕРДЕЧНО-СОСУДИСТОГО РИСКА У БОЛЬНЫХ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ ЯВЛЯЕТСЯ
А гиперинсулинемия
Б сахарный диабет
В гиперурикемия
Г возраст",Г возраст 
74,"«ЗОЛОТЫМ СТАНДАРТОМ» В ДИАГНОСТИКЕ СТЕНОЗА ПОЧЕЧНЫХ АРТЕРИЙ ЯВЛЯЕТСЯ
А ультразвуковое дуплексное сканирование
Б почечная сцинтиграфия
В почечная артериография
Г определение активности ренина плазмы",В почечная артериография
75,"ПОВЫШЕННОЕ АД ВЫЯВЛЯЕТСЯ НА ФОНЕ
А хронической печеночной недостаточности
Б гиперфункции щитовидной железы
В панкреонекроза
Г гипогликемии",Б гиперфункции щитовидной железы 
76,"К ХАРАКТЕРНЫМ ПРИЗНАКАМ АОРТАЛЬНОГО СТЕНОЗА ПРИ АУСКУЛЬТАЦИИ ОТНОСЯТ
А систолический шум
Б диастолический шум в точке Боткина-Эрба
В акцент 2 тона на аорте
Г высокое пульсовое давление",А систолический шум
