Вопрос,Ответ
23,"У ОСНОВАНИЯ МЕЧЕВИДНОГО ОТРОСТКА, А ТАКЖЕ СЛЕВА И СПРАВА ОТ НЕГО, ЛУЧШЕ ВЫСЛУШИВАЮТСЯ ЗВУКОВЫЕ ЯВЛЕНИЯ, ВОЗНИКАЮЩИЕ НА КЛАПАНЕ
А митральном
Б аортальном
В трёхстворчатом
Г лёгочной артерии",В трёхстворчатом 
24,"МОЛОЖАВЫЙ ВНЕШНИЙ ВИД С РУМЯНЦЕМ НА ЛИЦЕ ХАРАКТЕРЕН ДЛЯ БОЛЬНЫХ
А пульмональным стенозом
Б с септальными дефектами
В митральным стенозом
Г аортальным стенозом",В митральным стенозом
25,"ОСОБЕННОСТЬЮ ГЕМОДИНАМИКИ ПРИ ДИЛАТАЦИОННОЙ КАРДИОПАТИИ ЯВЛЯЕТСЯ
А повышение фракции выброса левого желудочка
Б снижение ударного объёма и сердечного выброса
В уменьшение диастолического объёма левого желудочка
Г запаздывание открытия митрального клапана",Б снижение ударного объёма и сердечного выброса 
26,"ТОЛЩИНА СВОБОДНОЙ СТЕНКИ ПРАВОГО ЖЕЛУДОЧКА В НОРМЕ РАВНА (В ММ)
А 5
Б 11
В 9
Г 7",А 5 
27,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ ЯВЛЯЕТСЯ
А ритмилен
Б верапамил
В лидокаин
Г кордарон",В лидокаин 
28,"ПОКАЗАНИЕМ ДЛЯ СТИМУЛЯЦИИ В РЕЖИМЕ АAI ЯВЛЯЕТСЯ ______________________ В СОЧЕТАНИИ С
А дисфункция синусового узла; нормальным АВ-проведением
Б хроническая фибрилляция предсердий; АВ-блокадой
В АВ-блокада 2 степени 2 типа; блокадой правой ножки пучка Гиса
Г АВ-блокада 2 степени 1 типа; блокадой левой ножки пучка Гиса

",А дисфункция синусового узла; нормальным АВ-проведением
29,"ПРЕПАРАТОМ ВЫБОРА ПРИ ЛЕЧЕНИИ РЕЦИПРОКНОЙ АВ-ТАХИКАРДИИ ЯВЛЯЕТСЯ
А новокаинамид
Б АТФ
В обзидан
Г дигоксин",Б АТФ 
30,"ЦИРРОЗ ПЕЧЕНИ НА ФОНЕ КОНСТРИКТИВНОГО ПЕРИКАРДИТА ХАРАКТЕРИЗУЕТСЯ
А кровотечением
Б гиперспленизмом
В упорным асцитом
Г желтухой",В упорным асцитом 
31,"КЛИНИЧЕСКИМ СИМПТОМОМ У БОЛЬНЫХ ЭКССУДАТИВНЫМ ПЕРИКАРДИТОМ БЕЗ ТАМПОНАДЫ ЯВЛЯЕТСЯ
А быстропрогрессирующее падение АД
Б наличие тупых, ноющих болей в левой половине грудной клетки
В ЧСС более 100 в минуту в покое
Г ЧДД более 20 в минуту в покое","Б наличие тупых, ноющих болей в левой половине грудной клетки "
32,"ЧАСТОЕ РАЗВИТИЕ СПОНТАННОЙ РЕМИССИИ ХАРАКТЕРНО ДЛЯ ________ ФОРМЫ ПЕРИКАРДИТА
А бактериальной
Б вирусной
В туберкулезной
Г опухолевой",Б вирусной 
33,"ПРИ ОКАЗАНИИ ГРАЖДАНИНУ МЕДИЦИНСКОЙ ПОМОЩИ В АМБУЛАТОРНЫХ УСЛОВИЯХ ЛИСТОК НЕТРУДОСПОСОБНОСТИ ВЫДАЕТСЯ (ФОРМИРУЕТСЯ)
А при окончании лечения
Б с первого дня заболевания или травмы
В по желанию пациента
Г в день признания его временно нетрудоспособным",Г в день признания его временно нетрудоспособным
34,"РАБОТНИКАМ ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ, ВОДОСНАБЖЕНИЯ, ДЕТСКИХ УЧРЕЖДЕНИЙ ПРИ НАЛИЧИИ У НИХ ГЕЛЬМИНТОЗА ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ (ВЫДАЕТСЯ) НА
А 5 дней
Б весь период дегельминтизации
В 7 дней
Г 10 дней",Б весь период дегельминтизации 
35,"УМЕНЬШЕНИЕ РАССТОЯНИЯ ОТ ВЕРХНЕГО КОНТУРА ДУГИ АОРТЫ ДО ЛЕВОГО ГРУДИННО-КЛЮЧИЧНОГО СОЧЛЕНЕНИЯ (МЕНЕЕ 1 СМ) НАБЛЮДАЕТСЯ ПРИ ____________ АОРТЫ
А изгибе
Б разворачивании
В удлинении
Г расширении",В удлинении
36,"КУПИРОВАНИЕ АНГИНОЗНОГО ПРИСТУПА НАЧИНАЕТСЯ С НАЗНАЧЕНИЯ
А нитратов внутривенно капельно
Б нитроглицерина сублингвально 	
В наркотических анальгетиков внутривенно
Г миотропных спазмолитиков внутримышечно",Б нитроглицерина сублингвально 
37,"КАКОЕ СВОЙСТВО СТРЕПТОКИНАЗЫ ОГРАНИЧИВАЕТ ЕЕ ПОВТОРНОЕ ПРИМЕНЕНИЕ?
А отсутствие влияния на фибринолитическую активность крови
Б тромбоспецифичность
В пирогенность
Г антигенность",Г антигенность
38,"ПРИ ВАЗОСПАСТИЧЕСКОЙ СТЕНОКАРДИИ ПРЕПАРАТАМИ ВЫБОРА ЯВЛЯЮТСЯ БЛОКАТОРЫ
А бета-адренорецепторов
Б альфа-адренорецепторов
В медленных кальциевых каналов
Г гистаминовых рецепторов",В медленных кальциевых каналов
39,"ЭКСТРЕННАЯ РЕВЕРСИЯ СИНУСОВОГО РИТМА У БОЛЬНОГО С ПАРОКСИЗМОМ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПОКАЗАНА В СЛУЧАЕ
А головных болей
Б икоты
В колющих болей в области сердца
Г выраженных нарастающих гемодинамических нарушений",Г выраженных нарастающих гемодинамических нарушений
40,"ЭЛЕКТРОКАРДИОГРАФИЧЕСКИМ ПРОЯВЛЕНИЕМ, ХАРАКТЕРНЫМ ДЛЯ АВ БЛОКАДЫ III СТЕПЕНИ, ЯВЛЯЕТСЯ
А постепенное удлинение интервала PQ перед выпадением одного или нескольких комплексов QRS
Б полная разобщённость предсердных и желудочковых комплексов
В независимая эктопическая электрическая активность левого предсердия на фоне синусового ритма
Г периодическое выпадение одного или нескольких комплексов QRS при постоянном интервале PQ",Б полная разобщённость предсердных и желудочковых комплексов
41,"ЧРЕСПИЩЕВОДНУЮ ЭХОКАРДИОГРАФИЮ СЛЕДУЕТ ПРОВОДИТЬ ПРИ ПАРОКСИЗМАЛЬНОЙ ФОРМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ДЛЯ ИСКЛЮЧЕНИЯ
А внутрисердечного тромбоза
Б дилятации левого предсердия
В аневризмы левого желудочка
Г тромбоза ветвей лёгочной артерии",А внутрисердечного тромбоза 
42,"ИЗМЕНЕНИЯМИ НА ЭКГ, ХАРАКТЕРНЫМИ ДЛЯ НАДЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ С УЧАСТИЕМ ДОПОЛНИТЕЛЬНЫХ ПУТЕЙ ПРОВЕДЕНИЯ, ЯВЛЯЮТСЯ НОРМАЛЬНОЙ ШИРИНЫ QRS-КОМПЛЕКСЫ И
А зубцы Р в области сегмента ST или зубца Т
Б отсутствие зубца Р
В АВ-блокада 2-степени
Г зубцы Р (отличающимися от синусовых) перед QRS-комплексами",А зубцы Р в области сегмента ST или зубца Т
43,"ДЛЯ ИНФАРКТА МИОКАРДА НЕ ЯВЛЯЕТСЯ ХАРАКТЕРНЫМ
А наличие гипотонии
Б ритм галопа
В ритм перепела
Г наличие аритмии",В ритм перепела 
44,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ ТРАНЗИТОРНОЙ ИШЕМИИ МИОКАРДА ЯВЛЯЕТСЯ __________ КОРОНАРНОЙ АРТЕРИИ
А врожденная аномалия
Б спазм
В стеноз
Г тромботическая окклюзия",В стеноз 
45,"ОСНОВНЫМ ПАТОГЕНЕТИЧЕСКИМ ФАКТОРОМ ИНФАРКТА МИОКАРДА ЯВЛЯЕТСЯ
А тромбоз коронарной артерии
Б внезапное повышение потребности миокарда в кислороде
В спазм коронарной артерии
Г окклюзия коронарной артерии атеросклеротической бляшкой",А тромбоз коронарной артерии 
46,"ОБЪЕКТОМ ПЕРВИЧНОЙ ПРОФИЛАКТИКИ ЯВЛЯЮТСЯ
А реконвалесценты острых заболеваний
Б жители в трудоспособном возрасте
В больные хроническими заболеваниями
Г все жители территории",Г все жители территории
47,"ЗА РАЗГЛАШЕНИЕ ВРАЧЕБНОЙ ТАЙНЫ ВРАЧ НЕСЁТ ОТВЕТСТВЕННОСТЬ ДИСЦИПЛИНАРНУЮ, АДМИНИСТРАТИВНУЮ, ГРАЖДАНСКО-ПРАВОВУЮ
А процессуальную
Б уголовную
В материальную
Г персональную",Б уголовную
48,"ГРАЖДАНИН РФ ИМЕЕТ ПРАВО НА СМЕНУ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ ИЛИ ЛЕЧАЩЕГО ВРАЧА
А не чаще 1 раза в полгода
Б не чаще 1 раза в год
В ежемесячно
Г у гражданина РФ нет такого прав",Б не чаще 1 раза в год 
49,"К ТИПУ «А» ПЕРЕРЫВА ДУГИ АОРТЫ ОТНОСЯТ ПЕРЕРЫВ НА УРОВНЕ
А проксимальной части
Б перешейка
В восходящей аорты
Г дистальной части",Б перешейка
50,"БОЛЬШИНСТВО БОЛЬНЫХ С КЛАПАННЫМ АОРТАЛЬНЫМ СТЕНОЗОМ УМИРАЕТ
А от инфаркта миокарда
Б от инфекционного эндокардита
В в течение 4-5 лет от момента возникновения порока	
Г в течение 4-5 лет с момента возникновения синкопов, болей в области сердца, одышки и сердечной недостаточности","Г в течение 4-5 лет с момента возникновения синкопов, болей в области сердца, одышки и сердечной недостаточности"
51,"ДЛЯ МИТРАЛЬНОГО СТЕНОЗА АУСКУЛЬТАТИВНЫМ ПРИЗНАКОМ НЕ ЯВЛЯЕТСЯ
А диастолический шум с пресистолическим усилением
Б раздвоенный второй тон
В хлопающий первый тон
Г систолический шум",Г систолический шум
52,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А паренхиматозное заболевание печени в анамнезе
Б повышение печеночных трансаминаз в 1,5 раза
В острый коронарный синдром
Г беременность",Г беременность 
53,"МЕХАНИЗМ ДЕЙСТВИЯ ИНГИБИТОРОВ PCSK9 ЗАКЛЮЧАЕТСЯ В
А усилении активности α-рецептора пролиферации пероксисом
Б подавлении активности фермента диацилглицерол ацилтрансферазы-2
В ингибировании фермента пропротеиновой конвертазы субтилизинкексинового типа 9
Г ингибировании фермента 3-гидрокси-3-метил-глутарил-коэнзим А редуктазы",В ингибировании фермента пропротеиновой конвертазы субтилизинкексинового типа 9
54,"К МОДИФИЦИРУЕМЫМ ФАКТОРАМ РИСКА АТЕРОСКЛЕРОЗА ОТНОСЯТ
А сахарный диабет, подагру, гипертриглицеридемию
Б возраст, гиподинамию, гипотиреоз
В артериальную гипертензию, гипергликемию, гиперхолестеринемию
Г пол, курение, гипертиреоз","В артериальную гипертензию, гипергликемию, гиперхолестеринемию"
55,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А секвестрантов желчных кислот
Б ингибиторов PCSK9
В статинов
Г фибратов",Б ингибиторов PCSK9
56,"ДИАГНОЗ «СКРЫТАЯ АГ» ОПРЕДЕЛЯЕТСЯ УРОВНЯМИ (В ММ.РТ.СТ)
А дневного амбулаторного АД >135/85 и «офисного АД» <140/90
Б эпизодически повышенного «офисного» АД и амбулаторного АД >135/85
В среднесуточного амбулаторного АД <130/80 и повышенного «офисного» АД
Г «офисного» АД >160-170/100 мм рт.ст. и дневного амбулаторного АД >135/85",А дневного амбулаторного АД >135/85 и «офисного АД» <140/90
57,"К АССОЦИИРОВАННЫМ СОСТОЯНИЯМ ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСЯТ
А ИБС: инфаркт миокарда, стенокардию, коронарную реваскуляризацию
Б микроальбуминурию и соотношение альбумина к креатинину (30-300 мг/г; 3,4-34 мг/ммоль)
В ранние сердечно-сосудистые заболевания в анамнезе
Г скорость каротидно-феморальной пульсовой волны >10 м/сек. и лодыжечно-плечевой индекс <0,9","А ИБС: инфаркт миокарда, стенокардию, коронарную реваскуляризацию"
58,"ГИПЕРТОНИЧЕСКАЯ БОЛЕЗНЬ II СТАДИИ УСТАНАВЛИВАЕТСЯ ПРИ
А изменениях со стороны одного или нескольких «органов-мишеней»
Б наличии факторов риска развития сердечно-сосудистых осложнений и ассоциированных клинических состояний
В отсутствии изменений со стороны одного или нескольких органов-мишеней
Г наличии только факторов риска развития сердечно-сосудистых осложнений",А изменениях со стороны одного или нескольких «органов-мишеней» 
59,"У ПАЦИЕНТА С АД 150/95 ММ РТ.СТ. И СКФ 28 МЛ/МИН/1,73 М2 АРТЕРИАЛЬНАЯ ГИПЕРТЕНЗИЯ _____ СТЕПЕНИ, ______ РИСК РАЗВИТИЯ СЕРДЕЧНО-СОСУДИСТЫХ ЗАБОЛЕВАНИЙ
А 2; очень высокий
Б 1; умеренный
В 2; умеренный
Г 1; очень высокий",Г 1; очень высокий 
60,"АНТИТРОМБОТИЧЕСКИМ ПРЕПАРАТОМ, ТРЕБУЮЩИМ КОНТРОЛЯ МНО, ЯВЛЯЕТСЯ
А дабигатран
Б варфарин
В клопидогрел
Г гепарин",Б варфарин
61,"ПРЕПАРАТ КЛОПИДОГРЕЛ ОТНОСИТСЯ К ФАРМАКОЛОГИЧЕСКОЙ ГРУППЕ ____________ СРЕДСТВ
А антиаритмических
Б антитромбоцитарных
В антикоагулянтных
Г антиангинальных",Б антитромбоцитарных 
62,"СИНТЕЗ АНГИОТЕНЗИН ПРЕВРАЩАЮЩЕГО ФЕРМЕНТА ИНГИБИРУЕТ
А анаприлин
Б дибазол
В апрессин
Г каптоприл",Г каптоприл
63,"К НЕБЛАГОПРИЯТНЫМ ПОБОЧНЫМ ЭФФЕКТОМ БЕТА-АДРЕНОБЛОКАТОРОВ ОТНОСЯТ
А артериальную гипертензию
Б брадикардию, АВ-блокаду
В снижение тонуса матки
Г тахикардию","Б брадикардию, АВ-блокаду "
64,"В ОСНОВЕ ДЕЙСТВИЯ ЛЕВОСИМЕНДАНА ЛЕЖИТ
А открытие Na-каналов
Б повышение чувствительности сократительных белков к Ca2+
В снижение чувствительности сократительных белков к Ca2+
Г изменение реполяризации",Б повышение чувствительности сократительных белков к Ca2+
65,"НАЗНАЧЕНИЕ СЕРДЕЧНЫХ ГЛИКОЗИДОВ ОПРАВДАНО ПРИ СОЧЕТАНИИ
А постоянной формы фибрилляции предсердий и хронической сердечной недостаточности II-III стадии
Б хронического легочного сердца и частой наджелудочковой экстрасистолии
В хронической сердечной недостаточности II-III стадии и частой желудочковой экстрасистолии
Г пароксизмальной формы фибрилляции предсердий и хронической обструктивной болезни легких",А постоянной формы фибрилляции предсердий и хронической сердечной недостаточности II-III стадии
66,"ПАЦИЕНТАМ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ ПРОТИВОПОКАЗАН ПРИЕМ
А агонистов имидазолиновых рецепторов
Б блокаторов ангиотензиновых рецепторов
В иАПФ 
Г бета-блокаторы",А агонистов имидазолиновых рецепторов
67,"ПОД РЕСТЕНОЗОМ ПОНИМАЮТ
А стеноз коронарной артерии проксимальнее оперированной зоны
Б гемодинамически значимое сужение просвета коронарной артерии
В сужение коронарной артерии ниже оперированной зоны
Г повторное сужение сосуда в оперированной зоне",Г повторное сужение сосуда в оперированной зоне
68,"ТРОМБОЭНДОКАРДИТ ПРИ ИНФАРКТЕ МИОКАРДА ЧАЩЕ РАЗВИВАЕТСЯ ПРИ
А чрезмерно ранней активизации больных
Б желудочковых нарушениях ритма
В синдроме Дресслера
Г развитии аневризмы левого желудочка",Г развитии аневризмы левого желудочка
69,"ПОД МИОКАРДИАЛЬНЫМ МОСТИКОМ ПОНИМАЮТ
А дополнительную хорду левого желудочка
Б спазм коронарной артерии
В диссекцию коронарной артерии
Г участок коронарной артерии, проходящий в толще миокарда","Г участок коронарной артерии, проходящий в толще миокарда"
70,"РАЗВИТИЮ ТРОМБОЗА ЛЕВОГО ПРЕДСЕРДИЯ СПОСОБСТВУЕТ
А относительная недостаточность митрального клапана
Б фибрилляция предсердий
В гипертрофия миокарда
Г желудочковая тахикардия",Б фибрилляция предсердий 
71,"ПОСЛЕ ВОССТАНОВЛЕНИЯ СИНУСОВОГО РИТМА У БОЛЬНЫХ НЕКЛАПАННОЙ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ БЕЗ ФАКТОРОВ РИСКА КАРДИОЭМБОЛИЧЕСКОГО ИНСУЛЬТА АНТИКОАГУЛЯНТНАЯ ТЕРАПИЯ ДОЛЖНА ПРОДОЛЖАТЬСЯ
А 4 недели
Б 3 месяца
В 21 день
Г пожизненно",А 4 недели 
72,"ПРИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С ВЫРАЖЕННЫМИ ПЕРИФЕРИЧЕСКИМИ ОТЁКАМИ В СОЧЕТАНИИ С ТАХИСИСТОЛИЧЕСКОЙ ФОРМОЙ МЕРЦАТЕЛЬНОЙ АРИТМИИ ПРЕЖДЕ ВСЕГО НАЗНАЧАЮТ
А периферические вазадилататоры
Б бета-блокаторы
В диуретики
Г cердечные гликозиды",Г cердечные гликозиды 
73,"НАИБОЛЕЕ РАСПРОСТРАНЕННОЙ ФОРМОЙ КАРДИОМИОПАТИИ ЯВЛЯЕТСЯ
А рестриктивная
Б гипертрофическая
В дилатационная
Г аритмогенная дисплазия правого желудочка",В дилатационная 
74,"МЕТОДОМ НАИБОЛЕЕ ИНФОРМАТИВНЫМ ДЛЯ ДИАГНОСТИКИ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ЯВЛЯЕТСЯ
А селективная ангиопульмонография
Б ЭХО-кардиография
В ЭКГ
Г рентгенологическое исследование",А селективная ангиопульмонография
75,"САМЫМ РАННИМ ПРИЗНАКОМ РЕЛАКСАЦИОННОЙ НЕДОСТАТОЧНОСТИ ЛЕВОГО ЖЕЛУДОЧКА ЯВЛЯЕТСЯ
А  снижение фракции выброса левого желудочка (по Simpson) менее 55%
Б  снижение скорости быстрого расслабления стенки левого желудочка
В  уменьшение систолического утолщения стенки левого желудочка более чем на 50%
Г  увеличение систолического утолщения стенки левого желудочка более чем на 50%",Б  снижение скорости быстрого расслабления стенки левого желудочка
76,"ПАЦИЕНТАМ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ ПОКАЗАНА ДЛИТЕЛЬНАЯ ТЕРАПИЯ
А оральными антикоагулянтами
Б низкомолекулярными гепаринами
В ингибиторами Р2Y12 рецепторов тромбоцитов
Г препаратами ацетилсалициловой кислоты",А оральными антикоагулянтами 
