Вопрос,Ответ
18,"К ПОКАЗАНИЮ ДЛЯ СТИМУЛЯЦИИ В РЕЖИМЕ VAT ОТНОСЯТ:
А дисфункцию синусового узла
Б АВ блокаду при нормальной функции синусового узла	
В рефлекторные синкопе
Г нормальную функцию синусового узла
",Б АВ блокаду при нормальной функции синусового узла
19,"РЕКОМЕНДУЕМАЯ ДОЗА ЛИДОКАИНА ПРИ БОЛЮСНОМ ВНУТРИВЕННОМ ВВЕДЕНИИ СОСТАВЛЯЕТ (В МГ/КГ):
А 5,0-7,0
Б 1,0-1,5
В 8,0-10,0
Г 2,0-4,0
","Б 1,0-1,5"
20,"ПОКАЗАТЕЛЕМ, СВИДЕТЕЛЬСТВУЮЩИМ О НАЛИЧИИ ПОВЫШЕННОГО РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С СИНДРОМОМ СЛАБОСТИ СИНУСОВОГО УЗЛА, ЯВЛЯЕТСЯ:
А возникновение обморока
Б QRS более 0,14 с
В появление пароксизмальной наджелудочковой тахикардии
Г брадикардия (ЧСС менее 50 в 1 мин)


",А возникновение обморока
21,"ВЫПЛАТУ РАБОТОДАТЕЛЕМ РАБОТНИКУ ПОСОБИЯ ПО ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ГАРАНТИРУЕТ:
А Трудовой кодекс Российской Федерации
Б Конституция Российской Федерации
В приказ Министерства здравоохранения и социального развития Российской Федерации от 29.06.2011 года № 624н
Г Федеральный закон от 21.11.2011 года № 323-ФЗ «Об основах охраны здоровья граждан в Российской Федерации»
",А Трудовой кодекс Российской Федерации
22,"ОДНИМ ИЗ КРИТЕРИЕВ, ОПРЕДЕЛЯЮЩИМ РАЗМЕР ВЫПЛАТ ПО ЛИСТКУ НЕТРУДОСПОСОБНОСТИ, ЯВЛЯЕТСЯ:
А уровень образования	
Б возраст работника
В наличие наград у работника
Г страховой стаж
",Г страховой стаж
23,"В СЛУЧАЕ УСТАНОВЛЕНИЯ ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПАЦИЕНТУ, ПРИЕХАВШЕМУ ИЗ РОСТОВА В МОСКВУ И ОБРАТИВШЕМУСЯ ЗА МЕДИЦИНСКОЙ ПОМОЩЬЮ:
А справка произвольной формы
Б справка установленного образца
В листок нетрудоспособности не формируется (не выдаётся)
Г формируется (выдаётся) листок нетрудоспособности
","Г формируется (выдаётся) листок нетрудоспособности
"
24,"ПРИ КАРДИОГЕННОМ ШОКЕ НАБЛЮДАЮТСЯ ____ КОЖНЫЕ ПОКРОВЫ:
А цианотичные, сухие
Б розовые, влажные
В бледные, сухие
Г бледные, влажные","Г бледные, влажные"
25,"ДЛЯ I ФУНКЦИОНАЛЬНОГО КЛАССА СТАБИЛЬНОЙ СТЕНОКАРДИИ НАПРЯЖЕНИЯ ХАРАКТЕРНО ВОЗНИКНОВЕНИЕ ПРИСТУПА СТЕНОКАРДИИ ПРИ:
А ходьбе на расстояние 100-200 м или подъёме по лестнице в обычном темпе
Б очень быстрой ходьбе, беге
В ускоренной ходьбе, подъёме по лестнице после еды или эмоциональном стрессе
Г нагрузке на велоэргометре 120 Вт
","Б очень быстрой ходьбе, беге"
26,"В ОСТРОЙ СТАДИИ ИНФАРКТА МИОКАРДА C ЭЛЕВАЦИЕЙ СЕГМЕНТА ST НИЖНЕЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ЭЛЕВАЦИЯ ОТМЕЧАЕТСЯ В ОТВЕДЕНИЯХ:
А V1-3
Б I, aVL
В V4-V6
Г II, III, aVF
","Г II, III, aVF"
27,"СОГЛАСНО ФЕДЕРАЛЬНОМУ ЗАКОНУ ОТ 21.11.2011 N 323-ФЗ К ВИДАМ МЕДИЦИНСКОЙ ПОМОЩИ ОТНОСИТСЯ МЕДИЦИНСКАЯ ПОМОЩЬ:
А экстренная, неотложная, плановая
Б по врачебным специальностям
В амбулаторная, стационарная, стационарная дневная, вне медицинской организации
Г первичная медико-санитарная, скорая, специализированная, паллиативная
","Г первичная медико-санитарная, скорая, специализированная, паллиативная"
28,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ МОЖЕТ БЫТЬ ВЫДАН:
А проходящим медицинское освидетельствование по направлению военных комиссариатов
Б находящимся под стражей
В находящимся под административным арестом
Г обратившимся за медицинской помощью в медицинскую организацию, если выявлены признаки временной нетрудоспособности
","Г обратившимся за медицинской помощью в медицинскую организацию, если выявлены признаки временной нетрудоспособности"
29,"МЕДИЦИНСКАЯ КАРТА ПАЦИЕНТА, ПОЛУЧАЮЩЕГО МЕДИЦИНСКУЮ ПОМОЩЬ В АМБУЛАТОРНЫХ УСЛОВИЯХ (ФОРМА №025/У), ХРАНИТСЯ:
А в кабинете лечащего врача
Б в регистратуре
В у главного врача
Г у пациента
",Б в регистратуре
30,"ТИТРАЦИЮ БЕТА-АДРЕНОБЛОКАТОРОВ ПРИ ЛЕЧЕНИИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С НИЗКОЙ ФРАКЦИЕЙ ВЫБРОСА НЕОБХОДИМО НАЧИНАТЬ С ______ НАЧАЛЬНОЙ СУТОЧНОЙ ДОЗЫ (В ДОЛЯХ ОТ СРЕДНЕТЕРАПЕВТИЧЕСКОЙ):
А 1/8
Б 1/2
В 1/5
Г 1/4
",А 1/8
31,"ИЗБЫТОЧНОЕ ОБРАЗОВАНИЕ АЛЬДОСТЕРОНА СОПРОВОЖДАЕТСЯ:
А уменьшением общего периферического сосудистого сопротивления
Б уменьшением минутного объема сердца
В повышением активности симпато-адреналовой системы
Г задержкой натрия и воды
",Г задержкой натрия и воды
32,"К ДИУРЕТИКАМ, ПРЕДПОЧТИТЕЛЬНЫМ ДЛЯ СТАРТА МОЧЕГОННОЙ ТЕРАПИИ ПРИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ, ОТНОСЯТ:
с
Б осмотические
В тиазидоподобные
Г тиазидные
","А петлевые

"
33,"ДЛЯ УСТАНОВЛЕНИЯ СТЕПЕНИ НЕДОСТАТОЧНОСТИ КЛАПАНОВ ПРИ ФАЗОВО-КОНТРАСТНОЙ МРТ СЕРДЦА НЕОБХОДИМО РАССЧИТАТЬ:
А объем регургитации за сокращение
Б конечно-диастолический объем желудочков
В показатели диастолической функции
Г градиент давления на уровне соответствующего клапана
",А объем регургитации за сокращение
34,"ПРОЛАПС МИТРАЛЬНОГО КЛАПАНА I СТЕПЕНИ СОСТАВЛЯЕТ (В ММ):
А 8-9
Б 5
В 7-8
Г 10
",Б 5
35,"ОДНИМ ИЗ ОСЛОЖНЕНИЙ ДЕФЕКТА МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ ЯВЛЯЕТСЯ:
А отек легких
Б митральная недостаточность
В тромбоэмболия
Г инфекционный эндокардит
",Г инфекционный эндокардит
36,"НАРУШЕНИЕ ДИАСТОЛИЧЕСКОЙ ФУНКЦИИ ЛЕВОГО ЖЕЛУДОЧКА ПО I ТИПУ ДИАГНОСТИРУЕТСЯ В СЛУЧАЕ:
А соотношения пиков Е/А более 1,5
Б значительного увеличения размера левого предсердия
В увеличения размера левого желудочка
Г соотношения пиков Е/А менее 1
",Г соотношения пиков Е/А менее 1
37,"СИСТОЛИЧЕСКОЕ ДВИЖЕНИЕ ВПЕРЕД ПЕРЕДНЕЙ СТВОРКИ МИТРАЛЬНОГО КЛАПАНА ХАРАКТЕРНО ДЛЯ:
А аритмогенной дисплазии сердца
Б дилатационной кардиомиопатии
В ГКМП
Г рестриктивной кардиомиопатии
",В ГКМП
38,"СОДЕРЖАНИЕ СЕРДЕЧНОГО ТРОПОНИНА В СЫВОРОТКЕ КРОВИ, ПОМИМО ИНФАРКТА МИОКАРДА, МОЖЕТ ПОВЫШАТЬСЯ ПРИ:
А панкреатите
Б миокардите
В пиелонефрите
Г введении преднизолона
",Б миокардите
39,"ЧАСТОТА ВЫЯВЛЕНИЯ ГИСТОЛОГИЧЕСКИХ ПРИЗНАКОВ МИОКАРДИТА У БОЛЬНЫХ ДИЛАТАЦИОННОЙ КАРДИОМИОПАТИЕЙ ПРИ МОРФОЛОГИЧЕСКОМ ИССЛЕДОВАНИИ БИОПТАТА МИОКАРДА СОСТАВЛЯЕТ (В ПРОЦЕНТАХ):
А 50
Б 15
В 25
Г 5
",В 25
40,"ПРИ НАЛИЧИИ НА ЭХОКАРДИОГРАФИИ АСИММЕТРИЧНОЙ ГИПЕРТРОФИИ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ С ТОЛЩИНОЙ СТЕНКИ БОЛЕЕ 1,5 СМ МОЖНО ПРЕДПОЛОЖИТЬ:
А артериальную гипертензию
Б дилатационную кардиомиопатию
В аортальный стеноз
Г гипертрофическую кардиомиопатию
",Г гипертрофическую кардиомиопатию
41,"ПРИ ГИПОТИРЕОЗЕ СОДЕРЖАНИЕ ХОЛЕСТЕРИНА В КРОВИ:
А увеличивается
Б не изменяется
В уменьшается
Г зависит от поражения печени
",А увеличивается
42,"ТРАНСПОРТНОЙ ФОРМОЙ ЭКЗОГЕННОГО ХОЛЕСТЕРИНА ЯВЛЯЮТСЯ:
А ЛПОНП
Б ЛПВП
В хиломикроны
Г ЛПНП
",В хиломикроны
43,"ДЛЯ IIА ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО:
А снижение уровня липопротеидов высокой плотности и повышение общего холестерина
Б повышение содержания хиломикронов и триглицеридов
В повышение содержания липопротеидов низкой плотности и общего холестерина
Г повышение содержания липопротеидов очень низкой плотности и триглицеридов
",В повышение содержания липопротеидов низкой плотности и общего холестерина
44,"В ТАБЛИЦЕ SCORE ДЛЯ ОЦЕНКИ СЕРДЕЧНО-СОСУДИСТОГО РИСКА ОТСУТСТВУЕТ ПОКАЗАТЕЛЬ:
А общего холестерина
Б глюкозы крови
В возраста
Г систолического АД
",Б глюкозы крови
45,"ПРЕДПОЧТИТЕЛЬНЫМ МЕТОДОМ РЕПЕРФУЗИИ У БОЛЬНЫХ ОСТРЫМ КОРОНАРНЫМ СИНДРОМОМ С ПОДЪЁМОМ СЕГМЕНТА ST ЯВЛЯЕТСЯ:
А интракоронарный тромболизис
Б первичное чрескожное коронарное вмешательство
В системный тромболизис
Г чрескожное коронарное вмешательство после системного тромболизиса
",Б первичное чрескожное коронарное вмешательство
46,"ДЛЯ УСТРАНЕНИЯ БОЛЕВОГО СИНДРОМА НА ФОНЕ ИНФАРКТА МИОКАРДА ПРИМЕНЯЮТ:
А парацетамол
Б морфин
В кеторолак
Г пропофол
",Б морфин
47,"ПРИ СТЕНОКАРДИИ НАИБОЛЕЕ ХАРАКТЕРНА ЛОКАЛИЗАЦИЯ БОЛИ:
А в проекции аортального клапана
Б в эпигастральной области
В за грудиной
Г в области верхушечного толчка
",В за грудиной
48,"БИОЛОГИЧЕСКИЕ ЭФФЕКТЫ БРАДИКИНИНА ЗАКЛЮЧАЮТСЯ В:
А активации воспаления
Б расширении сосудов и снижении артериального давления
В спазме гладкой мускулатуры и повышении артериального давления
Г запуске анафилактической реакции
",Б расширении сосудов и снижении артериального давления
49,"ЛЕЧЕНИЕ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ БЕТА-АДРЕНОБЛОКАТОРАМИ НАИБОЛЕЕ ПОКАЗАНО ПРИ:
А сопутствующем сахарном диабете
Б пожилом возрасте пациента
В сопутствующей ИБС
Г молодом возрасте пациента
",В сопутствующей ИБС
50,"ДЛЯ КУПИРОВАНИЯ ГИПЕРТОНИЧЕСКОГО КРИЗА, ОСЛОЖНЕННОГО ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТЬЮ, НАИБОЛЕЕ ЭФФЕКТИВЕН ПРЕПАРАТ:
А лазикс
Б клонидин
В фентанил
Г сернокислая магнезия
",А лазикс
51,"ПРИ ПОВЫШЕННОМ СОДЕРЖАНИИ РЕНИНА УВЕЛИЧИВАЕТСЯ ОБРАЗОВАНИЕ:
А холестерина
Б триглицеридов
В ангиотензина I
Г катехоламинов
",В ангиотензина I
52,"К ПОБОЧНЫМ ЭФФЕКТАМ, ЧАСТО ВСТРЕЧАЮЩИМИСЯ ПРИ ПРИЕМЕ СТАТИНОВ, ОТНОСЯТ:
А миопатию, повышение уровня печеночных трансаминаз, диспепсию
Б жар, приливы, гипергликемию, гиперурикемию, подагру, гепатотоксичность
В головную боль, носовые кровотечения, диарею
Г запор, нарушение всасывания других лекарств
","А миопатию, повышение уровня печеночных трансаминаз, диспепсию"
53,"ПРИЕМ СТАТИНА СЛЕДУЕТ ОТМЕНИТЬ, ЕСЛИ УРОВЕНЬ АЛТ ПРЕВЫШАЕТ В______ НОРМУ В ДВУХ ПОСЛЕДОВАТЕЛЬНЫХ ИЗМЕРЕНИЯХ:
А 3 раза
Б 5 раз
В 10 раз
Г 1,5 раза
",А 3 раза
54,"В КАЧЕСТВЕ ПРЕПАРАТОВ ПЕРВОЙ ЛИНИИ ДЛЯ ЛЕЧЕНИЯ АТЕРОГЕННЫХ ДИСЛИПИДЕМИЙ ПРИМЕНЯЮТ:
А ингибиторы PCSK9
Б фибраты
В эзетимиб
Г статины
",Г статины
55,"РИСК РАЗВИТИЯ МИОПАТИИ И РАБДОМИОЛИЗА ВОЗРАСТАЕТ ПРИ ДОБАВЛЕНИИ К ТЕРАПИИ СТАТИНАМИ:
А колестипола
Б омакора
В эзетимиба
Г фенофибрата
",Г фенофибрата
56,"К КРАТКОСРОЧНЫМ ЗАДАЧАМ КАРДИОРЕАБИЛИТАЦИИ ОТНОСЯТ:
А снижение заболеваемости и смертности
Б выявление и устранение факторов риска
В стабилизацию или предотвращение прогрессирования атеросклеротического процесса
Г стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
",Г стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
57,"НА ЗАНЯТИЯХ ЛЕЧЕБНОЙ ФИЗКУЛЬТУРОЙ КАРДИОЛОГИЧЕСКИМ БОЛЬНЫМ СЛЕДУЕТ ДАВАТЬ УПРАЖНЕНИЯ НА:
А увеличение мышечной массы
Б гибкость
В выносливость
Г ловкость
",В выносливость
58,"СИЛОВЫЕ УПРАЖНЕНИЯ НЕОБХОДИМО ПОДКЛЮЧАТЬ У БОЛЬНЫХ ИНФАРКТОМ МИОКАРДА НЕ РАНЕЕ ЧЕМ ЧЕРЕЗ _____НЕДЕЛИ/НЕДЕЛЬ ПОСЛЕ НАЧАЛА ЗАБОЛЕВАНИЯ:
А 8-9
Б 2-3
В 6-7
Г 4-5
",Б 2-3
59,"У ПАЦИЕНТА С ПАРОКСИЗМОМ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ НУЖНО ОПРЕДЕЛИТЬ УРОВЕНЬ:
А хлора
Б калия
В магния
Г натрия
",Б калия
60,"РИСК ИНСУЛЬТА ПО ШКАЛЕ CHA2DS2-VASC У МУЖЧИНЫ 80 ЛЕТ С НЕКОНТРОЛИРУЕМОЙ АРТЕРИАЛЬНОЙ ГИПЕРТОНИЕЙ РАВЕН:
А 4
Б 3
В 2
Г 1
",Б 3
61,"В ПОКОЕ ЧАСТОТА СИНУСОВОГО РИТМА В НОРМЕ СОСТАВЛЯЕТ (В УД. В МИН):
А 60-80
Б 50 - 60
В 80 - 100
Г 100-110
",А 60-80
62,"ПЕРСИСТИРУЮЩАЯ ФОРМА ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ СОХРАНЯЕТСЯ:
А до трех суток
Б в течение двух часов
В более семи дней
Г до суток
",В более семи дней
63,"ПРОТИВОПОКАЗАНИЕМ ДЛЯ ВВЕДЕНИЯ МЕТОПРОЛОЛА ЯВЛЯЕТСЯ:
А артериальная гипертензия
Б брадикардия
В хроническая сердечная недостаточность
Г острое нарушение мозгового кровообращения
",Б брадикардия
64,"ПРИ ПРОВЕДЕНИИ РЕАНИМАЦИОННЫХ МЕРОПРИЯТИЙ У БОЛЬНЫХ С ФИБРИЛЛЯЦИЕЙ ЖЕЛУДОЧКОВ ЭЛЕКТРОИМПУЛЬСНУЮ ТЕРАПИЮ (ДЕФИБРИЛЛЯЦИЮ) НАДО НАЧИНАТЬ С РАЗРЯДА:
А 150 Дж
Б 200 Дж
В 50 Дж
Г 220 W
",Б 200 Дж
65,"ПРИ СОВМЕСТНОМ ПРИЕМЕ ЛЕВОТИРОКСИН НАТРИЯ СНИЖАЕТ ЭФФЕКТ:
А ацетилсалициловой кислоты
Б дигоксина
В ривароксабана
Г амиодарона
",Б дигоксина
66,"ХАРАКТЕРНЫМ СИМПТОМОМ ДЛЯ ТАМПОНАДЫ ПЕРИКАРДА ЯВЛЯЕТСЯ:
А артериальная гипертензия
Б боль в грудной клетке
В парадоксальный пульс
Г брадикардия
",В парадоксальный пульс
67,"ПОСЛЕ ПЕРЕНЕСЕННОГО ОСТРОГО ПЕРИКАРДИТА НА ЭКГ МОЖЕТ ДЛИТЕЛЬНО НАБЛЮДАТЬСЯ:
А снижение сегмента ST в левых грудных отведениях V1-5
Б отрицательный зубец T в ряде отведений
В подъем сегмента ST в правых грудных отведениях
Г атрио-вентрикулярная блокада II-III степени
",Б отрицательный зубец T в ряде отведений
68,"КЛИНИЧЕСКИМ СИМПТОМОМ У БОЛЬНЫХ ЭКССУДАТИВНЫМ ПЕРИКАРДИТОМ БЕЗ ТАМПОНАДЫ ЯВЛЯЕТСЯ:
А ЧСС более 100 в минуту в покое
Б быстропрогрессирующее падение АД
В наличие тупых, ноющих болей в левой половине грудной клетки
Г ЧДД более 20 в минуту в покое
","В наличие тупых, ноющих болей в левой половине грудной клетки"
69,"ПРЕДРАСПОЛАГАЮЩИМ К ЭНДОКАРДИТУ ЗАБОЛЕВАНИЕМ ЧАЩЕ ЯВЛЯЕТСЯ:
А дефект межпредсердной перегородки
Б аневризма аорты
В миксоматозная дегенерация створок митрального клапана
Г коарктация аорты
",В миксоматозная дегенерация створок митрального клапана
70,"БОЛЬШИМ КРИТЕРИЕМ ДИАГНОСТИКИ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ ________ РЕЗУЛЬТАТ ПОСЕВА КРОВИ:
А положительный; в обеих пробах, взятых с интервалом 5 минут
Б положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней
В отрицательный; но высокий титр антител к Brucella
Г положительный; в одной из двух проб, взятых с интервалом более 12 часов
","Б положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней"
71,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ИНСТРУМЕНТАЛЬНЫМ МЕТОДОМ ИССЛЕДОВАНИЯ ПРИ ИНФЕКЦИОННОМ ЭНДОКАРДИТЕ ЯВЛЯЕТСЯ:
А трансторакальная эхокардиография
Б чреспищеводная эхокардиография
В магниторезонансная томография сердца
Г рентгенологическое исследование
",Б чреспищеводная эхокардиография
72,"ВРЕМЯ АКТИВАЦИИ ЛЕВОГО ПРЕДСЕРДИЯ, ВЫРАЖЕННОЕ В СЕКУНДАХ, В НОРМЕ НЕ ПРЕВЫШАЕТ:
А 0,08
Б 0,06
В 0,1
Г 0,2
","Б 0,06"
73,"ПРИ НОРМАЛЬНОМ ПОЛОЖЕНИИ ЭЛЕКТРИЧЕСКОЙ ОСИ СЕРДЦА РЕГИСТРИРУЕТСЯ МАКСИМАЛЬНЫЙ ЗУБЕЦ R В/О ______ ОТВЕДЕНИИ:
А III стандартном
Б I стандартном
В усиленном аVL
Г II
",Г II
74,"НАРУШЕНИЯ ГЕМОДИНАМИКИ В МАЛОМ КРУГЕ КРОВООБРАЩЕНИЯ ПРИ ЗАТРУДНИТЕЛЬНОМ ОТТОКЕ ИЗ НЕГО ХАРАКТЕРИЗУЮТСЯ:
А венозным застоем
Б нормальным легочным кровотоком
В гиперволемией
Г гиповолемией
",А венозным застоем
75,"АУСКУЛЬТАТИВНЫМ ПРИЗНАКОМ ЛЕГОЧНОЙ ГИПЕРТЕНЗИИ ЯВЛЯЕТСЯ АКЦЕНТ II ТОНА:
А над основанием мечевидного отростка
Б в точке Боткина-Эрба в горизонтальном положении
В на верхушке сердца в положении пациента сидя
Г во 2 межреберье слева от грудины
",Г во 2 межреберье слева от грудины
76,"ПРИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ НА ЭКГ МОГУТ РЕГИСТРИРОВАТЬСЯ:
А диффузные «корытообразные» изменения сегмента ST
Б признаки перегрузки правых камер сердца
В инфарктоподобные изменения
Г низкоамплитудные комплексы QRS
",В инфарктоподобные изменения
