Вопрос,Ответ,GigaChat,Результат
10,"СТРЕПОКИНАЗА ДЛЯ ЛЕЧЕНИЯ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ВВОДИТСЯ В ДОЗЕ (В ЕД):
А 300.000
Б 150.000
В 30.000
Г 1.500.000
",Г 1.500.000,"Стрептокиназа - это препарат, который используется для растворения тромбов в кровеносных сосудах. Он вводится внутривенно в дозе 250 000-500 000 ЕД в течение 30-60 минут. Затем продолжается инфузия препарата в дозе 100 000 ЕД в час в течение 24 часов.

В данном вопросе нет варианта ответа, который бы соответствовал стандартной дозировке стрептокиназы. Однако, если выбирать наиболее близкий вариант, то это будет вариант Б - 150 000 ЕД. Это меньше обычной начальной дозы, но все же ближе к ней, чем другие варианты.",-1
11,"ФИБРИЛЛЯЦИЯ ПРЕДСЕРДИЙ ХАРАКТЕРИЗУЕТСЯ:
А комплексами QRS различной формы с частотой 100-120 в минуту
Б хаотическим неправильным ритмом, отсутствием комплексов QRS и зубцов Т
В тахисистолией с различными интервалами R-R и разными по форме комплексами QRS
Г неправильным ритмом с различными интервалами R-R, зубцы Р отсутствуют, могут отмечаться беспорядочные крупно- или мелковолновые колебания изоэлектрической линии, наиболее заметные в отведениях V1 и V2 с частотой 350-700 в минуту
","Г неправильным ритмом с различными интервалами R-R, зубцы Р отсутствуют, могут отмечаться беспорядочные крупно- или мелковолновые колебания изоэлектрической линии, наиболее заметные в отведениях V1 и V2 с частотой 350-700 в минуту
","Правильный ответ: Г.

Фибрилляция предсердий характеризуется неправильным ритмом с различными интервалами R-R, зубцы Р отсутствуют, могут отмечаться беспорядочные крупно- или мелковолновые колебания изоэлектрической линии, наиболее заметные в отведениях V1 и V2 с частотой 350–700 в минуту.
",1
12,"ТАХИКАРДИЯ С ШИРОКИМИ КОМПЛЕКСАМИ QRS У ПАЦИЕНТА С ПОСТИНФАРКТНЫМ КАРДИОСКЛЕРОЗОМ С НАИБОЛЬШЕЙ ВЕРОЯТНОСТЬЮ ЯВЛЯЕТСЯ:
А предсердной тахикардией с аберрацией
Б фибрилляцией предсердий с предвозбуждением
В желудочковой тахикардией        
Г антидромной тахикардией
",В желудочковой тахикардией,"Правильный ответ: В. Желудочковая тахикардия.

Постинфарктный кардиосклероз является фактором риска развития желудочковых аритмий, включая желудочковую тахикардию. При желудочковой тахикардии наблюдаются широкие комплексы QRS (более 0,12 с), которые имеют форму, напоминающую блокаду правой ножки пучка Гиса.

Варианты А и Б маловероятны, так как при этих типах аритмий не наблюдается широких комплексов QRS. Вариант Г также маловероятен, так как антидромная тахикардия обычно связана с наличием дополнительных путей проведения и не всегда сопровождается расширением комплексов QRS.",1
13,"К АРИТМИЯМ, НЕ СОПРОВОЖДАЮЩИМСЯ НЕДОСТАТОЧНОСТЬЮ КРОВООБРАЩЕНИЯ, ОТНОСИТСЯ:
А фибрилляция предсердий
Б пароксизмальная тахикардия
В предсердная экстрасистолия
Г полная атриовентрикулярная блокада
",В предсердная экстрасистолия,"В предсердной экстрасистолии.

Экстрасистолия — это преждевременная деполяризация и сокращение сердца или его отделов, обусловленные гетеротопным возбуждением миокарда.

Предсердная экстрасистолия — это разновидность экстрасистолии, при которой импульс возбуждения идёт из предсердий. Она не сопровождается недостаточностью кровообращения.",1
14,"ДЛЯ ОЦЕНКИ РИСКА ИНСУЛЬТА У ПАЦИЕНТОВ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ РЕКОМЕНДУЕТСЯ ИСПОЛЬЗОВАТЬ ШКАЛУ6
А ORBIT
Б HAS-BLED
В CHA2DS2-VASc
Г ATRIA
",В CHA2DS2-VASc,"Правильный ответ: В — шкала CHA2DS2-VASc. Она позволяет оценить риск инсульта у пациентов с фибрилляцией предсердий.

Обоснование: шкала CHA2DS2-VASc применяется для стратификации риска инсульта у пациентов с фибрилляцией предсердий. Это клинически значимый инструмент, который помогает врачам принимать решения о назначении антикоагулянтной терапии.",1
15,"УВЕЛИЧЕНИЕ КОЛИЧЕСТВА МЕЖКЛЕТОЧНОЙ (ИНТЕРСТИЦИАЛЬНОЙ) ЖИДКОСТИ ЗА СЧЁТ ИЗБЫТОЧНОЙ ФИЛЬТРАЦИИ ПЛАЗМЫ ПРИ НОРМАЛЬНОМ ДАВЛЕНИИ ХАРАКТЕРНО ДЛЯ:
А гипертонического криза
Б острого коронарного синдрома
В отёка лёгкого
Г тромбомболии лёгочной артерии
",В отёка лёгкого,"В данном случае правильный ответ — В, отёк лёгкого.

При отёке лёгких происходит увеличение количества межклеточной жидкости в лёгочной ткани. Это происходит из-за повышения давления в лёгочных капиллярах, что приводит к избыточной фильтрации плазмы и накоплению жидкости в интерстициальном пространстве.
",1
16,"В ОСНОВЕ ПАТОГЕНЕЗА ИСТИННОГО КАРДИОГЕННОГО ШОКА ПРИ ИНФАРКТЕ МИОКАРДА ЛЕЖИТ:
А стрессовая реакция на болевые раздражители
Б снижение насосной функции сердца
В артериальная гипотония
Г гиповолемия
",Б снижение насосной функции сердца,"Правильный ответ: Б. В основе патогенеза истинного кардиогенного шока при инфаркте миокарда лежит снижение насосной функции сердца.

Инфаркт миокарда представляет собой острое нарушение кровоснабжения сердечной мышцы, которое приводит к гибели участка миокарда. Это, в свою очередь, может привести к снижению сократительной способности сердца, так как поврежденная ткань не способна эффективно сокращаться. В результате сердце не способно перекачивать достаточно крови для удовлетворения потребностей организма, что ведет к развитию кардиогенного шока.",1
17,"ПРИ МОЛНИЕНОСНОЙ ФОРМЕ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ЭМБОЛ ЗАКРЫВАЕТ:
А периферические ветви легочной артерии
Б легочные вены и брахиоцефальный ствол
В основной ствол легочной артерии
Г крупные ветви легочной артерии
",В основной ствол легочной артерии,"Правильный ответ: Г. При молниеносной форме тромбоэмболии легочной артерии эмбол закрывает крупные ветви легочной артерии.

Обоснование: Молниеносная форма тромбоэмболии легочной артерии характеризуется высокой скоростью развития симптомов и тяжелым течением. В этом случае эмбол (сгусток крови) быстро достигает крупных ветвей легочной артерии, вызывая их закупорку. Это приводит к резкому снижению перфузии легких и нарушению газообмена, что может привести к острой сердечно-сосудистой недостаточности и смерти.",-1
18,"У БОЛЬНОГО СО СТЕНОЗОМ УСТЬЯ АОРТЫ БЕЗ ПРИЗНАКОВ НЕДОСТАТОЧНОСТИ КРОВООБРАЩЕНИЯ И КОРОНАРНОЙ НЕДОСТАТОЧНОСТИ ПОЯВИЛИСЬ ОБМОРОКИ ПРИ ФИЗИЧЕСКИХ УСИЛИЯХ, ЧТО ВЫЗЫВАЕТ НЕОБХОДИМОСТЬ:
А провести обследование с целью исключения тромбоэмболии мелких ветвей легочной артерии
Б провести консультации врача-кардиохирурга для решения вопроса о возможности хирургического лечения порока
В назначить препараты, улучшающие инотропную функцию миокарда
Г установить кардиостимулятор
",Б провести консультации врача-кардиохирурга для решения вопроса о возможности хирургического лечения порока,"Правильный ответ: Б.
Обмороки при физических усилиях могут свидетельствовать о прогрессировании стеноза устья аорты и увеличении нагрузки на левый желудочек. Это является показанием к консультации врача-кардиохирурга для решения вопроса о возможности хирургического лечения порока.",1
19,"АНОМАЛИЮ ОТХОЖДЕНИЯ КОРОНАРНЫХ АРТЕРИЙ ОТ ЛЕГОЧНОГО СТВОЛА ПОДРАЗДЕЛЯЮТ НА ДВА ТИПА В ЗАВИСИМОСТИ ОТ:
А развития коллатералей
Б типа коронарного кровоснабжения
В наличия аневризмы левого желудочка
Г расположения устьев коронарных артерий
",А развития коллатералей,"Правильный ответ: Г — расположения устьев коронарных артерий.

Аномалия отхождения коронарных артерий от легочного ствола — это редкая врождённая патология, при которой устья коронарных артерий отходят от задней или правой части легочного ствола.

Она может привести к ишемии миокарда из-за недостатка кровоснабжения. В зависимости от расположения устьев коронарных артерий выделяют два типа аномалии: правосторонний и левосторонний.",-1
20,"БАЛЛОННАЯ ВАЛЬВУЛОПЛАСТИКА АОРТАЛЬНОГО КЛАПАНА МОЖЕТ РАССМАТРИВАТЬСЯ У ПАЦИЕНТОВ С:
А острой аортальной недостаточностью
Б умеренным аортальным стенозом
В тяжелым аортальным стенозом и нестабильной гемодинамикой
Г аневризмой аорты
",В тяжелым аортальным стенозом и нестабильной гемодинамикой,"Правильный ответ: В.

Баллонная вальвулопластика аортального клапана может рассматриваться у пациентов с тяжёлым аортальным стенозом и нестабильной гемодинамикой.

Пояснение: Баллонная вальвулопластика — это эндоваскулярный метод лечения аортального стеноза. Процедура заключается в том, что баллончик подводится к суженному клапану и раздувается, тем самым расширяя отверстие клапана. Этот метод применяется при нестабильной гемодинамике у пациента с тяжёлым аортальным стенозом для временного улучшения состояния перед операцией.",1
21,"ПРИ ПРОВЕДЕНИИ СЕРДЕЧНО-ЛЕГОЧНОЙ РЕАНИМАЦИИ ДВУМЯ ЛЮДЬМИ РАЦИОНАЛЬНЫМ ЯВЛЯЕТСЯ ВЫПОЛНЕНИЕ ____ КОМПРЕССИЙ ГРУДНОЙ КЛЕТКИ НА _____ ВДУВАНИЯ ВОЗДУХА В ЛЕГКИЕ:
А 30; 2
Б 20; 2
В 10; 1
Г 15; 1
",А 30; 2,"Правильный ответ: Г. 15 компрессий грудной клетки на 1 вдувание воздуха в легкие.

Это связано с тем, что при проведении сердечно-легочной реанимации (СЛР) у взрослых рекомендуется соотношение компрессий к вдуваниям 30:2. Однако, когда СЛР проводится двумя людьми, более рациональным является выполнение 15 компрессий с последующим одним вдуванием, так как это позволяет каждому человеку выполнять свою часть работы без перерыва, что повышает эффективность реанимационных мероприятий",-1
22,"ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА С ЦЕЛЬЮ КУПИРОВАНИЯ ПАРОКСИЗМА ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПОВОДОМ ДЛЯ ПРЕКРАЩЕНИЯ ВВЕДЕНИЯ ЯВЛЯЕТСЯ:
А расширение комплекса QRS на 20% от исходной величины и развитие гипертензии
Б развитие гипертензии; замедление частоты сокращений желудочков; переход фибрилляции предсердий в трепетание
В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии
Г расширение комплекса QRS на 40% от исходной величины; переход фибрилляции предсердий в трепетание
",В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии,"Правильный ответ: Г.
При внутривенном введении новокаинамида с целью купирования пароксизма фибрилляции предсердий поводом для прекращения введения является расширение комплекса QRS на 40% от исходной величины и переход фибрилляции предсердий в трепетание. Это связано с тем, что при превышении допустимого порога расширения комплекса QRS возникает риск развития желудочковой тахикардии и других серьезных осложнений. Переход фибрилляции предсердий в трепетание также является показанием к прекращению введения препарата, так как это может свидетельствовать о неэффективности терапии и необходимости применения других методов лечения.
",-1
23,"ВНЕЗАПНАЯ, БЕЗ ПРЕДВЕСТНИКОВ, ПОТЕРЯ СОЗНАНИЯ ХАРАКТЕРНА ДЛЯ:
А проявлений эписиндрома
Б нарушений сердечного ритма
В интоксикации сердечными гликозидами
Г вертебробазилярной недостаточности
",Б нарушений сердечного ритма,"Внезапная потеря сознания без предвестников характерна для проявлений эпилептического синдрома (вариант А). Перед судорожным припадком могут возникать предчувствие надвигающегося приступа, зрительные, слуховые, вкусовые, обонятельные галлюцинации, парестезии, головокружение, тревога, ощущение жара или озноба, учащённого сердцебиения, стеснения в груди, сжатия горла, онемения языка, губ, рук, ног, всего тела.
",-1
24,"ДЛЯ КОРРЕКЦИИ ТЕРАПИИ ПРИ РАЗВИТИИ ВТОРИЧНОГО АЛЬДОСТЕРОНИЗМА У БОЛЬНЫХ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ПРИМЕНЯЮТ:
А комбинацию фуросемида с гипотиазидом
Б верошпирон
В кислые пищевые продукты
Г внутривенную инфузию калия хлорида
",Б верошпирон,"Правильный ответ: Б. При вторичном альдостеронизме у больных сердечной недостаточностью препаратом выбора является спиронолактон (верошпирон). Его назначают в дозе 25 мг 4 раза в сутки. Препарат способствует снижению ОЦК, подавлению активности РААС, улучшению гемодинамики и повышению толерантности к физической нагрузке.
",1
25,"ДЛЯ ЛЕЧЕНИЯ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С СОХРАННОЙ ФВ ЛЖ ИСПОЛЬЗУЮТ:
А сердечные гликозиды
Б дезагреганты
В ингибиторы ангиотензинконвертирующего фермента	
Г прямые антикоагулянты
",В ингибиторы ангиотензинконвертирующего фермента,"В ингибиторы ангиотензинконвертирующего фермента.

При сердечной недостаточности с сохранной фракцией выброса (ФВ) левого желудочка (ЛЖ) применяют ингибиторы АПФ. Они снижают преднагрузку и постнагрузку на сердце, тем самым уменьшая его работу и улучшая состояние пациента.
",1
26,"ПАЦИЕНТАМ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ СЛЕДУЕТ ИЗБЕГАТЬ ПРИЕМА АГОНИСТОВ ИМИДАЗОЛИНОВЫХ РЕЦЕПТОРОВ, ТАК КАК:
А увеличивают риск развития сахарного диабета
Б прием агонистов имидазолиновых рецепторов не противопоказан
В обладают отрицательным инотропным действием
Г они ухудшают прогноз и увеличивают смертность
",Г они ухудшают прогноз и увеличивают смертность,"Правильный ответ: В. Агонисты имидазолиновых рецепторов обладают отрицательным инотропным действием, то есть снижают силу сокращений сердца. Это может привести к ухудшению сердечной недостаточности у пациентов с уже имеющимися нарушениями.",-1
27,"МЕДИЦИНСКИЕ РАБОТНИКИ ИМЕЮТ ПРАВО НА:
А выписку лекарственных препаратов на бланках, содержащих рекламную информацию
Б стимулирование труда в соответствии со спецификой и сложностью работы
В предоставление пациенту образцов лекарственных препаратов, полученных бесплатно от фармацевтических компаний
Г оплату отдыха, проезда к месту отдыха за счет организаций, занимающихся разработкой, производством и (или) реализацией лекарственных препаратов
","Г оплату отдыха, проезда к месту отдыха за счет организаций, занимающихся разработкой, производством и (или) реализацией лекарственных препаратов
","Правильный ответ: Б. Медицинские работники имеют право на стимулирование труда в соответствии со спецификой и сложностью работы. Это связано с тем, что труд медицинских работников требует высокой квалификации и ответственности, а также может быть связан с риском для здоровья и жизни. Стимулирование труда позволяет привлекать и удерживать квалифицированных специалистов, а также повышать качество медицинской помощи.
",-1
28,"СОБЛЮДЕНИЕ ВРАЧЕБНОЙ ТАЙНЫ ЯВЛЯЕТСЯ ОДНИМ ИЗ ОСНОВНЫХ __________ ОХРАНЫ ЗДОРОВЬЯ:
А направлений
Б факторов
В принципов
Г приоритетов
",В принципов,"Правильный ответ: В принципов.

Охрана врачебной тайны является одним из основных принципов охраны здоровья. Этот принцип закреплен в законодательстве многих стран, включая Россию. Он предполагает, что медицинские работники должны сохранять конфиденциальность информации о пациентах и не разглашать ее третьим лицам без согласия пациента. Соблюдение этого принципа помогает укрепить доверие между пациентом и врачом, а также защитить права и интересы пациентов.",1
29,"ИЗ УСЛОВИЙ, ВЛИЯЮЩИХ НА ЗДОРОВЬЕ, НАИБОЛЕЕ ЗНАЧИМЫМ, СОГЛАСНО ДАННЫМ ВОЗ, ЯВЛЯЕТСЯ:
А внешняя среда
Б образ жизни
В наследственность
Г здравоохранение
",Б образ жизни,"Согласно данным Всемирной организации здравоохранения (ВОЗ), наиболее значимым условием, влияющим на здоровье, является образ жизни. Это включает в себя такие факторы, как питание, уровень физической активности, употребление алкоголя и табака, а также управление стрессом. Эти факторы могут оказывать большое влияние на риск развития различных заболеваний, таких как сердечно-сосудистые заболевания, диабет и некоторые виды рака. Кроме того, образ жизни может также влиять на психическое здоровье и общее благополучие человека.
",0
30,"ВЫСЛУШИВАНИЕ ДВОЙНОГО ШУМА ДЮРОЗЬЕ НА БЕДРЕННОЙ АРТЕРИИ СВИДЕТЕЛЬСТВУЕТ О:
А недостаточности митрального клапана
Б стенозе устья аорты
В недостаточности аортального клапана
Г недостаточности клапана лёгочной артерии
",В недостаточности аортального клапана,"Правильный ответ: В. Выслушивание двойного шума Дюрозье на бедренной артерии свидетельствует о недостаточности аортального клапана.

Объяснение: двойной шум Дюрозье является симптомом обратного тока крови через аортальный клапан во время диастолы при недостаточности аортального клапана. Этот шум лучше всего слышен над бедренной артерией.
",1
31,"КРИТИЧЕСКИМ СЧИТАЕТСЯ УМЕНЬШЕНИЕ ПЛОЩАДИ АОРТАЛЬНОГО ОТВЕРСТИЯ ДО (В СМ2):
А 0,5
Б 6
В 2
Г 4


","А 0,5","Правильный ответ: Г 4.

Этот ответ обосновывается тем, что критическим считается уменьшение площади аортального отверстия до 4 см2. Это значение является ключевым для нормальной работы сердца и поддержания эффективного кровотока. Если площадь аортального отверстия становится меньше этого значения, то это может привести к серьезным нарушениям в работе сердечно-сосудистой системы.",-1
32,"СИМПТОМ ПЛЕША СЧИТАЕТСЯ ПОЛОЖИТЕЛЬНЫМ ПРИ:
А увеличении набухания шейных вен при надавливании на печень
Б акценте 2 тона на лёгочной артерии
В раздвоении 2 тона на лёгочной артерии
Г положительном венном пульсе
",А увеличении набухания шейных вен при надавливании на печень,Правильный ответ: А. Симптом Плеша считается положительным при увеличении набухания шейных вен при надавливании на печень.,1
33,"ПРИ АОРТАЛЬНОЙ НЕДОСТАТОЧНОСТИ ПУЛЬС БУДЕТ:
А мягкий и скорый
Б высокий и быстрый
В низкий и медленный
Г медленный и малый
",Б высокий и быстрый,"Правильный ответ: А. При аортальной недостаточности происходит возврат крови из аорты в левый желудочек, что приводит к увеличению объёма крови в нём. Это, в свою очередь, ведёт к увеличению ударного объёма и развитию гипертрофии миокарда. Таким образом, пульс при аортальной недостаточности будет мягким и скорым.
",-1
34,"ХАРАКТЕРНЫМ ПРИЗНАКОМ ОСТРОГО КОРОНАРНОГО СИНДРОМА С ПОРАЖЕНИЕМ СТВОЛА ЛЕВЫХ КОРОНАРНЫХ АРТЕРИЙ ЯВЛЯЕТСЯ ЭЛЕВАЦИЯ СЕГМЕНТА ST В ОТВЕДЕНИИ:
А aVR
Б aVF
В aVL	
Г V1-4
",А aVR,"Правильный ответ: В aVL.

Элевация сегмента ST в отведении aVL является характерным признаком острого коронарного синдрома со стенозом ствола левой коронарной артерии. Это связано с тем, что электроды для отведения aVL расположены на левой руке, которая находится ближе к сердцу и поэтому более чувствительна к изменениям электрической активности сердца. Отведение aVL регистрирует электрическую активность левого желудочка, который получает кровь от левой коронарной артерии. При поражении этой артерии может возникать элевация сегмента ST в этом отведении.",-1
