Вопрос,Ответ,GigaChat,Результат
11,"ПАЦИЕНТАМ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ МОЛОЖЕ 80 ЛЕТ, ВЕСОМ БОЛЕЕ 60 КГ, КРЕАТИНИНОМ ВЫШЕ ИЛИ РАВНЫМ 132 ММОЛЬ/Л НАЗНАЧАЕТСЯ 2 РАЗА В ДЕНЬ АПИКСАБАН В ДОЗЕ (В МГ)
А 5
Б 2,5
В 20
Г 30",А 5,"Правильный ответ: Г.

Согласно клиническим рекомендациям «Ведение пациентов с фибрилляцией предсердий» от 2020 года, дозировка препарата апиксабан для пациентов младше 80 лет с массой тела более 60 кг составляет 30 мг два раза в день.",-1
12,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ ПРЕПАРАТОМ ДЛЯ ПРЕДУПРЕЖДЕНИЯ ПОВТОРНЫХ ПРИСТУПОВ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В хинидин
Г прокаинамид",Б амиодарон ,"Правильный ответ: Б. Амиодарон является наиболее эффективным препаратом для предупреждения повторных приступов фибрилляции предсердий. Это связано с его антиаритмическими свойствами и способностью блокировать натриевые, калиевые и кальциевые каналы. Кроме того, амиодарон обладает пролонгированным действием, что позволяет поддерживать стабильность сердечного ритма в течение длительного времени.
",1
13,"ДИАГНОЗ «СКРЫТАЯ АГ» МОЖНО ИСКЛЮЧИТЬ ПРИ УРОВНЕ (В ММ РТ. СТ.)
А «офисного» АД ≥140/90
Б дневного амбулаторного АД <135/85
В дневного амбулаторного АД >135/85
Г среднесуточного амбулаторного АД >135/80",Б дневного амбулаторного АД <135/85,"Правильный ответ: Г. Обоснование: согласно Российским рекомендациям по диагностике и лечению артериальной гипертонии 2020 г., диагноз «скрытая гипертония» устанавливается при уровне среднесуточного амбулаторного АД >135/80 мм рт. ст.",-1
14,"РИСК АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ПРИ НАЛИЧИИ АССОЦИИРОВАННЫХ КЛИНИЧЕСКИХ СОСТОЯНИЙ
А средний
Б низкий
В высокий
Г очень высокий",Г очень высокий,"Правильный ответ: Г (очень высокий).

Обоснование: Артериальная гипертония является одним из наиболее значимых факторов риска развития сердечно-сосудистых заболеваний. При наличии ассоциированных клинических состояний, таких как сахарный диабет, заболевания почек, ишемическая болезнь сердца, цереброваскулярные болезни и другие, риск артериальной гипертонии значительно возрастает. Это связано с тем, что эти состояния могут усугублять течение артериальной гипертонии, увеличивать повреждение органов-мишеней и ухудшать прогноз. Поэтому при наличии ассоциированных клинических состояний риск артериальной гипертонии оценивается как очень высокий.
",1
15,"СУТОЧНОЕ МОНИТОРИРОВАНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ПОЗВОЛЯЕТ ВЫЯВИТЬ
А преходящие нарушения проводимости
Б вазоспастическую стенокардию
В феномен белого халата
Г нарушение вариабельности сердечного ритма",В феномен белого халата ,"Правильный ответ: В. Феномен белого халата — повышение артериального давления (АД) при измерении врачом или медсестрой как реакция на медицинский осмотр, при этом АД остаётся в пределах нормы при его измерении в домашних условиях.

Суточное мониторирование АД позволяет зарегистрировать повышение АД в момент его измерения медицинским работником и подтвердить феномен белого халата.
",1
16,"В БИОХИМИЧЕСКИХ АНАЛИЗАХ КРОВИ ПРИ СИНДРОМЕ КОННА ЧАЩЕ ВСЕГО ОБНАРУЖИВАЕТСЯ
А повышение уровня катехоламинов
Б повышение уровня ренина
В снижение концентрации альдостерона
Г повышение концентрации альдостерона",Г повышение концентрации альдостерона,"В данном случае правильным будет ответ Г — повышение концентрации альдостерона.

Синдром Конна (первичный гиперальдостеронизм) — заболевание, при котором кора надпочечников вырабатывает избыточное количество гормона альдостерона. Альдостерон регулирует обмен электролитов, в частности ионов калия и натрия. При повышении уровня альдостерона происходит усиленное выведение калия из организма и задержка натрия и воды. Это приводит к повышению артериального давления.",1
17,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ПРИ ВЫПОТНОМ ПЕРИКАРДИТЕ СЛЕДУЕТ СЧИТАТЬ МЕТОД
А электрокардиографии
Б эхокардиографии
В аускультации
Грентгенографии",Б эхокардиографии ,"Наиболее информативным методом при выпотном перикардите следует считать метод Б — эхокардиографии.

Эхокардиография позволяет определить наличие жидкости в полости перикарда и измерить её количество, оценить состояние сердечной мышцы, клапанов сердца, определить наличие тромбов в полости перикарда. Также этот метод помогает выявить другие возможные причины скопления жидкости в перикарде, такие как опухоли или заболевания лёгких.

Остальные методы также могут использоваться для диагностики перикардита, но они менее информативны. Метод А (электрокардиография) может показать изменения на ЭКГ, характерные для перикардита, но они не всегда специфичны и могут быть похожи на изменения при других заболеваниях сердца. Метод В (аускультация) позволяет услышать шум трения перикарда, который характерен для сухого перикардита, но он может отсутствовать при выпотном перикардите. Метод Г (рентгенография) может показать увеличение тени сердца и изменение его формы, что является признаком выпотного перикардита, однако эти изменения не всегда чётко выражены и могут быть похожи на изменения при других заболеваниях сердца и лёгких.",1
18,"ВЫПОТ ПРИ ПЕРИКАРДИТЕ, ВЫЗВАННОМ МЕЗОТЕЛИОМОЙ, НОСИТ _________ ХАРАКТЕР
А хилезный
Б гнойный
В геморрагический
Г серозный",В геморрагический ,"Правильный ответ: Г. Выпот при перикардите, вызванном мезотелиомой, обычно носит геморрагический характер. Это связано с тем, что мезотелиома - это опухоль, которая развивается из клеток мезотелия, выстилающих внутреннюю поверхность плевры и перикарда. При этом заболевании происходит прорастание опухоли в кровеносные сосуды, что приводит к их повреждению и кровоизлияниям в полость перикарда.
",-1
19,"ДЛЯ ЭКССУДАТИВНОГО ПЕРИКАРДИТА БЕЗ ТАМПОНАДЫ ПО ДАННЫМ ЭХОКГ ХАРАКТЕРНО
А наличие жидкости в полости перикарда
Б уменьшение размеров правого предсердия и правого желудочка в диастолу
В увеличение левого предсердия и левого желудочка
Г аномальное движение межжелудочковой перегородки в диастолу
",А наличие жидкости в полости перикарда ,"Правильный ответ: А. Наличие жидкости в полости перикарда.

При экссудативном перикардите без тампонады сердца на ЭхоКГ определяется наличие жидкости в полости перикарда. Это связано с накоплением воспалительной жидкости между листками перикарда. Остальные варианты ответа являются неправильными, так как они не отражают характерных признаков экссудативного перикардита.
",1
20,"ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ, ОСНОВНАЯ ПРОФЕССИЯ КОТОРОГО - МАШИНИСТ ЛОКОМОТИВА, МОЖНО ОПРЕДЕЛИТЬ III ГРУППУ ИНВАЛИДНОСТИ НА ПЕРИОД ВРЕМЕНИ
А бессрочно
Б 6 месяцев
В 1 год
Г 3 года",В 1 год,"Правильный ответ: Б. Инвалидность III группы определяется на срок 6 месяцев.

Артериальная гипертензия является хроническим заболеванием, которое может привести к инвалидности. Однако, учитывая, что профессия пациента связана с управлением локомотивом, это требует высокой концентрации внимания и быстрой реакции. Поэтому временная нетрудоспособность может быть оправдана для защиты здоровья пациента и предотвращения возможных осложнений.

Файл не выбран
Ещё
",-1
21,"ПРИ ВЫДАЧЕ ЛИСТКА НЕТРУДОСПОСОБНОСТИ НА БУМАЖНОМ НОСИТЕЛЕ В СЛУЧАЯХ, ПРЕДУСМОТРЕННЫХ ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ И НАЛИЧИИ ОШИБОК В ЗАПОЛНЕНИИ ЛИСТКА НЕТРУДОСПОСОБНОСТИ, ЛИБО В СВЯЗИ С ЕГО ПОРЧЕЙ ИЛИ УТЕРЕЙ ПО РЕШЕНИЮ ВРАЧЕБНОЙ КОМИССИИ ВЗАМЕН РАНЕЕ ВЫДАННОГО ЛИСТКА НЕТРУДОСПОСОБНОСТИ
А оформляется выписка из протокола врачебной комиссии
Б оформляется копия листка нетрудоспособности с внесенными в нее исправлениями
В оформляется дубликат листка нетрудоспособности
Г допускается выдача дуплета листка нетрудоспособности",В оформляется дубликат листка нетрудоспособности,"Правильный ответ — В. В случае ошибок при заполнении листка нетрудоспособности, его порчи или утери выдаётся дубликат.",1
22,"ВРАЧЕБНАЯ КОМИССИЯ МОЖЕТ ПРОДЛИТЬ ЛИСТОК НЕТРУДОСПОСОБНОСТИ МАКСИМАЛЬНО НА СРОК НЕ БОЛЕЕ ______ МЕСЯЦЕВ
А 6
Б 9
В 3
Г 12",Г 12,"Правильный ответ — Г. Согласно приказу Минздравсоцразвития РФ от 29 июня 2011 г. № 624н «Об утверждении Порядка выдачи листков нетрудоспособности», врач может единолично выдавать листок нетрудоспособности до 15 календарных дней (если иной срок не предусмотрен федеральными законами). Далее решение о продлении принимает врачебная комиссия. Она может продлить листок нетрудоспособности на период не более 12 месяцев.
",1
23,"УСКОРЕННЫЙ ИДИОВЕНТРИКУЛЯРНЫЙ РИТМ ПРЕДСТАВЛЯЕТ СОБОЙ
А комплексы QRS различной формы с частотой 100-120 в минуту
Б правильный ритм с укороченным интервалом PQ и уширенными комплексами QRS во всех грудных отведениях
В хаотический неправильный ритм, комплексы QRS и зубцы Т отсутствуют
Г правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS

","Г правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS","Правильный ответ: Г. Ускоренный идиовентрикулярный ритм представляет собой правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS.
",1
24,"ДЛЯ ПОДТВЕРЖДЕНИЯ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ У БОЛЬНЫХ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ НЕОБХОДИМО ВЫЯВИТЬ ВЫСОКИЕ УРОВНИ
А трансаминаза (аланинаминотрасферазы и аспартатаминотрасферазы)
Б (про-) мозгового натрийуретического пептида
В метаболита биохимических реакций аминокислотно-белкового обмена в организме (креатинина)
Г специфических маркеров некроза миокарда (тропонинов)",Б (про-) мозгового натрийуретического пептида,"Правильный ответ: Б.
При хронической сердечной недостаточности у больных с фибрилляцией предсердий необходимо выявить высокие уровни мозгового натрийуретического пептида (МНП). МНП – это гормон, который выделяется сердцем в ответ на увеличение давления или объема внутри сердца. При наличии сердечной недостаточности уровень МНП в крови повышается. Это позволяет использовать данный показатель для диагностики и контроля эффективности лечения хронической сердечной недостаточности.
",1
25,"ПРИ КАКИХ НАРУШЕНИЯХ РИТМА БЫВАЮТ ПРИСТУПЫ МОРГАНЬИ-ЭДЕМСА-СТОКСА?
А фибрилляция предсердий
Б желудочковая экстрасистолия
В атриовентрикулярная блокада 1 степени
Г атриовентрикулярная блокада 3 степени",Г атриовентрикулярная блокада 3 степени,"Правильный ответ: Г. Приступы Морганьи-Адемса-Стокса могут возникать у пациентов с полной атриовентрикулярной блокадой (атриовентрикулярная блокада III степени).
",1
26,"ПРИ WPW СИНДРОМЕ ПРОДОЛЖИТЕЛЬНОСТЬ ИНТЕРВАЛА PQ СОСТАВЛЯЕТ (В СЕКУНДАХ)
А более 0,2
Б 0,12 - 0,2
В более 0,25
Г менее 0,12","Г менее 0,12 ","Правильный ответ: Г менее 0,12.

WPW синдром (синдром Вольфа-Паркинсона-Уайта) — это врождённая аномалия строения сердца, при которой между желудочками и предсердиями существует дополнительный путь проведения электрического импульса (пучок Кента). Из-за этого происходит преждевременное возбуждение части миокарда желудочков, что приводит к укорочению интервала PQ. В норме этот интервал составляет от 0,12 до 0,2 секунды, но при WPW синдроме он обычно меньше 0,12 секунды.",1
27,"ТЕРМИН «БОТАЛЛИТ» ХАРАКТЕРИЗУЕТ
А синдром Эйзенменгера
Б одно из осложнений открытого артериального протока
В состояние гемодинамики при септальных дефектах
Г осложнение триады Фалло",Б одно из осложнений открытого артериального протока,"Правильный ответ: В. Состояние гемодинамики при септальных дефектах.

Обоснование: Боталлов проток — это сосуд, соединяющий лёгочный ствол и аорту плода. После рождения ребёнка он обычно закрывается в течение нескольких дней. Если этого не происходит, развивается патологическое состояние, называемое персистирующим (открытым) артериальным протоком. Это приводит к сбросу крови из большого круга кровообращения в малый, минуя лёгкие. В результате увеличивается нагрузка на правые отделы сердца, повышается давление в лёгочной артерии, что может привести к развитию сердечной недостаточности.
",-1
28,"ХАРАКТЕРНЫМ СИМПТОМОМ ДЛЯ БОЛЬНЫХ СО СТЕНОЗОМ УСТЬЯ АОРТЫ ЯВЛЯЕТСЯ
А симптом Мюссе
Б акроцианоз
В бледность кожных покровов
Г «пляска каротид»",В бледность кожных покровов,"Правильный ответ: Г. Симптом «пляска каротид» (пульсирующие движения боковых поверхностей шеи) характерен для больных со стенозом устья аорты. Он возникает вследствие того, что кровь при каждом систолическом сокращении сердца устремляется через суженный клапан в аорту и поднимает её стенку. Объемная пульсация крупных артериальных стволов передаётся на мягкие ткани, расположенные рядом. Этот симптом хорошо виден при запрокидывании головы больного назад.
",-1
29,"ПРИ НАЛИЧИИ НА ЭКГ ПРИЗНАКОВ СОЧЕТАННОЙ ГИПЕРТРОФИИ ЛЕВОГО ПРЕДСЕРДИЯ И ПРАВОГО ЖЕЛУДОЧКА ВОЗМОЖНО ПРЕДПОЛОЖИТЬ
А стеноз лёгочной артерии
Б митральный стеноз
В дефект межпредсердной перегородки
Г аортальную недостаточность",Б митральный стеноз,"В данном случае речь идет о гипертрофии предсердий и желудочков, что может быть связано с различными заболеваниями сердца. Однако, согласно информации, представленной в вопросе, можно исключить варианты А (стеноз лёгочной артерии) и Б (митральный стеноз), так как они обычно связаны с гипертрофией правого предсердия, а не левого.

Вариант Г (аортальная недостаточность) также маловероятен, поскольку он обычно приводит к гипертрофии левого желудочка, а не правого.

Таким образом, наиболее вероятным диагнозом в данном случае является вариант В (дефект межпредсердной перегородки). Это заболевание часто сопровождается гипертрофией обоих предсердий, а также правого желудочка, что соответствует клинической картине, описанной в вопросе.
",-1
30,"ЗАДНЮЮ СТВОРКУ ПРИ АНОМАЛИИ ЭБШТЕЙНА НА МР- ИЗОБРАЖЕНИЯХ ЛУЧШЕ ВСЕГО ОЦЕНИВАТЬ В ПЛОСКОСТИ
А приток/отток правого желудочка
Б стандартных ортогональных саггитальных срезах
В 2-левых камер и короткой оси сердца
Г стандартных ортогональных поперечных срезах",А приток/отток правого желудочка,"Правильный ответ: В. Задняя створка при аномалии Эбштейна лучше всего оценивать в плоскости двух левых камер и короткой оси сердца. Это связано с тем, что данная плоскость позволяет получить оптимальные проекции для визуализации задней створки трехстворчатого клапана и степени её смещения в сторону полости правого предсердия.",-1
31,"ДЛЯ ЛЕЧЕНИЯ КАРДИОГЕННОГО ШОКА СЛЕДУЕТ ВЫБРАТЬ
А преднизолон
Б нитроглицерин
В допамин
Г новокаинамид",В допамин,"Правильный ответ: В.
При кардиогенном шоке необходимо увеличить сократительную способность миокарда, снизить сосудистое сопротивление в малом круге кровообращения, нормализовать коронарный кровоток. Всем этим требованиям отвечает препарат допамин.
",1
32,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ КЛИНИЧЕСКИМ ПРИЗНАКОМ ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А тахикардия
Б ортопноэ
В кровохарканье
Г отёки на нижних конечностях",Б ортопноэ ,"Наиболее специфическим клиническим признаком острой левожелудочковой недостаточности является Б — ортопноэ. Это состояние, при котором больной вынужден находиться в положении ортопноэ (лежать с поднятым изголовьем, сидеть, опираясь на руки), чтобы облегчить своё состояние. Данный симптом возникает вследствие острых застойных явлений в малом круге кровообращения.",1
33,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ НАИБОЛЕЕ ХАРАКТЕРНА ДЛЯ
А тромбоэмболии лёгочной артерии
Б расслоения аорты
В инфаркта миокарда
Г стенокардии напряжения",Б расслоения аорты,"Правильный ответ: А — расслоение аорты.

При расслоении аорты происходит раздражение нервных окончаний стенки аорты гемоперикардом (кровь попадает в перикардиальную полость), что вызывает боль в грудной клетке. Иррадиация боли в спину характерна для расслоения восходящего отдела аорты.
",0
34,"В ОСТРОЙ СТАДИИ ИНФАРКТА МИОКАРДА C ЭЛЕВАЦИЕЙ СЕГМЕНТА ST НИЖНЕЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ЭЛЕВАЦИЯ ОТМЕЧАЕТСЯ В ОТВЕДЕНИЯХ
А I, aVL
Б V1-3
В II, III, aVF
Г V4-V6","В II, III, aVF","Правильный ответ: А.
Элевация сегмента ST может наблюдаться в отведениях I, aVL. Это связано с тем, что данные отведения направлены на боковую стенку сердца, которая включает нижнюю стенку левого желудочка. Таким образом, при инфаркте миокарда нижней стенки левого желудочка изменения будут регистрироваться в отведениях, соответствующих боковой стенке.
",-1
35,"УВЕЛИЧЕНИЕ ВЫСОТЫ И ШИРИНЫ ЗУБЦА R В ОТВЕДЕНИЯХ V1-V2 В СОЧЕТАНИИ С ДЕПРЕССИЕЙ СЕГМЕНТА ST И ПОЛОЖИТЕЛЬНЫМ ЗУБЦОМ Т ЯВЛЯЕТСЯ ПРИЗНАКОМ
А инфаркта миокарда правого желудочка
Б заднего инфаркта миокарда (задне-базального)
В мелкоочагового инфаркта миокарда
Г передне-перегородочного инфаркта миокарда",Б заднего инфаркта миокарда (задне-базального),"Правильный ответ: А. Увеличение высоты и ширины зубца R в отведениях V1–V2 в сочетании с депрессией сегмента ST и положительным зубцом Т является признаком инфаркта миокарда правого желудочка.
",-1
36,"СОГЛАСНО КЛАССИФИКАЦИИ СТАДИЙ КРОВЕНАПОЛНЕНИЯ ВЕНЕЧНЫХ АРТЕРИЙ ПО ТIMI 2 СТЕПЕНИ СООТВЕТСТВУЕТ
А отсутствие потока контрастного средства
Б замедление и не полное заполнение контрастным веществом дистальных сосудов
В быстрое антероградное заполнение и выведение контрастного вещества
Г замедление, но полное заполнение контрастным веществом дистальных сосудов","Г замедление, но полное заполнение контрастным веществом дистальных сосудов","Правильный ответ: Г. Согласно классификации TIMI, стадия кровенаполнения венных артерий оценивается следующим образом:

0 степень - отсутствие потока контрастного средства;
1 степень - замедление и неполное заполнение контрастным веществом дистальных сосудов;
2 степень - быстрое антероградное заполнение и выведение контрастного вещества;
3 степень - замедление, но полное заполнение контрастным веществом дистальных сосудов.


",1
37,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ
А эпросартан
Б ирбесартан
В кандесартан, валсартан
Г телмисартан","В кандесартан, валсартан ","В данном вопросе речь идет о препаратах, относящихся к классу блокаторов рецепторов ангиотензина (БРА), которые используются для лечения сердечной недостаточности. Ангиотензин II является мощным сосудосуживающим веществом, и его блокирование может улучшить состояние пациентов с сердечной недостаточностью.

Согласно современным клиническим рекомендациям, блокаторы рецепторов ангиотензина являются первой линией терапии у пациентов с сердечной недостаточностью. Однако не все препараты этого класса одинаково эффективны и безопасны при данной патологии. Некоторые исследования показали, что некоторые БРА могут иметь преимущества перед другими.

Важно отметить, что все перечисленные в вопросе препараты (эпросартан, ирбесартан, кандесартан, валсартан, телмисартан) относятся к классу БРА и применяются для лечения артериальной гипертензии. Однако не все они разрешены к применению у пациентов с сердечной недостаточностью.

Согласно последним данным, наиболее изученными и широко применяемыми в терапии сердечной недостаточности среди блокаторов рецепторов ангиотензина являются кандесартан и валсартан. Эти препараты продемонстрировали свою эффективность и безопасность в многочисленных клинических исследованиях.

Таким образом, правильным ответом будет вариант ""В"" - кандесартан и валсартан.
",1
38,"ПРИ СНИЖЕННОЙ ФРАКЦИИ ВЫБРОСА ЛЕВОГО ЖЕЛУДОЧКА ПРОТИВОПОКАЗАНЫ
А блокаторы кальциевых каналов дигидропиридинового ряда
Б верапамил, дилтиазем
В бета-адреноблокаторы
Г ингибиторы ангиотензин-превращающего фермента","Б верапамил, дилтиазем","Правильный ответ: Б. Верапамил и дилтиазем противопоказаны при сниженной фракции выброса левого желудочка.

Обоснование: Сниженная фракция выброса левого желудочка является признаком систолической дисфункции сердца, что может свидетельствовать о наличии у пациента сердечной недостаточности. Блокаторы кальциевых каналов (верапамил и дилтиазем) могут отрицательно влиять на сократительную способность миокарда, что может привести к дальнейшему ухудшению состояния пациента.
",1
