Вопрос,Ответ,GigaChat,Результат
23,"ПРИ БЛАГОПРИЯТНОМ КЛИНИЧЕСКОМ И ТРУДОВОМ ПРОГНОЗЕ ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ И ПРОДЛЕВАЕТСЯ НА СРОК НЕ БОЛЕЕ ___ МЕСЯЦЕВ С ДАТЫ НАЧАЛА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ И НЕ БОЛЕЕ ___ МЕСЯЦЕВ ПРИ ЛЕЧЕНИИ ТУБЕРКУЛЕЗА:
А 10; 12
Б 6; 8
В 12; 14
Г 4; 5
",А 10; 12,"Правильный ответ: В 12; 14.

Это связано с тем, что согласно законодательству Российской Федерации, максимальный срок временной нетрудоспособности при благоприятном клиническом и трудовом прогнозе составляет 12 месяцев. При этом, если речь идет о лечении туберкулеза, то этот срок может быть продлен до 14 месяцев. Ответы А, Б и Г не соответствуют действующему законодательству.",-1
24,"В СЛУЧАЕ УСТАНОВЛЕНИЯ ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПАЦИЕНТУ, ПРИЕХАВШЕМУ ИЗ РОСТОВА В МОСКВУ И ОБРАТИВШЕМУСЯ ЗА МЕДИЦИНСКОЙ ПОМОЩЬЮ:
А листок нетрудоспособности не формируется (не выдаётся)
Б формируется (выдаётся) листок нетрудоспособности
В справка произвольной формы
Г справка установленного образца
",Б формируется (выдаётся) листок нетрудоспособности,"Б формируется (выдаётся) листок нетрудоспособности

При временной нетрудоспособности пациента, приехавшего из Ростова в Москву и обратившегося за медицинской помощью, формируется (выдаётся) листок нетрудоспособности. Это документ, который подтверждает временную нетрудоспособность работника и даёт ему право на получение пособия по временной нетрудоспособности. Листок нетрудоспособности выдаётся медицинским учреждением, в которое обратился пациент, и оформляется в соответствии с установленными требованиями.",1
25,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ПО УХОДУ ЗА ВЗРОСЛЫМ БОЛЬНЫМ ЧЛЕНОМ СЕМЬИ ПРИ ЛЕЧЕНИИ В АМБУЛАТОРНЫХ УСЛОВИЯХ ВЫДАЁТСЯ (ФОРМИРУЕТСЯ) СРОКОМ НЕ БОЛЕЕ ЧЕМ НА ____ КАЛЕНДАРНЫХ ДНЕЙ:
А 20
Б 10
В 30
Г 7
",Г 7,"Правильный ответ: Г. Согласно приказу Минздравсоцразвития РФ от 29 июня 2011 г. №624н, листок нетрудоспособности по уходу за взрослым больным членом семьи при лечении в амбулаторных условиях выдаётся сроком не более чем на 7 календарных дней.
",1
26,"ДИАГНОЗ «ПЕРВИЧНЫЙ ГИПЕРАЛЬДОСТЕРОНИЗМ» СЧИТАЕТСЯ УСТАНОВЛЕННЫМ БЕЗ ПОДТВЕРЖДАЮЩЕГО ТЕСТИРОВАНИЯ В СЛУЧАЕ СОЧЕТАНИЯ:
А спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
Б спонтанной гиперкалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
В спонтанной гипокалиемии, уровня ренина или активности ренина плазмы выше референсных значений и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л)
Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)
","Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)","Правильный ответ: Г.

Обоснование: Первичный гиперальдостеронизм — заболевание, которое характеризуется избыточной секрецией альдостерона независимо от уровня ренина. Для диагностики первичного гиперальдостеронизма используют различные лабораторные тесты, включая определение уровня калия, альдостерона и ренина в крови. Вариант ответа Г включает сочетание спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л), что соответствует критериям для установления диагноза «первичный гиперальдостеронизм» без подтверждающего тестирования.",1
27,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ:
А II; с высоким риском
Б II; независимо от степени риска
В I; с низким или средним риском
Г I; с высоким риском
",В I; с низким или средним риском,"Правильный ответ: В. Согласно современным рекомендациям по лечению артериальной гипертензии, монотерапия антигипертензивными препаратами может быть назначена пациенту с гипертонической болезнью I степени с низким или средним риском сердечно-сосудистых осложнений.
",1
28,"ПАЦИЕНТАМ С ХБП ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ С ПОЗИЦИИ КАРДИО-НЕФРОПРОТЕКЦИИ ПРЕДПОЧТИТЕЛЬНО НАЗНАЧЕНИЕ:
А бета-1-адреноблокаторов
Б блокаторов РААС
В препаратов центрального действия
Г петлевых диуретиков и спиронолактонов
",Б блокаторов РААС,"Правильный ответ: Б. Обоснование: у пациентов с хронической болезнью почек (ХБП) имеется повышенный риск развития сердечно-сосудистых осложнений, включая сердечную недостаточность. Поэтому при лечении артериальной гипертонии у таких пациентов предпочтительно назначать блокаторы РААС (ренин-ангиотензин-альдостероновой системы). Это связано с тем, что блокаторы РААС обладают кардио- и нефропротективными свойствами, то есть защищают сердце и почки от повреждений.",1
29,"СРЕДСТВОМ ВЫБОРА ДЛЯ СНИЖЕНИЯ АД У БОЛЬНЫХ С РАССЛАИВАЮЩЕЙ АНЕВРИЗМОЙ АОРТЫ ЯВЛЯЕТСЯ:
А лазикс
Б клонидин
В нитропруссид натрия
Г дроперидол
",В нитропруссид натрия,"В данном случае, правильным ответом будет В — нитропруссид натрия.

Это связано с тем, что расслаивающая аневризма аорты является неотложным состоянием, требующим немедленного снижения артериального давления для предотвращения разрыва аневризмы. Нитропруссид натрия является вазодилататором, который быстро снижает артериальное давление, позволяя эффективно контролировать состояние пациента до проведения хирургического вмешательства или других лечебных мероприятий.

А) Лазикс — диуретик, который может использоваться в комбинации с другими препаратами для снижения артериального давления, но он не является средством первого выбора при расслаивающей аневризме аорты.

Б) Клонидин — альфа-адреномиметик, который также может использоваться для снижения артериального давления, но его эффект развивается медленнее, чем у нитропруссида натрия, поэтому он не является предпочтительным выбором в данной ситуации.

Г) Дроперидол — нейролептик, который может использоваться для контроля тревожности и боли, но не является средством выбора для снижения артериального давления при расслаивающей аневризме аорты.",1
30,"К АССОЦИИРОВАННЫМ СЕРДЕЧНО-СОСУДИСТЫМ ИЛИ ПОЧЕЧНЫМ ЗАБОЛЕВАНИЯМ ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСЯТСЯ:
А ранние сердечно-сосудистые заболевания в анамнезе
Б скорость каротидно-феморальной пульсовой волны > 10 м/сек. и лодыжечно-плечевой индекс < 0,9
В стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса
Г микроальбуминурия и соотношение альбумина к креатинину (30-300 мг/г; 3,4-34 мг/ммоль)
","В стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса","Правильный ответ: В. Стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса.

Обоснование: Стенокардия и сердечная недостаточность являются наиболее распространенными осложнениями артериальной гипертонии. Сердечная недостаточность может возникнуть даже при сохранении фракции выброса, что отражает нарушение систолической и диастолической функции сердца. Таким образом, этот вариант ответа является наиболее полным и точным.",1
31,"ПОРОГОВЫЙ УРОВЕНЬ ДИАСТОЛИЧЕСКОГО АД (ММ РТ.СТ.) ДЛЯ ДИАГНОСТИКИ АГ ПО ДАННЫМ АД В ДОМАШНИХ УСЛОВИЯХ (ESC, 2018) РАВЕН:
А 90
Б 75
В 80
Г 85
",Г 85,"Согласно Европейскому обществу кардиологов (ESC), пороговый уровень диастолического артериального давления (ДАД) для диагностики артериальной гипертонии (АГ) по данным артериального давления (АД) в домашних условиях составляет 80 мм рт. ст. Это значение было определено на основе исследований, показавших, что такой подход позволяет лучше прогнозировать риск сердечно-сосудистых событий, чем измерение АД только в клинике.",-1
32,"ОСЛОЖНЕНИЕМ ГИПЕРТОНИЧЕСКОГО КРИЗА, ПРИ КОТОРОМ НАБЛЮДАЕТСЯ ВНЕЗАПНО ВОЗНИКШАЯ СИЛЬНАЯ БОЛЬ В ГРУДНОЙ КЛЕТКЕ ИЛИ ЖИВОТЕ И СПИНЕ С ЧАСТИЧНОЙ ИРРАДИАЦИЕЙ В БОК И ПАХОВЫЕ ОБЛАСТИ, ЯВЛЯЕТСЯ:
А острое нарушение мозгового кровообращения
Б острое расслоение аорты, разрыв аневризмы аорты
В инфаркт миокарда
Г острая сердечная недостаточность
","Б острое расслоение аорты, разрыв аневризмы аорты","Правильный ответ: Б — острое расслоение аорты, разрыв аневризмы аорты.

При гипертоническом кризе может возникнуть осложнение со стороны сердечно-сосудистой системы. Это может быть острый коронарный синдром (инфаркт миокарда), острое нарушение мозгового кровообращения, острая сердечная недостаточность. Также возможно развитие острого расслоения аорты и разрыва аневризмы аорты. Острое расслоение аорты часто сопровождается болью в грудной клетке или животе, которая может распространяться в спину и паховые области. Поэтому в данном случае правильным ответом будет вариант Б.",1
33,"ПОВЫШЕНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ХАРАКТЕРНО ДЛЯ:
А болезни Аддисона
Б микседемы
В гипопаратиреоза
Г первичного гиперальдостеронизма
",Г первичного гиперальдостеронизма,"Правильный ответ: Г. Первичный гиперальдостеронизм может проявляться повышением артериального давления.
",1
34,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ДИАГНОСТИКИ ГКМП ЯВЛЯЕТСЯ:
А биопсия миокарда
Б эхокардиография
В коронаровентрикулография
Г электрокардиография
",Б эхокардиография,"Правильный ответ: А — биопсия миокарда.

Биопсия миокарда является наиболее информативным методом диагностики гипертрофической кардиомиопатии (ГКМП). Во время процедуры берётся образец сердечной мышцы для дальнейшего изучения под микроскопом. Это позволяет выявить характерные изменения в структуре миокарда, которые свойственны ГКМП. Другие методы диагностики, такие как эхокардиография, коронаровентрикулография и электрокардиография, могут предоставить важную информацию о состоянии сердца, но они не позволяют напрямую изучить структуру и функцию миокарда так, как это делает биопсия.",-1
35,"НАИБОЛЕЕ ХАРАКТЕРНОЙ ЖАЛОБОЙ У ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ЯВЛЯЕТСЯ:
А головная боль
Б боль в суставах
В ноющая боль в области сердца
Г одышка
","Г одышка
",Правильный ответ: Г — одышка. Это наиболее характерный симптом хронической сердечной недостаточности.,1
36,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ:
А тромбоэмболии легочной артерии
Б хронической обструктивной болезни легких
В пороках со сбросом крови слева-направо
Г пороках со сбросом крови справа-налево",А тромбоэмболии легочной артерии,"Правильный ответ: А — перфузионная сцинтиграфия лёгких является наиболее информативной при тромбоэмболии лёгочной артерии.

Перфузионная сцинтиграфия лёгких — метод функционального исследования кровотока в сосудах малого круга кровообращения. Применяется для диагностики тромбоэмболий лёгочной артерии, оценки эффективности лечения, а также при дифференциальной диагностике различных форм дыхательной недостаточности.",1
37,"НАЗНАЧЕНИЕ ДИУРЕТИКОВ БОЛЬНОМУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ (ХСН) ПОКАЗАНО ПРИ:
А фракции выброса левого желудочка <25%
Б диастолической дисфункции левого желудочка
В ХСН IIА-III стадии при наличии застойных явлений
Г фибрилляции предсердий при любом ФК ХСН
",В ХСН IIА-III стадии при наличии застойных явлений,"Правильный ответ: В. Диуретики показаны больным ХСН IIА-III стадии при наличии застойных явлений.
",1
