Вопрос,Ответ,GigaChat,Результат
10,"ПОЗДНИЙ ПРОТЕЗНЫЙ ИНФЕКЦИОННЫЙ ЭНДОКАРДИТ РАЗВИВАЕТСЯ ПОСЛЕ ___ МЕСЯЦЕВ ПОСЛЕ ОПЕРАЦИИ НА КЛАПАНАХ
А 6
Б 9
В12
Г 3",В 12,Правильный ответ — В. Поздний протезный инфекционный эндокардит развивается через 12 месяцев после операции на клапанах.,1
11,"В РОССИИ ОСНОВНЫМИ ПРИЧИНАМИ СМЕРТИ ЯВЛЯЮТСЯ
А новообразования, заболевания ЖКТ, патология опорно-двигательного аппарата
Б болезни органов дыхания, внешние причины, заболевания ЖКТ
В болезни системы кровообращения, инфекционные заболевания, болезни органов дыхания
Г болезни системы кровообращения, новообразования, внешние причины","Г болезни системы кровообращения, новообразования, внешние причины ","Правильный ответ — В. Согласно данным Росстата, в 2021 году основными причинами смерти в России были болезни системы кровообращения (46,8%), новообразования (19,7%) и внешние причины (7,7%). Таким образом, вариант В является наиболее точным.
",-1
12,"ЕСЛИ ГРАЖДАНИН СТРАДАЕТ ЗАБОЛЕВАНИЕМ, ПРЕДСТАВЛЯЮЩИМ ОПАСНОСТЬ ДЛЯ ОКРУЖАЮЩИХ, ТО МЕДИЦИНСКОЕ ВМЕШАТЕЛЬСТВО ДОПУСКАЕТСЯ
А без согласия гражданина
Б по приказу главного врача
В с устного согласия гражданина или родственников
Г по письменному согласию гражданина или его законного представителя",А без согласия гражданина,"Правильный ответ — Г. Согласно статье 20 Федерального закона от 21 ноября 2011 года № 323-ФЗ «Об основах охраны здоровья граждан в Российской Федерации», медицинское вмешательство допускается исключительно по письменному согласию гражданина или его законного представителя.
",-1
13,"БАЗОВАЯ ПРОГРАММА ОМС
А включает программу государственных гарантий
Б является частью программы государственных гарантий
В является частью территориальной программы государственных гарантий
Г включает территориальную программу государственных гарантий",Б является частью программы государственных гарантий,"Правильный ответ — В. Базовая программа обязательного медицинского страхования (ОМС) является частью территориальной программы государственных гарантий бесплатного оказания гражданам медицинской помощи. Она определяет виды, условия и формы оказания медицинской помощи, предоставляемой застрахованным лицам бесплатно за счёт средств ОМС.
",-1
14,"В ОСНОВЕ ПАТОГЕНЕЗА ИСТИННОГО КАРДИОГЕННОГО ШОКА ПРИ ИНФАРКТЕ МИОКАРДА ЛЕЖИТ
А гиповолемия
Б резкое снижение сократительной функции левого желудочка
В стрессовая реакция на боль
Г артериальная гипотония",Б резкое снижение сократительной функции левого желудочка,"Правильный ответ: Б. В основе патогенеза истинного кардиогенного шока при инфаркте миокарда лежит резкое снижение сократительной функции левого желудочка.

При инфаркте миокарда происходит гибель участка сердечной мышцы, что приводит к снижению способности сердца эффективно перекачивать кровь. Это вызывает уменьшение минутного объема крови, которое организм пытается компенсировать путем сужения периферических сосудов и снижения периферического сопротивления. Однако если повреждение сердечной мышцы достаточно велико, эти компенсаторные механизмы оказываются недостаточными, и развивается кардиогенный шок.",1
15,"ПОЗДНИЕ РАЗРЫВЫ СВОБОДНОЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ПРИ ОСТРОМ ИНФАРКТЕ МИОКАРДА НАИБОЛЕЕ ЧАСТО РАЗВИВАЮТСЯ
А через 2-3 месяца от развития инфаркта миокарда
Б на 5-7 сутки от развития инфаркта миокарда
В через год после перенесенного инфаркта миокарда
Г на 20-30 сутки от развития инфаркта миокарда",Б на 5-7 сутки от развития инфаркта миокарда ,"Правильный ответ: Г. Поздние разрывы свободной стенки левого желудочка при остром инфаркте миокарда наиболее часто развиваются на 20–30-е сутки от начала заболевания.

Обоснование: разрыв свободной стенки левого желудочка происходит в результате нарушения целостности зоны инфаркта. Это осложнение чаще всего развивается у пациентов с обширным трансмуральным инфарктом миокарда передней стенки, длительным и тяжелым болевым синдромом, при артериальной гипертензии и выраженной сердечной недостаточности.",-1
16,"К ХАРАКТЕРНЫМ ЭКГ-ПРИЗНАКАМ ДЛЯ ОСТРОЙ СТАДИИ СУБЭНДОКАРДИАЛЬНОГО ИНФАРКТА МИОКАРДА ОТНОСЯТ __________ В ОТВЕДЕНИЯХ ОТ ОБЛАСТИ ПОРАЖЕНИЯ
А высокие зубцы Т
Б подъем сегмента ST
В депрессию сегмента ST
Г патологические зубцы Q Т",В депрессию сегмента ST ,"Правильный ответ: Б. Подъем сегмента ST.

Подъем сегмента ST в отведениях от области поражения является характерным признаком острой стадии субэндокардиального инфаркта миокарда. Это происходит из-за повреждения внутренней оболочки сердца (эндокарда), что приводит к нарушению проводимости электрических импульсов через эту область. Сегмент ST поднимается выше изолинии, что указывает на наличие ишемии в данной области.",-1
17,"ПОКАЗАНИЕМ ДЛЯ НАЗНАЧЕНИЯ КЛОПИДОГРЕЛЯ ЯВЛЯЕТСЯ ТРОМБОЗ
А кавернозного синуса
Б глубоких вен нижних конечностей
В коронарной артерии
Г ушка левого предсердия на фоне затянувшегося пароксизма мерцательной аритмии",В коронарной артерии ,"Правильный ответ: Б.

Показанием для назначения клопидогреля является тромбоз глубоких вен нижних конечностей.
",-1
18,"К НАИБОЛЕЕ ЧАСТЫМ ОСЛОЖНЕНИЯМ, КОТОРЫЕ ВОЗНИКАЮТ ПРИ ПРИМЕНЕНИИ СТЕНТОВ БЕЗ ЛЕКАРСТВЕННОГО ПОКРЫТИЯ, ОТНОСЯТ
А различные аллергические реакции
Б синдром реперфузиии миокарда
В синдром слабости синусового узла
Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии",Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии ,"Правильный ответ: Г. К наиболее частым осложнениям, которые возникают при применении стентов без лекарственного покрытия, относят рестеноз (инстанстензоры) и поздние тромбозы коронарных артерий.

Обоснование: Стенты без лекарственного покрытия могут вызывать воспалительную реакцию сосудистой стенки, что приводит к повторному сужению сосуда (рестенозу). Кроме того, такие стенты имеют высокий риск развития поздних тромбозов коронарных артерий, так как отсутствует антитромботическое лекарственное покрытие.
",1
19,"ИНФАРКТ ПО РАСПРОСТРАНЕННОСТИ БЫВАЕТ
А белый с геморрагическим венчиком
Б микроскопический
В крупноочаговый
Г красный",В крупноочаговый ,"Правильный ответ: В. Инфаркт по распространённости бывает крупноочаговым.

Обоснование: инфаркт миокарда классифицируется по различным параметрам, одним из которых является размер очага некроза в сердечной мышце. По этому признаку выделяют крупноочаговый (или трансмуральный) инфаркт, при котором некроз распространяется на всю толщу миокарда, и мелкоочаговый (или нетрансмуральный), когда повреждение ограничено определёнными слоями сердечной мышцы.",1
20,"ПРИ СИНДРОМЕ WPW C ПАРОКСИЗМОМ ФИБРИЛЛЯЦИЙ ПРЕДСЕРДИЙ С ЧАСТОТОЙ СЕРДЕЧНЫХ СОКРАЩЕНИЙ 250 В 1 МИНУТУ И АД 80/50 ММ РТ.СТ. НЕОБХОДИМО ВЫПОЛНИТЬ
А введение 50 мг аймалина
Б введение новокаинамида
В электроимпульсную терапию
Г введение 10 мг изоптина",В электроимпульсную терапию,"Правильный ответ: В. Электроимпульсная терапия показана при синдроме WPW с пароксизмом фибрилляции предсердий. Аймалин (А) может быть использован для купирования пароксизмальной наджелудочковой тахикардии, но не фибрилляции предсердий. Новокаинамид (Б) противопоказан при синдроме WPW, так как может спровоцировать желудочковую тахикардию и фибрилляцию желудочков. Изоптин (Г) малоэффективен при пароксизме фибрилляции предсердий.",1
21,"ВНУТРИВЕННОЕ ВВЕДЕНИЕ ХЛОРИДА КАЛИЯ СПОСОБНО ВЫЗВАТЬ
А экстасистолию
Б гипертензию
В остановку сердца
Г гипотензию",В остановку сердца ,"Внутривенное введение хлорида калия способно вызвать остановку сердца.

Хлорид калия является препаратом, который используется для лечения некоторых сердечных аритмий, но он также может вызывать серьезные побочные эффекты при неправильном использовании. Одним из таких побочных эффектов является нарушение сердечного ритма, которое может привести к остановке сердца.

Экстасистолия (А) - это вид аритмии, при котором происходит преждевременная деполяризация сердца. Это состояние может быть вызвано многими факторами, включая стресс, кофеин, алкоголь и некоторые лекарства. Однако внутривенное введение хлорида калия обычно используется для лечения этого состояния, а не для его вызывания.

Гипертензия (Б) - это повышенное кровяное давление. Хотя хлорид калия может влиять на уровень калия в крови, что в свою очередь может влиять на кровяное давление, он обычно не используется для лечения гипертензии.

Гипотензия (Г) - это пониженное кровяное давление. Как и в случае с гипертензией, хлорид калия может влиять на уровень калия в крови, что может привести к гипотензии, но он обычно не используется для лечения этого состояния.

Таким образом, единственным правильным ответом будет вариант В - остановка сердца.",1
22,"ВЫПОЛНЕНИЕ КАРДИОВЕРСИИ ПРИ ПАРОКСИЗМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ВОЗМОЖНО БЕЗ ПРОВЕДЕНИЯ ЧПЭХО ПРИ ВРЕМЕННОМ ИНТЕРВАЛЕ ОТ НАЧАЛА ПАРОКСИЗМА (В ЧАСАХ)
А 48
Б не более 24
В не более 72
Г не более 12",А 48,"Правильный ответ: Б. Кардиоверсия при пароксизме фибрилляции предсердий возможна без проведения чреспищеводной эхокардиографии (ЧПЭХО), если временной интервал от начала пароксизма составляет не более 24 часов. Это связано с тем, что проведение ЧПЭХО требуется для исключения наличия тромба в полостях сердца, который может стать причиной эмболии во время кардиоверсии. Если пароксизм продолжается менее 24 часов, вероятность образования тромба значительно снижается, поэтому ЧПЭХО можно не проводить.",-1
23,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А острый коронарный синдром
Б беременность
В паренхиматозное заболевание печени в анамнезе
Г повышение печеночных трансаминаз в 1,5 раза",Б беременность ,"Правильный ответ: В. Согласно клиническим рекомендациям по коррекции дислипидемии, противопоказанием к назначению статинов является наличие в анамнезе заболеваний печени в активной стадии (включая паренхиматозное заболевание печени).
",-1
24,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А секвестрантов желчных кислот
Б ингибиторов PCSK9
В статинов
Г фибратов",Б ингибиторов PCSK9 ,"Правильный ответ: Б. Ингибиторы PCSK9 — это класс лекарственных средств, используемых в терапии гиперлипидемий. Они работают путем связывания с белком PCSK9, который обычно разрушает рецепторы ЛПНП в печени. Это позволяет рецепторам ЛПНП оставаться активными дольше, что приводит к снижению уровня ЛПНП (или ""плохого"" холестерина) в крови. Моноклональные антитела представляют собой тип биологического препарата, который производится в лаборатории и используется для лечения различных заболеваний, включая гиперлипидемии.",1
25,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ МЕТОДОМ НЕМЕДИКАМЕНТОЗНОГО ПОВЫШЕНИЯ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ЯВЛЯЕТСЯ
А употребление продуктов богатых клетчаткой
Б физическая активность
В снижение избыточной массы тела
Г умеренное употребление алкоголя",Б физическая активность,"Правильный ответ: В. Снижение избыточной массы тела является наиболее эффективным методом немедикаментозного повышения уровня липопротеидов высокой плотности (ЛПВП) в крови.

Обоснование: Липопротеиды высокой плотности (ЛПВП) часто называют ""хорошим холестерином"", поскольку они помогают удалять излишки холестерина из артерий, тем самым снижая риск развития сердечно-сосудистых заболеваний. Избыточный вес и ожирение связаны с повышенным уровнем общего холестерина и низким уровнем ЛПВП. Потеря даже небольшого количества веса может привести к повышению уровня ЛПВП. Физическая активность и употребление продуктов, богатых клетчаткой, также могут способствовать повышению уровня ЛПВП, но их влияние обычно менее выражено по сравнению со снижением веса. Умеренное употребление алкоголя может повысить уровень ЛПВП, но его положительный эффект перевешивается потенциальными рисками для здоровья, связанными с употреблением алкоголя.",-1
26,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ
А возраст
Б сахарный диабет 2 типа
В мужской пол
Г отягощённая наследственность",Б сахарный диабет 2 типа ,"Правильный ответ: Б. Сахарный диабет второго типа является модифицируемым фактором риска развития атеросклероза. Это значит, что при эффективном контроле уровня глюкозы в крови риск развития атеросклероза может быть снижен.",1
27,"КОНСТРИКТИВНЫЙ ПЕРИКАРДИТ ХАРАКТЕРИЗУЕТСЯ
А увеличением объема циркулирующей крови
Б понижением уровня венозного давления
В артериальной гипертензией
Г малыми размерами сердца",Г малыми размерами сердца ,"Констриктивный перикардит характеризуется Г — малыми размерами сердца. Это связано с тем, что в результате фиброзных изменений в перикарде происходит значительное утолщение перикардиальных листков, что приводит к уменьшению размеров сердечных камер. При этом может наблюдаться сдавление камер сердца и нарушение диастолической функции желудочков.
",1
28,"СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ ПРИ ПЕРИКАРДИТАХ ИМЕЕТ ____ ХАРАКТЕР
А диастолический
Б неуточненный
В систолический
Г систоло-диастолический",А диастолический ,"Правильный ответ: Г систоло-диастолический.

Обоснование: Перикардит - это воспаление перикарда, оболочки, окружающей сердце. В результате этого воспаления может происходить накопление жидкости (экссудата) между листками перикарда, что приводит к сдавлению сердца и нарушению его функций. Это может привести к уменьшению наполнения желудочков кровью во время диастолы (расширения сердца), а также к затруднению выброса крови из желудочков во время систолы (сокращения сердца). Таким образом, сердечная недостаточность при перикардитах имеет систоло-диастолический характер.
",-1
29,"ПОЯВЛЕНИЕ ШУМА ТРЕНИЯ ПЕРИКАРДА НА ТРЕТИЙ ДЕНЬ Q ИНФАРКТА МИОКАРДА СВЯЗАНО С
А развитием пневмонии в нижней доле левого легкого
Б синдромом Дресслера
В реактивным эпистенокардитическим перикардитом
Г разрывом межжелудочковой перегородки",В реактивным эпистенокардитическим перикардитом ,"Правильный ответ: Б. Синдром Дресслера развивается на фоне системного воспаления через 2–6 недель после инфаркта миокарда. Он может проявляться лихорадкой, полисерозитом (в том числе шумом трения перикарда), артралгиями, плевритом, формированием абсцессов в мягких тканях грудной клетки.
",-1
30,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ МЕНЕЕ 150 М СООТВЕТСТВУЕТ ____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А I
Б III
В II
Г IV",Г IV,"Дистанция шестиминутной ходьбы (6MWD) используется для оценки функционального статуса пациентов с хронической сердечной недостаточностью (ХСН). Она измеряет максимальную дистанцию, которую пациент может пройти за шесть минут без остановки.

Согласно классификации Нью-Йоркской кардиологической ассоциации (NYHA), функциональный класс ХСН определяется на основе максимальной физической нагрузки, которую пациент может перенести без появления симптомов сердечной недостаточности.

Функциональный класс I соответствует отсутствию ограничений в обычной физической активности. Это означает, что пациенты могут выполнять все обычные ежедневные действия без возникновения симптомов ХСН.

Функциональный класс II характеризуется умеренным ограничением физической активности. Пациенты испытывают симптомы ХСН при выполнении обычной физической активности, но они способны выполнять ее без затруднений после небольшого отдыха.

Функциональный класс III описывает значительное ограничение физической активности. Пациенты испытывают симптомы ХСН даже при минимальной физической нагрузке.

Функциональный класс IV соответствует невозможности выполнения любой физической активности без возникновения симптомов ХСН, даже в состоянии покоя.

Таким образом, если дистанция шестиминутной ходьбы составляет менее 150 метров, это соответствует функциональному классу IV, так как это указывает на очень ограниченную физическую активность и выраженные симптомы ХСН даже при минимальной нагрузке.",0
31,"СИМПТОМЫ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ОТМЕЧАЮТСЯ В ПОКОЕ И РЕЗКО ВОЗРАСТАЮТ ПРИ МИНИМАЛЬНОЙ ФИЗИЧЕСКОЙ АКТИВНОСТИ ПРИ ___ ФУНКЦИОНАЛЬНОМ КЛАССЕ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А IV
Б I
В III
Г II",А IV ,"Правильный ответ: А IV.

Этот ответ основан на классификации функциональных классов хронической сердечной недостаточности Нью-Йоркской ассоциации сердца (NYHA). Класс IV характеризуется наличием симптомов сердечной недостаточности даже в состоянии покоя, при этом минимальная физическая активность приводит к резкому ухудшению состояния пациента. Это наиболее тяжелый функциональный класс сердечной недостаточности.",1
32,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ
А пороках со сбросом крови справа-налево
Б тромбоэмболии легочной артерии
В пороках со сбросом крови слева-направо
Г хронической обструктивной болезни легких",Б тромбоэмболии легочной артерии,"Правильный ответ: А. Перфузионная сцинтиграфия легких является наиболее информативной при пороках со сбросом крови справа-налево.

Обоснование: перфузионная сцинтиграфия легких — это метод радионуклидной диагностики, который позволяет оценить кровоток в сосудах легких. При проведении исследования в кровь пациента вводят радиоактивный препарат, который накапливается в легочных капиллярах. Затем с помощью специальной камеры регистрируют распределение радиоактивного вещества в легких. Если есть патологический сброс крови (справа-налево), то это приводит к тому, что радиоактивный препарат попадает в легкие через систему легочных вен и артерий, минуя капиллярную сеть. В результате этого на сцинтиграммах будут видны области с повышенным накоплением радиоактивного вещества. Таким образом, перфузионная сцинтиграфия легких является наиболее информативным методом для диагностики пороков со сбросом крови справа-налево.",-1
33,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ 426-550 М СООТВЕТСТВУЕТ _____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А II
Б III
В IV
Г I",Г I ,"Дистанция шестиминутной ходьбы (ТШХ) является важным методом оценки функционального состояния пациентов с хронической сердечной недостаточностью (ХСН). Она позволяет оценить максимальную физическую нагрузку, которую пациент может перенести без появления симптомов декомпенсации.

Согласно классификации Нью-Йоркской Ассоциации Сердца (NYHA), выделяют четыре функциональных класса ХСН:

I класс - нет ограничений физической активности. Обычная физическая активность не вызывает чрезмерного утомления, одышки или сердцебиения.
II класс - умеренное ограничение физической активности. Комфортное состояние в покое, но обычная физическая активность вызывает чрезмерное утомление, одышку или сердцебиение.
III класс - значительное ограничение физической активности. Комфортное состояние в покое, но меньшая, чем обычно, физическая активность вызывает чрезмерное утомление, одышку или сердцебиение.
IV класс - невозможность выполнять любую физическую активность без дискомфорта. Симптомы сердечной недостаточности присутствуют даже в состоянии покоя. Минимальная физическая активность вызывает чрезмерное утомление, одышку или сердцебиение.

Дистанция ТШХ 426-550 м соответствует III функциональному классу ХСН. Это означает, что пациент испытывает значительные ограничения при выполнении физических нагрузок, но способен переносить их без появления симптомов декомпенсации в течение шести минут.",-1
34,"ПРИ ПРОВЕДЕНИИ ВЕЛОЭРГОМЕТРИИ КРИТЕРИЕМ ПОЛОЖИТЕЛЬНОЙ ПРОБЫ В ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ЯВЛЯЕТСЯ
А горизонтальная элевация сегмента ST менее 1,0 мм
Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g
В появление признаков АВ блокады
Г при появлении частых (1:10) экстрасистол и другие нарушения возбудимости миокарда","Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g ","Правильный ответ: Б. При велоэргометрии критерием положительной пробы в диагностике ишемической болезни сердца является горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки J.
",1
