Вопрос,Ответ,GigaChat,Результат
10,"НЕСТАБИЛЬНАЯ СТЕНОКАРДИЯ ПРОГНОСТИЧЕСКИ НЕБЛАГОПРИЯТНА В ПЛАНЕ РАЗВИТИЯ
А легочной гипертензии
Б тромбоэмболии мозговых сосудов
В инфаркта миокарда
Г венозной недостаточности",В инфаркта миокарда,"Правильный ответ: В.

Нестабильная стенокардия является предынфарктным состоянием, которое может привести к развитию инфаркта миокарда. Это связано с тем, что при нестабильной стенокардии происходит нарушение кровоснабжения сердечной мышцы, что может привести к её повреждению и, как следствие, к развитию инфаркта миокарда. Остальные варианты ответа не связаны напрямую с нестабильной стенокардией.",1
11,"У БОЛЬНЫХ ОСТРЫМ КОРОНАРНЫМ СИНДРОМОМ С ПОДЪЁМОМ СЕГМЕНТА ST, ОСЛОЖНЁННЫМ КАРДИОГЕННЫМ ШОКОМ, ПЕРВИЧНОЕ ЧРЕСКОЖНОЕ КОРОНАРНОЕ ВМЕШАТЕЛЬСТВО СЛЕДУЕТ ПРОВОДИТЬ
А в течение 24 часов
Б в течение 6 часов
В незамедлительно
Г в течение 12 часов",В незамедлительно,"Правильный ответ: В. Первичное чрескожное коронарное вмешательство следует проводить незамедлительно у больных острым коронарным синдромом с подъёмом сегмента ST, осложнённым кардиогенным шоком.

Обоснование: у пациентов с острым коронарным синдромом и подъёмом сегмента ST, осложнённым кардиогенным шоком, время до первичного чрескожного коронарного вмешательства должно быть как можно меньше. В связи с этим рекомендуется проводить вмешательство незамедлительно.",1
12,"НАГРУЗОЧНАЯ ДОЗА КЛОПИДОГРЕЛЯ ПРИ ЛЕЧЕНИИ ОСТРОГО КОРОНАРНОГО СИНДРОМА СОСТАВЛЯЕТ ________ МГ ОДИН РАЗ В СУТКИ
А 300
Б 75
В 150
Г 50",А 300,"Правильный ответ: А. Нагрузочная доза клопидогреля при лечении острого коронарного синдрома составляет 300 мг один раз в сутки. Это стандартная практика лечения, которая помогает быстро достичь эффективной концентрации препарата в крови для предотвращения агрегации тромбоцитов и улучшения кровотока через пораженные артерии сердца. После приема нагрузочной дозы пациент продолжает принимать поддерживающую дозу клопидогреля, обычно 75 мг один раз в сутки.",1
13,"ПОДЪЕМ СЕГМЕНТА ST В БОЛЬШИНСТВЕ ОТВЕДЕНИЙ ХАРАКТЕРЕН ДЛЯ
А гиперкалиемии
Б гипокалиемии
В тромбоэмболии легочной артерии
Г острого перикардита",Г острого перикардита,"Правильный ответ: В. Электрическая ось сердца при тромбоэмболии лёгочной артерии отклонена вправо, в отведениях II, III, aVF, V1, V2 регистрируется подъём сегмента ST, зубец T высокий и отрицательный.
",-1
14,"ТАМПОНАДА ПЕРИКАРДА ЯВЛЯЕТСЯ ХАРАКТЕРНЫМ ОСЛОЖНЕНИЕМ
А констриктивного перикардита
Б выпотного перикардита
В плеврита
Г фибринозного перикардита",Б выпотного перикардита ,"Правильный ответ: А. Тампонада перикарда является характерным осложнением констриктивного перикардита.

Обоснование: Тампонада перикарда — это опасное для жизни состояние, при котором скопление жидкости в перикардиальной полости вызывает нарушение сердечной деятельности. Это может произойти при любом виде перикардита, но наиболее часто встречается при констриктивном перикардите. При этом типе перикардита происходит утолщение и рубцевание перикарда, что приводит к снижению его эластичности и уменьшению объема перикардиальной полости. В результате даже небольшое количество жидкости может привести к тампонаде. Выпотной перикардит, плеврит и фибринозный перикардит также могут осложняться тампонадой, но это менее типично.",-1
15,"ОСНОВНЫМ СИМПТОМОМ В КЛИНИКЕ ФИБРИНОЗНОГО ПЕРИКАРДИТА ЯВЛЯЕТСЯ
А одышка в покое
Б боль в грудной клетке, связанная с движением и дыханием
В отек нижних конечностей
Г боль в грудной клетке, усиливающаяся при наклоне вперед","Б боль в грудной клетке, связанная с движением и дыханием ","Правильный ответ: Б. Боль в грудной клетке, связанная с движением и дыханием.

Фибринозный перикардит также называют сухим, поскольку в полости перикарда откладывается фибрин, который приводит к слипанию листков перикарда. Это вызывает болезненные ощущения в груди, которые усиливаются при глубоком вдохе, кашле, глотании, наклонах туловища вперед и движениях. При этом может возникать сухой кашель, но одышка в покое и отеки нижних конечностей обычно не характерны для данной формы заболевания.",1
16,"ПОКАЗАНИЕМ К ТРАНСКАТЕТЕРНОЙ ИМПЛАНТАЦИИ АОРТАЛЬНОГО КЛАПАНА ЯВЛЯЕТСЯ
А коморбидная ИБС
Б женский пол
В высокий риск протезирования клапана
Г молодой возраст",В высокий риск протезирования клапана,"Правильный ответ: В. Транскатетерная имплантация аортального клапана (TAVI) показана пациентам с высоким риском протезирования клапана. Это минимально инвазивная процедура, которая может быть выполнена у пациентов, которые не могут перенести открытую операцию на сердце из-за сопутствующих заболеваний или общего плохого состояния здоровья. TAVI позволяет заменить поврежденный аортальный клапан без остановки сердца и открытия грудной клетки.",1
17,"У БОЛЬНЫХ АОРТАЛЬНЫМ СТЕНОЗОМ УМЕНЬШАЕТСЯ РИСК ВНЕЗАПНОЙ СМЕРТИ ПРИ ПРИМЕНЕНИИ
А нитратов
Б хирургической коррекции
В бета-блокаторов
Г антиаритмиков I класса",Б хирургической коррекции ,"Правильный ответ: Б. Хирургическая коррекция аортального стеноза может уменьшить риск внезапной смерти у пациентов. Это связано с тем, что операция позволяет устранить механическое препятствие току крови из левого желудочка в аорту, что снижает нагрузку на сердце и улучшает его функцию. Однако стоит отметить, что решение о проведении операции принимается индивидуально для каждого пациента, учитывая множество факторов, включая общее состояние здоровья, возраст и другие сопутствующие заболевания.",1
18,"ПОСЛЕ ТРАНСКАТЕТЕРНОЙ ИМПЛАНТАЦИИ АОРТАЛЬНОГО КЛАПАНА НЕОБХОДИМО ПРИНИМАТЬ
А аспирин и клопидогрел – 3 месяца
Б аспирин и клопидогрел - пожизненно
В клопидогрел – пожизненно, аспирин – 3 месяца
Г аспирин – пожизненно, клопидогрел – 3 месяца","Г аспирин – пожизненно, клопидогрел – 3 месяца ","Правильный ответ: Г.

После транскатетерной имплантации аортального клапана пациент должен принимать аспирин пожизненно и клопидогрел в течение трёх месяцев. Это связано с тем, что аспирин предупреждает тромботические осложнения, а клопидогрел необходим для прикрытия периода эндотелизации (покрытия искусственного клапана собственными клетками пациента).",1
19,"ПРИЗНАКОМ ОСТРОГО ЛЕГОЧНОГО СЕРДЦА НА ЭКГ ЯВЛЯЕТСЯ
А возникновение блокады левой ножки пучка Гиса
Б синдром QIII SI
В появление высоких зубцов Т в отведениях V1-4
Г смещение переходной зоны влево",Б синдром QIII SI ,"Правильный ответ: Г.
Острое легочное сердце проявляется перегрузкой правого желудочка, в результате чего происходит смещение переходной зоны влево.
",-1
20,"ПРИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ РАЗВИВАЕТСЯ __ ТИП КАРДИОРЕНАЛЬНОГО СИНДРОМА
А 4
Б 2
В 3
Г 1",Б 2,"Правильный ответ: В. При хронической сердечной недостаточности развивается кардиоренальный синдром типа 3. Это связано с тем, что при длительном течении сердечной недостаточности происходит прогрессирующее снижение сократительной способности миокарда, что приводит к повышению давления в капиллярах легких и увеличению объема интерстициальной жидкости. Это, в свою очередь, способствует повышению гидростатического давления в почках и развитию их повреждения.",-1
21,"ДЛЯ ПОДТВЕРЖДЕНИЯ ХСН У БОЛЬНЫХ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ НЕОБХОДИМО ВЫЯВИТЬ В КРОВИ
А повышение тропонина
Б снижение калия
В повышение трансаминаз
Г повышение натрий-уретического пептида",Г повышение натрий-уретического пептида ,"Правильный ответ: Г. Натрий-уретический пептид (BNP) является маркером сердечной недостаточности. При хронической сердечной недостаточности его уровень повышен.
",1
22,"ЧАЩЕ ВСЕГО МИКРООРГАНИЗМОМ, ЯВЛЯЮЩИМСЯ ВОЗБУДИТЕЛЕМ ПНЕВМОНИИ У ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ЯВЛЯЕТСЯ
А золотистый стафилококк
Б кишечная палочка
В пневмококк
Г зеленящий стрептококк",В пневмококк,"Правильный ответ: А — золотистый стафилококк.

Обоснование: у пациентов с хронической сердечной недостаточностью чаще всего встречается золотистый стафилококк (Staphylococcus aureus). Он вызывает внебольничные пневмонии, которые обычно отличаются тяжёлым течением и склонностью к деструкции в лёгких.
",-1
23,"ОТКАЗ В ПРЕДОСТАВЛЕНИИ СРЕДСТВАМ МАССОВОЙ ИНФОРМАЦИИ СВЕДЕНИЙ ВОЗМОЖЕН, ЕСЛИ ОНИ СОДЕРЖАТ
А анализ качества оказания медицинской помощи
Б данные о летальности пациентов в стационаре
В показатели заболеваемости населения
Г врачебную тайну",Г врачебную тайну,"Правильный ответ — Г.

В соответствии со статьёй 13 Федерального закона от 21.11.2011 № 323-ФЗ «Об основах охраны здоровья граждан в Российской Федерации» к врачебной тайне относятся сведения о факте обращения гражданина за оказанием медицинской помощи, о состоянии его здоровья и диагнозе, иные сведения, полученные при его медицинском обследовании и лечении. Медицинские организации обязаны соблюдать врачебную тайну. Разглашение сведений, составляющих врачебную тайну, не допускается (в том числе после смерти человека).",1
24,"ЧАСТОТА ВЫЯВЛЕНИЯ В ОБЩЕЙ ПОПУЛЯЦИИ В КАЧЕСТВЕ ПРИЧИНЫ ПОВЫШЕННОГО АД ХРОНИЧЕСКИХ ЗАБОЛЕВАНИЙ ПОЧЕК СОСТАВЛЯЕТ (В ПРОЦЕНТАХ)
А 5,0-10,0
Б 2,0-5,0 
В 0,2-2,0
Г 20,0-30,0","Б 2,0-5,0  ","Согласно современным представлениям о патогенезе артериальной гипертензии, хронические заболевания почек являются причиной повышенного артериального давления примерно у 2-5% пациентов. Таким образом, правильный ответ - вариант Б.
",1
25,"ЗАБОЛЕВАНИЕ, КОТОРОЕ ВЫЗЫВАЕТ ПЕРВООЧЕРЕДНУЮ НЕОБХОДИМОСТЬ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В СВЯЗИ С НАИБОЛЬШЕЙ УГРОЗОЙ ЖИЗНИ И ЗДОРОВЬЮ, ЛИБО СТАНОВИТСЯ ПРИЧИНОЙ СМЕРТИ, ЯВЛЯЕТСЯ ___________ ЗАБОЛЕВАНИЕМ
А прогрессирующим
Б рецидивирующим
В сопутствующим
Г основным",Г основным,Г основным,0
26,"ОТНОСИТЕЛЬНЫМ ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А детский возраст
Б беременность и кормление грудью
В жировой гепатоз с умеренной ферментемией
Г репродуктивный возраст женщины без адекватной контрацепции",В жировой гепатоз с умеренной ферментемией ,"Правильный ответ: Б. Беременность и кормление грудью.

Статины противопоказаны при беременности и в период лактации. В детском возрасте статины могут быть назначены при наличии показаний (например, семейная гиперхолестеринемия). Жировой гепатоз с умеренной ферментемией не является абсолютным противопоказанием к назначению статинов, но требует осторожности и контроля печёночных ферментов. Репродуктивный возраст женщины без адекватной контрацепции не является противопоказанием к назначению статинов.",-1
27,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А статинов
Б ингибиторов PCSK9
В секвестрантов желчных кислот
Г фибратов",Б ингибиторов PCSK9,"Правильный ответ: Б. Ингибиторы PCSK9 — это класс лекарственных средств, используемых в терапии гиперлипидемий. Они работают путем связывания с ферментом PCSK9, который обычно разрушает рецепторы ЛПНП в печени. Это позволяет большему количеству рецепторов оставаться активными, что приводит к увеличению удаления холестерина ЛПНП из крови. Таким образом, использование моноклональных антител для лечения гиперлипидемии применяется именно при приеме ингибиторов PCSK9.",1
28,"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ДЛЯ ПЕРВИЧНОЙ ПРОФИЛАКТИКИ СЕРДЕЧНО-СОСУДИСТЫХ ЗАБОЛЕВАНИЙ У БОЛЬНЫХ С МЕТАБОЛИЧЕСКИМ СИНДРОМОМ РЕКОМЕНДОВАНА
А только в сочетании с артериальной гипертензией
Б при стенозирующих поражениях брахиоцефальных артерий
В при повышении уровня липопротеинов низкой плотности больше 3 ммоль/л
Г всегда",Б при стенозирующих поражениях брахиоцефальных артерий,"Правильный ответ: Г. Ацетилсалициловая кислота (АСК) рекомендуется для первичной профилактики сердечно-сосудистых заболеваний у пациентов с метаболическим синдромом. Это связано с тем, что АСК снижает риск развития инфаркта миокарда и инсульта. При этом нет необходимости ждать появления других факторов риска, таких как артериальная гипертензия или повышение уровня липопротеинов низкой плотности. Поэтому АСК может быть назначена всем пациентам с метаболическим синдромом для предотвращения возможных осложнений.",1
29,"К КЛАССУ ГИПОЛИПИДЕМИЧЕСКИХ ПРЕПАРАТОВ, ОБЛАДАЮЩЕМУ НАИБОЛЬШЕЙ СПОСОБНОСТЬЮ УМЕНЬШАТЬ СОДЕРЖАНИЕ В ПЛАЗМЕ КРОВИ ТРИГЛИЦЕРИДОВ, ОТНОСЯТ
А эзетимиб
Б фибраты
В статины
Г никотиновую кислоту",Б фибраты,"Правильный ответ: Г.
Никотиновая кислота обладает наибольшей способностью уменьшать содержание триглицеридов в плазме крови среди перечисленных групп препаратов.
",-1
30,"НАИБОЛЕЕ ВАЖНЫМ ФАКТОРОМ, ВЛИЯЮЩИМ НА ВОЗВРАЩЕНИЕ БОЛЬНОГО НА РАБОТУ ПОСЛЕ АОРТОКОРОНАРНОГО ШУНТИРОВАНИЯ, ЯВЛЯЕТСЯ
А полное исчезновение симптоматики после операции
Б интенсивность стенокардии до операции
В продолжительность стенокардии до операции
Г количество шунтированных артерий",А полное исчезновение симптоматики после операции,"Правильный ответ: Г. Количество шунтированных артерий является наиболее важным фактором, влияющим на возвращение больного на работу после аортокоронарного шунтирования. Это связано с тем, что успешная операция предполагает восстановление кровоснабжения сердца путем создания обходных путей (шунтов) вокруг заблокированных коронарных артерий. Чем больше артерий было успешно шунтировано, тем лучше будет функционировать сердце и тем меньше вероятность развития повторной ишемии миокарда.",-1
31,"ПРОЦЕСС КАРДИОРЕАБИЛИТАЦИИ РАЗДЕЛЯЮТ НА ____ ЭТАПА/ЭТАПОВ
А 6
Б 5
В 4
Г 7",В 4,"Правильный ответ — Б. Этапы кардиореабилитации включают: адаптацию к болезни, подготовку к возвращению к активной жизни, восстановление трудоспособности, поддерживающее лечение.
",1
32,"ДЛЯ ОЦЕНКИ ТОЛЕРАНТНОСТИ К ФИЗИЧЕСКОЙ НАГРУЗКЕ У ПАЦИЕНТОВ С ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА ИСПОЛЬЗУЮТ
А электроэнцефалографию
Б тест трехминутной ходьбы
В велоэргометрию
Г гарвардский степ-тест",В велоэргометрию,"Врачи используют велоэргометрию для оценки толерантности к физической нагрузке у пациентов с ишемической болезнью сердца. Это исследование позволяет определить максимальную физическую нагрузку, которую пациент может выдержать без возникновения ишемических изменений на ЭКГ.
",0
33,"АСИНХРОНИЯ ДВИЖЕНИЯ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ МОЖЕТ БЫТЬ ОБУСЛОВЛЕНА
А обструкцией выносящего тракта
Б мерцательной аритмией
В нарушением внутрижелудочковой проводимости, объемной перегрузкой правых камер сердца
Г митральной недостаточностью","В нарушением внутрижелудочковой проводимости, объемной перегрузкой правых камер сердца","Правильный ответ: В. Асинхронность движения межжелудочковой перегородки может быть обусловлена нарушением внутрижелудочковой проводимости и объёмной перегрузкой правых камер сердца.
",1
34,"ИЗОЛИРОВАННАЯ ДИЛАТАЦИЯ ПРАВЫХ КАМЕР СЕРДЦА БЕЗ ПАТОЛОГИЧЕСКОГО СБРОСА СЛЕВА НАПРАВО МОЖЕТ БЫТЬ ПРИЗНАКОМ
А недостаточности митрального клапана
Б высокой легочной гипертензии
В недостаточности аортального клапана
Г нарушений ритма",Б высокой легочной гипертензии,"Правильный ответ: Б. Высокая легочная гипертензия может проявляться изолированной дилатацией правых камер сердца без патологического сброса слева направо. Это связано с тем, что при высокой легочной гипертензии происходит значительное повышение давления в легочной артерии, которое приводит к увеличению нагрузки на правые отделы сердца. В результате этого правые камеры сердца (предсердие и желудочек) могут увеличиваться в размерах (дилатация). При этом сброс крови слева направо через дефекты в перегородках сердца отсутствует, так как давление в обоих предсердиях и желудочках остается примерно одинаковым.",1
35,"ПО ДАННЫМ ЭХОКГ О ГИПЕРКИНЕТИЧЕСКОМ ТИПЕ КРОВООБРАЩЕНИЯ СВИДЕТЕЛЬСТВУЕТ
А наличие гипертрофии левого желудочка
Б артериальное давление выше 140/90 мм рт.ст.
В объём ударного выброса левого желудочка 55-75 мл
Г фракция выброса левого желудочка ˃ 65%",Г фракция выброса левого желудочка ˃ 65%,"Гиперкинетический тип кровообращения характеризуется увеличением сердечного выброса при нормальном или сниженном общем периферическом сопротивлении сосудов. Этот тип кровообращения часто встречается у молодых людей и спортсменов. Он может быть связан с наличием гипертрофии левого желудочка, но это не является обязательным условием. Артериальное давление выше 140/90 мм рт. ст. не всегда коррелирует с гиперкинетическим типом кровообращения. Объем ударного выброса левого желудочка в диапазоне 55-75 мл и фракция выброса левого желудочка более 65% являются характерными признаками гиперкинетического типа кровообращения. Таким образом, правильным ответом будет вариант Г – фракция выброса левого желудочка более 65%.",1
36,"ЛОКАЛЬНОЕ РАСШИРЕНИЕ ВЕРХНЕЙ ЧАСТИ СРЕДИННОЙ ТЕНИ ПОЛУКРУГЛОЙ, ПОЛУОВАЛЬНОЙ ФОРМЫ С РОВНЫМИ ЧЕТКИМИ КОНТУРАМИ, НЕОТДЕЛИМОЕ НИ В ОДНОЙ ПРОЕКЦИИ ОТ АОРТЫ И ОБЛАДАЮЩЕЕ САМОСТОЯТЕЛЬНОЙ ПУЛЬСАЦИЕЙ, ХАРАКТЕРНО ДЛЯ
А аневризмы грудной аорты
Б стеноза устья аорты
В недостаточности аортального клапана
Г митрального стеноза",А аневризмы грудной аорты,"Правильный ответ: А. Аневризмы грудной аорты.

Описание в вопросе соответствует аневризме грудной аорты. Аневризма — это выпячивание стенки артерии в результате её растяжения и истончения. В отличие от нормальной аорты, аневризма имеет менее эластичные и более тонкие стенки, поэтому она может пульсировать независимо от самой аорты.

Остальные варианты ответа не подходят по следующим причинам:

Б. Стеноз устья аорты — сужение аортального клапана, которое не приводит к образованию локальных расширений.

В. Недостаточность аортального клапана — неполное закрытие аортального клапана, что также не приводит к образованию аневризм.

Г. Митральный стеноз — сужение митрального клапана, которое не влияет на состояние аорты.",1
37,"БОЛЬШОЙ ОБЪЁМ ЖИДКОСТИ В ПОЛОСТИ ПЕРИКАРДА СОСТАВЛЯЕТ (В МЛ)
А до 100
Б более 500
В более 1200
Г до 300",Б более 500,"Правильный ответ: Б более 500.

Объём жидкости в полости перикарда может значительно варьироваться в зависимости от различных факторов, включая положение тела, фазу дыхания и возраст пациента. Однако общепринятым стандартом является то, что нормальный объём жидкости в полости перикарда составляет от 50 до 100 мл.

Ответ А (до 100 мл) не подходит, так как это уже нормальный объём жидкости. Ответ Г (до 300 мл) также не подходит, так как такой объём считается небольшим увеличением, но не значительным. Ответ В (более 1200 мл) слишком велик для реальной клинической ситуации, поскольку такой объём жидкости в перикарде обычно приводит к серьёзным симптомам и требует немедленного медицинского вмешательства.

Таким образом, ответ Б (более 500 мл) является наиболее подходящим, так как он отражает значительное увеличение объёма жидкости в полости перикарда, которое может привести к различным клиническим проявлениям и требует дальнейшего исследования.",1
38,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ ЯВЛЯЕТСЯ
А лидокаин
Б верапамил
В ритмилен
Г кордарон",А лидокаин,"Правильный ответ: Г. Кордарон эффективен при желудочковой тахикардии, так как он способен уменьшить возбудимость миокарда, снизить частоту сердечных сокращений и восстановить нормальный синусовый ритм.
",-1
