Вопрос,Ответ,Perplexity,Результат
10,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ИМЕЕТ ПРАВО ВЫДАВАТЬ (ФОРМИРОВАТЬ)
А врач травматологического пункта
Б санитарный врач
В врач станции переливания крови
Г врач скорой помощи",А врач травматологического пункта,"Правильный ответ - А. врач травматологического пункта.

Листок нетрудоспособности имеет право выдавать (формировать) врач травматологического пункта . Врач травматологического пункта, как специалист в области травматологии и реабилитации, имеет полномочия для выдачи листка нетрудоспособности, если пациент не в состоянии выполнять свои профессиональные обязанности из-за травмы или заболевания.

Citations:
[1] https://kazanmedjournal.ru/kazanmedj/article/view/87279/ru_RU
[2] https://comfort.sovamed.ru/zabolevaniya/affektivnye-rasstroystva-simptomy-lechenie-diagnostika/
[3] https://panangin.ru/about-heart/fizicheskaya-nagruzka/
[4] https://www.lvrach.ru/partners/egipres/15438384",1
11,"СВЕДЕНИЯ О ДИАГНОЗЕ ЗАБОЛЕВАНИЯ
А вносятся в листок нетрудоспособности при условии направления пациента на медико-социальную экспертизу
Б вносятся в листок нетрудоспособности только по письменному заявлению гражданина       
В не вносятся в листок нетрудоспособности ни при каких условиях
Г  вносятся в листок нетрудоспособности в обязательном порядке

",Б вносятся в листок нетрудоспособности только по письменному заявлению гражданина  ,"Правильный ответ - Г. вносятся в листок нетрудоспособности в обязательном порядке.

Сведения о диагнозе заболевания вносятся в листок нетрудоспособности в обязательном порядке. Это необходимо для правильного оформления и документирования состояния пациента, чтобы обеспечить соответствующие медицинские и социальные гарантии в случае временной нетрудоспособности.

Citations:
[1] https://pmod.ru/blog/chto-nuzhno-prinimat-pri-serdechnoj
[2] https://medikom.ua/ru/shumy-v-serdce-lechenie-profilaktika/
[3] https://kazanmedjournal.ru/kazanmedj/article/view/87279/ru_RU
[4] https://diamed.ru/articles/dela-serdechnye/kak-opredelit-dopustimuyu-nagruzku-na-serdtse/",-1
12,"1 СТЕПЕНИ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ СООТВЕТСТВУЕТ СИСТОЛИЧЕСКОЕ АРТЕРИАЛЬНОЕ ДАВЛЕНИЕ ___________ ММ РТ. СТ., ДИАСТОЛИЧЕСКОЕ ________________ ММ РТ. СТ.
А 160-180; 94-100
Б выше 180; выше 110
В 140-159; выше 90-99
Г 160-179; 100-109",В 140-159; выше 90-99,"Ответ: В. 140-159; выше 90-99 мм рт. ст.

Первая степень артериальной гипертензии соответствует систолическому артериальному давлению от 140 до 159 мм рт. ст. и диастолическому давлению от 90 до 99 мм рт. ст. [4]. Эти значения характеризуют легкую степень артериальной гипертензии, которая требует мониторинга и возможных корректирующих мероприятий, но не является критической.

Citations:
[1] https://www.arthritis.org/health-wellness/treatment/treatment-plan/disease-management/steps-toward-oa-treatment
[2] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8835883/
[3] https://www.arthritis.org/health-wellness/treatment/treatment-plan/disease-management/steps-toward-ra-treatment
[4] https://www.radiologyassociatesimaging.com/news-and-views/2021/4/29/the-first-step-toward-arthritis-relief-is-an-accurate-diagnosis",1
13,"К БЕССИМПТОМНОМУ ПОРАЖЕНИЮ ОРГАНА ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСИТСЯ
А стенокардия
Б альбуминурия
В энцефалопатия
Г сердечная недостаточность со сниженной фракцией выброса",Б альбуминурия ,"Правильный ответ - Б. альбуминурия.

К бессимптомному поражению органа при артериальной гипертонии относится альбуминурия. Альбуминурия представляет собой наличие белка альбумина в моче и является одним из признаков поражения почек при артериальной гипертонии, который может протекать без явных симптомов. В отличие от стенокардии, энцефалопатии и сердечной недостаточности, альбуминурия может быть незаметной для пациента, но является важным показателем осложнений, связанных с артериальной гипертонией.

Citations:
[1] https://polik3.ru/useful-information/28-doctor-advice/prevention-cardio/135-stable-angina
[2] https://endovascular.kz/ru/rekomendatsii/klinicheskie-protokoly-mz-rk/ibs-stabilnaya-stenokardiya-napryazheniya
[3] https://presidentclinic.ru/spravochnik-zabolevanij/stenokardiya-napryazheniya/
[4] https://uzidiagnostika.ru/articles/pristup-stenokardii-simptomy-i-lechenie/",1
14,"ИЗОЛИРОВАННАЯ СИСТОЛИЧЕСКАЯ ГИПЕРТОНИЯ ХАРАКТЕРНА ДЛЯ
А аортального стеноза
Б аортальной недостаточности
В митральной недостаточности
Г митрального стеноза",Б аортальной недостаточности,"Правильный ответ - Б. аортальной недостаточности.

Изолированная систолическая гипертония характерна для аортальной недостаточности [1][2][3].

При аортальной недостаточности происходит обратный ток крови из аорты в левый желудочек во время диастолы, что приводит к увеличению систолического артериального давления. В то же время, диастолическое давление снижается из-за быстрого оттока крови из аорты. Это и обусловливает развитие изолированной систолической гипертонии.

Аортальный стеноз [1][2][3], митральная недостаточность [1][2][3] и митральный стеноз [1][2][3] не характеризуются развитием изолированной систолической гипертонии.

Citations:
[1] https://www.krasotaimedicina.ru/diseases/zabolevanija_cardiology/aortic-insufficiency
[2] https://cyberleninka.ru/article/n/aortalnaya-nedostatochnost-degenerativnogo-geneza
[3] https://med.ru/sites/default/files/docs/Zyabirova_Diss.pdf
[4] https://polik3.ru/useful-information/28-doctor-advice/prevention-cardio/135-stable-angina",1
15,"ПЕРЕД ВЫПОЛНЕНИЕМ ИССЛЕДОВАНИЯ НА АЛЬДОСТЕРОН-РЕНИНОВОЕ СООТНОШЕНИЕ (АРС) ПАЦИЕНТ ДОЛЖЕН ОТМЕНИТЬ
А антагонисты минералокортикоидных рецепторов за 2 недели, а другие препараты, влияющие на АРС, – за 4 недели до исследования
Б все препараты, искажающие АРС за 4 недели до исследования
В все препараты, искажающие АРС за 2 недели до исследования
Г антагонисты минералокортикоидных рецепторов за 4 недели, а другие препараты, влияющие на АРС, – за 2 недели до исследования","Г антагонисты минералокортикоидных рецепторов за 4 недели, а другие препараты, влияющие на АРС, – за 2 недели до исследования ","Правильный ответ - А. антагонисты минералокортикоидных рецепторов за 2 недели, а другие препараты, влияющие на АРС, – за 4 недели до исследования.

Перед выполнением исследования на альдостерон-рениновое соотношение (АРС) пациент должен отменить:

- Антагонисты минералокортикоидных рецепторов (спиронолактон, эплеренон) за 2 недели до исследования.
- Другие препараты, влияющие на АРС, за 4 недели до исследования.

Это необходимо для того, чтобы исключить влияние данных лекарственных средств на результаты анализа и получить достоверные показатели альдостерона и ренина [1][2][3].

Варианты ответов Б, В и Г не соответствуют рекомендуемым срокам отмены препаратов перед исследованием АРС.

Citations:
[1] https://uzidiagnostika.ru/articles/pristup-stenokardii-simptomy-i-lechenie/
[2] https://www.fontanka.ru/2023/11/17/72890126/
[3] https://www.krasotaimedicina.ru/diseases/zabolevanija_cardiology/aortic-insufficiency
[4] https://www.penzainform.ru/news/?p=335",-1
16,"ОПТИМАЛЬНЫЕ ЗНАЧЕНИЯ ЛИПИДНЫХ ПАРАМЕТРОВ У ПАЦИЕНТА С ОЧЕНЬ ВЫСОКИМ СЕРДЕЧНО-СОСУДИСТЫМ РИСКОМ ПО ЕВРОПЕЙСКИМ РЕКОМЕНДАЦИЯМ 2018 ГОДА: ХОЛЕСТЕРИН ЛИПОПРОТЕИДОВ
А низкой плотности не выше 2,5 ммоль/л
Б высокой плотности ниже 0,8 ммоль/л, липопротеиды низкой плотности не выше 3 ммоль/л
В низкой плотности не выше 1,4 ммоль/л
Г высокой плотности ниже 0,8 ммоль/л, липопротеиды низкой плотности не выше 3 ммоль/л, общий холестерин не превышает 5 ммоль/л","В низкой плотности не выше 1,4 ммоль/л ","Правильный ответ - В. липопротеиды низкой плотности не выше 1,4 ммоль/л.

Согласно Европейским рекомендациям по профилактике сердечно-сосудистых заболеваний 2018 года, для пациентов с очень высоким сердечно-сосудистым риском оптимальные значения липидных параметров следующие [1][2][3][4]:

- Холестерин липопротеидов низкой плотности (ХС-ЛНП) не выше 1,4 ммоль/л.
- Холестерин липопротеидов высокой плотности (ХС-ЛВП) и общий холестерин не регламентируются.

Варианты ответов А, Б и Г не соответствуют актуальным Европейским рекомендациям по целевым значениям липидных параметров для пациентов с очень высоким сердечно-сосудистым риском.

Citations:
[1] https://publications.hse.ru/pubs/share/direct/367594455.pdf
[2] https://uzidiagnostika.ru/articles/pristup-stenokardii-simptomy-i-lechenie/
[3] https://www.asu.ru/files/documents/00010967.pdf
[4] https://www.fontanka.ru/2023/11/17/72890126/",1
17,"НЕМЕДИКАМЕНТОЗНАЯ ТЕРАПИЯ ДИСЛИПИДЕМИИ ПРЕДУСМАТРИВАЕТ
А соблюдение водно-солевого режима
Б прекращение курения 	
В ограничение физических нагрузок
Г отказ от алкоголя",Б прекращение курения ,"Правильный ответ - Б. прекращение курения.

Немедикаментозная терапия дислипидемии включает в себя ряд мероприятий, которые помогают снизить уровень холестерина и улучшить общее состояние пациента. Прекращение курения является одним из ключевых шагов в такой терапии, поскольку курение негативно влияет на сердечно-сосудистую систему, включая уровень холестерина в крови. Курение увеличивает риск развития атеросклероза и сердечно-сосудистых заболеваний, поэтому прекращение курения является важным компонентом немедикаментозной терапии дислипидемии.

Citations:
[1] https://www.translate.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BA%D1%81%D1%82%D1%8B/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D0%B2%D0%B5%D1%82
[2] https://www.kinopoisk.ru/series/1046574/
[3] https://pmod.ru/blog/chto-nuzhno-prinimat-pri-serdechnoj
[4] https://presidentclinic.ru/spravochnik-zabolevanij/stenokardiya-napryazheniya/",1
18,"ПРИЕМ СТАТИНА СЛЕДУЕТ ОТМЕНИТЬ, ЕСЛИ УРОВЕНЬ АЛТ ПРЕВЫШАЕТ В______ НОРМУ В ДВУХ ПОСЛЕДОВАТЕЛЬНЫХ ИЗМЕРЕНИЯХ
А 5 раз
Б 1,5 раза
В 3 раза	
Г 10 раз",В 3 раза	,"Правильный ответ - В. 3 раза.

Согласно современным рекомендациям по лечению дислипидемий, прием статинов следует отменить, если уровень аланинаминотрансферазы (АЛТ) превышает норму в 3 раза в двух последовательных измерениях [3][4].

Повышение АЛТ более чем в 3 раза может свидетельствовать о развитии серьезных побочных эффектов со стороны печени, что требует прекращения приема статинов. Превышение АЛТ в 1,5 раза или 5 раз также может быть показанием для отмены статинов, но 3-кратное превышение является более четким критерием.

Таким образом, правильным ответом является вариант В. - прием статина следует отменить, если уровень АЛТ превышает норму в 3 раза в двух последовательных измерениях.

Citations:
[1] https://www.translate.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BA%D1%81%D1%82%D1%8B/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D0%B2%D0%B5%D1%82
[2] https://fmza.ru/upload/medialibrary/0e0/btz_lechebnoe_delo_2018.pdf
[3] https://cyberleninka.ru/article/n/rukovodstvo-po-lecheniyu-dislipidemiy
[4] https://angiology.com.ua/ru/archive/2017/2%2877%29/pages-46-66/dislipidemii-sovremennyy-vzglyad-na-problemu",1
19,"ДЛЯ ЛЕЧЕНИЯ ГИПЕРХОЛЕСТЕРИНЕМИИ РЕКОМЕНДУЮТ
А никотиновую кислоту
Б статины
В секвестранты желчных кислот
Г ингибиторы абсорбции холестерина",Б статины ,"Правильный ответ - Б. статины.

Для лечения гиперхолестеринемии рекомендуется использование статинов. Статины являются одним из основных классов лекарственных препаратов, применяемых для снижения уровня холестерина в крови. Они эффективно снижают уровень общего холестерина и ЛПНП (липопротеидов низкой плотности), что снижает риск сердечно-сосудистых заболеваний. Никотиновая кислота, секвестранты желчных кислот и ингибиторы абсорбции холестерина также используются в лечении гиперхолестеринемии, но статины являются наиболее распространенным и эффективным выбором для этой цели.

Citations:
[1] https://www.translate.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BA%D1%81%D1%82%D1%8B/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D0%B2%D0%B5%D1%82
[2] https://www.kinopoisk.ru/series/1046574/
[3] https://cyberleninka.ru/article/n/rukovodstvo-po-lecheniyu-dislipidemiy
[4] https://znanija.com/task/35634311",1
