Вопрос,Ответ,Perplexity,Результат
10,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ПРИ ВЫПОТНОМ ПЕРИКАРДИТЕ СЛЕДУЕТ СЧИТАТЬ МЕТОД:
А электрокардиографии
Б рентгенографии
В эхокардиографии
Г аускультации
",В эхокардиографии,"Наиболее информативным при выпотном перикардите следует считать метод эхокардиографии (В) . Эхокардиография позволяет визуализировать наличие и количество жидкости в перикардиальном пространстве, что является основным признаком выпотного перикардита.
. В отличие от других методов, таких как электрокардиография, рентгенография или аускультация, эхокардиография дает прямую визуальную оценку состояния перикарда и выпота, что делает ее наиболее информативным диагностическим эффектом при данной заболеваемости.",1
11,"СОВРЕМЕННАЯ КЛИНИЧЕСКАЯ КАРТИНА КАРДИТА ПРИ ОСТРОЙ РЕВМАТИЧЕСКОЙ ЛИХОРАДКЕ ОБЫЧНО ПРЕДСТАВЛЕНА:
А диффузным миокардитом
Б эндокардитом в сочетании с очаговым миокардитом
В перикардитом
Г инфекционным эндокардитом Либмана-Сакса
",Б эндокардитом в сочетании с очаговым миокардитом,"Современная клиническая картина кардита при острой ревматической лихорадке обычно сопровождается эндокардитом в сочетании с очаговым миокардитом (Б) . В ревматической лихорадке, которая может быть вызвана инфекцией стрептока группы А, продолжается соединительная ткань, что может привести к образованию антител, направленных на сердечные структуры. Это может вызвать резерв эндокарда и миокарда, что может привести к эндокардиту и очаговому миокардиту.",1
12,"ПОРАЖЕНИЕ АОРТАЛЬНОГО КЛАПАНА В СОЧЕТАНИИ С СУБФЕБРИЛЬНОЙ ТЕМПЕРАТУРОЙ, УВЕЛИЧЕНИЕМ СОЭ И ЭМБОЛИЯМИ УКАЗЫВАЕТ НА:
А миокардит
Б ревматический кардит
В порок сердца
Г атеросклероз
",Б ревматический кардит,"Поражение аортального клапана в сочетании с субфебрильной температурой, развитием СОЭ и симптомами эмболии на ревматический кардит (Б) . Ревматический кардит является одним из основных факторов острой ревматической лихорадки, который может поражать клапаны сердца, включая аортальный клапан. Такие симптомы, как субфебрильная температура, увеличение скорости оседания эритроцитов (СОЭ) и эмболии, характерны для ревматической кардиты и указывают на воспалительный процесс в сердце, который может привести к поражению клапанов",1
13,"ДЛЯ УСТАНОВЛЕНИЯ СТЕПЕНИ НЕДОСТАТОЧНОСТИ КЛАПАНОВ ПРИ ФАЗОВО-КОНТРАСТНОЙ МРТ СЕРДЦА НЕОБХОДИМО РАССЧИТАТЬ:
А конечно-диастолический объем желудочков
Б показатели диастолической функции
В объем регургитации за сокращение
Г градиент давления на уровне соответствующего клапана
",В объем регургитации за сокращение,"Для установления степени недостаточности клапанов при фазово-контрастной МРТ сердца необходимо измерить объем регургитации за счет .
Обоснование: Согласно результатам поиска, для оценки степени недостаточности клапанов при фазово-контрастной МРТ основным параметром сердца является расчет объема регургитации за сокращение.
. Этот показатель позволяет определить объем обратного потока крови через клапаны во время систолы, что является обязательным критерием для диагностики и количественной оценки степени клапанной недостаточности. В отличие от других параметров, таких как конечно-диастолический объем желудочков, показателей диастолической функции или градиента давления на клапане, именно объем регургитации за время является наиболее информативным для исследования степени недостаточности клапанов при фазово-контрастной МРТ сердца",1
14,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ ВТОРИЧНОЙ МИТРАЛЬНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:
А ревматизм
Б инфекционный эндокардит
В гипертоническая болезнь
Г ишемическая болезнь сердца
",Г ишемическая болезнь сердца,"Наиболее частой причиной вторичной митральной недостаточности является инфекционный эндокардит .
Обоснование: Вторичная митральная недостаточность может возникнуть из-за различных причин, включая инфекционный эндокардит. Инфекционный эндокардит, вызванный бактериями, вирусами или грибками, может привести к воспалению эндокарда и сужению митрального клапана, что может вызвать митральную недостаточность.
. Ревматизм также может быть причиной митральной недостаточности, но это не наиболее частая причина.
. Гипертоническая болезнь и ишемическая болезнь сердца также могут привести к митральной недостаточности, но они не являются наиболее частыми причинами",-1
15,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ ЛАБОРАТОРНЫМ ПОКАЗАТЕЛЕМ ПОВРЕЖДЕНИЯ МИОКАРДА ВЫСТУПАЕТ:
А увеличение концентрации тропонина Т
Б увеличение концентрации тропонина C
В повышение активности аспартатаминотрансферазы
Г повышение активности креатинфосфокиназы
",А увеличение концентрации тропонина Т,"Наиболее важным лабораторным следствием повреждения миокарда является увеличение содержимого тропонина Т.
Обоснование: увеличение содержания тропонина Т в крови является наиболее выраженным и значительным проявлением повреждения миокарда. Тропонины - это вещества, которые накапливаются в мышцах сердца и уровень их содержания в крови происходит при повреждении миокарда, так как они высвобождаются в крови из поврежденных клеток сердца. Таким образом, увеличение содержания тропонина Т является ключевым признаком возникновения инфаркта миокарда и других состояний, связанных с повреждением сердечной мышцы.",1
16,"ЭОЗИНОФИЛИЯ МОЖЕТ АССОЦИИРОВАТЬСЯ С:
А рестриктивной кардиомиопатией
Б аритмогенной дисплазией сердца
В дилатационной кардиомиопатией
Г ГКМП
",А рестриктивной кардиомиопатией,"Эозинофилия может ассоциироваться с дилатационной кардиомиопатией .
Обоснование: Из результатов поиска видно, что эозинофилия может быть связана с различными состояниями, включая кардиомиопатии. Дилатационная кардиомиопатия - это один из видов кардиомиопатий, характеризующийся расширением полостей сердца и нарушением его функции. Эозинофилия может быть связана с развитием дилатационной кардиомиопатии, так как повышенные уровни эозинофилов могут быть связаны с воспалительными процессами, которые могут влиять на сердечную мышцу и приводить к развитию кардиомиопатии.",-1
17,"ПРИ РАСЧЕТЕ РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С ГКМП УЧИТЫВАЕТСЯ:
А фракция выброса
Б уровень АД
В степень митральной регургитации
Г возраст
",Г возраст,"При расчете риска внезапной смерти больных с гипертрофической кардиомиопатией (ГКМП) рассматривается фракция выброса .
Обоснование: Из предоставленных видимых источников, что фракция выброса (отношение объема крови, выбрасываемого из левого желудочка при каждом сокращении, к общему объему крови в желудочке) является решающим параметром для оценки риска внезапной смерти у пациентов с ГКМП. Низкая фракция выбросов может быть связана с повышенным риском внезапной смерти у таких пациентов, поэтому этот параметр учитывается при уровне риска и принимает решения о выезде и наблюдении за больными с ГКМП.",-1
18,"ЭЛЕКТРОКАРДИОГРАФИЧЕСКИМ ПОКАЗАТЕЛЕМ, ИМЕЮЩИМ ПРЕИМУЩЕСТВЕННО ДИАГНОСТИЧЕСКОЕ ЗНАЧЕНИЕ ПРИ ОСТРЫХ ИНФЕКЦИОННЫХ МИОКАРДИТАХ, ЯВЛЯЕТСЯ:
А нарушение проводимости по левой ножке пучка Гиса
Б появление патологического зубца Q
В подъём сегмента SТ в 2-3 отведениях
Г нарушение АВ проводимости
","Г нарушение АВ проводимости
","Электрокардиографическим показателем, имеющим единственное диагностическое значение при острых инфекционных миокардитах, является повышение сегмента ST в 2-3 отведениях .
Обоснование: Из предоставленных видимых источников, что при инфекционных миокардитах изменения в электрокардиограмме, такие как подъем сегмента ST, могут иметь диагностическое значение. Подъем сегмента ST во 2-3 отведениях может быть одним из характерных признаков инфекционного миокардита, поэтому этот показатель имеет важное диагностическое значение при подозрении на данное состояние.",-1
19,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ БОЛЕВОГО СИНДРОМА И ПРОФИЛАКТИКИ КАРДИОГЕННОГО ШОКА ПРИ ОСТРОМ ИНФАРКТЕ ЯВЛЯЕТСЯ:
А морфина гидрохлорид
Б нитроглицерин
В тримеперидин
Г трамадол
",А морфина гидрохлорид,"Препаратом для купирования болевого синдрома и профилактики кардиогенного шока при остром инфаркте является нитроглицерин .
Обоснование: Нитроглицерин – это препарат, широко используемый для купирования болевого синдрома и кардиопрофилактики шока при остром инфаркте миокарда. Он осуществляет расширение кровеносных сосудов, что увеличивает кровообращение и уменьшает нагрузку на сердце. Это особенно важно при остром инфаркте, когда сердце может быть признано дополнительным вмешательством из-за болевого синдрома. Нитроглицерин также может помочь снизить риск кардиогенного шока, который может возникнуть при остром инфаркте.
.",-1
20,"ПРИ СОЧЕТАНИИ ХРОНИЧЕСКОЙ ОБСТРУКТИВНОЙ БОЛЕЗНИ ЛЕГКИХ И ПАРОКСИЗМОВ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ:
А пропранолола
Б этацизина
В дигоксина
Г верапамила
",А пропранолола,"При одновременном возникновении обструктивной болезни легких и пароксизмов фибрилляции предшествует консервативное назначение Верапамила (Г) .
Обоснование: Верапамил является противоположным при сочетании хронической обструктивной болезни легких (ХОБЛ) и предсердий пароксизмов и фибрилляций. Верапамил относится к группе кальциевых блокаторов, которые могут усилить обструкцию верхних путей у пациентов с ХОБЛ, что может ухудшить их состояние. Поэтому в данной ситуации верапамил является альтернативным препаратом.",-1
21,"НЕДИГИДРОПИРИДИНОВЫЕ АНТАГОНИСТЫ КАЛЬЦИЯ ПРОТИВОПОКАЗАНЫ ПРИ:
А брадиаритмии
Б тахикардии
В бронхиальной астме
Г сахарном диабете
",А брадиаритмии,"Недигидропиридиновые антагонисты приводят к нарушениям при тахикардии .
Обоснование: Недигидропиридиновые антагонисты, такие как верапамил, наблюдаются при тахикардии, так как они могут усилить сердечный ритм и увеличить частоту сердечных сокращений. Поэтому при наличии тахикардии назначение недигидропиридиновых антагонистов может быть нежелательным и даже опасным для пациента.",-1
22,"САМЫМ ЧАСТЫМ ОСЛОЖНЕНИЕМ ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА (ОСОБЕННО ПРИ ОЧЕНЬ БЫСТРОМ ВВЕДЕНИИ) ЯВЛЯЕТСЯ:
А головная боль
Б тошнота
В артериальная гипотензия
Г резкая брадикардия
",В артериальная гипотензия,"Самым частым осложнением при внутривенном введении новокаинамида (особенно при очень быстром введении) является резкая брадикардия .
Обоснование: Новокаинамид - это лекарственное средство, которое может изменяться при внутривенном введении, особенно при быстром введении. Одно из наиболее частых осложнений – это резкая брадикардия, которая может возникнуть из-за новокаинамида на сердечной деятельности. Резкая брадикардия может быть опасной для пациента, особенно если она не диагностирована и не лечит вовремя.",-1
23,"ПРИ БЛАГОПРИЯТНОМ КЛИНИЧЕСКОМ И ТРУДОВОМ ПРОГНОЗЕ ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ И ПРОДЛЕВАЕТСЯ НА СРОК НЕ БОЛЕЕ ___ МЕСЯЦЕВ С ДАТЫ НАЧАЛА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ И НЕ БОЛЕЕ ___ МЕСЯЦЕВ ПРИ ЛЕЧЕНИИ ТУБЕРКУЛЕЗА:
А 10; 12
Б 6; 8
В 12; 14
Г 4; 5
",А 10; 12,"При благоприятном клиническом и трудовом прогнозе листок нетрудоспособности формируется и продлевается на срок не более В 12; 14 месяцев с даты начала временной нетрудоспособности и не более В 12; 14 месяцев при появлении туберкулеза.
Обоснование: Из предоставленных источников необходимо учитывать, что при благоприятном прогнозе листок нетрудоспособности может быть продлен на срок до 12-14 месяцев, как при временной ранней нетрудоспособности, так и при возникновении туберкулеза. Таким образом, ответ В (12; 14) соответствует рассмотрению вопроса.",-1
24,"В СЛУЧАЕ УСТАНОВЛЕНИЯ ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПАЦИЕНТУ, ПРИЕХАВШЕМУ ИЗ РОСТОВА В МОСКВУ И ОБРАТИВШЕМУСЯ ЗА МЕДИЦИНСКОЙ ПОМОЩЬЮ:
А листок нетрудоспособности не формируется (не выдаётся)
Б формируется (выдаётся) листок нетрудоспособности
В справка произвольной формы
Г справка установленного образца
",Б формируется (выдаётся) листок нетрудоспособности,"В случае использования временной нетрудоспособности пациенту, приехавшему из Ростова в Москву и обратившемуся за медицинской помощью, Б будет обеспечен (выдаётся) листок нетрудоспособности .
Обоснование: Согласно предоставленным источникам, при установлении временной нетрудоспособности пациенту, обратившемуся за медицинской помощью в другом направлении, сохраняется и выдается листок нетрудоспособности
. Это связано с тем, что листок нетрудоспособности является документом, подтверждающим временную нетрудоспособность гражданина, независимо от места его обращения при помощи медицинской помощи. Поэтому ответ Б свой.",1
25,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ПО УХОДУ ЗА ВЗРОСЛЫМ БОЛЬНЫМ ЧЛЕНОМ СЕМЬИ ПРИ ЛЕЧЕНИИ В АМБУЛАТОРНЫХ УСЛОВИЯХ ВЫДАЁТСЯ (ФОРМИРУЕТСЯ) СРОКОМ НЕ БОЛЕЕ ЧЕМ НА ____ КАЛЕНДАРНЫХ ДНЕЙ:
А 20
Б 10
В 30
Г 7
",Г 7,"Листок нетрудоспособности по уходу за пожилыми больными членами семьи при выезде в амбулаторных условиях выдаётся (формируется) сроком не более Б 10 календарных дней .
Обоснование: Согласно предоставленным источникам, при уходе за пожилым больным членом семьи в амбулаторных условиях лист нетрудоспособности может быть выдан (сформирован) на срок не более 10 календарных дней.
. Это связано с тем, что законодательством установлено ограничение максимального срока выдачи листа нетрудоспособности по обращению за пожилыми больными женщинами в амбулаторных условиях до 10 дней. Поэтому ответ Б свой.",-1
26,"ДИАГНОЗ «ПЕРВИЧНЫЙ ГИПЕРАЛЬДОСТЕРОНИЗМ» СЧИТАЕТСЯ УСТАНОВЛЕННЫМ БЕЗ ПОДТВЕРЖДАЮЩЕГО ТЕСТИРОВАНИЯ В СЛУЧАЕ СОЧЕТАНИЯ:
А спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
Б спонтанной гиперкалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрации альдостерона выше референсных значений
В спонтанной гипокалиемии, уровня ренина или активности ренина плазмы выше референсных значений и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л)
Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)
","Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина плазмы и плазменной концентрация альдостерона более 20 нг/дл (550 пмоль/л)","Диагноз «первичный гиперальдостеронизм» считается установленным без подтверждения тестирования в случае Г спонтанной гипокалиемии, неопределяемого уровня ренина или активности ренина цепи и плазменной концентрации альдостерона более 20 нг/дл (550 пмоль/л) .
Обоснование: Согласно предоставленным источникам, диагноз первичного гиперальдостеронизма может быть установлен без дополнительного подтверждения тестирования при наличии следующих лабораторных показателей:
Спонтанная гипокалиемия
Неопределяемый уровень ренина или активность ренина
Плазменная концентрация альдостерона более 20 нг/дл (550 пмоль/л)
Настоящее сочетание лабораторных показателей является средством для постановки диагноза первичного гиперальдостеронизма без необходимости проведения дополнительных подтверждающих тестов.",1
27,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ:
А II; с высоким риском
Б II; независимо от степени риска
В I; с низким или средним риском
Г I; с высоким риском
",В I; с низким или средним риском,"Монотерапия антигипертензивными препаратами у больных с гипертонической болезнью может быть назначена пациенту с артериальной гипертензией В I; уровень риска или уровень риска .
Обоснование: Согласно предоставленным источникам, монотерапия антигипертензивными препаратами может быть предпочтительной для пациентов с артериальной гипертензией I степени, при низком или среднем риске сердечно-сосудистых осложнений.
. Это связано с тем, что монотерапия может быть эффективной для контроля артериального давления в определенных случаях, и такие риски могут иметь значение. В противоположность случаям, когда риск сердечно-сосудистых заболеваний может включать более комплексное лечение, включая комбинированные препараты или дополнительные меры, такие как диета с высоким уровнем активности и динамика активности.",1
28,"ПАЦИЕНТАМ С ХБП ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ С ПОЗИЦИИ КАРДИО-НЕФРОПРОТЕКЦИИ ПРЕДПОЧТИТЕЛЬНО НАЗНАЧЕНИЕ:
А бета-1-адреноблокаторов
Б блокаторов РААС
В препаратов центрального действия
Г петлевых диуретиков и спиронолактонов
",Б блокаторов РААС,"Пациентам с хронической болезнью почек (ХБП) при возникновении артериальной гипертонии с позиции кардионефропротекции следует назначение Б-блокаторов РААС .
Обоснование: Из предоставленных очевидных источников, что при возникновении артериальной гипертонии у пациентов с хронической болезнью почек (ХБП) с позиции кардио-нефропротекции, основным выбором является назначение блокаторов ренин-ангиотензин-альдостероновой системы (РААС). Эти препараты оказывают благоприятное воздействие на сердечно-сосудистую и почечную системы, способность защиты сердца и почек от негативных последствий артериальной гипертонии.
. Поэтому ответ Б блокаторов РААС является наиболее эффективным для пациентов с ХБП при появлении артериальной гипертонии с позиции кардионефропротекции.",1
29,"СРЕДСТВОМ ВЫБОРА ДЛЯ СНИЖЕНИЯ АД У БОЛЬНЫХ С РАССЛАИВАЮЩЕЙ АНЕВРИЗМОЙ АОРТЫ ЯВЛЯЕТСЯ:
А лазикс
Б клонидин
В нитропруссид натрия
Г дроперидол
",В нитропруссид натрия,"Средством выбора для облегчения состояния больных с расслаивающей аневризмой аорты является нитропруссид натрия .
Обоснование: Из предоставленных источников не получена прямая информация о появлении расслаивающей аневризмы аорты. Однако, исходя из общего режима лечения данного состояния, способом снижения артериального давления является нитропруссид натрия.
Нирустропсид натрия - это быстродействующий вазодилататор, который научился быстро снижать артериальное давление, что крайне важно при расслаивающей аневризме аорты для предотвращения дальнейшего расслоения и разрыва аорты. Другие препараты, такие как лазикс, клонидин или дроперидол, не обладают быстрым и эффективным гипотензивным действием при данном неотложном состоянии.
Таким образом, при выборе средства для лечения больных с расслабляющей аневризмой аорты используется нитропруссид натрия.",1
30,"К АССОЦИИРОВАННЫМ СЕРДЕЧНО-СОСУДИСТЫМ ИЛИ ПОЧЕЧНЫМ ЗАБОЛЕВАНИЯМ ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСЯТСЯ:
А ранние сердечно-сосудистые заболевания в анамнезе
Б скорость каротидно-феморальной пульсовой волны > 10 м/сек. и лодыжечно-плечевой индекс < 0,9
В стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса
Г микроальбуминурия и соотношение альбумина к креатинину (30-300 мг/г; 3,4-34 мг/ммоль)
","В стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса","К ассоциированным сердечно-сосудистым или почечным заболеваниям при артериальной гипертонии относятся стенокардия и сердечная недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса .
Обоснование: Согласно предоставленным источникам, ассоциированные сердечно-сосудистые заболевания при артериальной гипертонии включают у себя стенокардию и сердечную недостаточность, включая сердечную недостаточность с сохраненной фракцией выброса.
. Это связано с тем, что артериальная гипертония может быть риском развития данных заболеваний, а их последствия могут быть связаны с нарушениями кровообращения и функции сердца, вызванными гипертонией.",1
31,"ПОРОГОВЫЙ УРОВЕНЬ ДИАСТОЛИЧЕСКОГО АД (ММ РТ.СТ.) ДЛЯ ДИАГНОСТИКИ АГ ПО ДАННЫМ АД В ДОМАШНИХ УСЛОВИЯХ (ESC, 2018) РАВЕН:
А 90
Б 75
В 80
Г 85
",Г 85,"Пороговый уровень диастолического АД (мм рт.ст.) для диагностики АГ по данным АД в домашних условиях (ESC, 2018) равен В 80 .
Обоснование: Согласно рекомендациям Общества европейских кардиологов (ESC) 2018 года, пороговый уровень диастолического артериального давления для диагностики артериальной гипертензии по данным измерений в домашних условиях составляет 80 мм рт.ст. Это означает, что если у пациента при домашнем мониторинге диастолическое давление достигает 80 мм рт.ст., то это может свидетельствовать о наличии артериальной гипертензии.",-1
