Вопрос,Ответ,YaGPT-3 PRO,Результат
31,"СИМПТОМЫ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ОТМЕЧАЮТСЯ В ПОКОЕ И РЕЗКО ВОЗРАСТАЮТ ПРИ МИНИМАЛЬНОЙ ФИЗИЧЕСКОЙ АКТИВНОСТИ ПРИ ___ ФУНКЦИОНАЛЬНОМ КЛАССЕ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А IV
Б I
В III
Г II",А IV ,"А (IV). При IV функциональном классе хронической сердечной недостаточности симптомы сердечной недостаточности отмечаются в покое и резко возрастают при минимальной физической активности. Это указывает на тяжелую степень сердечной недостаточности, когда сердце не способно адекватно перекачивать кровь даже при минимальных нагрузках.",1
32,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ
А пороках со сбросом крови справа-налево
Б тромбоэмболии легочной артерии
В пороках со сбросом крови слева-направо
Г хронической обструктивной болезни легких",Б тромбоэмболии легочной артерии,"Правильный ответ - Б, то есть тромбоэмболия легочной артерии. Перфузионная сцинтиграфия легких является наиболее информативным методом диагностики тромбоэмболии легочной артерии, поскольку позволяет визуализировать участки легких с нарушенным кровотоком из-за тромбов в артериях. Это делает ее идеальным выбором для диагностики данного состояния.",1
33,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ 426-550 М СООТВЕТСТВУЕТ _____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А II
Б III
В IV
Г I",Г I ,"Правильный ответ - А II. Это обосновывается тем, что дистанция шестиминутной ходьбы в диапазоне от 426 до 550 метров соответствует I функциональному классу хронической сердечной недостаточности.",1
34,"ПРИ ПРОВЕДЕНИИ ВЕЛОЭРГОМЕТРИИ КРИТЕРИЕМ ПОЛОЖИТЕЛЬНОЙ ПРОБЫ В ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ЯВЛЯЕТСЯ
А горизонтальная элевация сегмента ST менее 1,0 мм
Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g
В появление признаков АВ блокады
Г при появлении частых (1:10) экстрасистол и другие нарушения возбудимости миокарда","Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g ","Правильный ответ - Б. Горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g. Это связано с тем, что именно такие изменения на ЭКГ являются наиболее специфичными для ишемии миокарда, вызванной ограничением коронарного кровотока.",1
35,"ПРИСТУПЫ СТЕНОКАРДИИ ВОЗНИКАЮТ ПРИ МЕДЛЕННОЙ ХОДЬБЕ ПО РОВНОМУ МЕСТУ ПРИ ________ СТЕНОКАРДИИ
А II и III классах
Б III и IV классах
В I функциональном классе
Г II функциональном классе",Б III и IV классах,"Правильный ответ - Б, то есть приступы стенокардии возникают при медленной ходьбе по ровному месту при III и IV функциональных классах стенокардии. Это связано с тем, что III и IV функциональные классы характеризуются значительным ограничением физической активности, когда приступы стенокардии могут возникать при выполнении повседневных действий, таких как медленная ходьба на короткие расстояния или подъем на один лестничный пролет.",1
36,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ ХАРАКТЕРНА ДЛЯ
А расслоения аорты
Б стабильной стенокардии
В спонтанного пневмоторакса
Г тромбоэмболии легочной артерии",А расслоения аорты,"А расслоения аорты
Обоснование:
Иррадиация болевых ощущений в спину характерна для расслоения аорты, так как это состояние связано с повреждением стенки аорты, что может вызывать боль, которая распространяется вдоль позвоночника.",1
37,"В ПРОГРАММУ ФИЗИЧЕСКОЙ РЕАБИЛИТАЦИИ БОЛЬНЫХ ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА II ФУНКЦИОНАЛЬНОГО КЛАССА ВКЛЮЧЕНА
А ходьба в среднем темпе
Б гипоксическая тренировка
В спортивные упражнения
Г тренировка на максимальном значении частоты сердечных сокращений",А ходьба в среднем темпе ,"Правильный ответ - А ходьба в среднем темпе. Это обосновывается тем, что для больных ишемической болезнью сердца II функционального класса рекомендованы умеренные физические нагрузки, которые не вызывают значительного напряжения и не провоцируют приступы стенокардии. Ходьба в среднем темпе соответствует этим требованиям, так как она позволяет поддерживать физическую активность без чрезмерного увеличения частоты сердечных сокращений и артериального давления. Гипоксическая тренировка, спортивные упражнения и тренировка на максимальном значении частоты сердечных сокращений не подходят для данной категории пациентов, поскольку могут вызвать нежелательные реакции со стороны сердечно-сосудистой системы.",1
38,"ДЛИТЕЛЬНЫЙ ПОКОЙ БОЛЬНОГО С ИНФАРКТОМ МИОКАРДА МОЖЕТ ПРИВЕСТИ К
А артериальной гипертензии
Б тахикардии
В развитию коронарных коллатералей
Г  тромбоэмболическим осложнениям",Г  тромбоэмболическим осложнениям,"Правильный ответ - Г (тромбоэмболическим осложнениям).
Длительный покой больного с инфарктом миокарда может привести к тромбоэмболическим осложнениям. Это связано с тем, что при длительном покое снижается скорость кровотока, что способствует образованию тромбов. Тромбы могут отрываться и перемещаться по кровеносным сосудам, вызывая тромбоэмболию. Это опасное состояние, которое может привести к нарушению кровоснабжения различных органов и тканей, в том числе жизненно важных.
Артериальная гипертензия, тахикардия и развитие коронарных коллатералей также могут быть последствиями инфаркта миокарда, но они не связаны напрямую с длительным покоем больного.",1
39,"ТРЕТИЙ ЭТАП КАРДИОРЕАБИЛИТАЦИИ ДЛИТСЯ ДО
А 3-4 дней или до стабилизации состояния пациента
Б 2 лет
В 6-13 недель после острого коронарного события
Г 1-2 месяцев",В 6-13 недель после острого коронарного события,"Правильный ответ - В, 6-13 недель после острого коронарного события. Это обосновано тем, что третий этап кардиореабилитации направлен на активное восстановление и адаптацию пациента к повседневной жизни, что требует времени для достижения стабильного состояния и улучшения функциональных возможностей.",1
40,"ТРАНСПОРТНОЙ ФОРМОЙ ЭКЗОГЕННЫХ ТРИГЛИЦЕРИДОВ ЯВЛЯЮТСЯ
А ЛПВП
Б хиломикроны
В ЛПОНП
Г ЛПНП",Б хиломикроны,"Правильный ответ - Б, хиломикроны. Хиломикроны являются основной транспортной формой экзогенных триглицеридов, то есть тех, которые поступают в организм с пищей. Они образуются в клетках кишечника и переносят триглицериды из кишечника в кровь и далее к органам и тканям.",1
