Вопрос,Ответ,YaGPT,Результат
18,"ДИЛАТАЦИОННАЯ КАРДИОМИОПАТИЯ ХАРАКТЕРИЗУЕТСЯ ДИЛАТАЦИЕЙ ЛЕВОГО ЖЕЛУДОЧКА СО СНИЖЕНИЕМ ЕГО СОКРАТИТЕЛЬНОЙ СПОСОБНОСТИ:        
А резвившейся после перенесенного инфаркта миокарда
Б при отсутствии инфарктов миокарда в анамнезе
В не вызванной ишемией или патологией клапанов сердца
Г вне зависимости от вызвавшей ее причины

",В не вызванной ишемией или патологией клапанов сердца,"Правильный ответ — Б: «при отсутствии инфарктов миокарда в анамнезе».
Дилатационная кардиомиопатия характеризуется дилатацией левого желудочка и снижением его сократительной способности, но это не всегда связано с инфарктом миокарда.",-1
19,"КАРДИОМИОПАТИЯ ТАКОЦУБО ХАРАКТЕРИЗУЕТСЯ:        
А необратимой систолической дисфункцией
Б диастолической дисфункцией
В преходящей дисфункцией миокарда
Г отсутствием дисфункции миокарда

",В преходящей дисфункцией миокарда,"Правильный ответ — В: «преходящей дисфункцией миокарда».
Кардиомиопатия такоцубо характеризуется преходящей острой сердечной недостаточностью, которая сопровождается расширением верхушки левого желудочка.",1
20,"ПРИ НАЛИЧИИ НА ЭХОКАРДИОГРАФИИ АСИММЕТРИЧНОЙ ГИПЕРТРОФИИ МЕЖЖЕЛУДОЧКОВОЙ ПЕРЕГОРОДКИ С ТОЛЩИНОЙ СТЕНКИ БОЛЕЕ 1,5 СМ МОЖНО ПРЕДПОЛОЖИТЬ:        
А артериальную гипертензию
Б гипертрофическую кардиомиопатию
В аортальный стеноз
Г дилатационную кардиомиопатию",Б гипертрофическую кардиомиопатию,"Правильный ответ — Б: гипертрофическая кардиомиопатия.
При наличии асимметричной гипертрофии межжелудочковой перегородки с толщиной стенки более 1,5 см можно предположить гипертрофическую кардиомиопатию, так как это заболевание характеризуется массивным утолщением одного или нескольких участков стенки желудочка, и толщина межжелудочковой перегородки в норме не должна превышать 1 см.",1
21,"ПО ДАННЫМ ЭХОКАРДИОГРАФИИ ПРИЗНАКОМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ:        
А вегетация на клапанах
Б наличие систолической дисфункции
В наличие диастолической дисфункции
Г высокое давление наполнения левого желудочка

",А вегетация на клапанах,"По данным эхокардиографии признаком инфекционного эндокардита является:
А) Вегетация на клапанах.
Вегетации — это патологические образования на клапанах сердца, которые возникают при инфекционном эндокардите. Они представляют собой скопления бактерий, тромбоцитов и фибрина, которые прикрепляются к эндокарду или створке клапана. Вегетации могут вызывать различные нарушения функции клапанов, включая регургитацию крови, стеноз отверстий клапанов и перфорацию створок.",1
22,"ДИАГНОЗ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ВЕРИФИЦИРОВАН ПРИ НАЛИЧИИ ___________ КРИТЕРИЕВ:        
А 4 малых
Б 1 большого и 1 малого
В 5 малых
Г 1 большого и 2 малых

",В 5 малых,"Правильный ответ — В: 5 малых критериев.
Диагноз инфекционного эндокардита считается установленным, если присутствуют 5 малых критериев. Это связано с тем, что малые критерии являются наиболее чувствительными и специфичными для выявления инфекционного эндокардита, и их наличие позволяет с высокой вероятностью подтвердить диагноз.",1
23,"У БОЛЬНЫХ ИНФЕКЦИОННЫМ ЭНДОКАРДИТОМ В РЕЗУЛЬТАТЕ ЭМБОЛИИ МЕЛКИХ АРТЕРИЙ КРОВОИЗЛИЯНИЯМИ В СЕТЧАТКУ ЯВЛЯЮТСЯ ПЯТНА:        
А Рота
Б Ослера
В Лукина-Либмана
Г Джейнуэя

",А Рота,У больных инфекционным эндокардитом в результате эмболии мелких артерий кровоизлияниями в сетчатку возникают пятна Рота.,1
24,"ПРИ ГИПЕРТОНИЧЕСКОМ КРИЗЕ НА ФОНЕ ФЕОХРОМОЦИТОМЫ НАЗНАЧАЮТ:        
А внутривенное введение 1,0 мл эналаприлата раствора 1,25% в 50 мл физраствора
Б бета-адреноблокаторы (пропранолол 40 мг) сублингвально, затем переходят на пероральный прием (атенолол 100 мг)
В фентоламин (2-4 мг каждые 5-10 мин.) или нитропруссид натрия до купирования криза или урапидил 0,5% 5 мл внутривенно струйно, затем пероральный прием альфа-блокаторов
Г внутривенное введение бета-адреноблокаторов (обзидан 5-10 мг)

","В фентоламин (2-4 мг каждые 5-10 мин.) или нитропруссид натрия до купирования криза или урапидил 0,5% 5 мл внутривенно струйно, затем пероральный прием альфа-блокаторов","Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
25,"ЭФФЕКТИВНЫМИ ГИПОТЕНЗИВНЫМИ СРЕДСТВАМИ ПРИ МОНОТЕРАПИИ, НЕ ОКАЗЫВАЮЩИМИ ОТРИЦАТЕЛЬНОГО ВЛИЯНИЯ НА СЕРДЕЧНО-СОСУДИСТЫЕ РИСКИ, ЯВЛЯЮТСЯ:        
А бета-адреноблокаторы
Б мочегонные препараты
В антагонисты кальция
Г препараты центрального действия

",В антагонисты кальция,"Эффективными гипотензивными средствами при монотерапии, не оказывающими отрицательного влияния на сердечно-сосудистые риски, являются антагонисты кальция. Они действуют через снижение активности адреналина, который повышает давление, частоту и силу сердечных сокращений.",1
26,"ПО ДАННЫМ ЭКГ: УГОЛ а = +5°, ЗУБЕЦ R1=20 мм, ЗУБЕЦ R aVL=16 мм, ЗУБЕЦ R V6=27 мм, ЗУБЕЦ S III=8 мм, ЗУБЕЦ Т V1 БОЛЬШЕ ЗУБЦА Т V6, ПРОДОЛЖИТЕЛЬНОСТЬ КОМПЛЕКСА QRS=0,11 сек МОЖНО СДЕЛАТЬ ЗАКЛЮЧЕНИЕ:        
А гипертрофия правого желудочка
Б вариант нормы
В полная блокада левой ножки пучка Гиса
Г гипертрофия левого желудочка

",Г гипертрофия левого желудочка,"На основании предоставленных данных можно сделать заключение о варианте нормы.
Зубец R1 (20 мм) и зубец R в отведении aVL (16 мм) имеют нормальную амплитуду и соотношение, что указывает на отсутствие гипертрофии желудочков. Зубец R в отведении V6 (27 мм) также находится в пределах нормы. Зубец S в отведении III (8 мм) имеет небольшую амплитуду, что может свидетельствовать о нормальном размере левого желудочка. Зубец Т в отведении V1 больше зубца Т в отведении V6, что указывает на нормальное направление реполяризации. Продолжительность комплекса QRS (0,11 сек) также находится в пределах нормы (0,06–0,1 сек).",-1
27,"ПРИ НАЛИЧИИ БРАДИКАРДИИ У БОЛЬНЫХ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ НАИБОЛЕЕ БЕЗОПАСНЫМ ЯВЛЯЕТСЯ:        
А амлодипин
Б верапамил
В пропранолол
Г атенолол

",А амлодипин,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
28,"СИЛОВЫЕ УПРАЖНЕНИЯ НЕОБХОДИМО ПОДКЛЮЧАТЬ У БОЛЬНЫХ ИНФАРКТОМ МИОКАРДА НЕ РАНЕЕ ЧЕМ ЧЕРЕЗ _____НЕДЕЛИ/НЕДЕЛЬ ПОСЛЕ НАЧАЛА ЗАБОЛЕВАНИЯ:        
А 2-3
Б 8-9
В 6-7
Г 4-5

",А 2-3,"Ответ: В (6–7 недель).
Обоснование: Согласно рекомендациям Европейского общества кардиологов, силовые упражнения следует подключать у больных инфарктом миокарда не ранее чем через 6–7 недель после начала заболевания. Это связано с тем, что в этот период завершается процесс заживления сердечной мышцы и снижается риск возникновения аритмий и других осложнений.",-1
29,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С ПРОМЕЖУТОЧНЫМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ:        
А неосложненный инфаркт миокарда
Б отсутствие патологической симптоматики в покое
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г остановка сердца в анамнезе

",А неосложненный инфаркт миокарда,"Критерием для определения промежуточного риска осложнений у кардиологических больных является наличие выраженного нарушения насосной функции миокарда (фракция выброса менее 30%). Это связано с тем, что такое состояние указывает на серьёзное повреждение сердечной мышцы и повышает вероятность развития осложнений, таких как сердечная недостаточность и аритмии.",-1
30,"НА ЗАНЯТИЯХ ЛЕЧЕБНОЙ ФИЗКУЛЬТУРОЙ КАРДИОЛОГИЧЕСКИМ БОЛЬНЫМ СЛЕДУЕТ ДАВАТЬ УПРАЖНЕНИЯ НА:        
А ловкость
Б выносливость
В гибкость
Г увеличение мышечной массы

",Б выносливость,"Правильный ответ — Б (выносливость).
Занятия лечебной физкультурой направлены на улучшение работы сердечно-сосудистой системы и предотвращение развития сердечно-сосудистых заболеваний. Поэтому кардиологическим больным следует давать упражнения на выносливость, чтобы укрепить сердечную мышцу и повысить её сократительную способность.",1
31,"ПРИ ПРОВЕДЕНИИ ПРОБ С ДОЗИРОВАННОЙ ФИЗИЧЕСКОЙ НАГРУЗКОЙ РАСЧЕТНАЯ ВЕЛИЧИНА ЧАСТОТЫ СЕРДЕЧНЫХ СОКРАЩЕНИЙ, СООТВЕТСТВУЮЩАЯ СУБМАКСИМАЛЬНОМУ УРОВНЮ НАГРУЗКИ:        
А уменьшается с возрастом пациента
Б увеличивается с возрастом пациента
В не зависит от возраста пациента
Г зависит от исходного уровня ЧСС

",А уменьшается с возрастом пациента,"Правильный ответ — В (не зависит от возраста пациента).
Субмаксимальный уровень нагрузки соответствует частоте сердечных сокращений (ЧСС) примерно 75–85 % от максимальной ЧСС для данного возраста. Максимальная ЧСС рассчитывается по формуле: 220 минус возраст в годах. Таким образом, субмаксимальная ЧСС не зависит от возраста пациента и остаётся постоянной.",-1
32,"ПОД КОНЕЧНОЙ ЧАСТЬЮ ЖЕЛУДОЧКОВОГО КОМПЛЕКСА ПОНИМАЮТ:       
А двухфазный или отрицательный зубец R
Б сегмент ST и зубец Т
В отрицательный зубец Р
Г зубец S комплекса QRS

",Б сегмент ST и зубец Т,"Правильный ответ — Б (сегмент ST и зубец Т).
Сегмент ST и зубец T являются частью конечной части желудочкового комплекса и отражают процесс реполяризации желудочков сердца.",1
33,"ДВОЙНОЕ ПРОИЗВЕДЕНИЕ – ПОКАЗАТЕЛЬ, В ОПРЕДЕЛЕННОЙ СТЕПЕНИ ОТРАЖАЮЩИЙ ПОТРЕБНОСТЬ МИОКАРДА В КИСЛОРОДЕ, ПРЕДСТАВЛЯЕТ ПРОИЗВЕДЕНИЕ ЧАСТОТЫ СЕРДЕЧНЫХ СОКРАЩЕНИЙ НА:        
А систолическое артериальное давление
Б среднее артериальное давление
В на давление заклинивания легочных капилляров
Г динамическое диастолическое артериальное давление

",А систолическое артериальное давление,"Двойное произведение — это показатель, который отражает потребность миокарда в кислороде. Он представляет собой произведение частоты сердечных сокращений на среднее артериальное давление. Этот показатель был предложен советским физиологом Фольгардом в 1901 году.",-1
34,"КОРОНАРОГРАФИЯ ПРОВОДИТСЯ В:        
А рентгеновском кабинете
Б рентгеноперационной
В кардиохирургической операционной
Г перевязочном кабинете

",Б рентгеноперационной,"Коронарография проводится в рентгенооперационной, потому что это специализированное помещение для проведения рентгенографических исследований, оборудованное ангиографом — аппаратом для выполнения коронарографии.",1
35,"СИСТОЛИЧЕСКОЕ АРТЕРИАЛЬНОЕ ДАВЛЕНИЕ В ЛЕВОМ ПРЕДСЕРДИИ В НОРМЕ СОСТАВЛЯЕТ (В ММ РТ. СТ.):        
А12-14
Б 20-25
В 8-10
Г 4-5


",В 8-10,"Правильный ответ — В (8–10 мм рт. ст.). Систолическое артериальное давление в левом предсердии в норме составляет 8–10 мм рт. ст. Это связано с тем, что левое предсердие получает кровь из лёгочной артерии, где давление обычно составляет 8–12 мм рт. ст.",1
36,"ДВУХКАМЕРНЫЙ ПРАВЫЙ ЖЕЛУДОЧЕК ХАРАКТЕРИЗУЕТСЯ ОБСТРУКЦИЕЙ ОТТОКА ИЗ ПРАВОГО ЖЕЛУДОЧКА В РЕЗУЛЬТАТЕ НАЛИЧИЯ:
А гипоплазии приточного отдела правого желудочка
Б стеноза клапана легочной артерии и гипертрофии миокарда
В гипоплазии выводного отдела правого желудочка
Г аномальной мышцы
","Г аномальной мышцы
","Б — стеноза клапана лёгочной артерии и гипертрофии миокарда — является правильным ответом.
Стеноз клапана лёгочной артерии приводит к обструкции оттока из правого желудочка, вызывая гипертрофию миокарда правого желудочка.",-1
37,"ПОКАЗАНИЕМ ДЛЯ МЕДИКАМЕНТОЗНОГО ЛЕЧЕНИЯ У БОЛЬНЫХ МИТРАЛЬНЫМ СТЕНОЗОМ ЯВЛЯЕТСЯ:
А митральный стеноз, осложнённый правожелудочковой недостаточностью и тяжёлой трикуспидальной недостаточностью
Б тяжёлый митральный стеноз с выраженной лёгочной гипертензией
В площадь атриовентрикулярного отверстия 1,2 см2 с наличием симптомов
Г умеренный митральный стеноз без выраженных признаков правожелудочковой недостаточности
",Г умеренный митральный стеноз без выраженных признаков правожелудочковой недостаточности,"Показанием для медикаментозного лечения у больных митральным стенозом является:
В. Площадь атриовентрикулярного отверстия 1,2 см² с наличием симптомов.
Это связано с тем, что при данной площади отверстия и наличии симптомов медикаментозная терапия может улучшить состояние пациента и предотвратить развитие осложнений.",-1
38,"ОБЩЕЕ КОЛИЧЕСТВО ЖИДКОСТИ В РАЦИОНЕ БОЛЬНЫХ РЕВМАТИЗМОМ В ОСТРОМ ПЕРИОДЕ БОЛЕЗНИ СОСТАВЛЯЕТ В СУТКИ (В ЛИТРАХ):
А 1
Б 2
В 2,5
Г 1,5
",А 1,"Общее количество жидкости в рационе больных ревматизмом в остром периоде болезни составляет в сутки (в литрах):
В. 2,5 литра.
В остром периоде болезни у пациентов наблюдается задержка натрия и жидкости в тканях, поэтому им рекомендуется сократить приём свободной жидкости до 1 литра. Пищу следует готовить без добавления соли, а в готовые блюда можно добавлять не более 5 граммов соли.",-1
39,"ПРИ ВНУТРИВЕННОМ ВВЕДЕНИИ НОВОКАИНАМИДА С ЦЕЛЬЮ КУПИРОВАНИЯ ПАРОКСИЗМА ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ПОВОДОМ ДЛЯ ПРЕКРАЩЕНИЯ ВВЕДЕНИЯ ЯВЛЯЕТСЯ:
А развитие гипертензии; замедление частоты сокращений желудочков; переход фибрилляции предсердий в трепетание
Б расширение комплекса QRS на 40% от исходной величины; переход фибрилляции предсердий в трепетание
В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии
Г расширение комплекса QRS на 20% от исходной величины и развитие гипертензии
",В расширение комплекса QRS на 30% от исходной величины и развитие гипотензии,"Правильный ответ — В: расширение комплекса QRS на 30% от исходной величины и развитие гипотензии.
Новокаинамид может вызывать расширение комплекса QRS и снижение частоты сердечных сокращений, что может привести к гипотензии. Если эти побочные эффекты становятся серьёзными, введение препарата следует прекратить.",1
40,"ВЫПОЛНЕНИЕ КАРДИОВЕРСИИ ПРИ ПАРОКСИЗМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ВОЗМОЖНО БЕЗ ПРОВЕДЕНИЯ ЧПЭХО ПРИ ВРЕМЕННОМ ИНТЕРВАЛЕ ОТ НАЧАЛА ПАРОКСИЗМА (В ЧАСАХ):
А не более 24
Б не более 12
В не более 72
Г 48
",Г 48,"Выполнение кардиоверсии при пароксизме фибрилляции предсердий возможно без проведения ЧПЭхо при временном интервале от начала пароксизма:
А) не более 24 часов.
Обоснование: электрическая кардиоверсия наиболее эффективна и безопасна при длительности пароксизма фибрилляции предсердий менее 24 часов.",-1
41,"ПРИ СИНДРОМЕ WPW C ПАРОКСИЗМОМ ФИБРИЛЛЯЦИЙ ПРЕДСЕРДИЙ С ЧАСТОТОЙ СЕРДЕЧНЫХ СОКРАЩЕНИЙ 250 В 1 МИНУТУ И АД 80/50 ММ РТ.СТ. НЕОБХОДИМО ВЫПОЛНИТЬ:
А введение новокаинамида
Б введение 10 мг изоптина
В электроимпульсную терапию
Г введение 50 мг аймалина
",В электроимпульсную терапию,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
42,"ДЛЯ ПОЛНОЙ АТРИОВЕНТРИКУЛЯРНОЙ БЛОКАДЫ ХАРАКТЕРНЫМ ЯВЛЯЕТСЯ:
А атриовентрикулярная диссоциация
Б удлинение интервала QT
В удлинение интервала PQ
Г расширенный комплекс QRS
",А атриовентрикулярная диссоциация,"Правильный ответ — «В» (удлинение интервала PQ).
Полная атриовентрикулярная блокада возникает при полном прекращении передачи импульсов возбуждения из предсердий в желудочки сердца. В этом случае предсердия сокращаются в своём более частом ритме под влиянием импульсов из синусового узла, а желудочки сокращаются в более редком ритме под действием импульсов из автоматических центров второго или третьего порядка (атриовентрикулярная диссоциация).",-1
43,"РИТМ СЕРДЦА СЧИТАЕТСЯ ПРАВИЛЬНЫМ, ЕСЛИ:
А расстояния R-R между всеми циклами равны
Б расстояния R-R между всеми циклами постепенно уменьшается и затем постепенно увеличивается
В перед каждым комплексом QRS имеется зубец Р
Г все комплексы QRS не уширены
",А расстояния R-R между всеми циклами равны,"Правильный ответ — А (расстояния R-R между всеми циклами равны).
Правильный ритм сердца характеризуется одинаковыми расстояниями R-R между всеми циклами, что указывает на равномерное проведение электрических импульсов через проводящую систему сердца и стабильную работу синусового узла.",1
44,"ДЕФИЦИТ ПУЛЬСА ХАРАКТЕРЕН ДЛЯ:
А брадикардии
Б атрио-вентрикулярной блокады 1 степени
В фибрилляции предсердий
Г полной атрио-вентрикулярной блокады
",В фибрилляции предсердий,"Дефицит пульса характерен для полной атриовентрикулярной блокады (Г).
При полной атриовентрикулярной блокаде нарушается проведение импульсов от предсердий к желудочкам, что приводит к замедлению частоты сердечных сокращений и возникновению дефицита пульса.",-1
45,"ТИПИЧНОЕ ТРЕПЕТАНИЕ ПРЕДСЕРДИЙ РАЗВИВАЕТСЯ ПО МЕХАНИЗМУ:
А макро-реентри
Б триггерному
В повышенному автоматизм
Г микро-реентри
",А макро-реентри,Типичное трепетание предсердий развивается по механизму макро-реентри с циркулярным распространением электрического волнового фронта в правом предсердии вокруг кольца трёхстворчатого клапана.,1
46,"80% ОБЩЕГО КОЛИЧЕСТВА ИММУНОКОМПЕТЕНТНЫХ КЛЕТОК В АТЕРОСКЛЕРОТИЧЕСКОЙ БЛЯШКЕ ПРЕДСТАВЛЕНО:
А эозинофилами
Б лейкоцитами
В лимфоцитами
Г макрофагами
",Г макрофагами,"Правильный ответ — макрофагами (Г).
В исследовании «Иммунологический анализ атеросклеротических бляшек человека в системе культивирования ex vivo» было обнаружено, что в атеросклеротических бляшках человека преобладают макрофаги (80 % общего количества иммунокомпетентных клеток).",1
47,"ПРИ ДИСЛИПИДЕМИИ III ТИПА В КРОВИ РЕЗКО ПОВЫШЕН УРОВЕНЬ:
А хиломикронов
Б ЛПНП
В ЛППП
Г ЛПОНП
",В ЛППП,"При дислипидемии III типа в крови резко повышен уровень ЛППП (липопротеидов промежуточной плотности). Это связано с наследственным дефектом белка апоЕ, который приводит к нарушению связывания ЛППП с рецепторами на поверхности клеток.",1
