Вопрос,Ответ,YaGPT,Результат
10,"ПОЗДНИЙ ПРОТЕЗНЫЙ ИНФЕКЦИОННЫЙ ЭНДОКАРДИТ РАЗВИВАЕТСЯ ПОСЛЕ ___ МЕСЯЦЕВ ПОСЛЕ ОПЕРАЦИИ НА КЛАПАНАХ
А 6
Б 9
В12
Г 3",В 12,"Поздний протезный инфекционный эндокардит развивается после 9 месяцев после операции на клапанах.
Объяснение:
Поздний протезный инфекционный эндокардит чаще всего вызывается коагулазонегативными стрептококками, которые устойчивы к большинству антибиотиков. Эти бактерии начинают активно размножаться через 9 месяцев после операции, когда защитные механизмы организма ослабевают.",-1
11,"В РОССИИ ОСНОВНЫМИ ПРИЧИНАМИ СМЕРТИ ЯВЛЯЮТСЯ
А новообразования, заболевания ЖКТ, патология опорно-двигательного аппарата
Б болезни органов дыхания, внешние причины, заболевания ЖКТ
В болезни системы кровообращения, инфекционные заболевания, болезни органов дыхания
Г болезни системы кровообращения, новообразования, внешние причины","Г болезни системы кровообращения, новообразования, внешние причины ","Правильный ответ — вариант В: болезни системы кровообращения, инфекционные заболевания, болезни органов дыхания.
Согласно данным Росстата, опубликованным в декабре 2022 года, основными причинами смерти в России в 2022 году стали болезни системы кровообращения, на которые пришлось 49,1 % всех смертей, инфекционные заболевания (7,9 %) и болезни органов дыхания (5,8 %).",-1
12,"ЕСЛИ ГРАЖДАНИН СТРАДАЕТ ЗАБОЛЕВАНИЕМ, ПРЕДСТАВЛЯЮЩИМ ОПАСНОСТЬ ДЛЯ ОКРУЖАЮЩИХ, ТО МЕДИЦИНСКОЕ ВМЕШАТЕЛЬСТВО ДОПУСКАЕТСЯ
А без согласия гражданина
Б по приказу главного врача
В с устного согласия гражданина или родственников
Г по письменному согласию гражданина или его законного представителя",А без согласия гражданина,"Правильный ответ — Г: по письменному согласию гражданина или его законного представителя.
В соответствии со статьёй 19 Федерального закона «Об основах охраны здоровья граждан в Российской Федерации», медицинское вмешательство без согласия гражданина допускается только в случаях, предусмотренных пунктом 6 этой статьи, то есть при оказании паллиативной медицинской помощи, если состояние гражданина не позволяет выразить ему свою волю и отсутствует законный представитель.",-1
13,"БАЗОВАЯ ПРОГРАММА ОМС
А включает программу государственных гарантий
Б является частью программы государственных гарантий
В является частью территориальной программы государственных гарантий
Г включает территориальную программу государственных гарантий",Б является частью программы государственных гарантий,Ответ: Б. Базовая программа ОМС является частью программы государственных гарантий.,1
14,"В ОСНОВЕ ПАТОГЕНЕЗА ИСТИННОГО КАРДИОГЕННОГО ШОКА ПРИ ИНФАРКТЕ МИОКАРДА ЛЕЖИТ
А гиповолемия
Б резкое снижение сократительной функции левого желудочка
В стрессовая реакция на боль
Г артериальная гипотония",Б резкое снижение сократительной функции левого желудочка,"Б. В основе патогенеза истинного кардиогенного шока при инфаркте миокарда лежит резкое снижение сократительной функции левого желудочка. Это приводит к уменьшению минутного выброса и недостаточности кровообращения, что вызывает симптомы шока.",1
15,"ПОЗДНИЕ РАЗРЫВЫ СВОБОДНОЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ПРИ ОСТРОМ ИНФАРКТЕ МИОКАРДА НАИБОЛЕЕ ЧАСТО РАЗВИВАЮТСЯ
А через 2-3 месяца от развития инфаркта миокарда
Б на 5-7 сутки от развития инфаркта миокарда
В через год после перенесенного инфаркта миокарда
Г на 20-30 сутки от развития инфаркта миокарда",Б на 5-7 сутки от развития инфаркта миокарда ,"Поздние разрывы свободной стенки левого желудочка наиболее часто развиваются на 20–30-е сутки от развития инфаркта миокарда (ответ под буквой Г).
Это связано с тем, что на этом этапе происходит истончение некротизированного участка стенки левого желудочка, что повышает риск разрыва.",-1
16,"К ХАРАКТЕРНЫМ ЭКГ-ПРИЗНАКАМ ДЛЯ ОСТРОЙ СТАДИИ СУБЭНДОКАРДИАЛЬНОГО ИНФАРКТА МИОКАРДА ОТНОСЯТ __________ В ОТВЕДЕНИЯХ ОТ ОБЛАСТИ ПОРАЖЕНИЯ
А высокие зубцы Т
Б подъем сегмента ST
В депрессию сегмента ST
Г патологические зубцы Q Т",В депрессию сегмента ST ,"Характерными ЭКГ-признаками для острой стадии субэндокардиального инфаркта миокарда являются:
Б подъём сегмента ST
В острейшей стадии инфаркта миокарда (ишемической) в отведениях от области поражения появляются «коронарные» зубцы Т, которые характеризуют эту стадию. Однако в современных классификациях инфаркта миокарда острейшая стадия не выделяется, так как изменения зубца Т часто носят неспецифический характер и должны оцениваться осторожно с учётом клинико-лабораторных данных и динамики изменений.",-1
17,"ПОКАЗАНИЕМ ДЛЯ НАЗНАЧЕНИЯ КЛОПИДОГРЕЛЯ ЯВЛЯЕТСЯ ТРОМБОЗ
А кавернозного синуса
Б глубоких вен нижних конечностей
В коронарной артерии
Г ушка левого предсердия на фоне затянувшегося пароксизма мерцательной аритмии",В коронарной артерии ,"Правильный ответ — В (коронарная артерия). Клопидогрел назначают для предотвращения атеротромбоза при поражениях коронарных артерий, включая инфаркт миокарда и ишемический инсульт.",1
18,"К НАИБОЛЕЕ ЧАСТЫМ ОСЛОЖНЕНИЯМ, КОТОРЫЕ ВОЗНИКАЮТ ПРИ ПРИМЕНЕНИИ СТЕНТОВ БЕЗ ЛЕКАРСТВЕННОГО ПОКРЫТИЯ, ОТНОСЯТ
А различные аллергические реакции
Б синдром реперфузиии миокарда
В синдром слабости синусового узла
Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии",Г рестеноз (инстентстенозы) и поздние тромбозы коронарных артерии ,"Г — рестеноз (интентстенозы) и поздние тромбозы коронарных артерий — это наиболее частые осложнения, возникающие при применении стентов без лекарственного покрытия.
Это связано с тем, что такие стенты не имеют защитного покрытия, которое могло бы предотвратить образование тромбов и рестенозов в коронарных артериях.",1
19,"ИНФАРКТ ПО РАСПРОСТРАНЕННОСТИ БЫВАЕТ
А белый с геморрагическим венчиком
Б микроскопический
В крупноочаговый
Г красный",В крупноочаговый ,"Правильный ответ — А: «белый с геморрагическим венчиком».
Инфаркт миокарда имеет характерный вид: светлый участок некроза с красноватым венчиком по периферии. Это связано с тем, что в начале развития инфаркта происходит спазм сосудов, затем их закупорка тромбом, после чего сосуды расширяются, что приводит к появлению красного венчика.",-1
20,"ПРИ СИНДРОМЕ WPW C ПАРОКСИЗМОМ ФИБРИЛЛЯЦИЙ ПРЕДСЕРДИЙ С ЧАСТОТОЙ СЕРДЕЧНЫХ СОКРАЩЕНИЙ 250 В 1 МИНУТУ И АД 80/50 ММ РТ.СТ. НЕОБХОДИМО ВЫПОЛНИТЬ
А введение 50 мг аймалина
Б введение новокаинамида
В электроимпульсную терапию
Г введение 10 мг изоптина",В электроимпульсную терапию,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
21,"ВНУТРИВЕННОЕ ВВЕДЕНИЕ ХЛОРИДА КАЛИЯ СПОСОБНО ВЫЗВАТЬ
А экстасистолию
Б гипертензию
В остановку сердца
Г гипотензию",В остановку сердца ,"Внутривенное введение хлорида калия может вызвать остановку сердца (В). Это связано с тем, что ионы калия вызывают урежение частоты сердечных сокращений, снижают сократительную активность, уменьшают проводимость, автоматизм и возбудимость миокарда. В малых дозах K+ расширяет коронарные сосуды, в больших — сужает.",1
22,"ВЫПОЛНЕНИЕ КАРДИОВЕРСИИ ПРИ ПАРОКСИЗМЕ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ВОЗМОЖНО БЕЗ ПРОВЕДЕНИЯ ЧПЭХО ПРИ ВРЕМЕННОМ ИНТЕРВАЛЕ ОТ НАЧАЛА ПАРОКСИЗМА (В ЧАСАХ)
А 48
Б не более 24
В не более 72
Г не более 12",А 48,"Правильный ответ — В (не более 72 часов).
Электрическая кардиоверсия наиболее эффективна при длительности пароксизма фибрилляции предсердий не более 72 часов. Это связано с тем, что при длительном пароксизме возрастает риск образования тромбов в предсердиях, что может привести к развитию инсульта после восстановления синусового ритма.",-1
23,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ СТАТИНОВ ЯВЛЯЕТСЯ
А острый коронарный синдром
Б беременность
В паренхиматозное заболевание печени в анамнезе
Г повышение печеночных трансаминаз в 1,5 раза",Б беременность ,"Правильный ответ — Г: повышение печёночных трансаминаз в 1,5 раза.
Статины противопоказаны при повышении печёночных трансаминаз в 1,5 раза, так как это указывает на возможное повреждение печени.
Копировать
Новый чат
",-1
24,"ТАРГЕТНАЯ ТЕРАПИЯ ГИПЕРЛИПИДЕМИЙ С ИСПОЛЬЗОВАНИЕМ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ ИМЕЕТ МЕСТО ПРИ ПРИЕМЕ
А секвестрантов желчных кислот
Б ингибиторов PCSK9
В статинов
Г фибратов",Б ингибиторов PCSK9 ,Таргетная терапия гиперлипидемий с использованием моноклональных антител происходит при приёме ингибиторов PCSK9 (Б).,1
25,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ МЕТОДОМ НЕМЕДИКАМЕНТОЗНОГО ПОВЫШЕНИЯ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ЯВЛЯЕТСЯ
А употребление продуктов богатых клетчаткой
Б физическая активность
В снижение избыточной массы тела
Г умеренное употребление алкоголя",Б физическая активность,"Наиболее эффективным методом немедикаментозного повышения уровня липопротеидов высокой плотности в крови является физическая активность.
Физическая активность способствует повышению уровня ЛПВП, так как она улучшает метаболизм липидов и снижает уровень триглицеридов в крови. Регулярные физические упражнения также способствуют снижению веса, что также положительно влияет на уровень ЛПВП.",1
26,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ
А возраст
Б сахарный диабет 2 типа
В мужской пол
Г отягощённая наследственность",Б сахарный диабет 2 типа ,"Модифицируемым фактором риска развития атеросклероза является:
Г) отягощённая наследственность.",-1
27,"КОНСТРИКТИВНЫЙ ПЕРИКАРДИТ ХАРАКТЕРИЗУЕТСЯ
А увеличением объема циркулирующей крови
Б понижением уровня венозного давления
В артериальной гипертензией
Г малыми размерами сердца",Г малыми размерами сердца ,"Правильный ответ — Б: понижение уровня венозного давления.
При констриктивном перикардите происходит уплотнение и уменьшение размеров перикарда, что приводит к сдавливанию сердца и мешает нормальному расширению и наполнению желудочков во время диастолы. Это вызывает повышение венозного давления и развитие правожелудочковой недостаточности.",-1
28,"СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ ПРИ ПЕРИКАРДИТАХ ИМЕЕТ ____ ХАРАКТЕР
А диастолический
Б неуточненный
В систолический
Г систоло-диастолический",А диастолический ,"Правильный ответ — систолический характер.
Сердечная недостаточность при перикардитах связана с нарушением насосной функции сердца, что приводит к снижению способности сердца перекачивать кровь. Это может быть связано с проблемами с сердечным клапаном или заболеваниями сердечной мышцы.",-1
29,"ПОЯВЛЕНИЕ ШУМА ТРЕНИЯ ПЕРИКАРДА НА ТРЕТИЙ ДЕНЬ Q ИНФАРКТА МИОКАРДА СВЯЗАНО С
А развитием пневмонии в нижней доле левого легкого
Б синдромом Дресслера
В реактивным эпистенокардитическим перикардитом
Г разрывом межжелудочковой перегородки",В реактивным эпистенокардитическим перикардитом ,"Появление шума трения перикарда на третий день Q инфаркта миокарда связано с синдромом Дресслера. Это аутоиммунное осложнение инфаркта миокарда, которое развивается через 2–6 недель после начала заболевания.",-1
30,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ МЕНЕЕ 150 М СООТВЕТСТВУЕТ ____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А I
Б III
В II
Г IV",Г IV,"Правильный ответ — Г, IV функциональный класс.
Согласно литературному обзору, дистанция шестиминутной ходьбы менее 150 метров соответствует IV функциональному классу хронической сердечной недостаточности. Это связано с тем, что пациенты с IV функциональным классом имеют более тяжёлые симптомы и ограничения в физической активности, чем пациенты с другими функциональными классами.",1
31,"СИМПТОМЫ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ОТМЕЧАЮТСЯ В ПОКОЕ И РЕЗКО ВОЗРАСТАЮТ ПРИ МИНИМАЛЬНОЙ ФИЗИЧЕСКОЙ АКТИВНОСТИ ПРИ ___ ФУНКЦИОНАЛЬНОМ КЛАССЕ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А IV
Б I
В III
Г II",А IV ,"Правильный ответ — Г, II функциональный класс. Симптомы сердечной недостаточности отмечаются в покое и резко возрастают при минимальной физической активности при II функциональном классе хронической сердечной недостаточности. Это связано с тем, что при II функциональном классе у больных уже есть ограничения физической активности, и даже в покое симптомы сердечной недостаточности проявляются.",-1
32,"ПЕРФУЗИОННАЯ СЦИНТИГРАФИЯ ЛЕГКИХ ЯВЛЯЕТСЯ НАИБОЛЕЕ ИНФОРМАТИВНОЙ ПРИ
А пороках со сбросом крови справа-налево
Б тромбоэмболии легочной артерии
В пороках со сбросом крови слева-направо
Г хронической обструктивной болезни легких",Б тромбоэмболии легочной артерии,"Перфузионная сцинтиграфия лёгких наиболее информативна при тромбоэмболии лёгочной артерии, так как этот метод позволяет выявить тромбы даже в мелких ответвлениях артерии.",1
33,"ДИСТАНЦИЯ ШЕСТИМИНУТНОЙ ХОДЬБЫ 426-550 М СООТВЕТСТВУЕТ _____ ФУНКЦИОНАЛЬНОМУ КЛАССУ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ
А II
Б III
В IV
Г I",Г I ,"Правильный ответ — В (IV функциональный класс).
Согласно Национальным рекомендациям ВНОК и ОССН по диагностике и лечению сердечной недостаточности, дистанция шестиминутной ходьбы менее 150 метров соответствует IV функциональному классу хронической сердечной недостаточности.",-1
34,"ПРИ ПРОВЕДЕНИИ ВЕЛОЭРГОМЕТРИИ КРИТЕРИЕМ ПОЛОЖИТЕЛЬНОЙ ПРОБЫ В ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ЯВЛЯЕТСЯ
А горизонтальная элевация сегмента ST менее 1,0 мм
Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g
В появление признаков АВ блокады
Г при появлении частых (1:10) экстрасистол и другие нарушения возбудимости миокарда","Б горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъем на 1,5 мм и более, протяженностью не менее 0,08 с от точки g ","Б. Горизонтальное или косонисходящее смещение сегмента ST на 1,0 мм и более, либо его подъём на 1,5 мм и более, протяжённостью не менее 0,08 с от точки G.
Этот критерий является наиболее точным и специфичным для диагностики ишемической болезни сердца. Он основан на изменениях сегмента ST, которые возникают при ишемии миокарда во время физической нагрузки.",1
35,"ПРИСТУПЫ СТЕНОКАРДИИ ВОЗНИКАЮТ ПРИ МЕДЛЕННОЙ ХОДЬБЕ ПО РОВНОМУ МЕСТУ ПРИ ________ СТЕНОКАРДИИ
А II и III классах
Б III и IV классах
В I функциональном классе
Г II функциональном классе",Б III и IV классах,"Правильный ответ — Б (III и IV классы).
Приступы стенокардии возникают при медленной ходьбе по ровному месту при III и IV классах стенокардии, когда физическая активность снижается и приступы возникают при обычной ходьбе на расстояние менее 500 метров и подъёме на один этаж.",1
36,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ ХАРАКТЕРНА ДЛЯ
А расслоения аорты
Б стабильной стенокардии
В спонтанного пневмоторакса
Г тромбоэмболии легочной артерии",А расслоения аорты,"Я не смогла найти информацию, чтобы обосновать выбор правильного ответа.",0
37,"В ПРОГРАММУ ФИЗИЧЕСКОЙ РЕАБИЛИТАЦИИ БОЛЬНЫХ ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА II ФУНКЦИОНАЛЬНОГО КЛАССА ВКЛЮЧЕНА
А ходьба в среднем темпе
Б гипоксическая тренировка
В спортивные упражнения
Г тренировка на максимальном значении частоты сердечных сокращений",А ходьба в среднем темпе ,"Программа физической реабилитации для больных ишемической болезнью сердца II функционального класса включает:
А) Ходьбу в среднем темпе.
Это наиболее подходящий вид физической активности для пациентов с ишемической болезнью сердца. Ходьба помогает улучшить кровообращение, снизить артериальное давление и уменьшить нагрузку на сердце.",1
38,"ДЛИТЕЛЬНЫЙ ПОКОЙ БОЛЬНОГО С ИНФАРКТОМ МИОКАРДА МОЖЕТ ПРИВЕСТИ К
А артериальной гипертензии
Б тахикардии
В развитию коронарных коллатералей
Г  тромбоэмболическим осложнениям",Г  тромбоэмболическим осложнениям,"Длительный покой больного с инфарктом миокарда может привести к тромбоэмболическим осложнениям (ответ под буквой «г»). Это связано с тем, что во время длительного покоя повышается свёртываемость крови, что может привести к образованию тромбов в коронарных артериях.",1
39,"ТРЕТИЙ ЭТАП КАРДИОРЕАБИЛИТАЦИИ ДЛИТСЯ ДО
А 3-4 дней или до стабилизации состояния пациента
Б 2 лет
В 6-13 недель после острого коронарного события
Г 1-2 месяцев",В 6-13 недель после острого коронарного события,"Третий этап кардиореабилитации длится до стабилизации состояния пациента, то есть до 1–2 месяцев.",-1
40,"ТРАНСПОРТНОЙ ФОРМОЙ ЭКЗОГЕННЫХ ТРИГЛИЦЕРИДОВ ЯВЛЯЮТСЯ
А ЛПВП
Б хиломикроны
В ЛПОНП
Г ЛПНП",Б хиломикроны,"Транспортной формой экзогенных триглицеридов являются хиломикроны. Они образуются в эпителиальных клетках слизистой кишечника, поступают в лимфатические сосуды и через грудной лимфатический проток попадают в большой круг кровообращения. Хиломикроны содержат апопротеин B48 и несколько подтипов апопротеина A.",1
41,"С ТОЧКИ ЗРЕНИЯ ДОКАЗАТЕЛЬНОЙ МЕДИЦИНЫ НАИБОЛЬШЕЕ ВЛИЯНИЕ НА ПОВЫШЕНИЕ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ОКАЗЫВАЕТ
А снижение потребления моно- и дисахаридов
Б умеренное потребление алкоголя
В прекращение курения табака
Г повышение уровня физической активности",Г повышение уровня физической активности,"С точки зрения доказательной медицины наибольшее влияние на повышение уровня липопротеидов высокой плотности в крови оказывает повышение уровня физической активности. Это подтверждается исследованиями, которые показывают, что регулярные физические упражнения способствуют увеличению концентрации ЛПВП в крови.",1
42,"ДЛЯ I ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания хиломикронов и триглицеридов
Б повышение содержания липопротеидов низкой плотности и триглицеридов
В снижение содержания липопротеидов высокой плотности и повышение общего холестерина
Г повышение содержания липопротеидов очень низкой плотности и триглицеридов",А повышение содержания хиломикронов и триглицеридов,"Для I фенотипа дислипидемий характерно:
В) снижение содержания липопротеидов высокой плотности и повышение общего холестерина.
Обоснование: для I фенотипа дислипидемий характерно повышение уровня триглицеридов и преобладание хиломикронов, что приводит к снижению уровня липопротеидов высокой плотности и повышению общего холестерина.",-1
43,"ОЧЕНЬ ВЫСОКИМ РИСКОМ ПО ШКАЛЕ SCORE СЧИТАЕТСЯ ЗНАЧЕНИЕ ≥ (В ПРОЦЕНТАХ)
А 5
Б 10
В15
Г 20",Б 10,Очень высоким риском по шкале SCORE считается значение ≥ 20%. Это соответствует высокому абсолютному сердечно-сосудистому риску.,-1
44,"ПРИ АНТИГИПЕРТЕНЗИВНОЙ ТЕРАПИИ УРОВЕНЬ СИСТОЛИЧЕСКОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ У БОЛЬНЫХ ИБС МОЛОЖЕ 65 ЛЕТ, СТРАДАЮЩИХ САХАРНЫМ ДИАБЕТОМ, ДОЛЖЕН БЫТЬ МЕНЕЕ ИЛИ РАВЕН (В ММ РТ. СТ.)
А 150
Б 120
В 130
Г 140",В 130,"Правильный ответ — В (130).
Согласно клиническим рекомендациям, пациентам моложе 65 лет и без хронической болезни почек (ХБП), получающим антигипертензивную терапию, рекомендуется снижать систолическое артериальное давление (САД) до значений 120–130 мм рт. ст. Это связано с доказанным влиянием такого снижения на снижение сердечно-сосудистого риска.",1
45,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ
А I; с высоким риском
Б I; с низким или средним риском
В II; независимо от степени риска
Г II; с высоким риском",Б I; с низким или средним риском ,Б. Монотерапия антигипертензивными препаратами может быть назначена пациентам с артериальной гипертензией I степени и низким или средним риском сердечно-сосудистых осложнений.,1
46,"К ПРЕПАРАТАМ ПЕРВОГО ВЫБОРА ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ У БОЛЬНЫХ САХАРНЫМ ДИАБЕТОМ ОТНОСЯТ
А антагонисты альдостерона
Б диуретики
В бета-адреноблокаторы
Г ингибиторы ангиотензин-превращающего фермента",Г ингибиторы ангиотензин-превращающего фермента ,"Ответ: Г. Ингибиторы ангиотензин-превращающего фермента (например, каптоприл, эналаприл, лизиноприл, периндоприл, рамиприл) являются препаратами первого выбора при лечении артериальной гипертонии у больных сахарным диабетом, потому что они обеспечивают контроль уровня артериального давления и обладают органопротективными свойствами, снижая риск сердечно-сосудистых осложнений.",1
