Вопрос,Ответ,YaGPT,Результат
22,"ВРАЧЕБНАЯ КОМИССИЯ МОЖЕТ ПРОДЛИТЬ ЛИСТОК НЕТРУДОСПОСОБНОСТИ МАКСИМАЛЬНО НА СРОК НЕ БОЛЕЕ ______ МЕСЯЦЕВ
А 6
Б 9
В 3
Г 12",Г 12,"Правильный ответ — В (3 месяца).
Врачебная комиссия может продлить листок нетрудоспособности максимально на срок не более трёх месяцев (п. 13 Порядка выдачи и оформления листков нетрудоспособности, утверждённого Приказом Минздрава России от 01.09.2020 N 925н).",-1
23,"УСКОРЕННЫЙ ИДИОВЕНТРИКУЛЯРНЫЙ РИТМ ПРЕДСТАВЛЯЕТ СОБОЙ
А комплексы QRS различной формы с частотой 100-120 в минуту
Б правильный ритм с укороченным интервалом PQ и уширенными комплексами QRS во всех грудных отведениях
В хаотический неправильный ритм, комплексы QRS и зубцы Т отсутствуют
Г правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS

","Г правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и ЧСС от 60 до 100 в минуту, зубцы Р отсутствуют либо они ретроградные или не связанные комплексами QRS","Ответ: Г.
Ускоренный идиовентрикулярный ритм — это правильный или неправильный ритм с широкими комплексами QRS (более 0,12 с) и частотой сердечных сокращений от 60 до 100 ударов в минуту. Зубцы P отсутствуют или являются ретроградными или не связанными с комплексами QRS.",1
24,"ДЛЯ ПОДТВЕРЖДЕНИЯ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ У БОЛЬНЫХ ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ НЕОБХОДИМО ВЫЯВИТЬ ВЫСОКИЕ УРОВНИ
А трансаминаза (аланинаминотрасферазы и аспартатаминотрасферазы)
Б (про-) мозгового натрийуретического пептида
В метаболита биохимических реакций аминокислотно-белкового обмена в организме (креатинина)
Г специфических маркеров некроза миокарда (тропонинов)",Б (про-) мозгового натрийуретического пептида,Для подтверждения хронической сердечной недостаточности у больных фибрилляцией предсердий необходимо выявить высокие уровни (про-) мозгового натрийуретического пептида (Б). Этот пептид используется в качестве маркера при диагностике сердечной недостаточности и его повышенный уровень указывает на дисфункцию левого желудочка.,1
25,"ПРИ КАКИХ НАРУШЕНИЯХ РИТМА БЫВАЮТ ПРИСТУПЫ МОРГАНЬИ-ЭДЕМСА-СТОКСА?
А фибрилляция предсердий
Б желудочковая экстрасистолия
В атриовентрикулярная блокада 1 степени
Г атриовентрикулярная блокада 3 степени",Г атриовентрикулярная блокада 3 степени,"Правильный ответ — В (атриовентрикулярная блокада 1 степени).
Приступы Морганьи-Адамса-Стокса возникают из-за ишемии головного мозга при внезапном уменьшении сердечного выброса, что обусловлено нарушениями ритма сердца или снижением частоты сердечных сокращений (ЧСС). Причинами таких нарушений могут быть желудочковая тахикардия, фибрилляция желудочков, полная атриовентрикулярная блокада и преходящая асистолия.",-1
26,"ПРИ WPW СИНДРОМЕ ПРОДОЛЖИТЕЛЬНОСТЬ ИНТЕРВАЛА PQ СОСТАВЛЯЕТ (В СЕКУНДАХ)
А более 0,2
Б 0,12 - 0,2
В более 0,25
Г менее 0,12","Г менее 0,12 ","Правильный ответ — Б: 0,12–0,2 секунды.
При синдроме WPW (Вольфа-Паркинсона-Уайта) интервал PQ укорочен и составляет менее 0,12 секунды.",-1
27,"ТЕРМИН «БОТАЛЛИТ» ХАРАКТЕРИЗУЕТ
А синдром Эйзенменгера
Б одно из осложнений открытого артериального протока
В состояние гемодинамики при септальных дефектах
Г осложнение триады Фалло",Б одно из осложнений открытого артериального протока,"Термин «боталлит» характеризует состояние гемодинамики при септальных дефектах.
",-1
28,"ХАРАКТЕРНЫМ СИМПТОМОМ ДЛЯ БОЛЬНЫХ СО СТЕНОЗОМ УСТЬЯ АОРТЫ ЯВЛЯЕТСЯ
А симптом Мюссе
Б акроцианоз
В бледность кожных покровов
Г «пляска каротид»",В бледность кожных покровов,"Характерным симптомом для больных со стенозом устья аорты является «пляска каротид». Это состояние возникает из-за усиленной пульсации сонных артерий, вызванной затруднённым оттоком крови из левого желудочка.",-1
29,"ПРИ НАЛИЧИИ НА ЭКГ ПРИЗНАКОВ СОЧЕТАННОЙ ГИПЕРТРОФИИ ЛЕВОГО ПРЕДСЕРДИЯ И ПРАВОГО ЖЕЛУДОЧКА ВОЗМОЖНО ПРЕДПОЛОЖИТЬ
А стеноз лёгочной артерии
Б митральный стеноз
В дефект межпредсердной перегородки
Г аортальную недостаточность",Б митральный стеноз,"Я не смогла найти информацию, чтобы обосновать выбор правильного ответа.",0
30,"ЗАДНЮЮ СТВОРКУ ПРИ АНОМАЛИИ ЭБШТЕЙНА НА МР- ИЗОБРАЖЕНИЯХ ЛУЧШЕ ВСЕГО ОЦЕНИВАТЬ В ПЛОСКОСТИ
А приток/отток правого желудочка
Б стандартных ортогональных саггитальных срезах
В 2-левых камер и короткой оси сердца
Г стандартных ортогональных поперечных срезах",А приток/отток правого желудочка,"Ответ: Б. Заднюю створку при аномалии Эбштейна лучше всего оценивать в стандартных ортогональных сагиттальных срезах, потому что это позволяет получить наиболее полную картину патологии и оценить степень недостаточности трёхстворчатого клапана.",-1
31,"ДЛЯ ЛЕЧЕНИЯ КАРДИОГЕННОГО ШОКА СЛЕДУЕТ ВЫБРАТЬ
А преднизолон
Б нитроглицерин
В допамин
Г новокаинамид",В допамин,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
32,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ КЛИНИЧЕСКИМ ПРИЗНАКОМ ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А тахикардия
Б ортопноэ
В кровохарканье
Г отёки на нижних конечностях",Б ортопноэ ,"Наиболее специфическим клиническим признаком острой левожелудочковой недостаточности является ортопноэ (Б). При этом состоянии больной принимает вынужденное положение сидя, чтобы облегчить дыхание. Это связано с застоем крови в малом круге кровообращения и повышением давления в лёгочных сосудах, что приводит к нарушению газообмена в лёгких и развитию одышки.",1
33,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ НАИБОЛЕЕ ХАРАКТЕРНА ДЛЯ
А тромбоэмболии лёгочной артерии
Б расслоения аорты
В инфаркта миокарда
Г стенокардии напряжения",Б расслоения аорты,"Наиболее характерна иррадиация болевых ощущений в спину для инфаркта миокарда (В). Это происходит потому, что инфаркт миокарда вызывает нарушение кровоснабжения сердечной мышцы, что может привести к боли, которая распространяется на другие части тела, включая спину.",-1
34,"В ОСТРОЙ СТАДИИ ИНФАРКТА МИОКАРДА C ЭЛЕВАЦИЕЙ СЕГМЕНТА ST НИЖНЕЙ СТЕНКИ ЛЕВОГО ЖЕЛУДОЧКА ЭЛЕВАЦИЯ ОТМЕЧАЕТСЯ В ОТВЕДЕНИЯХ
А I, aVL
Б V1-3
В II, III, aVF
Г V4-V6","В II, III, aVF","В острой стадии инфаркта миокарда с элевацией сегмента ST нижней стенки левого желудочка элевация отмечается в отведениях II, III, aVF (В). Это связано с тем, что нижний инфаркт миокарда характеризуется элевацией сегмента ST в этих отведениях.",1
35,"УВЕЛИЧЕНИЕ ВЫСОТЫ И ШИРИНЫ ЗУБЦА R В ОТВЕДЕНИЯХ V1-V2 В СОЧЕТАНИИ С ДЕПРЕССИЕЙ СЕГМЕНТА ST И ПОЛОЖИТЕЛЬНЫМ ЗУБЦОМ Т ЯВЛЯЕТСЯ ПРИЗНАКОМ
А инфаркта миокарда правого желудочка
Б заднего инфаркта миокарда (задне-базального)
В мелкоочагового инфаркта миокарда
Г передне-перегородочного инфаркта миокарда",Б заднего инфаркта миокарда (задне-базального),"Увеличение высоты и ширины зубца R в отведениях V1–V2 в сочетании с депрессией сегмента ST и положительным зубцом T является признаком задне-базального инфаркта миокарда (ответ Б).
Этот ЭКГ-феномен характеризуется элевацией сегмента ST до 2–3 мм выпуклостью книзу, точкой перехода нисходящей части зубца R в зубец T над изолинией и наличием положительного зубца T.",1
36,"СОГЛАСНО КЛАССИФИКАЦИИ СТАДИЙ КРОВЕНАПОЛНЕНИЯ ВЕНЕЧНЫХ АРТЕРИЙ ПО ТIMI 2 СТЕПЕНИ СООТВЕТСТВУЕТ
А отсутствие потока контрастного средства
Б замедление и не полное заполнение контрастным веществом дистальных сосудов
В быстрое антероградное заполнение и выведение контрастного вещества
Г замедление, но полное заполнение контрастным веществом дистальных сосудов","Г замедление, но полное заполнение контрастным веществом дистальных сосудов","Согласно классификации стадий кровенаполнения венечных артерий по TIMI 2 степени соответствует Г — замедление, но полное заполнение контрастным веществом дистальных сосудов. Это связано с тем, что оценка по шкале TIMI 2 указывает на замедленное наполнение дистального русла, что может свидетельствовать о нарушении микроциркуляции и наличии микрососудистой дисфункции.",1
37,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ
А эпросартан
Б ирбесартан
В кандесартан, валсартан
Г телмисартан","В кандесартан, валсартан ","Ответ: В (кандесартан и валсартан).
Кандесартан и валсартан являются блокаторами рецепторов ангиотензина, которые разрешены к применению у пациентов с сердечной недостаточностью. Они обладают высокой эффективностью и хорошей переносимостью, а также снижают риск развития серьёзных сердечно-сосудистых осложнений.",1
38,"ПРИ СНИЖЕННОЙ ФРАКЦИИ ВЫБРОСА ЛЕВОГО ЖЕЛУДОЧКА ПРОТИВОПОКАЗАНЫ
А блокаторы кальциевых каналов дигидропиридинового ряда
Б верапамил, дилтиазем
В бета-адреноблокаторы
Г ингибиторы ангиотензин-превращающего фермента","Б верапамил, дилтиазем","Правильный ответ — Г: ингибиторы ангиотензин-превращающего фермента.
При сниженной фракции выброса левого желудочка противопоказаны именно ингибиторы АПФ, потому что они улучшают функцию сердца и снижают риск развития сердечной недостаточности.",-1
39,"ПОКАЗАНИЕМ ДЛЯ УСТАНОВКИ ФИЛЬТРА В НИЖНЮЮ ПОЛУЮ ВЕНУ ИЛИ ПЕРЕВЯЗКИ ЕЕ У БОЛЬНЫХ С ТРОМБОЭМБОЛИЕЙ ЛЕГОЧНОЙ АРТЕРИИ И ТРОМБОФЛЕБИТОМ НИЖНИХ КОНЕЧНОСТЕЙ ЯВЛЯЕТСЯ
А наличие противопоказаний для лечения антикоагулянтами
Б повторная тромбоэмболия на фоне неадекватной терапии антикоагулянтами
В высокое содержание протромбина
Г антифосфолипидный синдром",А наличие противопоказаний для лечения антикоагулянтами,"Правильный ответ — «А». Наличие противопоказаний для лечения антикоагулянтами является показанием для установки фильтра в нижнюю полую вену или её перевязки у больных с тромбоэмболией лёгочной артерии и тромбофлебитом нижних конечностей. Это связано с тем, что в таких случаях антикоагулянтная терапия может быть неэффективной или небезопасной.",1
40,"80% ОБЩЕГО КОЛИЧЕСТВА ИММУНОКОМПЕТЕНТНЫХ КЛЕТОК В АТЕРОСКЛЕРОТИЧЕСКОЙ БЛЯШКЕ ПРЕДСТАВЛЕНО
А эозинофилами
Б макрофагами
В лимфоцитами
Г лейкоцитами",Б макрофагами ,"Правильный ответ — Б. Макрофагами представлено 80% общего количества иммунокомпетентных клеток в атеросклеротической бляшке. Это связано с тем, что макрофаги играют ключевую роль в развитии и прогрессировании атеросклероза, поглощая и перерабатывая липиды, превращаясь в пенистые клетки.",1
41,"НАИБОЛЕЕ ЧАСТЫМ ФЕНОТИПИЧЕСКИМ ПРОЯВЛЕНИЕМ СЕМЕЙНОЙ (НАСЛЕДСТВЕННОЙ) ГИПЕРТРИГЛИЦЕРИДЕМИИ И ХИЛОМИКРОНЕМИИ ЯВЛЯЕТСЯ НАЛИЧИЕ
А ксантелазм век
Б липоидной дуги роговицы
В ксантоматоза сухожилий
Г эруптивного ксантоматоза кожи",Г эруптивного ксантоматоза кожи,"Наиболее частым фенотипическим проявлением семейной (наследственной) гипертриглицеридемии и хиломикронемии является наличие липоидной дуги роговицы (ответ Б). Это связано с тем, что липоидная дуга роговицы — характерный признак этих состояний, который наблюдается у большинства пациентов.",-1
42,"НАИБОЛЕЕ ЧАСТО В ПОПУЛЯЦИИ ВСТРЕЧАЕТСЯ ДИСЛИПИДЕМИЯ _____ ТИПА
А IIa
Б IV
В V
Г IIb",Б IV,"Наиболее часто в популяции встречается дислипидемия типа IIa (с высокой атерогенностью). Это связано с тем, что у людей с этим типом дислипидемии повышен уровень холестерина, триглицеридов и липопротеидов низкой плотности, что способствует развитию атеросклероза.",-1
43,"ДЛЯ IIА ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания липопротеидов очень низкой плотности и триглицеридов
Б повышение содержания липопротеидов низкой плотности и общего холестерина
В повышение содержания хиломикронов и триглицеридов
Г снижение уровня липопротеидов высокой плотности и повышение общего холестерина",Б повышение содержания липопротеидов низкой плотности и общего холестерина,"Для IIA фенотипа дислипидемий характерно повышение содержания липопротеидов низкой плотности и общего холестерина (ответ Б). Это связано с высокой атерогенностью данного фенотипа, при котором также могут быть повышены триглицериды.",1
44,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ДИАГНОСТИКИ ГКМП ЯВЛЯЕТСЯ
А биопсия миокарда
Б коронаровентрикулография
В электрокардиография
Г эхокардиография",Г эхокардиография,"Наиболее информативным методом диагностики ГКМП является эхокардиография (Г). Этот метод позволяет выявить асимметричную гипертрофию левого желудочка, обструкцию выносящего тракта левого желудочка и другие ультразвуковые признаки ГКМП.",1
45,"ХАРАКТЕРНЫМ ДЛЯ КЛИНИЧЕСКИХ ПРОЯВЛЕНИЙ ЛЕВОЖЕЛУДОЧКОВОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А асцит
Б одышка
В набухание шейных вен
Г гепатомегалия",Б одышка,"Характерным для клинических проявлений левожелудочковой сердечной недостаточности является:
Б. Одышка.
Одышка возникает из-за снижения сократительной способности левого желудочка, что приводит к застою крови в лёгких и повышению давления в малом круге кровообращения.",1
46,"МЕНЕЕ СПЕЦИФИЧНЫМ ПРИЗНАКОМ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ
А гепатоюгулярный рефлюкс
Б III сердечный тон (ритм галопа)
В наличие периферических отёков
Г повышение давления в яремных венах",В наличие периферических отёков,"Менее специфичным признаком сердечной недостаточности является гепатоюгулярный рефлюкс. Это связано с тем, что этот симптом может наблюдаться и при других заболеваниях, таких как цирроз печени или портальная гипертензия.",-1
